date,cpi
1947-01-01,21.5
1947-02-01,21.5
1947-03-01,21.9
1947-04-01,21.9
1947-05-01,21.9
1947-06-01,22.0
1947-07-01,22.2
1947-08-01,22.5
1947-09-01,23.0
1947-10-01,23.0
1947-11-01,23.1
1947-12-01,23.4
1948-01-01,23.7
1948-02-01,23.5
1948-03-01,23.4
1948-04-01,23.8
1948-05-01,24.0
1948-06-01,24.1
1948-07-01,24.4
1948-08-01,24.5
1948-09-01,24.5
1948-10-01,24.4
1948-11-01,24.2
1948-12-01,24.1
1949-01-01,23.8
1949-02-01,23.8
1949-03-01,23.8
1949-04-01,23.7
1949-05-01,23.6
1949-06-01,23.6
1949-07-01,23.6
1949-08-01,23.6
1949-09-01,23.6
1949-10-01,23.6
1949-11-01,23.6
1949-12-01,23.6
1950-01-01,23.5
1950-02-01,23.6
1950-03-01,23.7
1950-04-01,23.8
1950-05-01,23.9
1950-06-01,23.9
1950-07-01,24.1
1950-08-01,24.3
1950-09-01,24.5
1950-10-01,24.7
1950-11-01,24.9
1950-12-01,25.0
1951-01-01,25.4
1951-02-01,25.5
1951-03-01,25.6
1951-04-01,25.7
1951-05-01,25.8
1951-06-01,25.9
1951-07-01,26.0
1951-08-01,26.1
1951-09-01,26.2
1951-10-01,26.3
1951-11-01,26.4
1951-12-01,26.5
1952-01-01,26.5
1952-02-01,26.5
1952-03-01,26.6
1952-04-01,26.6
1952-05-01,26.6
1952-06-01,26.7
1952-07-01,26.7
1952-08-01,26.7
1952-09-01,26.7
1952-10-01,26.7
1952-11-01,26.7
1952-12-01,26.7
1953-01-01,26.6
1953-02-01,26.6
1953-03-01,26.6
1953-04-01,26.6
1953-05-01,26.6
1953-06-01,26.7
1953-07-01,26.7
1953-08-01,26.7
1953-09-01,26.8
1953-10-01,26.8
1953-11-01,26.9
1953-12-01,26.9
1954-01-01,26.9
1954-02-01,26.9
1954-03-01,26.9
1954-04-01,26.9
1954-05-01,26.9
1954-06-01,26.9
1954-07-01,26.9
1954-08-01,26.9
1954-09-01,26.8
1954-10-01,26.8
1954-11-01,26.8
1954-12-01,26.7
1955-01-01,26.7
1955-02-01,26.7
1955-03-01,26.7
1955-04-01,26.7
1955-05-01,26.7
1955-06-01,26.7
1955-07-01,26.7
1955-08-01,26.7
1955-09-01,26.7
1955-10-01,26.7
1955-11-01,26.8
1955-12-01,26.8
1956-01-01,26.8
1956-02-01,26.9
1956-03-01,27.0
1956-04-01,27.1
1956-05-01,27.2
1956-06-01,27.3
1956-07-01,27.4
1956-08-01,27.4
1956-09-01,27.4
1956-10-01,27.5
1956-11-01,27.6
1956-12-01,27.6
1957-01-01,27.6
1957-02-01,27.7
1957-03-01,27.8
1957-04-01,27.9
1957-05-01,28.0
1957-06-01,28.1
1957-07-01,28.2
1957-08-01,28.2
1957-09-01,28.2
1957-10-01,28.3
1957-11-01,28.4
1957-12-01,28.4
1958-01-01,28.6
1958-02-01,28.7
1958-03-01,28.8
1958-04-01,28.8
1958-05-01,28.9
1958-06-01,28.9
1958-07-01,28.9
1958-08-01,28.9
1958-09-01,28.9
1958-10-01,28.9
1958-11-01,28.9
1958-12-01,28.9
1959-01-01,29.0
1959-02-01,29.0
1959-03-01,29.0
1959-04-01,29.0
1959-05-01,29.1
1959-06-01,29.1
1959-07-01,29.2
1959-08-01,29.2
1959-09-01,29.2
1959-10-01,29.3
1959-11-01,29.4
1959-12-01,29.4
1960-01-01,29.3
1960-02-01,29.4
1960-03-01,29.4
1960-04-01,29.5
1960-05-01,29.6
1960-06-01,29.6
1960-07-01,29.6
1960-08-01,29.6
1960-09-01,29.7
1960-10-01,29.7
1960-11-01,29.8
1960-12-01,29.8
1961-01-01,29.8
1961-02-01,29.8
1961-03-01,29.8
1961-04-01,29.8
1961-05-01,29.8
1961-06-01,29.8
1961-07-01,29.8
1961-08-01,29.8
1961-09-01,29.9
1961-10-01,29.9
1961-11-01,29.9
1961-12-01,30.0
1962-01-01,30.0
1962-02-01,30.0
1962-03-01,30.1
1962-04-01,30.1
1962-05-01,30.1
1962-06-01,30.2
1962-07-01,30.2
1962-08-01,30.2
1962-09-01,30.2
1962-10-01,30.3
1962-11-01,30.4
1962-12-01,30.4
1963-01-01,30.4
1963-02-01,30.4
1963-03-01,30.4
1963-04-01,30.5
1963-05-01,30.6
1963-06-01,30.6
1963-07-01,30.7
1963-08-01,30.7
1963-09-01,30.8
1963-10-01,30.8
1963-11-01,30.9
1963-12-01,30.9
1964-01-01,30.9
1964-02-01,30.9
1964-03-01,30.9
1964-04-01,30.9
1964-05-01,30.9
1964-06-01,31.0
1964-07-01,31.0
1964-08-01,31.0
1964-09-01,31.1
1964-10-01,31.1
1964-11-01,31.1
1964-12-01,31.2
1965-01-01,31.2
1965-02-01,31.3
1965-03-01,31.4
1965-04-01,31.5
1965-05-01,31.6
1965-06-01,31.6
1965-07-01,31.6
1965-08-01,31.6
1965-09-01,31.7
1965-10-01,31.7
1965-11-01,31.8
1965-12-01,31.8
1966-01-01,31.8
1966-02-01,31.9
1966-03-01,32.0
1966-04-01,32.1
1966-05-01,32.2
1966-06-01,32.4
1966-07-01,32.5
1966-08-01,32.6
1966-09-01,32.7
1966-10-01,32.8
1966-11-01,32.8
1966-12-01,32.9
1967-01-01,32.9
1967-02-01,33.0
1967-03-01,33.1
1967-04-01,33.2
1967-05-01,33.2
1967-06-01,33.3
1967-07-01,33.4
1967-08-01,33.5
1967-09-01,33.6
1967-10-01,33.7
1967-11-01,33.8
1967-12-01,33.9
1968-01-01,34.1
1968-02-01,34.2
1968-03-01,34.3
1968-04-01,34.4
1968-05-01,34.5
1968-06-01,34.7
1968-07-01,34.8
1968-08-01,34.9
1968-09-01,35.0
1968-10-01,35.2
1968-11-01,35.4
1968-12-01,35.5
1969-01-01,35.6
1969-02-01,35.8
1969-03-01,36.0
1969-04-01,36.3
1969-05-01,36.5
1969-06-01,36.8
1969-07-01,36.9
1969-08-01,37.1
1969-09-01,37.2
1969-10-01,37.4
1969-11-01,37.5
1969-12-01,37.7
1970-01-01,37.8
1970-02-01,38.0
1970-03-01,38.2
1970-04-01,38.4
1970-05-01,38.6
1970-06-01,38.8
1970-07-01,39.0
1970-08-01,39.2
1970-09-01,39.4
1970-10-01,39.5
1970-11-01,39.6
1970-12-01,39.8
1971-01-01,39.8
1971-02-01,40.0
1971-03-01,40.1
1971-04-01,40.3
