date,mvrv_z
2011-01-01,2.0
2011-02-01,2.8
2011-03-01,3.6
2011-04-01,4.4
2011-05-01,5.2
2011-06-01,6.0
2011-07-01,7.1
2011-08-01,8.2
2011-09-01,9.3
2011-10-01,10.4
2011-11-01,11.5
2011-12-01,6.25
2012-01-01,1.0
2012-02-01,0.9
2012-03-01,0.8
2012-04-01,0.7
2012-05-01,0.6
2012-06-01,0.5
2012-07-01,0.56
2012-08-01,0.62
2012-09-01,0.68
2012-10-01,0.74
2012-11-01,0.8
2012-12-01,1.5
2013-01-01,3.88
2013-02-01,6.25
2013-03-01,8.62
2013-04-01,11.0
2013-05-01,9.0
2013-06-01,7.0
2013-07-01,5.0
2013-08-01,5.9
2013-09-01,6.8
2013-10-01,7.7
2013-11-01,8.6
2013-12-01,9.5
2014-01-01,8.08
2014-02-01,6.66
2014-03-01,5.25
2014-04-01,3.83
2014-05-01,2.42
2014-06-01,1.0
2014-07-01,0.82
2014-08-01,0.64
2014-09-01,0.46
2014-10-01,0.27
2014-11-01,0.09
2014-12-01,-0.1
2015-01-01,-0.3
2015-02-01,-0.21
2015-03-01,-0.12
2015-04-01,-0.04
2015-05-01,0.04
2015-06-01,0.13
2015-07-01,0.21
2015-08-01,0.3
2015-09-01,0.9
2015-10-01,1.5
2015-11-01,1.54
2015-12-01,1.58
2016-01-01,1.62
2016-02-01,1.66
2016-03-01,1.69
2016-04-01,1.73
2016-05-01,1.77
2016-06-01,1.8
2016-07-01,2.08
2016-08-01,2.36
2016-09-01,2.65
2016-10-01,2.93
2016-11-01,3.21
2016-12-01,3.5
2017-01-01,3.75
2017-02-01,4.0
2017-03-01,4.25
2017-04-01,4.5
2017-05-01,4.75
2017-06-01,5.0
2017-07-01,5.83
2017-08-01,6.66
2017-09-01,7.5
2017-10-01,8.33
2017-11-01,9.16
2017-12-01,10.0
2018-01-01,8.67
2018-02-01,7.34
2018-03-01,6.0
2018-04-01,4.67
2018-05-01,3.33
2018-06-01,2.0
2018-07-01,1.6
2018-08-01,1.2
2018-09-01,0.8
2018-10-01,0.4
2018-11-01,0.0
2018-12-01,-0.4
2019-01-01,0.13
2019-02-01,0.66
2019-03-01,1.19
2019-04-01,1.73
2019-05-01,2.26
2019-06-01,2.8
2019-07-01,2.67
2019-08-01,2.54
2019-09-01,2.41
2019-10-01,2.27
2019-11-01,2.13
2019-12-01,2.0
2020-01-01,1.43
2020-02-01,0.86
2020-03-01,0.3
2020-04-01,0.6
2020-05-01,0.9
2020-06-01,1.2
2020-07-01,1.75
2020-08-01,2.3
2020-09-01,2.85
2020-10-01,3.4
2020-11-01,3.95
2020-12-01,4.5
2021-01-01,5.58
2021-02-01,6.65
2021-03-01,7.73
2021-04-01,8.8
2021-05-01,6.7
2021-06-01,4.6
2021-07-01,2.5
2021-08-01,3.25
2021-09-01,4.0
2021-10-01,4.75
2021-11-01,5.5
2021-12-01,4.76
2022-01-01,4.02
2022-02-01,3.28
2022-03-01,2.53
2022-04-01,1.79
2022-05-01,1.04
2022-06-01,0.3
2022-07-01,0.2
2022-08-01,0.1
2022-09-01,-0.0
2022-10-01,-0.1
2022-11-01,-0.2
2022-12-01,-0.15
2023-01-01,-0.1
2023-02-01,0.22
2023-03-01,0.54
2023-04-01,0.86
2023-05-01,1.18
2023-06-01,1.5
2023-07-01,1.55
2023-08-01,1.6
2023-09-01,1.65
2023-10-01,1.7
2023-11-01,1.75
2023-12-01,1.8
2024-01-01,2.0
2024-02-01,2.5
2024-03-01,3.0
2024-04-01,2.8
2024-05-01,2.65
2024-06-01,2.5
2024-07-01,2.7
2024-08-01,2.9
2024-09-01,3.1
2024-10-01,3.3
2024-11-01,3.5
2024-12-01,3.2
2025-01-01,2.8
2025-02-01,2.5
2025-03-01,2.2
2025-04-01,2.07
2025-05-01,1.94
2025-06-01,1.8
2025-07-01,1.7
2025-08-01,1.6
2025-09-01,1.5
2025-10-01,1.6
2025-11-01,1.7
2025-12-01,1.8
2026-01-01,1.9
2026-02-01,2.0
2026-03-01,2.1
2026-04-01,2.07
2026-05-01,2.04
2026-06-01,2.0
