date,puell
2014-04-28,1.143
2014-04-29,1.1571
2014-04-30,1.1591
2014-05-01,1.1826
2014-05-02,1.1498
2014-05-03,1.1227
2014-05-04,1.1197
2014-05-05,1.1047
2014-05-06,1.0963
2014-05-07,1.126
2014-05-08,1.1184
2014-05-09,1.1416
2014-05-10,1.1517
2014-05-11,1.108
2014-05-12,1.1128
2014-05-13,1.1056
2014-05-14,1.1206
2014-05-15,1.118
2014-05-16,1.1178
2014-05-17,1.117
2014-05-18,1.1104
2014-05-19,1.1071
2014-05-20,1.2028
2014-05-21,1.2131
2014-05-22,1.2936
2014-05-23,1.2947
2014-05-24,1.2878
2014-05-25,1.3976
2014-05-26,1.4185
2014-05-27,1.3896
2014-05-28,1.3905
2014-05-29,1.3712
2014-05-30,1.5019
2014-05-31,1.4955
2014-06-01,1.5377
2014-06-02,1.5712
2014-06-03,1.5918
2014-06-04,1.5241
2014-06-05,1.5589
2014-06-06,1.5312
2014-06-07,1.5332
2014-06-08,1.5237
2014-06-09,1.5044
2014-06-10,1.5112
2014-06-11,1.462
2014-06-12,1.3123
2014-06-13,1.3717
2014-06-14,1.3109
2014-06-15,1.3377
2014-06-16,1.3544
2014-06-17,1.3834
2014-06-18,1.3724
2014-06-19,1.3438
2014-06-20,1.3322
2014-06-21,1.331
2014-06-22,1.3355
2014-06-23,1.3117
2014-06-24,1.2995
2014-06-25,1.2493
2014-06-26,1.2859
2014-06-27,1.3233
2014-06-28,1.3119
2014-06-29,1.3159
2014-06-30,1.3976
2014-07-01,1.4066
2014-07-02,1.411
2014-07-03,1.3894
2014-07-04,1.3564
2014-07-05,1.353
2014-07-06,1.3558
2014-07-07,1.3268
2014-07-08,1.3238
2014-07-09,1.3198
2014-07-10,1.305
2014-07-11,1.3341
2014-07-12,1.3359
2014-07-13,1.3187
2014-07-14,1.2954
2014-07-15,1.293
2014-07-16,1.2792
2014-07-17,1.2936
2014-07-18,1.2982
2014-07-19,1.2926
2014-07-20,1.277
2014-07-21,1.272
2014-07-22,1.2664
2014-07-23,1.2605
2014-07-24,1.22
2014-07-25,1.2172
2014-07-26,1.2011
2014-07-27,1.1909
2014-07-28,1.1774
2014-07-29,1.1671
2014-07-30,1.1223
2014-07-31,1.1641
2014-08-01,1.1823
2014-08-02,1.168
2014-08-03,1.1597
2014-08-04,1.1582
2014-08-05,1.1475
2014-08-06,1.1463
2014-08-07,1.1509
2014-08-08,1.1552
2014-08-09,1.1467
2014-08-10,1.1445
2014-08-11,1.1124
2014-08-12,1.098
2014-08-13,1.0497
2014-08-14,0.9705
2014-08-15,0.9466
2014-08-16,0.9997
2014-08-17,0.9474
2014-08-18,0.879
2014-08-19,0.9236
2014-08-20,0.9789
2014-08-21,0.9796
2014-08-22,0.978
2014-08-23,0.9397
2014-08-24,0.9596
2014-08-25,0.9432
2014-08-26,0.9605
2014-08-27,0.9583
2014-08-28,0.9498
2014-08-29,0.9501
2014-08-30,0.936
2014-08-31,0.8944
2014-09-01,0.885
2014-09-02,0.8814
2014-09-03,0.8799
2014-09-04,0.9058
2014-09-05,0.887
2014-09-06,0.8893
2014-09-07,0.8844
2014-09-08,0.8655
2014-09-09,0.8651
2014-09-10,0.8734
2014-09-11,0.8706
2014-09-12,0.8642
2014-09-13,0.8669
2014-09-14,0.8633
2014-09-15,0.8586
2014-09-16,0.8383
2014-09-17,0.8225
2014-09-18,0.7652
2014-09-19,0.7095
2014-09-20,0.736
2014-09-21,0.7137
2014-09-22,0.7157
2014-09-23,0.7783
2014-09-24,0.7541
2014-09-25,0.73
2014-09-26,0.7199
2014-09-27,0.7102
2014-09-28,0.6701
2014-09-29,0.6642
2014-09-30,0.6887
2014-10-01,0.6764
2014-10-02,0.6596
2014-10-03,0.6311
2014-10-04,0.5804
2014-10-05,0.575
2014-10-06,0.5808
2014-10-07,0.5855
2014-10-08,0.6231
2014-10-09,0.6312
2014-10-10,0.629
2014-10-11,0.6318
2014-10-12,0.6568
2014-10-13,0.6785
2014-10-14,0.6974
2014-10-15,0.6859
2014-10-16,0.6628
2014-10-17,0.6636
2014-10-18,0.6782
2014-10-19,0.6737
2014-10-20,0.6606
2014-10-21,0.6645
2014-10-22,0.6588
2014-10-23,0.618
2014-10-24,0.6143
2014-10-25,0.6012
2014-10-26,0.6061
2014-10-27,0.6024
2014-10-28,0.6076
2014-10-29,0.5754
2014-10-30,0.5932
2014-10-31,0.5806
2014-11-01,0.5586
2014-11-02,0.5583
2014-11-03,0.558
2014-11-04,0.5646
2014-11-05,0.5808
2014-11-06,0.5982
2014-11-07,0.5867
2014-11-08,0.5918
2014-11-09,0.6248
2014-11-10,0.6253
2014-11-11,0.6293
2014-11-12,0.7192
2014-11-13,0.7125
2014-11-14,0.6791
2014-11-15,0.6485
2014-11-16,0.6663
2014-11-17,0.662
2014-11-18,0.6453
2014-11-19,0.6494
2014-11-20,0.6131
2014-11-21,0.6037
2014-11-22,0.6085
2014-11-23,0.6362
2014-11-24,0.6565
2014-11-25,0.6534
2014-11-26,0.6383
2014-11-27,0.6447
2014-11-28,0.6615
2014-11-29,0.6603
2014-11-30,0.6654
2014-12-01,0.6728
2014-12-02,0.6781
2014-12-03,0.6675
2014-12-04,0.6594
2014-12-05,0.6761
2014-12-06,0.6733
2014-12-07,0.6762
2014-12-08,0.6539
2014-12-09,0.6367
2014-12-10,0.6313
2014-12-11,0.6329
2014-12-12,0.643
2014-12-13,0.6374
2014-12-14,0.6439
2014-12-15,0.6354
2014-12-16,0.6071
2014-12-17,0.5903
2014-12-18,0.5743
2014-12-19,0.5898
2014-12-20,0.6118
2014-12-21,0.5953
2014-12-22,0.6157
2014-12-23,0.6243
2014-12-24,0.6033
2014-12-25,0.5969
2014-12-26,0.6161
2014-12-27,0.5927
2014-12-28,0.5976
2014-12-29,0.5916
2014-12-30,0.5881
2014-12-31,0.6033
2015-01-01,0.5983
2015-01-02,0.6006
2015-01-03,0.5489
2015-01-04,0.5014
2015-01-05,0.5267
2015-01-06,0.5521
2015-01-07,0.574
2015-01-08,0.5535
2015-01-09,0.5651
2015-01-10,0.5375
2015-01-11,0.5249
2015-01-12,0.5289
2015-01-13,0.4379
2015-01-14,0.3417
2015-01-15,0.4194
2015-01-16,0.4113
2015-01-17,0.4
2015-01-18,0.4205
2015-01-19,0.4332
2015-01-20,0.4266
2015-01-21,0.4557
2015-01-22,0.4736
2015-01-23,0.477
2015-01-24,0.5097
2015-01-25,0.5232
2015-01-26,0.561
2015-01-27,0.538
2015-01-29,0.484
2015-01-30,0.4775
2015-01-31,0.4569
2015-02-01,0.4758
2015-02-02,0.5065
2015-02-03,0.4786
2015-02-04,0.4788
2015-02-05,0.4626
2015-02-06,0.4762
2015-02-07,0.4879
2015-02-08,0.4801
2015-02-09,0.4754
2015-02-10,0.4779
2015-02-11,0.4758
2015-02-12,0.4836
2015-02-13,0.5146
2015-02-14,0.5668
2015-02-15,0.5111
2015-02-16,0.5188
2015-02-17,0.5344
2015-02-18,0.5184
2015-02-19,0.5322
2015-02-20,0.5418
2015-02-21,0.5431
2015-02-22,0.5251
2015-02-23,0.5319
2015-02-24,0.5345
2015-02-25,0.5326
2015-02-26,0.5307
2015-02-27,0.5716
2015-02-28,0.5721
2015-03-01,0.5825
2015-03-02,0.6113
2015-03-03,0.6365
2015-03-04,0.6205
2015-03-05,0.6262
2015-03-06,0.622
2015-03-07,0.6309
2015-03-08,0.63
2015-03-09,0.6651
2015-03-10,0.6689
2015-03-11,0.6833
2015-03-12,0.68
2015-03-13,0.6679
2015-03-14,0.6542
2015-03-15,0.6644
2015-03-16,0.6772
2015-03-17,0.6652
2015-03-18,0.5994
2015-03-19,0.6111
2015-03-20,0.6146
2015-03-21,0.6126
2015-03-22,0.6335
2015-03-23,0.6305
2015-03-24,0.5823
2015-03-25,0.5861
2015-03-26,0.5905
2015-03-27,0.5908
