date,price
1927-01,17.60
1927-02,17.93
1927-03,18.27
1927-04,18.61
1927-05,18.96
1927-06,19.31
1927-07,19.67
1927-08,20.04
1927-09,20.42
1927-10,20.80
1927-11,21.19
1927-12,21.59
1928-01,21.99
1928-02,22.41
1928-03,22.83
1928-04,23.25
1928-05,23.69
1928-06,24.13
1928-07,24.59
1928-08,25.05
1928-09,25.52
1928-10,25.99
1928-11,26.48
1928-12,26.98
1929-01,27.48
1929-02,28.00
1929-03,28.52
1929-04,29.06
1929-05,29.60
1929-06,30.16
1929-07,30.72
1929-08,31.30
1929-09,29.49
1929-10,27.79
1929-11,26.19
1929-12,24.68
1930-01,23.25
1930-02,21.91
1930-03,20.64
1930-04,19.45
1930-05,18.33
1930-06,17.27
1930-07,16.27
1930-08,15.34
1930-09,14.45
1930-10,13.62
1930-11,12.83
1930-12,12.09
1931-01,11.39
1931-02,10.73
1931-03,10.11
1931-04,9.53
1931-05,8.98
1931-06,8.46
1931-07,7.97
1931-08,7.51
1931-09,7.08
1931-10,6.67
1931-11,6.29
1931-12,5.92
1932-01,5.58
1932-02,5.26
1932-03,4.96
1932-04,4.67
1932-05,4.40
1932-06,4.60
1932-07,4.80
1932-08,5.02
1932-09,5.24
1932-10,5.47
1932-11,5.72
1932-12,5.97
1933-01,6.24
1933-02,6.52
1933-03,6.81
1933-04,7.11
1933-05,7.43
1933-06,7.76
1933-07,8.10
1933-08,8.47
1933-09,8.84
1933-10,9.24
1933-11,9.65
1933-12,10.08
1934-01,10.53
1934-02,11.00
1934-03,11.16
1934-04,11.32
1934-05,11.48
1934-06,11.65
1934-07,11.82
1934-08,11.99
1934-09,12.16
1934-10,12.34
1934-11,12.52
1934-12,12.70
1935-01,12.88
1935-02,13.07
1935-03,13.25
1935-04,13.45
1935-05,13.64
1935-06,13.84
1935-07,14.04
1935-08,14.24
1935-09,14.45
1935-10,14.65
1935-11,14.87
1935-12,15.08
1936-01,15.30
1936-02,15.52
1936-03,15.74
1936-04,15.97
1936-05,16.20
1936-06,16.44
1936-07,16.67
1936-08,16.91
1936-09,17.16
1936-10,17.41
1936-11,17.66
1936-12,17.91
1937-01,18.17
1937-02,18.43
1937-03,18.70
1937-04,17.67
1937-05,16.70
1937-06,15.79
1937-07,14.92
1937-08,14.10
1937-09,13.33
1937-10,12.60
1937-11,11.91
1937-12,11.25
1938-01,10.64
1938-02,10.05
1938-03,9.50
1938-04,9.90
1938-05,10.32
1938-06,10.76
1938-07,11.21
1938-08,11.69
1938-09,12.19
1938-10,12.70
1938-11,13.24
1938-12,13.80
1939-01,13.59
1939-02,13.39
1939-03,13.18
1939-04,12.98
1939-05,12.79
1939-06,12.59
1939-07,12.40
1939-08,12.22
1939-09,12.03
1939-10,11.85
1939-11,11.67
1939-12,11.49
1940-01,11.32
1940-02,11.15
1940-03,10.98
1940-04,10.81
1940-05,10.65
1940-06,10.49
1940-07,10.33
1940-08,10.17
1940-09,10.02
1940-10,9.87
1940-11,9.72
1940-12,9.57
1941-01,9.43
1941-02,9.28
1941-03,9.14
1941-04,9.01
1941-05,8.87
1941-06,8.74
1941-07,8.60
1941-08,8.47
1941-09,8.34
1941-10,8.22
1941-11,8.09
1941-12,7.97
1942-01,7.85
1942-02,7.73
1942-03,7.62
1942-04,7.50
1942-05,7.65
1942-06,7.80
1942-07,7.95
1942-08,8.10
1942-09,8.26
1942-10,8.42
1942-11,8.58
1942-12,8.75
1943-01,8.92
1943-02,9.10
1943-03,9.27
1943-04,9.45
1943-05,9.64
1943-06,9.83
1943-07,10.02
1943-08,10.21
1943-09,10.41
1943-10,10.61
1943-11,10.82
1943-12,11.03
1944-01,11.25
1944-02,11.46
1944-03,11.69
1944-04,11.92
1944-05,12.15
1944-06,12.38
1944-07,12.63
1944-08,12.87
1944-09,13.12
1944-10,13.38
1944-11,13.64
1944-12,13.90
1945-01,14.17
1945-02,14.45
1945-03,14.73
1945-04,15.02
1945-05,15.31
1945-06,15.61
1945-07,15.91
1945-08,16.22
1945-09,16.54
1945-10,16.86
1945-11,17.19
1945-12,17.53
1946-01,17.87
1946-02,18.21
1946-03,18.57
1946-04,18.93
1946-05,19.30
1946-06,18.38
1946-07,17.50
1946-08,16.66
1946-09,15.86
1946-10,15.10
1946-11,15.19
1946-12,15.29
1947-01,15.38
1947-02,15.48
1947-03,15.58
1947-04,15.67
1947-05,15.77
1947-06,15.87
1947-07,15.97
1947-08,16.07
1947-09,16.17
1947-10,16.27
1947-11,16.37
1947-12,16.47
1948-01,16.58
1948-02,16.68
1948-03,16.78
1948-04,16.89
1948-05,16.99
1948-06,17.10
1948-07,16.78
1948-08,16.46
1948-09,16.15
1948-10,15.84
1948-11,15.54
1948-12,15.25
1949-01,14.96
1949-02,14.68
1949-03,14.40
1949-04,14.13
1949-05,13.86
1949-06,13.60
1949-07,13.82
1949-08,14.03
1949-09,14.26
1949-10,14.48
1949-11,14.71
1949-12,14.94
1950-01,15.18
1950-02,15.42
1950-03,15.66
1950-04,15.91
1950-05,16.16
1950-06,16.42
1950-07,16.68
1950-08,16.94
1950-09,17.21
1950-10,17.48
1950-11,17.76
1950-12,18.04
1951-01,18.32
1951-02,18.61
1951-03,18.91
1951-04,19.21
1951-05,19.51
1951-06,19.82
1951-07,20.13
1951-08,20.45
1951-09,20.77
1951-10,21.10
1951-11,21.44
1951-12,21.77
1952-01,22.12
1952-02,22.47
1952-03,22.82
1952-04,23.18
1952-05,23.55
1952-06,23.92
1952-07,24.30
1952-08,24.69
1952-09,25.08
1952-10,25.47
1952-11,25.88
1952-12,26.28
