date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2013-04-29,15.02,15.36,13.21,640326400.0
2013-04-30,15.54,15.81,13.6,691538400.0
2013-05-01,15.87,15.69,13.5,506909200.0
2013-05-02,15.78,15.91,13.69,421828400.0
2013-05-03,16.12,16.07,13.82,361300800.0
2013-05-06,16.28,16.45,14.15,496641600.0
2013-05-07,16.61,16.38,14.09,483753200.0
2013-05-08,16.39,16.57,14.25,472598000.0
2013-05-09,16.42,16.31,14.13,398487600.0
2013-05-10,16.36,16.18,14.01,334852000.0
2013-05-13,16.13,16.24,14.06,316948800.0
2013-05-14,16.21,15.85,13.73,447118000.0
2013-05-15,15.68,15.32,13.26,741613600.0
2013-05-16,15.12,15.52,13.44,603204000.0
2013-05-17,15.68,15.47,13.4,427904400.0
2013-05-20,15.43,15.82,13.7,451578400.0
2013-05-21,15.65,15.7,13.6,456022000.0
2013-05-22,15.86,15.76,13.65,443038400.0
2013-05-23,15.57,15.79,13.67,353021200.0
2013-05-24,15.74,15.9,13.77,276166800.0
2013-05-28,16.07,15.77,13.65,386145200.0
2013-05-29,15.71,15.89,13.76,330576400.0
2013-05-30,15.92,16.13,13.96,353519600.0
2013-05-31,16.16,16.06,13.91,384302800.0
2013-06-03,16.1,16.1,13.94,372352400.0
2013-06-04,16.19,16.05,13.89,292728800.0
2013-06-05,15.92,15.9,13.76,290589600.0
2013-06-06,15.91,15.66,13.56,416934000.0
2013-06-07,15.59,15.78,13.66,404535600.0
2013-06-10,15.88,15.67,13.57,450153200.0
2013-06-11,15.56,15.63,13.53,286112400.0
2013-06-12,15.7,15.44,13.37,265227200.0
2013-06-13,15.45,15.57,13.48,285832400.0
2013-06-14,15.55,15.36,13.3,271866000.0
2013-06-17,15.41,15.43,13.36,259414400.0
2013-06-18,15.41,15.42,13.35,195025600.0
2013-06-19,15.41,15.11,13.08,310940000.0
2013-06-20,14.98,14.89,12.89,357310800.0
2013-06-21,14.95,14.77,12.79,481118400.0
2013-06-24,14.55,14.38,12.45,480746000.0
2013-06-25,14.49,14.38,12.45,314162800.0
2013-06-26,14.43,14.22,12.31,367724000.0
2013-06-27,14.26,14.06,12.18,337246000.0
2013-06-28,13.98,14.16,12.26,578516400.0
2013-07-01,14.38,14.61,12.65,391053600.0
2013-07-02,14.64,14.95,12.94,469865200.0
2013-07-03,15.03,15.03,13.01,240928800.0
2013-07-05,15.01,14.91,12.91,274024800.0
2013-07-08,15.0,14.82,12.84,298138400.0
2013-07-09,14.77,15.08,13.06,352584400.0
2013-07-10,14.99,15.03,13.01,281405600.0
2013-07-11,15.11,15.26,13.21,326292400.0
2013-07-12,15.27,15.23,13.19,279563200.0
2013-07-15,15.18,15.27,13.22,241917200.0
2013-07-16,15.23,15.36,13.3,216538000.0
2013-07-17,15.35,15.37,13.31,198990400.0
2013-07-18,15.48,15.42,13.35,218878800.0
2013-07-19,15.47,15.18,13.14,268721600.0
2013-07-22,15.34,15.23,13.18,207796400.0
2013-07-23,15.21,14.96,12.96,369395600.0
2013-07-24,15.68,15.73,13.62,591936800.0
2013-07-25,15.74,15.66,13.56,229493600.0
2013-07-26,15.55,15.75,13.64,200152400.0
2013-07-29,15.74,15.99,13.85,248057600.0
2013-07-30,16.07,16.19,14.02,309422400.0
2013-07-31,16.25,16.16,13.99,322957600.0
2013-08-01,16.28,16.31,14.12,206250800.0
2013-08-02,16.36,16.52,14.3,274783600.0
2013-08-05,16.6,16.77,14.52,318855600.0
2013-08-06,16.72,16.62,14.39,334857600.0
2013-08-07,16.56,16.61,14.38,298858000.0
2013-08-08,16.57,16.46,14.35,255777200.0
2013-08-09,16.38,16.23,14.15,266865200.0
2013-08-12,16.32,16.69,14.55,364434000.0
2013-08-13,16.82,17.48,15.24,881941200.0
2013-08-14,17.78,17.8,15.52,756372400.0
2013-08-15,17.73,17.78,15.5,490294000.0
2013-08-16,17.86,17.94,15.64,362306000.0
2013-08-19,18.01,18.13,15.81,510518400.0
2013-08-20,18.2,17.9,15.6,358688400.0
2013-08-21,17.99,17.94,15.64,335879600.0
2013-08-22,18.03,17.96,15.66,244207600.0
2013-08-23,17.97,17.89,15.6,222731600.0
2013-08-26,17.88,17.96,15.66,330965600.0
2013-08-27,17.79,17.45,15.21,424188800.0
2013-08-28,17.36,17.53,15.28,307608000.0
2013-08-29,17.56,17.56,15.31,239657600.0
2013-08-30,17.57,17.4,15.17,272297200.0
2013-09-03,17.61,17.45,15.21,331928800.0
2013-09-04,17.84,17.81,15.52,345032800.0
2013-09-05,17.87,17.69,15.42,236367600.0
2013-09-06,17.8,17.79,15.51,359525600.0
2013-09-09,18.04,18.08,15.76,340687200.0
2013-09-10,18.08,17.67,15.4,743195600.0
2013-09-11,16.68,16.7,14.56,898696400.0
2013-09-12,16.73,16.88,14.71,404051200.0
2013-09-13,16.76,16.6,14.47,298835600.0
2013-09-16,16.46,16.08,14.01,543706800.0
2013-09-17,16.0,16.26,14.17,399380800.0
2013-09-18,16.54,16.6,14.46,456862000.0
2013-09-19,16.81,16.87,14.7,404541200.0
2013-09-20,17.07,16.69,14.55,699302800.0
2013-09-23,17.72,17.52,15.27,762106800.0
2013-09-24,17.67,17.47,15.23,364344400.0
2013-09-25,17.47,17.2,14.99,316957200.0
2013-09-26,17.36,17.36,15.14,237221600.0
2013-09-27,17.28,17.24,15.03,228040400.0
2013-09-30,17.04,17.03,14.84,260156400.0
2013-10-01,17.09,17.43,15.19,353883600.0
2013-10-02,17.34,17.48,15.24,289184000.0
2013-10-03,17.52,17.26,15.05,322753200.0
2013-10-04,17.28,17.25,15.04,258868400.0
2013-10-07,17.38,17.42,15.18,312292400.0
2013-10-08,17.5,17.18,14.97,290917200.0
2013-10-09,17.31,17.38,15.15,301725200.0
2013-10-10,17.55,17.49,15.24,278602800.0
2013-10-11,17.39,17.6,15.34,267738800.0
2013-10-14,17.49,17.72,15.44,261898000.0
2013-10-15,17.77,17.81,15.52,320073600.0
2013-10-16,17.89,17.9,15.6,251101200.0
2013-10-17,17.86,18.02,15.7,253593200.0
2013-10-18,18.07,18.17,15.84,290542000.0
2013-10-21,18.28,18.62,16.23,398106800.0
2013-10-22,18.8,18.57,16.18,534063600.0
2013-10-23,18.54,18.75,16.34,313723200.0
2013-10-24,18.75,19.0,16.56,384764800.0
2013-10-25,18.98,18.78,16.37,337792000.0
2013-10-28,18.89,18.92,16.49,550440800.0
2013-10-29,19.15,18.45,16.08,635807200.0
2013-10-30,18.56,18.75,16.34,354163600.0
2013-10-31,18.75,18.67,16.27,275696400.0
2013-11-01,18.72,18.57,16.19,274890000.0
2013-11-04,18.61,18.81,16.4,244627600.0
2013-11-05,18.74,18.77,16.36,265213200.0
2013-11-06,18.72,18.6,16.31,223375600.0
2013-11-07,18.56,18.3,16.05,262620400.0
2013-11-08,18.38,18.59,16.3,279316800.0
2013-11-11,18.57,18.54,16.25,227452400.0
2013-11-12,18.49,18.57,16.28,204276800.0
2013-11-13,18.5,18.59,16.3,197220800.0
2013-11-14,18.67,18.86,16.54,282419200.0
2013-11-15,18.81,18.75,16.44,317920400.0
2013-11-18,18.75,18.52,16.24,244944000.0
2013-11-19,18.54,18.56,16.27,208938800.0
2013-11-20,18.54,18.39,16.12,193916800.0
2013-11-21,18.49,18.61,16.32,262026800.0
2013-11-22,18.55,18.56,16.28,223725600.0
2013-11-25,18.61,18.7,16.4,229311600.0
2013-11-26,18.72,19.05,16.7,401382800.0
2013-11-27,19.15,19.5,17.09,363448400.0
2013-11-29,19.62,19.86,17.41,318127600.0
2013-12-02,19.93,19.69,17.26,472544800.0
2013-12-03,19.94,20.23,17.73,450968000.0
2013-12-04,20.2,20.18,17.69,377809600.0
2013-12-05,20.45,20.28,17.78,447580000.0
2013-12-06,20.21,20.0,17.53,344352400.0
2013-12-09,20.03,20.23,17.74,320493600.0
2013-12-10,20.13,20.2,17.71,278269600.0
2013-12-11,20.25,20.05,17.58,359718800.0
2013-12-12,20.08,20.02,17.55,262290000.0
2013-12-13,20.1,19.8,17.36,332822000.0
2013-12-16,19.82,19.91,17.46,282592800.0
2013-12-17,19.85,19.82,17.38,229902400.0
2013-12-18,19.63,19.67,17.24,565863200.0
2013-12-19,19.63,19.44,17.05,320308800.0
2013-12-20,19.48,19.61,17.19,436413600.0
2013-12-23,20.29,20.36,17.85,501306400.0
2013-12-24,20.35,20.27,17.77,167554800.0
2013-12-26,20.29,20.14,17.66,204008000.0
2013-12-27,20.14,20.0,17.54,225884400.0
2013-12-30,19.91,19.8,17.36,253629600.0
2013-12-31,19.79,20.04,17.57,223084400.0
2014-01-02,19.85,19.75,17.32,234684800.0
2014-01-03,19.75,19.32,16.94,392467600.0
2014-01-06,19.19,19.43,17.03,412610800.0
2014-01-07,19.44,19.29,16.91,317209200.0
2014-01-08,19.24,19.41,17.02,258529600.0
2014-01-09,19.53,19.16,16.8,279148800.0
2014-01-10,19.28,19.03,16.69,304976000.0
2014-01-13,18.93,19.13,16.77,378492800.0
2014-01-14,19.22,19.51,17.11,332561600.0
2014-01-15,19.77,19.91,17.45,391638800.0
2014-01-16,19.82,19.79,17.35,229278000.0
2014-01-17,19.7,19.31,16.93,426739600.0
2014-01-21,19.32,19.61,17.19,328526800.0
2014-01-22,19.68,19.7,17.27,379985200.0
2014-01-23,19.64,19.86,17.41,403239200.0
2014-01-24,19.79,19.5,17.1,429354800.0
2014-01-27,19.65,19.66,17.24,554878800.0
2014-01-28,18.17,18.09,15.86,1065523200.0
2014-01-29,18.0,17.88,15.68,502810000.0
2014-01-30,17.95,17.85,15.65,678501600.0
2014-01-31,17.68,17.88,15.67,464797200.0
2014-02-03,17.95,17.91,15.7,401464000.0
2014-02-04,18.07,18.17,15.93,376681200.0
2014-02-05,18.09,18.31,16.05,328344800.0
2014-02-06,18.22,18.3,16.14,257765200.0
2014-02-07,18.62,18.56,16.37,370280400.0
2014-02-10,18.52,18.89,16.66,345559200.0
2014-02-11,18.95,19.14,16.88,282256800.0
2014-02-12,19.18,19.14,16.88,308100800.0
2014-02-13,19.09,19.44,17.15,307398000.0
2014-02-14,19.37,19.43,17.13,272924400.0
2014-02-18,19.5,19.5,17.2,260251600.0
2014-02-19,19.46,19.19,16.93,313768000.0
2014-02-20,19.04,18.97,16.73,305858000.0
2014-02-21,19.03,18.76,16.54,278784800.0
2014-02-24,18.68,18.84,16.62,288909600.0
2014-02-25,18.91,18.65,16.44,231952000.0
2014-02-26,18.7,18.48,16.3,276217200.0
2014-02-27,18.47,18.85,16.62,301882000.0
2014-02-28,18.9,18.79,16.58,371968800.0
2014-03-03,18.69,18.85,16.62,238781200.0
2014-03-04,18.96,18.97,16.73,259140000.0
2014-03-05,18.96,19.01,16.77,200062800.0
2014-03-06,19.03,18.96,16.72,185488800.0
2014-03-07,18.97,18.94,16.71,220729600.0
2014-03-10,18.87,18.96,16.72,178584000.0
2014-03-11,19.12,19.15,16.89,279224400.0
2014-03-12,19.09,19.16,16.9,199326400.0
2014-03-13,19.19,18.95,16.71,257742800.0
2014-03-14,18.89,18.74,16.53,237199200.0
2014-03-17,18.85,18.81,16.59,199544800.0
2014-03-18,18.78,18.98,16.74,209647200.0
2014-03-19,19.01,18.97,16.73,224756000.0
2014-03-20,18.92,18.88,16.65,208398400.0
2014-03-21,19.0,19.03,16.78,374046400.0
2014-03-24,19.23,19.26,16.98,355700800.0
2014-03-25,19.34,19.46,17.17,282293200.0
2014-03-26,19.52,19.28,17.0,299768000.0
2014-03-27,19.29,19.19,16.93,222031600.0
2014-03-28,19.23,19.17,16.91,200564000.0
2014-03-31,19.26,19.17,16.91,168669200.0
2014-04-01,19.21,19.34,17.06,200760000.0
2014-04-02,19.37,19.38,17.09,180420800.0
2014-04-03,19.34,19.24,16.97,162344000.0
2014-04-04,19.28,18.99,16.75,275251200.0
2014-04-07,18.86,18.7,16.49,289850400.0
2014-04-08,18.76,18.69,16.49,243888400.0
2014-04-09,18.67,18.94,16.7,206169600.0
2014-04-10,18.95,18.7,16.49,239652000.0
2014-04-11,18.54,18.56,16.37,271717600.0
2014-04-14,18.64,18.63,16.43,205674000.0
2014-04-15,18.58,18.5,16.31,266490000.0
2014-04-16,18.5,18.54,16.35,214765600.0
2014-04-17,18.57,18.75,16.53,284334400.0
2014-04-21,18.76,18.97,16.73,182548800.0
2014-04-22,18.87,18.99,16.75,202563200.0
2014-04-23,18.9,18.74,16.53,394940000.0
2014-04-24,20.29,20.28,17.88,759911600.0
2014-04-25,20.16,20.43,18.01,390275200.0
2014-04-28,20.46,21.22,18.71,669485600.0
