date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2026-01-05,23.68,23.32,23.32,245152.0
2026-01-06,23.48,23.6,23.6,251215.0
2026-01-07,23.49,23.25,23.25,233305.0
2026-01-08,23.33,22.82,22.82,118982.0
2026-01-09,23.31,23.3,23.3,140439.0
2026-01-12,23.19,23.66,23.66,210030.0
2026-01-13,23.86,23.91,23.91,227836.0
2026-01-14,23.83,23.8,23.8,300553.0
2026-01-15,24.29,24.14,24.14,373166.0
2026-01-16,24.4,24.62,24.62,384422.0
2026-01-20,24.12,24.24,24.24,363710.0
2026-01-21,24.68,24.61,24.61,447482.0
2026-01-22,25.01,24.57,24.57,825288.0
2026-01-23,24.66,24.39,24.39,273546.0
2026-01-26,24.44,24.24,24.24,167165.0
2026-01-27,24.43,24.86,24.86,190913.0
2026-01-28,25.06,25.35,25.35,434839.0
2026-01-29,25.51,25.26,25.26,283447.0
2026-01-30,24.98,24.55,24.55,170442.0
2026-02-02,24.4,24.64,24.64,187822.0
2026-02-03,24.82,25.07,25.07,168887.0
2026-02-04,25.17,23.89,23.89,584861.0
2026-02-05,23.49,23.38,23.38,395914.0
2026-02-06,23.9,24.8,24.8,489574.0
2026-02-09,24.8,25.5,25.5,389591.0
2026-02-10,25.58,25.23,25.23,174997.0
2026-02-11,26.13,26.04,26.04,345215.0
2026-02-12,26.34,25.53,25.53,410611.0
2026-02-13,25.5,25.71,25.71,365784.0
2026-02-17,25.63,25.93,25.93,323408.0
2026-02-18,26.25,25.87,25.87,382239.0
2026-02-19,25.98,26.21,26.21,324774.0
2026-02-20,26.2,26.15,26.15,272058.0
2026-02-23,26.1,25.98,25.98,590886.0
2026-02-24,26.05,26.73,26.73,392331.0
2026-02-25,26.86,26.85,26.85,499945.0
2026-02-26,26.93,26.59,26.59,498850.0
2026-02-27,26.26,26.2,26.2,438772.0
2026-03-02,25.69,26.56,26.56,287223.0
2026-03-03,25.73,25.55,25.55,463875.0
2026-03-04,25.92,25.89,25.89,375395.0
2026-03-05,25.76,25.34,25.34,594227.0
2026-03-06,25.06,24.6,24.6,311591.0
2026-03-09,24.22,25.6,25.6,452322.0
2026-03-10,25.68,25.84,25.84,362592.0
2026-03-11,26.04,25.9,25.9,168895.0
2026-03-12,25.64,25.47,25.47,202116.0
2026-03-13,25.6,25.13,25.13,148485.0
2026-03-16,25.64,25.69,25.69,256534.0
2026-03-17,25.83,25.82,25.82,179530.0
2026-03-18,25.71,25.7,25.7,191382.0
2026-03-19,25.22,25.88,25.88,393002.0
2026-03-20,25.87,24.77,24.77,270295.0
2026-03-23,25.38,25.35,25.35,336112.0
2026-03-24,25.14,25.85,25.85,251073.0
2026-03-25,26.23,26.21,26.21,304559.0
2026-03-26,25.78,24.95,24.95,529192.0
2026-03-27,24.77,24.79,24.79,296314.0
2026-03-30,25.01,23.84,23.84,506537.0
2026-03-31,24.04,24.96,24.96,318692.0
2026-04-01,25.34,25.4,25.4,722554.0
2026-04-02,24.68,25.44,25.44,155071.0
2026-04-06,25.55,25.44,25.44,176047.0
2026-04-07,25.35,25.55,25.55,258119.0
2026-04-08,26.82,26.74,26.74,411749.0
2026-04-09,26.73,27.24,27.24,768382.0
2026-04-10,27.44,27.65,27.65,450354.0
2026-04-13,27.53,28.04,28.04,531808.0
2026-04-14,28.55,28.73,28.73,629729.0
2026-04-15,28.79,28.67,28.67,356218.0
2026-04-16,28.8,28.57,28.57,370615.0
2026-04-17,29.0,29.16,29.16,568778.0
2026-04-20,29.05,29.33,29.33,497156.0
2026-04-21,29.54,29.02,29.02,552689.0
2026-04-22,29.72,30.15,30.15,733531.0
2026-04-23,30.3,30.6,30.6,774187.0
2026-04-24,31.07,30.75,30.75,862028.0
2026-04-27,30.89,30.69,30.69,730220.0
2026-04-28,29.84,29.7,29.7,707701.0
2026-04-29,30.17,29.85,29.85,782730.0
2026-04-30,30.48,31.28,31.28,972898.0
2026-05-01,31.51,31.38,31.38,767024.0
2026-05-04,31.57,31.54,31.54,1917013.0
2026-05-05,31.99,32.21,32.21,1337404.0
2026-05-06,32.93,33.31,33.31,2158610.0
2026-05-07,33.2,31.89,31.89,1536900.0
2026-05-08,32.53,32.16,32.16,1856429.0
2026-05-11,32.2,33.24,33.24,2083634.0
2026-05-12,32.73,32.63,32.63,2034574.0
2026-05-13,33.04,32.91,32.91,1622268.0
2026-05-14,32.97,33.47,33.47,1261603.0
2026-05-15,32.54,32.26,32.26,1092177.0
2026-05-18,32.42,31.01,31.01,1945199.0
2026-05-19,30.39,30.5,30.5,1312222.0
2026-05-20,31.0,31.26,31.26,1036116.0
2026-05-21,31.32,32.09,32.09,1031770.0
2026-05-22,32.54,32.36,32.36,1031705.0
2026-05-26,33.23,33.15,33.15,1538553.0
2026-05-27,33.3,33.03,33.03,1666617.0
2026-05-28,32.93,33.07,33.07,1027148.0
2026-05-29,33.07,32.83,32.83,1147894
2026-06-01,32.61,32.83,32.83,1352803
2026-06-02,33.24,34.01,34.01,1443848
2026-06-03,34.15,33.63,33.63,1750586
2026-06-04,32.65,33.38,33.38,1418399
