date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2024-03-18,0.2754,0.2517,0.2517,123273772
2024-03-19,0.2517,0.2302,0.2302,170228493
2024-03-20,0.2302,0.2505,0.2505,114745691
2024-03-21,0.2505,0.2485,0.2485,91301325
2024-03-22,0.2485,0.2404,0.2404,73062265
2024-03-23,0.2404,0.2484,0.2484,53626465
2024-03-24,0.2484,0.2561,0.2561,59524402
2024-03-25,0.2561,0.2682,0.2682,90614575
2024-03-26,0.2682,0.2801,0.2801,113409705
2024-03-27,0.2801,0.2707,0.2707,128153319
2024-03-28,0.2707,0.2726,0.2726,77855373
2024-03-29,0.2726,0.2685,0.2685,98156113
2024-03-30,0.2685,0.2602,0.2602,59093018
2024-03-31,0.2602,0.2679,0.2679,43764486
2024-04-01,0.2679,0.2517,0.2517,87047790
2024-04-02,0.2517,0.2341,0.2341,89597167
2024-04-03,0.2341,0.2326,0.2326,64861546
2024-04-04,0.2326,0.2372,0.2372,63927842
2024-04-05,0.2372,0.2298,0.2298,65427151
2024-04-06,0.2298,0.2339,0.2339,29024108
2024-04-07,0.2339,0.2354,0.2354,35572315
2024-04-08,0.2354,0.2455,0.2455,55234800
2024-04-09,0.2455,0.2318,0.2318,56425210
2024-04-10,0.2318,0.2305,0.2305,61780036
2024-04-11,0.2305,0.228,0.228,46521040
2024-04-12,0.228,0.1941,0.1941,164924426
2024-04-13,0.1941,0.1684,0.1684,263708736
2024-04-14,0.1684,0.1795,0.1795,138407904
2024-04-15,0.1795,0.1703,0.1703,101253861
2024-04-16,0.1703,0.1743,0.1743,83995189
2024-04-17,0.1743,0.1685,0.1685,65314337
2024-04-18,0.1685,0.1747,0.1747,53997837
2024-04-19,0.1747,0.1751,0.1751,76797388
2024-04-20,0.1751,0.1916,0.1916,49262364
2024-04-21,0.1916,0.1874,0.1874,39829154
2024-04-22,0.1874,0.1954,0.1954,49580988
2024-04-23,0.1954,0.1938,0.1938,50924298
2024-04-24,0.1938,0.2118,0.2118,673056354
2024-04-25,0.2118,0.2004,0.2004,146553179
2024-04-26,0.2004,0.1978,0.1978,149207310
2024-04-27,0.1978,0.1984,0.1984,91847295
2024-04-28,0.1984,0.193,0.193,48984766
2024-04-29,0.193,0.1907,0.1907,70912831
2024-04-30,0.1907,0.178,0.178,86377927
2024-05-01,0.178,0.1807,0.1807,108345574
2024-05-02,0.1807,0.1813,0.1813,57425956
2024-05-03,0.1813,0.192,0.192,51707267
2024-05-04,0.192,0.1928,0.1928,39991569
2024-05-05,0.1928,0.1966,0.1966,52737076
2024-05-06,0.1966,0.194,0.194,64732662
2024-05-07,0.194,0.1908,0.1908,52102355
2024-05-08,0.1908,0.1872,0.1872,58821932
2024-05-09,0.1872,0.1935,0.1935,43871686
2024-05-10,0.1935,0.1833,0.1833,50362768
2024-05-11,0.1833,0.1787,0.1787,38789706
