date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2026-07-01,668.41,650.91,650.91,16089200
2026-07-02,656.69,603.04,603.04,15071700
2026-07-06,627.76,592.79,592.79,8622800
2026-07-07,545.35,554.5,554.5,12552400
2026-07-08,547.1,570.5,570.5,7535700
2026-07-09,627.31,588.66,588.66,14418000
2026-07-10,578.24,602.5,602.5,6279300
2026-07-13,582.01,575.39,575.39,7561700
2026-07-14,613.9,595.7,595.7,6513900
2026-07-15,610.38,579.43,579.43,8168200
2026-07-16,562.54,560.93,560.93,8406100
2026-07-17,532.4,529.66,529.66,10326500
2026-07-20,545.63,525.7,525.7,6558300
2026-07-21,564.95,564.55,564.55,7636400
2026-07-22,544.31,553.92,553.92,4963500
2026-07-23,548.97,562.8,562.8,5706400
2026-07-24,556.21,536.25,536.25,6262200
2026-07-27,539.54,516.89,516.89,8011400
2026-07-28,490.92,476.46,476.46,9891300
2026-07-29,463.42,436.45,436.45,10166900
2026-07-30,482.48,501.77,501.77,12166300
2026-07-31,531.69,507.67,507.67,7411500
2026-08-03,498.86,518.21,518.21,5978900
2026-08-04,544.65,546.62,546.62,7971702
2026-08-05,544.505,534.24,534.24,5358120
2026-08-06,525.34,527.48,527.48,4173206
2026-08-07,539.59,539.14,539.14,4555017
2026-08-10,555.0,522.12,522.12,7019379
2026-08-11,539.99,525.61,525.61,6973829
2026-08-12,548.0,548.15,548.15,7495034
2026-08-13,548.81,534.54,534.54,12963253
2026-08-14,499.4,507.18,507.18,13132344
2026-08-17,518.0,535.31,535.31,9624104
2026-08-18,507.37,514.33,514.33,8611917
2026-08-19,508.41,496.17,496.17,6571244
2026-08-20,489.58,496.21,496.21,6604475
2026-08-21,503.0,492.32,492.32,5533479
2026-08-24,481.875,484.19,484.19,9268259
2026-08-25,490.06,480.04,480.04,5193985
2026-08-26,479.74,479.76,479.76,5192988
2026-08-27,481.495,482.36,482.36,6290727
2026-08-28,476.26,461.67,461.67,6531804
2026-08-31,462.41,458.39,458.39,6177322
2026-09-01,450.72,441.85,441.85,7150153
2026-09-02,443.5,438.46,438.46,6523059
