date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2021-02-22,88.15,85.37,85.37,36930200
2021-02-23,83.4,84.74,84.74,49720900
2021-02-24,84.33,86.94,86.94,40821200
2021-02-25,86.17,82.42,82.42,54625100
2021-02-26,83.57,84.51,84.51,48962900
2021-03-01,85.37,86.39,86.39,32746200
2021-03-02,86.92,84.13,84.13,34828200
2021-03-03,84.28,80.86,80.86,43541000
2021-03-04,80.23,77.75,77.75,60549400
2021-03-05,79.0,78.52,78.52,58548900
2021-03-08,78.03,73.96,73.96,54563900
2021-03-09,76.73,78.53,78.53,45088300
2021-03-10,79.75,77.52,77.52,45416600
2021-03-11,79.4,81.23,81.23,43583700
2021-03-12,79.73,81.05,81.05,32938000
2021-03-15,81.91,82.5,82.5,39086800
2021-03-16,83.66,82.75,82.75,42971600
2021-03-17,81.75,82.63,82.63,43320600
2021-03-18,81.06,78.12,78.12,51036500
2021-03-19,78.49,79.06,79.06,42283400
2021-03-22,79.99,80.3,80.3,39648600
2021-03-23,80.13,78.38,78.38,40466600
2021-03-24,77.55,76.48,76.48,43753600
2021-03-25,75.85,76.22,76.22,44735100
2021-03-26,76.62,77.41,77.41,49148700
2021-03-29,77.03,77.14,77.14,37144300
2021-03-30,76.47,76.0,76.0,39169300
2021-03-31,76.57,78.5,78.5,43659500
2021-04-01,80.16,81.09,81.09,40182400
2021-04-05,81.74,81.43,81.43,32610600
2021-04-06,81.21,81.44,81.44,29327900
2021-04-07,81.32,82.2,82.2,35590900
2021-04-08,83.32,83.35,83.35,41925300
2021-04-09,82.8,82.76,82.76,32759900
2021-04-12,82.06,78.58,78.58,62098800
2021-04-13,79.67,80.19,80.19,37767300
2021-04-14,79.88,78.55,78.55,34263800
2021-04-15,80.32,83.01,83.01,68942800
2021-04-16,83.3,82.15,82.15,47280600
2021-04-19,82.13,81.11,81.11,39115500
2021-04-20,80.82,79.27,79.27,34977800
2021-04-21,78.99,81.61,81.61,35069000
2021-04-22,81.61,79.06,79.06,38846100
2021-04-23,80.21,82.76,82.76,49194000
2021-04-26,83.35,85.41,85.41,57594500
2021-04-27,85.67,85.21,85.21,61909900
2021-04-28,88.85,84.02,84.02,108920300
2021-04-29,84.7,83.91,83.91,51294500
2021-04-30,82.97,81.62,81.62,46601900
2021-05-03,81.97,78.55,78.55,66323300
2021-05-04,77.95,78.61,78.61,59194300
2021-05-05,79.05,77.83,77.83,42310200
2021-05-06,77.63,77.89,77.89,38661300
2021-05-07,78.75,78.81,78.81,36954200
2021-05-10,78.2,75.99,75.99,45134500
2021-05-11,73.57,76.83,76.83,51008200
2021-05-12,75.09,74.64,74.64,42531400
2021-05-13,75.21,73.09,73.09,48646800
2021-05-14,74.02,74.59,74.59,38355800
2021-05-17,74.22,74.65,74.65,40779200
2021-05-18,74.74,74.44,74.44,31982500
2021-05-19,73.16,76.23,76.23,73966200
2021-05-20,76.81,78.06,78.06,49135000
2021-05-21,78.55,77.17,77.17,40201100
2021-05-24,77.26,77.44,77.44,33194300
2021-05-25,77.33,77.86,77.86,47353100
2021-05-26,77.83,78.34,78.34,30354000
2021-05-27,78.11,78.42,78.42,35883200
2021-05-28,78.66,80.08,80.08,40952700
2021-06-01,81.01,80.81,80.81,43433000
2021-06-02,81.0,81.97,81.97,35203200
2021-06-03,81.13,80.28,80.28,29812000
2021-06-04,80.92,81.58,81.58,26387800
2021-06-07,81.4,81.35,81.35,29006800
2021-06-08,81.87,80.89,80.89,26956600
2021-06-09,81.09,79.96,79.96,28454600
2021-06-10,80.02,81.56,81.56,28606400
2021-06-11,81.61,81.31,81.31,24310900
2021-06-14,81.51,81.55,81.55,27830200
2021-06-15,81.59,80.47,80.47,26194300
2021-06-16,80.75,80.11,80.11,29598300
2021-06-17,80.77,84.56,84.56,77822800
2021-06-18,84.28,84.65,84.65,58736800
2021-06-21,83.49,82.59,82.59,44417100
2021-06-22,82.9,83.58,83.58,32107700
2021-06-23,83.83,83.82,83.82,25992400
2021-06-24,84.39,86.1,86.1,42217700
2021-06-25,86.34,85.62,85.62,27804500
2021-06-28,86.38,87.08,87.08,30262000
2021-06-29,87.41,89.52,89.52,46181000
2021-06-30,90.82,93.93,93.93,70721500
2021-07-01,94.04,93.31,93.31,58059000
2021-07-02,93.28,94.7,94.7,51316700
2021-07-06,94.88,94.47,94.47,44930100
2021-07-07,95.02,90.54,90.54,51498500
2021-07-08,87.86,89.74,89.74,45673500
2021-07-09,90.04,90.9,90.9,35278400
2021-07-12,91.22,90.81,90.81,28526600
2021-07-13,90.48,90.26,90.26,30367600
2021-07-14,90.76,89.05,89.05,28108500
2021-07-15,89.78,86.93,86.93,38944700
2021-07-16,87.32,85.89,85.89,35860700
2021-07-19,84.99,86.58,86.58,39244800
2021-07-20,87.09,87.11,87.11,28089000
2021-07-21,87.25,89.41,89.41,29469900
2021-07-22,89.4,91.21,91.21,33730100
2021-07-23,91.35,92.15,92.15,31708900
2021-07-26,92.01,91.82,91.82,27668500
2021-07-27,92.94,91.03,91.03,69427000
2021-07-28,93.44,97.93,97.93,140561000
2021-07-29,96.58,102.95,102.95,164091800
2021-07-30,101.6,106.19,106.19,125632000
2021-08-02,105.93,108.63,108.63,115581900
2021-08-03,108.15,112.56,112.56,157723100
2021-08-04,114.36,118.77,118.77,225368700
2021-08-05,116.63,112.35,112.35,137860900
2021-08-06,110.55,110.11,110.11,143899000
2021-08-09,111.31,107.58,107.58,115749900
2021-08-10,107.9,106.48,106.48,113012300
2021-08-11,107.6,107.68,107.68,91788300
2021-08-12,107.39,106.5,106.5,60578700
2021-08-13,107.17,110.55,110.55,100135700
2021-08-16,110.2,107.48,107.48,73325400
2021-08-17,106.64,107.56,107.56,74053900
2021-08-18,107.35,103.44,103.44,79387900
2021-08-19,103.32,103.7,103.7,71117500
2021-08-20,104.32,104.65,104.65,55227600
2021-08-23,105.3,108.77,108.77,68835300
2021-08-24,109.45,107.65,107.65,51239300
2021-08-25,108.13,108.3,108.3,45485500
2021-08-26,108.57,107.27,107.27,51442500
2021-08-27,108.01,111.4,111.4,61030000
2021-08-30,112.61,111.32,111.32,56130500
2021-08-31,111.26,110.72,110.72,49339000
2021-09-01,111.3,109.99,109.99,38579600
2021-09-02,110.32,109.2,109.2,40090500
2021-09-03,108.85,109.92,109.92,42605800
2021-09-07,109.96,109.15,109.15,28815200
2021-09-08,108.88,106.17,106.17,43067900
2021-09-09,106.56,106.15,106.15,31857900
2021-09-10,106.99,105.2,105.2,32602300
2021-09-13,105.26,104.8,104.8,37767800
2021-09-14,105.52,105.73,105.73,40629500
2021-09-15,106.0,105.6,105.6,37998900
2021-09-16,104.92,106.22,106.22,38150300
2021-09-17,105.56,103.88,103.88,44528300
2021-09-20,101.58,101.55,101.55,45228400
2021-09-21,102.15,102.82,102.82,35481500
2021-09-22,102.82,104.38,104.38,34126300
2021-09-23,104.89,106.15,106.15,32816700
2021-09-24,105.19,105.8,105.8,26482600
2021-09-27,105.07,108.16,108.16,51944300
2021-09-28,106.84,101.52,101.52,74469000
2021-09-29,102.3,100.35,100.35,52224700
2021-09-30,102.08,102.9,102.9,57636700
2021-10-01,102.6,102.45,102.45,41491600
2021-10-04,101.74,100.34,100.34,41967100
