date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2013-04-29,12.74,12.49,12.49,142340000.0
2013-04-30,12.47,12.69,12.69,84976000.0
2013-05-01,12.69,12.41,12.41,87828000.0
2013-05-02,12.45,12.63,12.63,78724000.0
2013-05-03,12.81,12.9,12.9,70280000.0
2013-05-06,12.9,12.79,12.79,46956000.0
2013-05-07,12.82,12.89,12.89,62674000.0
2013-05-08,12.84,12.93,12.93,53540000.0
2013-05-09,12.94,13.01,13.01,55386000.0
2013-05-10,13.04,13.18,13.18,62906000.0
2013-05-13,13.14,13.23,13.23,42990000.0
2013-05-14,13.23,13.42,13.42,54000000.0
2013-05-15,13.35,13.33,13.33,54410000.0
2013-05-16,13.3,13.21,13.21,32870000.0
2013-05-17,13.29,13.49,13.49,50546000.0
2013-05-20,13.45,13.38,13.38,44180000.0
2013-05-21,13.44,13.44,13.44,34824000.0
2013-05-22,13.37,13.15,13.15,66640000.0
2013-05-23,13.02,13.09,13.09,40006000.0
2013-05-24,12.99,13.09,13.09,33926000.0
2013-05-28,13.32,13.36,13.36,69420000.0
2013-05-29,13.27,13.28,13.28,38068000.0
2013-05-30,13.29,13.34,13.34,33350000.0
2013-05-31,13.3,13.46,13.46,67486000.0
2013-06-03,13.45,13.34,13.34,50878000.0
2013-06-04,13.35,13.28,13.28,41772000.0
2013-06-05,13.29,13.36,13.36,70246000.0
2013-06-06,13.39,13.39,13.39,49526000.0
2013-06-07,13.49,13.84,13.84,92652000.0
2013-06-10,13.83,14.05,14.05,61730000.0
2013-06-11,13.8,13.74,13.74,61956000.0
2013-06-12,13.83,13.58,13.58,44778000.0
2013-06-13,13.57,13.79,13.79,52996000.0
2013-06-14,13.75,13.7,13.7,43016000.0
2013-06-17,13.82,13.9,13.9,57680000.0
2013-06-18,13.95,14.09,14.09,42922000.0
2013-06-19,14.06,13.91,13.91,56550000.0
2013-06-20,13.76,13.67,13.67,59680000.0
2013-06-21,13.73,13.67,13.67,84020000.0
2013-06-24,13.56,13.53,13.53,77276000.0
2013-06-25,13.61,13.6,13.6,48992000.0
2013-06-26,13.7,13.88,13.88,60590000.0
2013-06-27,13.96,13.88,13.88,50390000.0
2013-06-28,13.81,13.88,13.88,63866000.0
2013-07-01,13.95,14.1,14.1,57764000.0
2013-07-02,14.05,14.19,14.19,64764000.0
2013-07-03,14.1,14.2,14.2,27460000.0
2013-07-05,14.25,14.29,14.29,39708000.0
2013-07-08,14.32,14.53,14.53,60934000.0
2013-07-09,14.55,14.58,14.58,55512000.0
2013-07-10,14.57,14.62,14.62,36204000.0
2013-07-11,14.75,14.98,14.98,80146000.0
2013-07-12,14.93,15.38,15.38,90786000.0
2013-07-15,15.36,15.33,15.33,44912000.0
2013-07-16,15.36,15.34,15.34,53204000.0
2013-07-17,15.35,15.43,15.43,40594000.0
2013-07-18,15.31,15.21,15.21,61276000.0
2013-07-19,15.22,15.26,15.26,59462000.0
2013-07-22,15.46,15.17,15.17,50414000.0
2013-07-23,15.16,15.05,15.05,39992000.0
2013-07-24,15.15,14.95,14.95,40010000.0
2013-07-25,14.95,15.17,15.17,108116000.0
2013-07-26,14.98,15.6,15.6,176350000.0
2013-07-29,15.55,15.31,15.31,64236000.0
2013-07-30,15.39,15.12,15.12,61068000.0
2013-07-31,15.2,15.06,15.06,37826000.0
2013-08-01,15.15,15.28,15.28,59434000.0
2013-08-02,15.23,15.21,15.21,50052000.0
2013-08-05,15.17,15.05,15.05,44664000.0
2013-08-06,15.03,15.04,15.04,36980000.0
2013-08-07,15.01,14.85,14.85,39220000.0
2013-08-08,14.93,14.79,14.79,46868000.0
2013-08-09,14.78,14.86,14.86,39006000.0
2013-08-12,14.79,14.83,14.83,30090000.0
2013-08-13,14.79,14.7,14.7,46998000.0
2013-08-14,14.71,14.57,14.57,28300000.0
2013-08-15,14.44,14.32,14.32,45228000.0
2013-08-16,14.33,14.24,14.24,48450000.0
2013-08-19,14.26,14.28,14.28,49548000.0
2013-08-20,14.29,14.35,14.35,31726000.0
2013-08-21,14.25,14.23,14.23,36306000.0
2013-08-22,14.24,14.49,14.49,28452000.0
2013-08-23,14.56,14.5,14.5,39238000.0
2013-08-26,14.52,14.31,14.31,34234000.0
2013-08-27,14.19,14.05,14.05,49520000.0
2013-08-28,14.02,14.08,14.08,29142000.0
2013-08-29,14.07,14.2,14.2,31328000.0
2013-08-30,14.23,14.05,14.05,30694000.0
2013-09-03,14.24,14.44,14.44,57952000.0
2013-09-04,14.42,14.68,14.68,48772000.0
2013-09-05,14.68,14.7,14.7,36332000.0
2013-09-06,14.77,14.79,14.79,45840000.0
2013-09-09,14.86,14.99,14.99,32872000.0
2013-09-10,15.03,15.02,15.02,35568000.0
2013-09-11,14.95,14.98,14.98,34852000.0
2013-09-12,14.97,14.94,14.94,32124000.0
2013-09-13,15.01,14.9,14.9,27012000.0
2013-09-16,14.99,14.8,14.8,36168000.0
2013-09-17,14.88,15.21,15.21,45930000.0
2013-09-18,15.2,15.6,15.6,58928000.0
2013-09-19,15.69,15.6,15.6,47018000.0
2013-09-20,15.63,15.82,15.82,106046000.0
2013-09-23,15.7,15.57,15.57,37698000.0
2013-09-24,15.62,15.71,15.71,40672000.0
2013-09-25,15.73,15.63,15.63,40172000.0
2013-09-26,15.69,15.91,15.91,39798000.0
2013-09-27,15.85,15.8,15.8,33150000.0
2013-09-30,15.67,15.63,15.63,32472000.0
2013-10-01,15.71,16.05,16.05,47928000.0
2013-10-02,15.9,16.03,16.03,44348000.0
2013-10-03,16.02,15.74,15.74,53496000.0
2013-10-04,15.76,15.95,15.95,36300000.0
2013-10-07,15.76,15.5,15.5,41664000.0
2013-10-08,15.57,15.16,15.16,63324000.0
2013-10-09,15.17,14.91,14.91,64948000.0
2013-10-10,15.23,15.26,15.26,51102000.0
2013-10-11,15.24,15.54,15.54,43262000.0
2013-10-14,15.46,15.53,15.53,38782000.0
2013-10-15,15.49,15.32,15.32,45222000.0
2013-10-16,15.42,15.52,15.52,43414000.0
2013-10-17,15.35,15.54,15.54,52968000.0
2013-10-18,15.97,16.45,16.45,119396000.0
2013-10-21,16.49,16.32,16.32,50446000.0
2013-10-22,16.39,16.63,16.63,78710000.0
2013-10-23,16.54,16.34,16.34,56364000.0
2013-10-24,16.48,16.61,16.61,117694000.0
2013-10-25,17.93,18.17,18.17,240736000.0
2013-10-28,18.0,17.91,17.91,72716000.0
2013-10-29,17.95,18.14,18.14,43708000.0
2013-10-30,18.13,18.05,18.05,90044000.0
2013-10-31,18.09,18.2,18.2,49336000.0
2013-11-01,18.28,17.95,17.95,66620000.0
2013-11-04,18.01,17.94,17.94,38768000.0
2013-11-05,17.84,17.94,17.94,40142000.0
2013-11-06,18.02,17.81,17.81,45646000.0
2013-11-07,17.79,17.18,17.18,84926000.0
2013-11-08,17.3,17.52,17.52,53138000.0
2013-11-11,17.53,17.72,17.72,45234000.0
2013-11-12,17.65,17.48,17.48,46862000.0
2013-11-13,17.37,17.81,17.81,55466000.0
2013-11-14,17.87,18.37,18.37,83196000.0
2013-11-15,18.38,18.46,18.46,89832000.0
2013-11-18,18.51,18.31,18.31,54748000.0
2013-11-19,18.29,18.25,18.25,38096000.0
2013-11-20,18.38,18.13,18.13,35430000.0
2013-11-21,18.2,18.45,18.45,39292000.0
2013-11-22,18.5,18.62,18.62,59310000.0
2013-11-25,18.69,18.83,18.83,59446000.0
2013-11-26,18.88,19.07,19.07,54488000.0
2013-11-27,19.17,19.34,19.34,45394000.0
2013-11-29,19.45,19.68,19.68,48120000.0
2013-12-02,19.95,19.61,19.61,94280000.0
2013-12-03,19.51,19.23,19.23,74058000.0
2013-12-04,19.17,19.3,19.3,47106000.0
2013-12-05,19.33,19.22,19.22,38130000.0
2013-12-06,19.42,19.35,19.35,39694000.0
2013-12-09,19.41,19.24,19.24,55236000.0
2013-12-10,19.19,19.39,19.39,54736000.0
2013-12-11,19.37,19.11,19.11,49026000.0
2013-12-12,19.06,19.06,19.06,42474000.0
2013-12-13,19.27,19.21,19.21,60500000.0
2013-12-16,19.25,19.45,19.45,45034000.0
2013-12-17,19.53,19.38,19.38,46878000.0
2013-12-18,19.46,19.8,19.8,69782000.0
2013-12-19,19.71,19.76,19.76,48544000.0
2013-12-20,19.83,20.11,20.11,100678000.0
2013-12-23,20.18,20.15,20.15,53190000.0
2013-12-24,20.13,19.96,19.96,27608000.0
2013-12-26,20.09,20.22,20.22,37370000.0
2013-12-27,20.23,19.9,19.9,39738000.0
2013-12-30,19.97,19.67,19.67,49742000.0
2013-12-31,19.73,19.94,19.94,39930000.0
2014-01-02,19.94,19.9,19.9,42756000.0
2014-01-03,19.91,19.82,19.82,44204000.0
2014-01-06,19.79,19.68,19.68,63412000.0
2014-01-07,19.75,19.9,19.9,38320000.0
2014-01-08,19.92,20.1,20.1,46330000.0
2014-01-09,20.19,20.05,20.05,42060000.0
2014-01-10,20.13,19.88,19.88,53590000.0
2014-01-13,19.9,19.55,19.55,56898000.0
2014-01-14,19.61,19.88,19.88,46802000.0
2014-01-15,19.95,19.79,19.79,53566000.0
2014-01-16,19.68,19.79,19.79,52024000.0
2014-01-17,19.71,19.98,19.98,90102000.0
2014-01-21,20.15,20.35,20.35,62442000.0
2014-01-22,20.4,20.23,20.23,41210000.0
2014-01-23,20.05,19.99,19.99,60508000.0
2014-01-24,19.91,19.38,19.38,89168000.0
2014-01-27,19.52,19.31,19.31,78736000.0
2014-01-28,19.37,19.72,19.72,57890000.0
2014-01-29,19.61,19.21,19.21,67646000.0
2014-01-30,19.69,20.15,20.15,209478000.0
2014-01-31,18.59,17.93,17.93,323096000.0
2014-02-03,17.95,17.31,17.31,205616000.0
2014-02-04,17.48,17.4,17.4,96258000.0
2014-02-05,17.3,17.32,17.32,88708000.0
2014-02-06,17.37,17.73,17.73,66714000.0
2014-02-07,17.95,18.05,18.05,86610000.0
2014-02-10,18.08,18.04,18.04,68994000.0
2014-02-11,18.09,18.09,18.09,64442000.0
2014-02-12,17.82,17.46,17.46,131754000.0
2014-02-13,17.39,17.86,17.86,83500000.0
2014-02-14,17.97,17.87,17.87,70404000.0
2014-02-18,17.76,17.68,17.68,99960000.0
2014-02-19,17.63,17.37,17.37,83362000.0
2014-02-20,17.44,17.49,17.49,69856000.0
2014-02-21,17.62,17.34,17.34,84200000.0
2014-02-24,17.26,17.59,17.59,72894000.0
2014-02-25,17.65,17.92,17.92,74728000.0
2014-02-26,17.99,17.99,17.99,72442000.0
2014-02-27,17.86,18.01,18.01,62098000.0
2014-02-28,18.03,18.1,18.1,77640000.0
2014-03-03,17.94,17.99,17.99,55966000.0
2014-03-04,18.19,18.19,18.19,54088000.0
2014-03-05,18.21,18.62,18.62,76966000.0
2014-03-06,18.7,18.61,18.61,58532000.0
2014-03-07,18.73,18.6,18.6,45596000.0
2014-03-10,18.63,18.53,18.53,42116000.0
2014-03-11,18.55,18.44,18.44,44922000.0
2014-03-12,18.32,18.53,18.53,44332000.0
2014-03-13,18.83,18.58,18.58,136580000.0
2014-03-14,18.64,18.69,18.69,88044000.0
2014-03-17,18.79,18.75,18.75,46060000.0
2014-03-18,18.87,18.94,18.94,49670000.0
2014-03-19,18.94,18.66,18.66,52934000.0
2014-03-20,18.53,18.45,18.45,51170000.0
2014-03-21,18.55,18.03,18.03,108282000.0
2014-03-24,18.0,17.59,17.59,97470000.0
2014-03-25,17.7,17.74,17.74,88914000.0
2014-03-26,17.86,17.17,17.17,82414000.0
2014-03-27,17.16,16.92,16.92,115328000.0
2014-03-28,17.0,16.91,16.91,79736000.0
2014-03-31,17.12,16.82,16.82,85950000.0
2014-04-01,16.9,17.15,17.15,72002000.0
2014-04-02,17.3,17.1,17.1,89510000.0
2014-04-03,17.09,16.68,16.68,127986000.0
2014-04-04,16.76,16.15,16.15,250692000.0
2014-04-07,16.05,15.89,15.89,141548000.0
2014-04-08,16.09,16.35,16.35,131552000.0
2014-04-09,16.42,16.59,16.59,101132000.0
2014-04-10,16.53,15.86,15.86,122534000.0
2014-04-11,15.7,15.59,15.59,145750000.0
2014-04-14,15.88,15.8,15.8,85870000.0
2014-04-15,15.84,15.8,15.8,107972000.0
2014-04-16,16.06,16.18,16.18,85698000.0
2014-04-17,15.99,16.25,16.25,85984000.0
2014-04-21,16.2,16.54,16.54,59988000.0
2014-04-22,16.6,16.47,16.47,74232000.0
2014-04-23,16.65,16.23,16.23,72092000.0
2014-04-24,16.48,16.86,16.86,185874000.0
2014-04-25,15.81,15.19,15.19,323604000.0
2014-04-28,15.2,14.83,14.83,289596000.0
2014-04-29,14.82,15.02,15.02,130186000.0
2014-04-30,14.9,15.21,15.21,81772000.0
2014-05-01,15.21,15.39,15.39,86572000.0
2014-05-02,15.52,15.4,15.4,79902000.0
2014-05-05,15.32,15.5,15.5,50398000.0
2014-05-06,15.48,14.87,14.87,93646000.0
2014-05-07,14.78,14.64,14.64,140304000.0
2014-05-08,14.54,14.42,14.42,76964000.0
2014-05-09,14.53,14.61,14.61,81260000.0
2014-05-12,14.72,15.14,15.14,74592000.0
2014-05-13,15.13,15.23,15.23,70198000.0
2014-05-14,15.13,14.88,14.88,66466000.0
2014-05-15,14.9,14.76,14.76,85902000.0
2014-05-16,14.64,14.89,14.89,72736000.0
2014-05-19,14.79,14.84,14.84,45684000.0
2014-05-20,14.85,15.06,15.06,81914000.0
2014-05-21,15.11,15.25,15.25,68176000.0
2014-05-22,15.25,15.25,15.25,51536000.0
2014-05-23,15.27,15.61,15.61,61058000.0
2014-05-27,15.72,15.54,15.54,97242000.0
2014-05-28,15.48,15.51,15.51,54520000.0
2014-05-29,15.52,15.69,15.69,47310000.0
2014-05-30,15.72,15.63,15.63,85204000.0
2014-06-02,15.63,15.44,15.44,44068000.0
2014-06-03,15.29,15.36,15.36,47584000.0
2014-06-04,15.34,15.34,15.34,42142000.0
2014-06-05,15.4,16.18,16.18,155934000.0
2014-06-06,16.25,16.48,16.48,104880000.0
2014-06-09,16.58,16.38,16.38,64244000.0
2014-06-10,16.38,16.62,16.62,73268000.0
2014-06-11,16.8,16.76,16.76,88736000.0
2014-06-12,16.78,16.3,16.3,85526000.0
2014-06-13,16.35,16.31,16.31,55296000.0
2014-06-16,16.24,16.38,16.38,48996000.0
2014-06-17,16.38,16.28,16.28,58482000.0
2014-06-18,16.4,16.72,16.72,128030000.0
2014-06-19,16.76,16.35,16.35,106412000.0
2014-06-20,16.39,16.21,16.21,121080000.0
2014-06-23,16.17,16.36,16.36,52096000.0
2014-06-24,16.38,16.21,16.21,52532000.0
2014-06-25,16.22,16.37,16.37,46556000.0
2014-06-26,16.42,16.28,16.28,53990000.0
2014-06-27,16.29,16.23,16.23,48324000.0
2014-06-30,16.25,16.24,16.24,53426000.0
2014-07-01,16.29,16.62,16.62,63472000.0
2014-07-02,16.66,16.64,16.64,53626000.0
2014-07-03,16.74,16.87,16.87,38886000.0
2014-07-07,16.88,16.68,16.68,42578000.0
2014-07-08,16.66,16.19,16.19,85432000.0
2014-07-09,16.24,16.5,16.5,63322000.0
2014-07-10,16.22,16.4,16.4,53300000.0
2014-07-11,16.74,17.31,17.31,166016000.0
2014-07-14,17.35,17.77,17.77,112198000.0
2014-07-15,17.69,17.72,17.72,83418000.0
2014-07-16,17.78,17.8,17.8,70072000.0
2014-07-17,17.67,17.62,17.62,72720000.0
2014-07-18,17.72,17.93,17.93,68148000.0
2014-07-21,17.91,17.99,17.99,45568000.0
2014-07-22,17.76,18.04,18.04,57778000.0
2014-07-23,17.95,17.91,17.91,53746000.0
2014-07-24,18.0,17.93,17.93,141774000.0
2014-07-25,15.86,16.2,16.2,356930000.0
2014-07-28,16.21,16.02,16.02,118640000.0
2014-07-29,16.1,16.0,16.0,57676000.0
2014-07-30,16.07,16.13,16.13,79380000.0
2014-07-31,16.0,15.65,15.65,103840000.0
2014-08-01,15.68,15.35,15.35,148830000.0
2014-08-04,15.44,15.68,15.68,84018000.0
2014-08-05,15.66,15.62,15.62,57042000.0
2014-08-06,15.54,15.69,15.69,45938000.0
2014-08-07,15.76,15.57,15.57,58712000.0
2014-08-08,15.6,15.84,15.84,54118000.0
2014-08-11,15.92,15.92,15.92,49372000.0
2014-08-12,15.94,15.97,15.97,38316000.0
2014-08-13,16.38,16.31,16.31,98782000.0
2014-08-14,16.39,16.66,16.66,68408000.0
2014-08-15,16.7,16.68,16.68,77934000.0
2014-08-18,16.77,16.73,16.73,49708000.0
2014-08-19,16.74,16.76,16.76,34276000.0
2014-08-20,16.73,16.79,16.79,36210000.0
2014-08-21,16.82,16.65,16.65,39422000.0
2014-08-22,16.65,16.58,16.58,44224000.0
2014-08-25,16.66,16.7,16.7,39154000.0
2014-08-26,16.85,17.09,17.09,73094000.0
2014-08-27,17.1,17.16,17.16,59232000.0
2014-08-28,17.0,17.0,17.0,45054000.0
2014-08-29,17.09,16.95,16.95,38790000.0
2014-09-02,17.0,17.12,17.12,46520000.0
2014-09-03,17.13,16.95,16.95,39874000.0
2014-09-04,17.18,17.3,17.3,79312000.0
2014-09-05,17.32,17.32,17.32,42140000.0
2014-09-08,17.23,17.12,17.12,59106000.0
2014-09-09,17.08,16.49,16.49,92936000.0
2014-09-10,16.72,16.57,16.57,75948000.0
2014-09-11,16.5,16.53,16.53,54404000.0
2014-09-12,16.48,16.56,16.56,68586000.0
2014-09-15,16.55,16.19,16.19,80008000.0
2014-09-16,16.05,16.39,16.39,65198000.0
2014-09-17,16.39,16.2,16.2,82720000.0
2014-09-18,16.27,16.25,16.25,51538000.0
2014-09-19,16.38,16.57,16.57,137724000.0
2014-09-22,16.42,16.23,16.23,62194000.0
2014-09-23,16.12,16.18,16.18,47052000.0
2014-09-24,16.21,16.41,16.41,52844000.0
2014-09-25,16.4,16.1,16.1,58576000.0
2014-09-26,16.03,16.16,16.16,72760000.0
2014-09-29,16.02,16.09,16.09,38492000.0
2014-09-30,16.07,16.12,16.12,52724000.0
2014-10-01,16.1,15.87,15.87,61782000.0
2014-10-02,15.85,15.92,15.92,71078000.0
2014-10-03,16.02,16.14,16.14,60748000.0
2014-10-06,16.17,16.11,16.11,45806000.0
2014-10-07,15.97,15.85,15.85,47308000.0
2014-10-08,15.83,16.14,16.14,69056000.0
2014-10-09,16.07,15.77,15.77,71758000.0
2014-10-10,15.7,15.57,15.57,73638000.0
2014-10-13,15.49,15.32,15.32,87278000.0
2014-10-14,15.4,15.42,15.42,67716000.0
2014-10-15,15.22,15.3,15.3,106878000.0
2014-10-16,14.69,15.14,15.14,94626000.0
2014-10-17,15.36,15.18,15.18,88102000.0
2014-10-20,15.15,15.31,15.31,64690000.0
2014-10-21,15.49,15.77,15.77,71186000.0
2014-10-22,15.77,15.65,15.65,62518000.0
2014-10-23,15.67,15.66,15.66,180764000.0
2014-10-24,14.22,14.35,14.35,396022000.0
2014-10-27,14.28,14.5,14.5,119012000.0
2014-10-28,14.49,14.78,14.78,111452000.0
2014-10-29,14.96,14.71,14.71,97638000.0
2014-10-30,14.7,14.95,14.95,81104000.0
2014-10-31,15.26,15.27,15.27,91014000.0
2014-11-03,15.31,15.29,15.29,64850000.0
