date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2026-06-26,159.94,157.6,157.6,11848300
2026-06-29,158.86,164.1,164.1,8535700
2026-06-30,164.11,169.88,169.88,10281794
2026-07-01,165.555,166.62,166.62,9098193
2026-07-02,166.36,159.99,159.99,9766524
2026-07-06,162.865,173.28,173.28,8509275
2026-07-07,169.1,166.46,166.46,8969200
2026-07-08,166.18,181.05,181.05,11912768
2026-07-09,187.0,184.69,184.69,9932028
2026-07-10,185.297,186.96,186.96,5592511
2026-07-13,186.265,181.15,181.15,9149528
2026-07-14,183.9,182.57,182.57,7566281
