date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2025-11-03,369.9269,360.5295,360.5295,17198900
2025-11-04,356.522,349.9787,349.9787,24047500
2025-11-05,348.9345,356.9794,356.9794,17087600
2025-11-06,358.1031,353.6083,353.6083,19896900
2025-11-07,352.2161,347.4827,347.4827,21903200
2025-11-10,355.9054,356.3927,356.3927,16409000
2025-11-11,356.9695,349.9986,349.9986,16446800
2025-11-12,356.0447,353.2404,353.2404,12190500
2025-11-13,349.6207,338.0853,338.0853,22616600
2025-11-14,329.6227,340.5515,340.5515,18500800
2025-11-17,337.9262,340.7404,340.7404,14799600
2025-11-18,341.2874,338.6024,338.6024,21726800
2025-11-19,338.8112,352.4449,352.4449,21851900
2025-11-20,363.9603,344.8872,344.8872,28867000
2025-11-21,343.2365,338.3041,338.3041,30280300
2025-11-24,345.7921,375.8536,375.8536,47262400
2025-11-25,382.7848,382.8842,382.8842,33507600
2025-11-26,383.4013,395.3544,395.3544,28693000
2025-11-28,397.1245,400.7143,400.7143,13365500
2025-12-01,392.6496,383.9284,383.9284,23252000
2025-12-02,386.146,379.4436,379.4436,22207000
2025-12-03,377.8823,378.4889,378.4889,21336400
2025-12-04,378.5585,378.9066,378.9066,15845900
2025-12-05,384.0179,388.0652,388.0652,24779900
2025-12-08,400.237,398.8647,398.8647,30410600
2025-12-09,396.5278,404.0258,404.0258,24546000
2025-12-10,399.9586,410.6686,410.6686,31531000
2025-12-11,402.5739,404.1053,404.1053,45681600
2025-12-12,377.8425,357.9241,357.9241,95588500
2025-12-15,359.8732,337.9163,337.9163,65894900
2025-12-16,334.1474,339.398,339.398,58061100
2025-12-17,344.6784,324.2031,324.2031,73300900
2025-12-18,334.1275,328.0416,328.0416,54501900
2025-12-19,331.4823,338.4632,338.4632,159095200
2025-12-22,344.76,340.1968,340.1968,28739600
2025-12-23,339.5592,348.0379,348.0379,28232600
2025-12-24,349.4029,348.9346,348.9346,11424400
2025-12-26,349.7715,350.8376,350.8376,15028100
2025-12-29,347.4401,348.1077,348.1077,21946900
2025-12-30,348.6855,348.566,348.566,16633600
2025-12-31,348.4464,344.8297,344.8297,15346100
2026-01-02,351.4852,346.3441,346.3441,25398600
2026-01-05,353.438,342.1596,342.1596,31136000
2026-01-06,342.3389,342.5083,342.5083,27135500
2026-01-07,340.4459,342.2393,342.2393,20249300
2026-01-08,341.5219,331.2597,331.2597,24385200
2026-01-09,336.6798,343.7039,343.7039,22482500
2026-01-12,339.6987,350.9173,350.9173,20949600
2026-01-13,351.5849,353.3085,353.3085,18308000
2026-01-14,347.6892,338.6426,338.6426,30094700
2026-01-15,347.8387,341.761,341.761,22218800
