date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2015-01-02,98.0953,97.493,97.493,12303400
2015-01-05,96.7025,95.0463,95.0463,18337000
2015-01-06,95.2816,97.2295,97.2295,15720400
2015-01-07,98.4247,96.1097,96.1097,11052200
2015-01-08,96.8813,98.8387,98.8387,12942100
2015-01-09,99.0363,96.9472,96.9472,10222200
2015-01-12,97.1166,95.6298,95.6298,7997200
2015-01-13,96.5426,94.8298,94.8298,11294400
2015-01-14,93.4277,93.71,93.71,17808000
2015-01-15,93.7947,90.6328,90.6328,18260100
2015-01-16,90.4257,91.1786,91.1786,13327900
2015-01-20,92.5055,94.1429,94.1429,12105600
2015-01-21,94.811,97.2013,97.2013,15186900
2015-01-22,98.4341,97.8695,97.8695,11433000
2015-01-23,97.8883,97.0319,97.0319,9873800
2015-01-26,98.2459,97.86,97.86,10664900
2015-01-27,96.8249,96.8719,96.8719,15659900
2015-01-28,94.3876,92.6466,92.6466,42144700
2015-01-29,85.1935,84.5159,84.5159,76561400
2015-01-30,84.3183,83.829,83.829,36806900
2015-02-02,85.7581,84.8171,84.8171,18865300
2015-02-03,86.2475,85.2688,85.2688,13512300
2015-02-04,85.6264,84.6947,84.6947,14643600
2015-02-05,84.2995,81.8716,81.8716,28926200
2015-02-06,81.9751,80.6294,80.6294,17632100
2015-02-09,80.7705,80.9305,80.9305,12109500
2015-02-10,81.881,82.1162,82.1162,12043300
2015-02-11,82.4174,80.9305,80.9305,12391900
2015-02-12,80.5541,81.9657,81.9657,15177800
2015-02-13,83.0008,83.8007,83.8007,14665200
2015-02-17,83.5466,81.7304,81.7304,15191700
2015-02-18,81.9657,81.6269,81.6269,7422300
2015-02-19,81.6927,81.768,81.768,7604100
2015-02-20,82.1068,81.5328,81.5328,7821700
2015-02-23,81.4105,80.4318,80.4318,9367900
2015-02-24,80.4882,79.6977,79.6977,15846400
2015-02-25,79.406,81.1093,81.1093,13645700
2015-02-26,81.7963,80.3376,80.3376,8763300
2015-02-27,80.8835,80.1024,80.1024,8377200
2015-03-02,79.9895,79.0484,79.0484,11213400
2015-03-03,78.0603,76.771,76.771,39246100
2015-03-04,75.5383,80.4506,80.4506,36607200
2015-03-05,80.6952,81.0246,81.0246,18514800
2015-03-06,80.6858,79.4248,79.4248,10673700
2015-03-09,79.3778,77.6651,77.6651,17616500
2015-03-10,76.3099,78.0791,78.0791,13817000
2015-03-11,78.1074,77.1569,77.1569,12768700
2015-03-12,77.2604,77.091,77.091,11232000
2015-03-13,76.9781,77.0346,77.0346,12663300
2015-03-16,77.1757,79.0484,79.0484,16905700
2015-03-17,79.0578,79.5189,79.5189,17639000
2015-03-18,78.9261,79.6036,79.6036,35663000
2015-03-19,80.093,80.6858,80.6858,30454700
2015-03-20,81.2411,80.1777,80.1777,21181500
2015-03-23,80.2247,79.2837,79.2837,11184000
2015-03-24,79.3778,78.7002,78.7002,14545100
2015-03-25,78.9919,78.8131,78.8131,13507200
2015-03-26,78.2956,79.2084,79.2084,12208000
2015-03-27,79.7824,79.5942,79.5942,9703800
2015-03-30,80.0177,78.9543,78.9543,10020500
2015-03-31,78.7096,78.3332,78.3332,11812900
2015-04-01,78.4555,77.5051,77.5051,14896400
2015-04-02,77.9944,77.4298,77.4298,19868200
2015-04-06,77.2134,76.9969,76.9969,12810500
2015-04-07,77.1098,77.3639,77.3639,9443000
2015-04-08,78.3897,80.3565,80.3565,26161500
2015-04-09,81.8998,81.0623,81.0623,27800400
2015-04-10,81.5704,79.5942,79.5942,18300300
2015-04-13,80.14,79.3119,79.3119,15797100
2015-04-14,79.6413,79.9895,79.9895,11819000
2015-04-15,80.0647,79.6789,79.6789,12225800
2015-04-16,80.1306,79.1049,79.1049,12048600
2015-04-17,78.1826,77.0722,77.0722,22791800
2015-04-20,77.4016,77.3545,77.3545,13471000
2015-04-21,77.9756,77.5615,77.5615,10056000
2015-04-22,77.9003,77.2134,77.2134,13316900
2015-04-23,77.0534,77.4298,77.4298,11483300
2015-04-24,77.9944,79.5848,79.5848,21058400
2015-04-27,80.4882,79.8954,79.8954,17434200
2015-04-28,80.4976,80.0647,80.0647,11110500
2015-04-29,79.1049,77.5898,77.5898,21098000
2015-04-30,77.3733,76.4981,76.4981,14209700
2015-05-01,76.2535,76.3852,76.3852,17910500
2015-05-04,76.3852,75.8394,75.8394,21551500
2015-05-05,75.6983,74.8513,74.8513,32661900
2015-05-06,74.9548,75.2842,75.2842,24953500
2015-05-07,83.5937,80.9305,80.9305,69448800
2015-05-08,82.6432,81.928,81.928,30140600
2015-05-11,81.5892,81.6081,81.6081,19776900
2015-05-12,81.9186,81.6551,81.6551,16077800
2015-05-13,81.9469,82.3703,82.3703,19015900
2015-05-14,82.5679,83.189,83.189,12087900
2015-05-15,83.2926,83.2455,83.2455,13424600
2015-05-18,82.4456,81.9751,81.9751,13490200
2015-05-19,81.8621,83.0102,83.0102,20727700
2015-05-20,82.9444,85.3534,85.3534,29812300
2015-05-21,85.9651,88.346,88.346,40729400
2015-05-22,88.7224,87.7719,87.7719,22183300
2015-05-26,88.1296,87.0662,87.0662,15674900
2015-05-27,86.7839,87.1415,87.1415,9519300
2015-05-28,86.2851,85.5887,85.5887,14213000
2015-05-29,85.9651,84.0548,84.0548,13893200
2015-06-01,84.7794,85.4287,85.4287,9905900
2015-06-02,85.2123,85.1747,85.1747,9865300
