date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2026-01-05,104.0,103.87,103.87,11384755.0
2026-01-06,105.0,103.05,103.05,11218572.0
2026-01-07,107.65,108.0,108.0,15065589.0
2026-01-08,121.11,121.84,121.84,25328563.0
2026-01-09,122.11,134.07,134.07,15572916.0
2026-01-12,129.7,136.87,136.87,12366797.0
2026-01-13,137.26,139.77,139.77,13052498.0
2026-01-14,139.39,133.46,133.46,10651155.0
2026-01-15,138.49,139.17,139.17,10165663.0
2026-01-16,144.5,149.5,149.5,15929609.0
2026-01-20,144.0,151.75,151.75,16393460.0
2026-01-21,152.8,150.56,150.56,12675376.0
2026-01-22,153.7,145.63,145.63,8307188.0
2026-01-23,144.24,144.89,144.89,7806622.0
2026-01-26,142.0,139.62,139.62,9099070.0
2026-01-27,141.0,152.31,152.31,12586717.0
2026-01-28,154.0,165.39,165.39,12861779.0
2026-01-29,164.0,156.51,156.51,11850355.0
2026-01-30,156.4,151.37,151.37,11489445.0
2026-02-02,151.0,156.13,156.13,9204748.0
2026-02-03,163.16,168.89,168.89,13692949.0
2026-02-04,168.0,147.35,147.35,17407827.0
2026-02-05,141.98,136.6,136.6,14082301.0
2026-02-06,153.27,143.03,143.03,20937041.0
2026-02-09,145.0,155.17,155.17,11387649.0
2026-02-10,152.96,148.7,148.7,9852341.0
2026-02-11,153.5,155.54,155.54,13649350.0
2026-02-12,159.6,139.03,139.03,13284812.0
2026-02-13,136.21,139.74,139.74,8275071.0
2026-02-17,135.2,145.32,145.32,7769147.0
2026-02-18,146.65,157.27,157.27,10069846.0
2026-02-19,154.13,159.0,159.0,8551259.0
2026-02-20,155.83,147.55,147.55,10179341.0
2026-02-23,147.7,160.28,160.28,10049029.0
2026-02-24,157.4,166.2,166.2,11074045.0
2026-02-25,169.33,174.77,174.77,10984599.0
2026-02-26,172.6,168.57,168.57,10828638.0
2026-02-27,164.49,155.67,155.67,11523454.0
2026-03-02,153.41,166.0,166.0,8368946.0
2026-03-03,156.0,153.02,153.02,10771890.0
2026-03-04,155.7,164.78,164.78,9851068.0
2026-03-05,161.0,159.99,159.99,9596322.0
2026-03-06,153.0,135.19,135.19,14852802.0
2026-03-09,134.55,151.32,151.32,12964469.0
2026-03-10,150.8,154.0,154.0,10774570.0
2026-03-11,153.71,159.21,159.21,9360012.0
2026-03-12,158.85,157.17,157.17,9228755.0
2026-03-13,160.18,154.51,154.51,7664433.0
2026-03-16,159.4,153.68,153.68,10967039.0
2026-03-17,152.89,160.05,160.05,6361093.0
2026-03-18,161.43,156.58,156.58,8578986.0
2026-03-19,151.5,166.69,166.69,9643754.0
2026-03-20,167.35,150.12,150.12,15965958.0
2026-03-23,155.99,141.33,141.33,12643441.0
2026-03-24,140.52,145.88,145.88,11845821.0
2026-03-25,147.62,150.22,150.22,7160098.0
2026-03-26,145.0,133.52,133.52,11103368.0
2026-03-27,132.99,133.24,133.24,8421819.0
2026-03-30,133.33,119.51,119.51,13266716.0
2026-03-31,123.44,135.49,135.49,11520073.0
2026-04-01,135.1,132.45,132.45,12365703.0
2026-04-02,124.84,135.63,135.63,5639152.0
2026-04-06,136.18,135.0,135.0,4953928.0
2026-04-07,134.95,135.91,135.91,5799690.0
2026-04-08,149.4,146.78,146.78,10713118.0
2026-04-09,146.88,160.13,160.13,10312421.0
2026-04-10,161.88,166.7,166.7,9105327.0
2026-04-13,164.72,176.67,176.67,9354101.0
2026-04-14,202.78,219.03,219.03,25038729.0
2026-04-15,219.0,213.84,213.84,14200189.0
2026-04-16,213.5,210.06,210.06,8893312.0
2026-04-17,215.69,207.86,207.86,11306205.0
2026-04-20,207.86,218.27,218.27,8765735.0
2026-04-21,221.59,220.91,220.91,12258834.0
2026-04-22,228.88,229.75,229.75,7039632.0
2026-04-23,231.5,237.57,237.57,7716573.0
2026-04-24,240.56,231.17,231.17,6568991.0
2026-04-27,233.62,234.68,234.68,7118310.0
2026-04-28,228.07,226.37,226.37,15273039.0
2026-04-29,276.55,287.97,287.97,19882500.0
2026-04-30,295.73,283.36,283.36,13949502.0
2026-05-01,283.94,290.52,290.52,9534833.0
2026-05-04,297.5,288.64,288.64,9901117.0
2026-05-05,294.01,295.25,295.25,7478238.0
2026-05-06,299.0,285.47,285.47,8437768.0
2026-05-07,284.4,258.64,258.64,10704492.0
2026-05-08,271.22,261.03,261.03,14413746.0
2026-05-11,269.5,283.92,283.92,11493922.0
2026-05-12,276.0,280.69,280.69,7479394.0
2026-05-13,285.72,289.76,289.76,9073786.0
2026-05-14,291.0,303.41,303.41,8049153.0
2026-05-15,286.79,275.95,275.95,10109951.0
2026-05-18,275.66,258.71,258.71,10993020.0
2026-05-19,252.8,261.34,261.34,8562414.0
2026-05-20,269.18,282.31,282.31,10263603.0
2026-05-21,286.95,307.88,307.88,13931600.0
2026-05-22,320.32,302.49,302.49,9523454.0
2026-05-26,315.95,302.4,302.4,8860635.0
2026-05-27,300.75,293.8,293.8,6628432.0
2026-05-28,297.69,289.7,289.7,7762083.0
2026-05-29,280.0,285.0,285.0,16911659
2026-06-01,277.67,273.51,273.51,10358127
2026-06-02,280.39,302.85,302.85,12996729
