date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2015-01-02,82.43,82.65,82.65,2218800
2015-01-05,82.74,82.89,82.89,5820100
2015-01-06,83.03,83.13,83.13,3887600
2015-01-07,83.14,83.18,83.18,2433400
2015-01-08,83.11,83.05,83.05,1873400
2015-01-09,83.01,83.19,83.19,1646100
2015-01-12,83.25,83.3,83.3,4397900
2015-01-13,83.31,83.38,83.38,2223400
2015-01-14,83.64,83.57,83.57,2481200
2015-01-15,83.55,83.94,83.94,4214500
2015-01-16,83.81,83.69,83.69,3631300
2015-01-20,83.7,83.6,83.6,3029500
2015-01-21,83.79,83.44,83.44,2473900
2015-01-22,83.63,83.46,83.46,2157400
2015-01-23,83.64,83.73,83.73,6255000
2015-01-26,83.73,83.63,83.63,7810500
2015-01-27,83.86,83.68,83.68,1154100
2015-01-28,83.64,83.98,83.98,1394600
2015-01-29,83.94,83.89,83.89,1551300
2015-01-30,84.2,84.35,84.35,10474400
2015-02-02,83.95,84.08,84.08,6070500
2015-02-03,83.93,83.82,83.82,1237200
2015-02-04,83.65,83.85,83.85,2945700
2015-02-05,83.69,83.67,83.67,2128200
2015-02-06,83.38,83.13,83.13,2907700
2015-02-09,83.27,83.1,83.1,1384600
2015-02-10,83.0,82.95,82.95,1447900
2015-02-11,83.0,82.95,82.95,1904000
2015-02-12,82.99,82.99,82.99,4662900
2015-02-13,83.03,82.8,82.8,1883000
2015-02-17,82.78,82.47,82.47,5281500
2015-02-18,82.59,82.7,82.7,3813000
2015-02-19,82.74,82.63,82.63,1322700
2015-02-20,82.75,82.65,82.65,3145800
2015-02-23,82.8,82.82,82.82,3952700
2015-02-24,82.82,83.16,83.16,2542200
2015-02-25,83.15,83.24,83.24,4934600
2015-02-26,83.14,83.01,83.01,2187500
2015-02-27,83.03,83.08,83.08,4094400
2015-03-02,82.96,82.65,82.65,2476100
2015-03-03,82.63,82.55,82.55,2648100
2015-03-04,82.6,82.55,82.55,1425400
2015-03-05,82.57,82.6,82.6,1340800
2015-03-06,82.31,82.12,82.12,1580000
2015-03-09,82.28,82.22,82.22,1982300
2015-03-10,82.45,82.54,82.54,3766100
2015-03-11,82.54,82.63,82.63,4829700
2015-03-12,82.87,82.69,82.69,8421500
2015-03-13,82.61,82.61,82.61,2114500
2015-03-16,82.82,82.77,82.77,1203700
2015-03-17,82.78,82.84,82.84,1471300
2015-03-18,82.93,83.35,83.35,5534300
2015-03-19,83.3,83.1,83.1,1208100
2015-03-20,83.15,83.32,83.32,1011200
2015-03-23,83.36,83.36,83.36,1572700
2015-03-24,83.41,83.5,83.5,2300500
2015-03-25,83.6,83.37,83.37,1559900
2015-03-26,83.25,83.1,83.1,2342500
2015-03-27,83.18,83.18,83.18,6542300
2015-03-30,83.3,83.28,83.28,1634800
2015-03-31,83.3,83.37,83.37,1996000
2015-04-01,83.37,83.51,83.51,3132700
2015-04-02,83.54,83.4,83.4,791200
2015-04-06,83.6,83.47,83.47,1768800
