date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2025-10-21,493.7,491.29,491.29,2714500
2025-10-22,491.73,491.81,491.81,3376000
2025-10-23,492.19,490.16,490.16,3063000
2025-10-24,490.91,492.1,492.1,3166800
2025-10-27,491.92,488.07,488.07,6451500
2025-10-28,484.96,481.44,481.44,5029100
2025-10-29,477.32,475.76,475.76,6204500
2025-10-30,474.84,478.52,478.52,4786600
2025-10-31,476.8,477.54,477.54,7146400
2025-11-03,479.51,475.68,475.68,5868100
2025-11-04,475.5,487.66,487.66,7803200
2025-11-05,487.34,488.77,488.77,6551200
2025-11-06,490.0,493.15,493.15,4964700
2025-11-07,494.93,499.06,499.06,6377800
2025-11-10,497.08,496.98,496.98,5084000
2025-11-11,498.59,497.07,497.07,2960200
2025-11-12,497.16,502.4,502.4,5456000
2025-11-13,504.82,513.11,513.11,7340700
2025-11-14,514.7,508.94,508.94,5462500
2025-11-17,510.73,503.26,503.26,5371000
2025-11-18,503.39,504.37,504.37,5457400
2025-11-19,503.69,501.26,501.26,4695000
2025-11-20,501.11,501.12,501.12,5486900
2025-11-21,503.28,504.04,504.04,6059000
2025-11-24,501.9,507.81,507.81,13404500
2025-11-25,508.93,508.57,508.57,4064000
2025-11-26,509.25,511.23,511.23,3686700
2025-11-28,511.89,513.81,513.81,2312200
2025-12-01,513.65,508.55,508.55,3995200
2025-12-02,507.59,506.65,506.65,3378000
2025-12-03,507.52,503.6,503.6,3803200
2025-12-04,504.38,503.23,503.23,3574800
2025-12-05,503.86,504.34,504.34,3463700
2025-12-08,502.1,497.23,497.23,7032200
2025-12-09,497.63,491.43,491.43,4574000
2025-12-10,490.86,490.43,490.43,4558800
2025-12-11,491.83,495.85,495.85,4493400
2025-12-12,496.71,499.52,499.52,4113700
2025-12-15,500.42,506.38,506.38,5173900
2025-12-16,507.05,499.84,499.84,4376700
2025-12-17,499.9,504.27,504.27,4128600
2025-12-18,502.23,503.39,503.39,3646700
2025-12-19,503.05,494.53,494.53,14652800
2025-12-22,496.34,499.95,499.95,4070000
2025-12-23,500.48,500.51,500.51,3680800
2025-12-24,500.29,501.34,501.34,2000200
2025-12-26,500.45,498.3,498.3,2247600
2025-12-29,499.2,501.05,501.05,3056200
2025-12-30,500.98,503.71,503.71,2897100
2025-12-31,503.92,502.65,502.65,3105200
2026-01-02,500.96,496.85,496.85,5876600
2026-01-05,494.94,498.52,498.52,5145300
2026-01-06,496.8,499.05,499.05,4040000
2026-01-07,497.88,496.12,496.12,4445100
2026-01-08,494.97,499.77,499.77,4807700
2026-01-09,498.94,499.1,499.1,3432100
2026-01-12,497.4,498.67,498.67,4209300
2026-01-13,497.62,495.24,495.24,4257600
2026-01-14,494.17,493.15,493.15,5033700
