date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2021-06-21,35641.1445,31676.6934,31676.6934,52809038594
2021-06-22,31622.377,32505.6602,32505.6602,58964353058
2021-06-23,32515.7148,33723.0273,33723.0273,46317108925
2021-06-24,33682.8008,34662.4375,34662.4375,33123368116
2021-06-25,34659.1055,31637.7793,31637.7793,40230904226
2021-06-26,31594.6641,32186.2773,32186.2773,38585385521
2021-06-27,32287.5234,34649.6445,34649.6445,35511640894
2021-06-28,34679.1211,34434.3359,34434.3359,33892523752
2021-06-29,34475.5586,35867.7773,35867.7773,37901460044
2021-06-30,35908.3867,35040.8359,35040.8359,34059036099
2021-07-01,35035.9844,33572.1172,33572.1172,37838957079
2021-07-02,33549.6016,33897.0469,33897.0469,38728974942
2021-07-03,33854.4219,34668.5469,34668.5469,24383958643
2021-07-04,34665.5664,35287.7812,35287.7812,24924307911
2021-07-05,35284.3438,33746.0039,33746.0039,26721554282
2021-07-06,33723.5078,34235.1953,34235.1953,26501259870
2021-07-07,34225.6797,33855.3281,33855.3281,24796027477
2021-07-08,33889.6055,32877.3711,32877.3711,29910396946
2021-07-09,32861.6719,33798.0117,33798.0117,27436021028
2021-07-10,33811.2422,33520.5195,33520.5195,22971873468
2021-07-11,33509.0781,34240.1875,34240.1875,20108729370
2021-07-12,34254.0156,33155.8477,33155.8477,24321499537
2021-07-13,33125.4688,32702.0254,32702.0254,19120856669
2021-07-14,32723.8457,32822.3477,32822.3477,21376531210
2021-07-15,32827.875,31780.7305,31780.7305,21300524237
2021-07-16,31841.5508,31421.5391,31421.5391,23699476918
2021-07-17,31397.3086,31533.0684,31533.0684,18895018942
2021-07-18,31533.8848,31796.8105,31796.8105,18787986667
2021-07-19,31800.0117,30817.832,30817.832,20434789545
2021-07-20,30838.2852,29807.3477,29807.3477,23148267245
2021-07-21,29796.2852,32110.6934,32110.6934,28203024559
2021-07-22,32138.873,32313.1055,32313.1055,19555230518
2021-07-23,32305.959,33581.5508,33581.5508,22552046192
2021-07-24,33593.7305,34292.4453,34292.4453,21664706865
2021-07-25,34290.293,35350.1875,35350.1875,20856685287
2021-07-26,35384.0312,37337.5352,37337.5352,51022126212
2021-07-27,37276.0352,39406.9414,39406.9414,35097370560
2021-07-28,39503.1875,39995.9062,39995.9062,38702404695
2021-07-29,39995.4531,40008.4219,40008.4219,27167146027
2021-07-30,40027.4844,42235.5469,42235.5469,33072782960
2021-07-31,42196.3047,41626.1953,41626.1953,25802845343
2021-08-01,41460.8438,39974.8945,39974.8945,26688438115
2021-08-02,39907.2617,39201.9453,39201.9453,25595265436
2021-08-03,39178.4023,38152.9805,38152.9805,26189830450
2021-08-04,38213.332,39747.5039,39747.5039,25372562724
2021-08-05,39744.5156,40869.5547,40869.5547,35185031017
2021-08-06,40865.8672,42816.5,42816.5,38226483046
2021-08-07,42832.7969,44555.8008,44555.8008,40030862141
2021-08-08,44574.4375,43798.1172,43798.1172,36302664750
2021-08-09,43791.9258,46365.4023,46365.4023,38734079049
2021-08-10,46280.8477,45585.0312,45585.0312,33546019517
2021-08-11,45599.7031,45593.6367,45593.6367,34319709073
2021-08-12,45576.8789,44428.2891,44428.2891,33723620826
2021-08-13,44439.6914,47793.3203,47793.3203,31744259539
2021-08-14,47810.6875,47096.9453,47096.9453,31211354442
2021-08-15,47096.668,47047.0039,47047.0039,30988958446
2021-08-16,47019.9609,46004.4844,46004.4844,32776876610
2021-08-17,45936.457,44695.3594,44695.3594,33451362600
2021-08-18,44686.75,44801.1875,44801.1875,32194123075
2021-08-19,44741.8828,46717.5781,46717.5781,37204312299
2021-08-20,46723.1211,49339.1758,49339.1758,34706867452
2021-08-21,49327.0742,48905.4922,48905.4922,40585205312
2021-08-22,48869.1055,49321.6523,49321.6523,25370975378
2021-08-23,49291.6758,49546.1484,49546.1484,34305053719
2021-08-24,49562.3477,47706.1172,47706.1172,35361168834
2021-08-25,47727.2578,48960.7891,48960.7891,32646349931
2021-08-26,49002.6406,46942.2188,46942.2188,32666549568
2021-08-27,46894.5547,49058.668,49058.668,34511076995
2021-08-28,49072.5859,48902.4023,48902.4023,28568103401
2021-08-29,48911.25,48829.832,48829.832,25889650240
2021-08-30,48834.8516,47054.9844,47054.9844,31847007016
2021-08-31,47024.3398,47166.6875,47166.6875,34730363427
2021-09-01,47099.7734,48847.0273,48847.0273,39139399125
2021-09-02,48807.8477,49327.7227,49327.7227,39508070319
2021-09-03,49288.25,50025.375,50025.375,43206179619
2021-09-04,50009.3242,49944.625,49944.625,37471327794
2021-09-05,49937.8594,51753.4102,51753.4102,30322676319
2021-09-06,51769.0039,52633.5352,52633.5352,38884105426
2021-09-07,52660.4805,46811.1289,46811.1289,65210059683
2021-09-08,46827.7617,46091.3906,46091.3906,49007762488
2021-09-09,45774.7422,46391.4219,46391.4219,38672657013
2021-09-10,46396.6641,44883.9102,44883.9102,39154666597
2021-09-11,44869.8398,45201.457,45201.457,34499835245
2021-09-12,45206.6289,46063.2695,46063.2695,27881980161
2021-09-13,46057.2148,44963.0742,44963.0742,40969943253
2021-09-14,44960.0508,47092.4922,47092.4922,38652152880
2021-09-15,47098.0,48176.3477,48176.3477,30484496466
2021-09-16,48158.9062,47783.3594,47783.3594,31764293754
2021-09-17,47771.0039,47267.5195,47267.5195,28727713711
2021-09-18,47273.5273,48278.3633,48278.3633,28575630451
2021-09-19,48268.8555,47260.2188,47260.2188,26967722648
2021-09-20,47261.4062,42843.8008,42843.8008,43909845642
2021-09-21,43012.2344,40693.6758,40693.6758,48701090088
2021-09-22,40677.9531,43574.5078,43574.5078,38139709246
2021-09-23,43560.2969,44895.0977,44895.0977,34244064430
2021-09-24,44894.3008,42839.75,42839.75,42839345714
2021-09-25,42840.8906,42716.5938,42716.5938,31604717236
2021-09-26,42721.6289,43208.5391,43208.5391,30661222077
2021-09-27,43234.1836,42235.7305,42235.7305,30980029059
2021-09-28,42200.8984,41034.543,41034.543,30214940550
2021-09-29,41064.9844,41564.3633,41564.3633,30602359905
2021-09-30,41551.2695,43790.8945,43790.8945,31141681925
2021-10-01,43816.7422,48116.9414,48116.9414,42850641582
2021-10-02,48137.4688,47711.4883,47711.4883,30614346492
2021-10-03,47680.0273,48199.9531,48199.9531,26638115879
2021-10-04,48208.9062,49112.9023,49112.9023,33383173002
