date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2019-05-02,46.0,65.75,65.75,23119000
2019-05-03,72.0,66.79,66.79,13139400
2019-05-06,62.73,74.79,74.79,8746200
2019-05-07,77.14,79.17,79.17,16532100
2019-05-08,83.61,72.25,72.25,14711800
2019-05-09,70.5,68.27,68.27,6284500
2019-05-10,69.09,66.22,66.22,4888000
2019-05-13,65.46,69.5,69.5,4784500
2019-05-14,72.48,79.68,79.68,7079600
2019-05-15,79.0,86.92,86.92,18356200
2019-05-16,90.1,92.92,92.92,13900300
2019-05-17,92.46,89.35,89.35,10724100
2019-05-20,88.9,86.09,86.09,5189700
2019-05-21,88.03,77.5,77.5,9065100
2019-05-22,77.38,77.63,77.63,3898400
2019-05-23,79.4,82.1,82.1,4331300
2019-05-24,83.92,79.67,79.67,2909500
2019-05-28,83.98,86.0,86.0,6604000
2019-05-29,90.05,97.5,97.5,8372000
2019-05-30,101.897,98.59,98.59,12359800
2019-05-31,100.0,104.12,104.12,7733900
2019-06-03,104.14,96.16,96.16,8027700
2019-06-04,101.25,103.41,103.41,5484900
2019-06-05,105.5,102.6,102.6,4283500
2019-06-06,102.0,99.5,99.5,6484000
2019-06-07,130.0,138.65,138.65,23916700
2019-06-10,155.7,168.1,168.1,24986000
2019-06-11,145.25,126.04,126.04,15516000
2019-06-12,133.99,141.97,141.97,16918600
2019-06-13,141.52,141.39,141.39,9474600
2019-06-14,142.01,151.48,151.48,14964600
2019-06-17,163.18,169.96,169.96,14626700
2019-06-18,200.0,169.89,169.89,23966900
2019-06-19,171.37,169.28,169.28,9452000
2019-06-20,173.0,165.17,165.17,6660500
2019-06-21,153.54,154.13,154.13,7474600
2019-06-24,151.88,140.99,140.99,6538500
2019-06-25,138.5,150.6,150.6,6632500
2019-06-26,160.1,160.48,160.48,6378600
2019-06-27,157.31,162.91,162.91,5731400
2019-06-28,165.3,160.68,160.68,7315300
2019-07-01,161.49,152.58,152.58,4438900
2019-07-02,153.0,149.71,149.71,3267500
2019-07-03,151.0,151.5,151.5,2261000
2019-07-05,150.0,152.63,152.63,2040300
2019-07-08,152.49,156.67,156.67,3615500
2019-07-09,158.73,157.82,157.82,2607700
2019-07-10,159.48,163.51,163.51,3982900
2019-07-11,165.0,174.2,174.2,5469500
2019-07-12,172.37,166.81,166.81,4659900
2019-07-15,168.16,166.53,166.53,2652900
2019-07-16,168.45,172.59,172.59,3969100
2019-07-17,173.08,169.64,169.64,2437300
2019-07-18,169.4,170.34,170.34,1692300
2019-07-19,172.0,176.79,176.79,4256200
2019-07-22,178.5,194.2,194.2,11395400
2019-07-23,199.6,195.48,195.48,10669200
2019-07-24,201.0,202.92,202.92,7168700
2019-07-25,207.0,222.86,222.86,10015800
2019-07-26,235.56,234.9,234.9,16531300
2019-07-29,228.9,222.13,222.13,16047000
2019-07-30,186.34,194.76,194.76,19060400
2019-07-31,195.76,196.51,196.51,11930600
2019-08-01,175.14,176.04,176.04,15083500
2019-08-02,177.6,177.11,177.11,5806900
2019-08-05,173.1,175.94,175.94,5665500
2019-08-06,180.1,161.24,161.24,8407700
2019-08-07,164.0,167.0,167.0,5858000
2019-08-08,168.57,162.7,162.7,5106000
2019-08-09,162.54,164.37,164.37,2756400
2019-08-12,164.53,169.11,169.11,3973800
2019-08-13,169.0,167.29,167.29,3048100
2019-08-14,165.75,162.9,162.9,2246600
2019-08-15,163.0,144.2,144.2,9600100
2019-08-16,144.21,144.77,144.77,5867000
2019-08-19,147.39,144.51,144.51,3840600
2019-08-20,155.0,153.97,153.97,7051800
2019-08-21,155.75,151.95,151.95,3659700
2019-08-22,151.04,150.99,150.99,2930200
2019-08-23,150.0,146.85,146.85,2214300
2019-08-26,153.8,155.13,155.13,3650400
2019-08-27,159.28,157.02,157.02,4423400
2019-08-28,158.28,160.31,160.31,3708100
2019-08-29,161.75,165.48,165.48,3764700
2019-08-30,168.67,167.63,167.63,4145800
2019-09-03,167.63,163.15,163.15,2425400
2019-09-04,165.36,163.68,163.68,2143100
2019-09-05,162.05,160.97,160.97,2281600
2019-09-06,155.84,154.99,154.99,3560600
