date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2021-03-11,63.5,49.25,49.25,91584100
2021-03-12,52.54,48.47,48.47,30521000
2021-03-15,50.13,50.45,50.45,17387800
2021-03-16,50.59,47.13,47.13,14552400
2021-03-17,46.0,43.29,43.29,15251100
2021-03-18,43.55,43.89,43.89,15391100
2021-03-19,43.92,44.89,44.89,14452500
2021-03-22,45.29,44.86,44.86,4984000
2021-03-23,44.67,46.0,46.0,8656800
2021-03-24,46.0,43.79,43.79,8099900
2021-03-25,43.18,43.7,43.7,7532300
2021-03-26,44.04,43.53,43.53,4306800
2021-03-29,44.2,46.01,46.01,5340800
2021-03-30,45.92,48.75,48.75,4874000
2021-03-31,48.83,49.35,49.35,8033100
2021-04-01,49.81,47.31,47.31,4928700
2021-04-05,47.2,45.94,45.94,4607500
2021-04-06,45.7,46.57,46.57,2438700
2021-04-07,46.74,45.33,45.33,3608300
2021-04-08,45.5,45.58,45.58,4568900
2021-04-09,45.36,45.85,45.85,3974800
2021-04-12,45.85,45.22,45.22,3670900
2021-04-13,45.45,47.1,47.1,3570300
2021-04-14,47.0,45.71,45.71,3640700
2021-04-15,46.14,45.8,45.8,3121900
2021-04-16,45.8,45.9,45.9,2955500
2021-04-19,46.0,45.72,45.72,3329100
2021-04-20,45.4,42.62,42.62,8413200
2021-04-21,42.05,41.98,41.98,4004300
2021-04-22,42.5,42.81,42.81,7274800
2021-04-23,42.9,45.56,45.56,4596900
2021-04-26,46.0,45.67,45.67,1949700
2021-04-27,45.83,45.54,45.54,1873100
2021-04-28,45.9,43.71,43.71,2907900
2021-04-29,43.55,42.56,42.56,3217700
2021-04-30,42.56,41.9,41.9,3498700
2021-05-03,42.5,42.06,42.06,2607400
2021-05-04,41.78,41.49,41.49,3665400
2021-05-05,41.76,41.26,41.26,3249500
2021-05-06,41.26,40.23,40.23,3984900
2021-05-07,40.09,38.93,38.93,3080400
2021-05-10,38.93,37.07,37.07,5003100
2021-05-11,36.38,36.25,36.25,5418900
2021-05-12,36.51,35.33,35.33,7087000
2021-05-13,35.98,32.04,32.04,14661500
2021-05-14,32.96,36.43,36.43,11063300
2021-05-17,35.47,35.18,35.18,10345100
2021-05-18,36.46,37.25,37.25,6072800
2021-05-19,35.77,37.06,37.06,6752200
2021-05-20,37.15,38.74,38.74,5928000
2021-05-21,39.35,38.01,38.01,2757000
2021-05-24,39.16,40.5,40.5,6524800
2021-05-25,41.08,40.14,40.14,4784300
2021-05-26,40.2,41.8,41.8,5014000
2021-05-27,41.65,41.0,41.0,3977100
2021-05-28,41.0,40.79,40.79,2304700
2021-06-01,41.2,41.31,41.31,2483600
2021-06-02,41.0,40.84,40.84,2918700
2021-06-03,40.35,39.52,39.52,2210000
2021-06-04,39.52,38.89,38.89,2867900
2021-06-07,38.93,38.58,38.58,2556700
2021-06-08,38.62,38.19,38.19,3295200
2021-06-09,38.1,37.78,37.78,2079400
2021-06-10,37.71,38.06,38.06,2972700
2021-06-11,38.06,38.6,38.6,3465300
2021-06-14,38.8,38.51,38.51,2219700
2021-06-15,38.65,38.82,38.82,3200500
2021-06-16,38.81,38.67,38.67,2964300
2021-06-17,38.34,39.73,39.73,4137400
2021-06-18,39.04,39.41,39.41,3553700
2021-06-21,39.0,39.44,39.44,2835400
2021-06-22,39.18,40.02,40.02,5641600
2021-06-23,40.04,39.64,39.64,5327400
2021-06-24,39.99,38.17,38.17,4148400
2021-06-25,38.5,37.4,37.4,4240300
2021-06-28,37.68,38.25,38.25,4885600
2021-06-29,38.54,42.16,42.16,10531200
2021-06-30,41.7,41.82,41.82,6292400
2021-07-01,42.13,41.52,41.52,2685300
2021-07-02,41.19,40.46,40.46,2931000
2021-07-06,40.61,39.95,39.95,3185100
2021-07-07,40.5,40.03,40.03,3230800
2021-07-08,39.0,40.0,40.0,2496900
2021-07-09,40.9,42.13,42.13,3722300
2021-07-12,42.2,43.08,43.08,3166000
2021-07-13,42.51,44.54,44.54,6926500
2021-07-14,44.33,44.06,44.06,3968600
2021-07-15,43.56,42.25,42.25,5791400
2021-07-16,41.4,40.19,40.19,7221400
2021-07-19,39.45,39.9,39.9,3342400
2021-07-20,40.0,38.83,38.83,3922400
2021-07-21,39.47,39.65,39.65,3144400
2021-07-22,39.67,38.56,38.56,3273800
2021-07-23,39.47,38.61,38.61,3718400
2021-07-26,38.3,37.19,37.19,6039600
2021-07-27,36.66,37.54,37.54,3851600
2021-07-28,38.27,38.39,38.39,3119000
2021-07-29,38.02,37.57,37.57,3684900
2021-07-30,37.25,36.32,36.32,4890500
2021-08-02,36.52,36.74,36.74,4999000
2021-08-03,36.5,38.03,38.03,4856200
2021-08-04,37.94,39.37,39.37,5069500
2021-08-05,38.72,40.06,40.06,3621900
2021-08-06,39.7,38.8,38.8,3807400
2021-08-09,38.4,39.49,39.49,3379600
2021-08-10,39.73,36.7,36.7,7948400
2021-08-11,36.3,37.2,37.2,8563000
2021-08-12,34.25,34.13,34.13,21287700
2021-08-13,34.65,33.87,33.87,41979600
2021-08-16,33.79,33.22,33.22,15174000
2021-08-17,33.03,33.63,33.63,8512800
2021-08-18,33.0,32.37,32.37,13769200
2021-08-19,32.29,31.73,31.73,8626000
2021-08-20,31.8,31.29,31.29,17175700
2021-08-23,31.8,30.55,30.55,14470400
2021-08-24,30.7,31.78,31.78,14771200
2021-08-25,32.0,30.86,30.86,9521500
2021-08-26,30.92,30.93,30.93,10263200
2021-08-27,30.75,29.99,29.99,9171700
2021-08-30,29.99,30.09,30.09,11457800
2021-08-31,30.0,29.96,29.96,6680600
2021-09-01,30.0,31.29,31.29,12248700
2021-09-02,31.38,29.85,29.85,10261500
2021-09-03,30.0,29.65,29.65,11333500
2021-09-07,29.99,32.55,32.55,24625600
2021-09-08,31.63,31.35,31.35,16975600
2021-09-09,31.12,30.25,30.25,7847100
2021-09-10,30.52,29.98,29.98,5875400
2021-09-13,30.1,30.52,30.52,6692800
2021-09-14,30.19,29.87,29.87,29353100
2021-09-15,29.8,29.39,29.39,11843200
2021-09-16,29.32,29.41,29.41,6920300
2021-09-17,29.35,29.72,29.72,12852800
2021-09-20,29.14,29.14,29.14,9159800
2021-09-21,29.21,28.87,28.87,5894700
2021-09-22,28.7,28.45,28.45,7657200
2021-09-23,28.57,29.07,29.07,8867500
2021-09-24,28.78,28.31,28.31,7110300
2021-09-27,28.25,28.79,28.79,8903100
2021-09-28,28.7,28.11,28.11,8531700
2021-09-29,28.22,28.23,28.23,9289200
2021-09-30,28.35,27.85,27.85,7316200
2021-10-01,27.92,27.22,27.22,10389300
