date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2025-07-24,0.9374,0.9493,0.9493,481687546
2025-07-25,0.9493,1.0338,1.0338,685717981
2025-07-26,1.0338,1.0989,1.0989,478148280
2025-07-27,1.099,1.0242,1.0242,444543006
2025-07-28,1.0242,1.0091,1.0091,391824242
2025-07-29,1.0091,0.9879,0.9879,397881961
2025-07-30,0.9879,1.0272,1.0272,484353842
2025-07-31,1.0272,0.9373,0.9373,288628080
2025-08-01,0.9373,0.8813,0.8813,292352234
2025-08-02,0.8813,0.8633,0.8633,191665646
2025-08-03,0.8633,0.9091,0.9091,161953782
2025-08-04,0.9091,0.935,0.935,302902758
2025-08-05,0.935,0.9036,0.9036,305165049
2025-08-06,0.9036,0.9181,0.9181,202933557
2025-08-07,0.9181,0.9472,0.9472,306845568
2025-08-08,0.9473,0.9517,0.9517,368373111
2025-08-09,0.9517,0.987,0.987,282540374
2025-08-10,0.987,0.9746,0.9746,206942150
2025-08-11,0.9746,0.9208,0.9208,334614380
2025-08-12,0.9208,0.9791,0.9791,287908092
2025-08-13,0.9791,1.0405,1.0405,375754797
2025-08-14,1.0405,0.9133,0.9133,378062447
2025-08-15,0.9133,0.8687,0.8687,266941220
2025-08-16,0.8686,0.8661,0.8661,127249290
2025-08-17,0.8661,0.8786,0.8786,196556074
2025-08-18,0.8786,0.8726,0.8726,377372565
2025-08-19,0.8728,0.8201,0.8201,409356384
2025-08-20,0.8201,0.881,0.881,337837208
2025-08-21,0.881,0.859,0.859,226900846
2025-08-22,0.859,0.9357,0.9357,336312230
2025-08-23,0.9357,0.9,0.9,267738234
2025-08-24,0.9,0.9125,0.9125,343472500
2025-08-25,0.9125,0.7824,0.7824,376437088
2025-08-26,0.7824,0.8079,0.8079,196341647
2025-08-27,0.8079,0.808,0.808,152476566
2025-08-28,0.808,0.8044,0.8044,135182137
2025-08-29,0.8044,0.7636,0.7636,168899477
2025-08-30,0.7636,0.7783,0.7783,65888967
2025-08-31,0.7783,0.7579,0.7579,90093853
2025-09-01,0.7579,0.7432,0.7432,136861993
2025-09-02,0.7432,0.7665,0.7665,125107520
2025-09-03,0.7665,0.791,0.791,96808799
2025-09-04,0.791,0.7537,0.7537,107925650
2025-09-05,0.7536,0.7611,0.7611,136204772
2025-09-06,0.7611,0.76,0.76,78580387
2025-09-07,0.76,0.7689,0.7689,106137989
2025-09-08,0.7689,0.7867,0.7867,160297892
2025-09-09,0.7867,0.7774,0.7774,190978197
2025-09-10,0.7774,0.7813,0.7813,151633120
2025-09-11,0.7813,0.8283,0.8283,151947599
