date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2021-02-22,45.237,46.195,46.195,21573500
2021-02-23,46.5723,46.7755,46.7755,19193800
2021-02-24,47.3464,47.9948,47.9948,17020900
2021-02-25,48.3528,46.6884,46.6884,15729800
2021-02-26,46.1562,46.3885,46.3885,14828000
2021-03-01,47.869,46.5046,46.5046,13812900
2021-03-02,46.5433,46.6691,46.6691,11566800
2021-03-03,47.0465,46.7852,46.7852,13642700
2021-03-04,46.7562,45.4402,45.4402,18062500
2021-03-05,45.3918,44.7145,44.7145,20611800
2021-03-08,45.4112,46.3304,46.3304,17273000
2021-03-09,46.4078,46.0788,46.0788,11710100
2021-03-10,46.1079,46.253,46.253,10719300
2021-03-11,46.6497,46.7562,46.7562,11318600
2021-03-12,46.7852,48.2173,48.2173,15891800
2021-03-15,49.214,49.3398,49.3398,19673700
2021-03-16,49.3882,47.7915,47.7915,14281500
2021-03-17,47.4432,48.8076,48.8076,13694400
2021-03-18,48.4592,47.5883,47.5883,13410100
2021-03-19,47.4529,47.4142,47.4142,12123600
2021-03-22,46.9594,46.4175,46.4175,10911100
2021-03-23,45.4983,44.1629,44.1629,13616800
2021-03-24,45.0338,44.1339,44.1339,12120800
2021-03-25,43.3404,45.4886,45.4886,14469100
2021-03-26,45.9627,46.1175,46.1175,12361400
2021-03-29,46.1175,45.7885,45.7885,9824200
2021-03-30,46.1562,47.3174,47.3174,10787500
2021-03-31,47.2206,46.7175,46.7175,9469200
2021-04-01,47.0174,47.2497,47.2497,9570000
2021-04-05,47.9754,48.6237,48.6237,14599900
2021-04-06,49.0592,49.9784,49.9784,14652500
2021-04-07,50.1235,48.5753,48.5753,12244300
2021-04-08,48.1399,48.198,48.198,13546900
2021-04-09,48.198,47.6754,47.6754,9785400
2021-04-12,47.4722,47.24,47.24,11070300
2021-04-13,45.9143,46.6981,46.6981,18287600
2021-04-14,47.4819,46.611,46.611,12520400
2021-04-15,47.2787,45.3047,45.3047,22267900
2021-04-16,45.4789,45.1306,45.1306,12236400
2021-04-19,44.9273,44.6564,44.6564,9579400
2021-04-20,44.0274,43.0114,43.0114,15627800
2021-04-21,42.576,44.221,44.221,16267100
2021-04-22,44.5693,43.205,43.205,17303200
2021-04-23,43.3598,44.3177,44.3177,9162700
2021-04-26,44.9951,45.1015,45.1015,11260000
2021-04-27,45.1499,44.8403,44.8403,8151600
2021-04-28,44.7532,44.937,44.937,7209200
2021-04-29,45.3918,44.879,44.879,8222300
2021-04-30,44.5403,45.4015,45.4015,9175200
2021-05-03,45.6628,45.0628,45.0628,9382600
2021-05-04,44.7532,43.2146,43.2146,14790400
2021-05-05,43.2533,43.7372,43.7372,10700100
2021-05-06,43.6985,43.4759,43.4759,9665700
2021-05-07,43.4178,44.6177,44.6177,11195100
2021-05-10,44.8016,43.9597,43.9597,9054200
2021-05-11,42.8179,43.0792,43.0792,14139100
2021-05-12,42.7115,41.6374,41.6374,12187300
2021-05-13,41.9954,42.547,42.547,11778100
2021-05-14,43.4856,44.8112,44.8112,11537500
2021-05-17,44.5113,45.237,45.237,11077700
2021-05-18,45.4305,45.2176,45.2176,10684000
2021-05-19,44.4242,44.6467,44.6467,11545800
2021-05-20,44.8499,43.9404,43.9404,12341700
2021-05-21,44.221,43.7468,43.7468,9894400
2021-05-24,44.0952,44.6758,44.6758,8409100
2021-05-25,45.8756,45.1596,45.1596,14657000
2021-05-26,45.5273,45.953,45.953,9746200
2021-05-27,46.4465,46.4949,46.4949,8680700
2021-05-28,46.4949,46.1369,46.1369,8370300
2021-06-01,46.5723,46.1562,46.1562,11986200
2021-06-02,46.4465,46.224,46.224,9108600
2021-06-03,45.8272,44.6371,44.6371,11555600
2021-06-04,45.0338,44.4919,44.4919,7699400
2021-06-07,44.5016,44.5887,44.5887,6120200
2021-06-08,45.7305,45.5176,45.5176,10714100
2021-06-09,45.8176,45.0144,45.0144,6741200
2021-06-10,45.6724,44.7822,44.7822,9780800
2021-06-11,44.579,44.9951,44.9951,8216100
2021-06-14,44.8306,44.4145,44.4145,11184200
2021-06-15,44.4242,44.0565,44.0565,7898500
2021-06-16,44.0952,44.0468,44.0468,8565500
2021-06-17,44.0565,43.1275,43.1275,10144600
2021-06-18,43.0018,43.5049,43.5049,15219300
2021-06-21,43.5823,44.2887,44.2887,9861400
2021-06-22,44.2887,43.9016,43.9016,8499800
2021-06-23,43.892,43.8049,43.8049,7406100
2021-06-24,44.0952,43.4565,43.4565,9300300
2021-06-25,43.4662,42.9921,42.9921,23930400
2021-06-28,42.6728,41.7245,41.7245,17441500
2021-06-29,41.6084,41.4826,41.4826,9477800
2021-06-30,41.4439,41.8599,41.8599,7845500
2021-07-01,42.0922,42.7985,42.7985,9873800
2021-07-02,42.6631,42.7211,42.7211,5759900
2021-07-06,42.876,41.8406,41.8406,7881000
2021-07-07,41.56,41.1632,41.1632,11858300
2021-07-08,40.3698,40.7085,40.7085,10363900
2021-07-09,41.0955,41.5309,41.5309,7707100
2021-07-12,40.9987,41.4632,41.4632,10626000
2021-07-13,40.931,39.9924,39.9924,14610400
2021-07-14,40.1859,39.3634,39.3634,31085700
2021-07-15,39.8569,40.0117,40.0117,20896300
2021-07-16,40.4762,38.7635,38.7635,16726600
2021-07-19,37.0314,37.312,37.312,27073800
2021-07-20,37.3798,39.3441,39.3441,17690600
2021-07-21,39.6828,40.2633,40.2633,19145300
2021-07-22,40.0021,39.7311,39.7311,10850600
2021-07-23,39.9827,39.1022,39.1022,10101600
2021-07-26,39.0344,40.3214,40.3214,10014900
2021-07-27,40.0214,39.6344,39.6344,10508200
2021-07-28,40.0311,39.9634,39.9634,7538600
2021-07-29,40.0988,39.8956,39.8956,8357400
2021-07-30,39.3344,38.6087,38.6087,12202300
2021-08-02,38.7441,38.1732,38.1732,11084800
2021-08-03,38.2216,38.4829,38.4829,14670600
2021-08-04,37.883,37.1088,37.1088,23023700
2021-08-05,37.2443,38.6958,38.6958,15652400
2021-08-06,39.228,39.0151,39.0151,11716100
2021-08-09,38.7248,38.0184,38.0184,10985000
2021-08-10,38.0765,39.1506,39.1506,13745300
2021-08-11,38.7054,39.9634,39.9634,12452000
2021-08-12,39.6731,39.2183,39.2183,9802100
2021-08-13,39.0054,38.6087,38.6087,7211800
2021-08-16,38.1733,38.6377,38.6377,10923400
2021-08-17,37.9797,37.5249,37.5249,11442000
2021-08-18,37.4378,37.3991,37.3991,8612300
2021-08-19,37.1863,36.7024,36.7024,12294000
2021-08-20,36.7605,36.8863,36.8863,8213100
2021-08-23,37.5346,37.941,37.941,8584700
2021-08-24,38.57,39.2183,39.2183,10805000
2021-08-25,39.2764,39.9634,39.9634,12455900
2021-08-26,39.7795,39.4505,39.4505,10032900
2021-08-27,39.5279,40.1763,40.1763,7936100
2021-08-30,40.3988,38.6184,38.6184,11882100
2021-08-31,38.4442,39.1312,39.1312,8627200
2021-09-01,39.257,39.0925,39.0925,8434600
2021-09-02,39.1409,39.4989,39.4989,9345500
2021-09-03,39.4796,38.9474,38.9474,6644300
2021-09-07,38.8796,39.0441,39.0441,8233900
2021-09-08,39.0925,38.3668,38.3668,7156100
2021-09-09,38.3377,39.7602,39.7602,15509400
2021-09-10,39.7215,38.0862,38.0862,12501200
2021-09-13,38.4152,38.8796,38.8796,11556300
2021-09-14,38.5506,38.1636,38.1636,8837700
2021-09-15,37.9797,38.3571,38.3571,8175800
2021-09-16,38.5797,38.9183,38.9183,9485200
2021-09-17,39.2376,38.8119,38.8119,11011500
2021-09-20,39.2376,39.4602,39.4602,16633900
2021-09-21,39.7215,39.0538,39.0538,11837600
2021-09-22,39.3634,40.244,40.244,11599300
2021-09-23,40.544,41.2116,41.2116,12651000
2021-09-24,41.4535,42.1212,42.1212,13478500
2021-09-27,42.4792,42.3631,42.3631,14467500
2021-09-28,42.247,42.0341,42.0341,9434700
2021-09-29,42.276,41.9567,41.9567,9141100
2021-09-30,41.6664,41.231,41.231,9789200
2021-10-01,42.5276,43.9113,43.9113,19205700
2021-10-04,44.3081,43.5049,43.5049,13342500
2021-10-05,43.534,43.292,43.292,9596000
2021-10-06,42.2954,42.5953,42.5953,10145800
2021-10-07,43.0792,42.2663,42.2663,8881200
2021-10-08,42.3728,41.9761,41.9761,7340600
2021-10-11,41.5987,41.7922,41.7922,9085700
2021-10-12,41.6471,42.1309,42.1309,10515200
2021-10-13,41.3568,39.7021,39.7021,28236900
2021-10-14,39.8473,39.8666,39.8666,16285400
2021-10-15,40.5343,39.6634,39.6634,13860300
2021-10-18,39.3538,39.6828,39.6828,10140200
2021-10-19,39.7021,39.1409,39.1409,11314400
2021-10-20,38.8506,38.9957,38.9957,15162600
2021-10-21,39.1893,39.0925,39.0925,10694400
2021-10-22,38.7151,38.4539,38.4539,9461900
2021-10-25,38.5119,38.2313,38.2313,9090500
2021-10-26,38.6184,38.4248,38.4248,8951200
2021-10-27,38.5506,37.8055,37.8055,8341800
2021-10-28,37.8733,37.8829,37.8829,7416000
2021-10-29,37.7959,37.8636,37.8636,9343800
2021-11-01,37.883,39.1119,39.1119,11401300
2021-11-02,38.9377,39.0828,39.0828,7611200
2021-11-03,38.9861,39.9053,39.9053,10010600
2021-11-04,40.1182,39.6634,39.6634,9990300
2021-11-05,42.1309,42.8566,42.8566,23651200
2021-11-08,43.5436,43.205,43.205,15006700
2021-11-09,42.9921,43.0888,43.0888,9359100
2021-11-10,42.3825,42.2954,42.2954,8698700
2021-11-11,42.3631,42.0438,42.0438,6370700
2021-11-12,42.0922,40.8536,40.8536,10038900
2021-11-15,41.26,41.0084,41.0084,6938400
2021-11-16,40.7375,39.7118,39.7118,11055500
2021-11-17,39.6537,39.3925,39.3925,9025300
2021-11-18,39.4312,38.8216,38.8216,11615800
2021-11-19,38.4829,38.4055,38.4055,15033400
2021-11-22,38.5893,38.4829,38.4829,11991400
2021-11-23,39.0344,38.2507,38.2507,11074300
2021-11-24,37.912,38.4055,38.4055,7580500
2021-11-26,35.5606,35.2026,35.2026,38052100
2021-11-29,35.8219,35.0671,35.0671,21269600
2021-11-30,34.5736,35.0284,35.0284,20442900
2021-12-01,35.6767,32.4448,32.4448,34616800
2021-12-02,33.2964,35.4542,35.4542,36044800
2021-12-03,35.2994,34.8155,34.8155,25510200
2021-12-06,36.0444,36.9056,36.9056,23060500
2021-12-07,37.3508,36.8089,36.8089,14593500
2021-12-08,37.254,37.6217,37.6217,16355500
2021-12-09,36.9831,37.254,37.254,10427800
2021-12-10,37.1766,36.9443,36.9443,12028500
2021-12-13,36.1509,35.6767,35.6767,12244800
2021-12-14,35.3671,35.3477,35.3477,12638700
2021-12-15,35.3477,35.4252,35.4252,13179900
2021-12-16,36.3734,34.6414,34.6414,19944400
2021-12-17,34.8736,35.3768,35.3768,18115500
2021-12-20,34.3995,35.1929,35.1929,17475600
2021-12-21,35.638,37.2733,37.2733,17209900
2021-12-22,37.2443,37.8636,37.8636,11719500
2021-12-23,38.4345,38.0281,38.0281,8478100
2021-12-27,37.0218,37.7378,37.7378,10897600
2021-12-28,37.5249,38.3474,38.3474,9974200
2021-12-29,38.0571,37.8926,37.8926,7311800
2021-12-30,37.7959,37.7765,37.7765,8055600
2021-12-31,37.7862,37.8152,37.8152,7166700
2022-01-03,38.5022,38.9861,38.9861,12529800
2022-01-04,39.6441,39.2763,39.2763,12076300
2022-01-05,39.6537,38.9764,38.9764,11214700
2022-01-06,39.4989,38.8119,38.8119,9304100
2022-01-07,39.4021,40.1666,40.1666,13941600
2022-01-10,40.244,39.3151,39.3151,13086400
2022-01-11,39.2667,39.8956,39.8956,11415300
2022-01-12,39.915,39.2957,39.2957,12522300
2022-01-13,39.7505,40.1279,40.1279,23251900
2022-01-14,39.4699,39.0054,39.0054,17141100
2022-01-18,38.6087,38.2603,38.2603,15088100
2022-01-19,38.2216,37.5636,37.5636,10958600
2022-01-20,37.7862,37.583,37.583,12935700
2022-01-21,37.5733,36.6347,36.6347,17872100
2022-01-24,35.7542,36.6831,36.6831,19890100
2022-01-25,36.2864,37.4669,37.4669,14674100
2022-01-26,38.0378,37.5056,37.5056,12451700
2022-01-27,37.97,37.0992,37.0992,12297400
2022-01-28,36.8766,37.0411,37.0411,12889100
2022-01-31,36.596,38.4055,38.4055,10657300
2022-02-01,38.5119,39.1796,39.1796,9668800
2022-02-02,38.8312,39.2086,39.2086,10249800
2022-02-03,38.7054,38.4442,38.4442,9922000
2022-02-04,38.3087,38.5603,38.5603,9481900
2022-02-07,39.1602,39.615,39.615,11417500
2022-02-08,40.0214,41.231,41.231,14194800
2022-02-09,41.5309,42.4599,42.4599,18904000
2022-02-10,42.0244,42.4792,42.4792,13210100
2022-02-11,42.4792,40.96,40.96,19893400
2022-02-14,41.0084,40.6117,40.6117,11581600
2022-02-15,42.0535,43.0501,43.0501,15528800
2022-02-16,42.6728,42.9727,42.9727,14029100
2022-02-17,42.3534,41.9083,41.9083,9463700
2022-02-18,41.7051,41.4535,41.4535,11574900
2022-02-22,40.3407,40.5343,40.5343,13329600
2022-02-23,40.931,38.8893,38.8893,12322200
2022-02-24,36.3831,39.0248,39.0248,22659700
2022-02-25,39.4409,40.1956,40.1956,15398700
2022-02-28,39.0248,38.628,38.628,22808100
2022-03-01,38.2216,36.4218,36.4218,21467500
2022-03-02,37.0605,36.8089,36.8089,15773500
2022-03-03,37.2443,35.3768,35.3768,17589100
2022-03-04,34.3608,33.4028,33.4028,23278800
2022-03-07,32.8996,29.1355,29.1355,34889300
2022-03-08,29.7258,30.2096,30.2096,29492100
2022-03-09,31.8643,31.6998,31.6998,25808000
2022-03-10,31.0805,31.4966,31.4966,17588900
2022-03-11,32.232,31.0321,31.0321,16978700
2022-03-14,30.9644,31.0321,31.0321,17253800
2022-03-15,33.6157,33.7318,33.7318,27330200
2022-03-16,34.3608,35.7348,35.7348,23558200
2022-03-17,34.5543,35.9477,35.9477,17062300
2022-03-18,35.5993,36.4605,36.4605,18429600
2022-03-21,35.9283,34.922,34.922,18386400
2022-03-22,35.2703,35.7832,35.7832,13587700
2022-03-23,35.5316,35.0478,35.0478,12069300
2022-03-24,35.2123,36.0541,36.0541,11302400
2022-03-25,36.0832,36.6831,36.6831,11313100
2022-03-28,37.1766,37.0992,37.0992,11430600
2022-03-29,38.3668,38.241,38.241,15372200
2022-03-30,37.8346,38.0571,38.0571,9363500
2022-03-31,38.1249,38.2894,38.2894,9930100
2022-04-01,38.3861,38.0378,38.0378,8606300
2022-04-04,37.9507,38.1249,38.1249,9482700
2022-04-05,38.2313,37.7668,37.7668,12713400
2022-04-06,36.7798,36.3734,36.3734,16995200
2022-04-07,36.1606,35.9283,35.9283,11688800
2022-04-08,35.7832,35.551,35.551,8615600
2022-04-11,35.5122,36.9734,36.9734,14142900
2022-04-12,37.1185,37.3701,37.3701,15762600
2022-04-13,38.9087,39.6924,39.6924,33528700
2022-04-14,40.6117,40.9891,40.9891,29128900
2022-04-18,40.7181,40.7665,40.7665,17011900
2022-04-19,41.4245,41.6471,41.6471,18453000
2022-04-20,41.8793,42.1309,42.1309,17466800
2022-04-21,43.3598,43.2824,43.2824,31849600
2022-04-22,43.5533,42.276,42.276,15557200
2022-04-25,41.9954,41.8696,41.8696,15156900
2022-04-26,41.4439,40.544,40.544,14561200
2022-04-27,40.8149,41.7148,41.7148,13640400
2022-04-28,42.1018,42.8953,42.8953,11953000
2022-04-29,42.7405,41.6374,41.6374,13460500
2022-05-02,41.56,41.289,41.289,13417100
2022-05-03,41.26,41.947,41.947,10401900
2022-05-04,41.3761,42.4308,42.4308,13381200
2022-05-05,41.7535,40.7665,40.7665,11983100
2022-05-06,40.6117,39.6731,39.6731,12996000
2022-05-09,38.9861,37.0121,37.0121,18582900
2022-05-10,37.6023,37.4282,37.4282,13950000
2022-05-11,37.4185,36.6637,36.6637,14402400
2022-05-12,36.1025,35.4832,35.4832,17218100
2022-05-13,36.2767,37.0895,37.0895,11594800
2022-05-16,37.0798,36.9347,36.9347,11062500
2022-05-17,38.5603,39.4021,39.4021,13594300
2022-05-18,39.0054,38.0378,38.0378,11216900
2022-05-19,37.4959,37.97,37.97,9564300
2022-05-20,38.6087,37.3895,37.3895,10687600
2022-05-23,38.1055,38.241,38.241,9005200
2022-05-24,37.5636,36.0154,36.0154,10856500
2022-05-25,35.8799,37.3507,37.3507,10436800
2022-05-26,37.8636,39.5086,39.5086,15248300
2022-05-27,39.6731,40.8633,40.8633,10730600
2022-05-31,39.3925,40.3408,40.3408,14691200
2022-06-01,40.7665,38.2603,38.2603,17573200
2022-06-02,38.1249,38.6958,38.6958,13761600
2022-06-03,37.9313,37.2927,37.2927,14804300
2022-06-06,37.7378,37.7378,37.7378,12330400
2022-06-07,37.1282,38.4539,38.4539,9604700
2022-06-08,37.583,36.9831,36.9831,9643000
2022-06-09,36.8669,35.5606,35.5606,11976600
2022-06-10,34.8349,33.9834,33.9834,19434400
2022-06-13,32.8996,31.1676,31.1676,20879100
2022-06-14,31.5449,30.3644,30.3644,20521200
2022-06-15,30.9837,30.9257,30.9257,20995200
2022-06-16,29.6774,28.6227,28.6227,20696200
2022-06-17,28.7581,29.2807,29.2807,28391100
2022-06-21,29.8032,29.0775,29.0775,15125900
2022-06-22,28.9517,29.0291,29.0291,16042000
2022-06-23,28.9226,28.6033,28.6033,15793200
2022-06-24,28.5646,30.1902,30.1902,16949600
2022-06-27,30.316,29.4548,29.4548,12782900
2022-06-28,29.9967,29.3484,29.3484,14358200
2022-06-29,29.0001,28.6807,28.6807,13101500
2022-06-30,27.984,28.0324,28.0324,16394800
2022-07-01,28.284,28.5646,28.5646,11374200
2022-07-05,27.6937,28.8549,28.8549,15811300
2022-07-06,28.6033,28.5743,28.5743,10289600
2022-07-07,28.913,28.942,28.942,9484100
2022-07-08,28.9614,28.7581,28.7581,9632300
2022-07-11,28.613,28.3421,28.3421,12059500
2022-07-12,28.4582,30.0838,30.0838,22841200
2022-07-13,28.0131,28.7388,28.7388,38475800
2022-07-14,28.3614,28.8065,28.8065,18983900
2022-07-15,29.1742,29.1162,29.1162,13055100
2022-07-18,30.1902,30.1322,30.1322,19675900
2022-07-19,30.7805,31.5449,31.5449,15847500
2022-07-20,31.5159,31.7868,31.7868,12200800
2022-07-21,30.8482,30.9257,30.9257,15522200
2022-07-22,31.2546,30.3354,30.3354,11256400
2022-07-25,30.316,30.3935,30.3935,9314600
2022-07-26,29.9483,29.6484,29.6484,8764800
2022-07-27,30.287,30.4805,30.4805,10281300
2022-07-28,30.2677,30.6741,30.6741,10672100
2022-07-29,30.5676,30.7708,30.7708,8355200
2022-08-01,30.7515,31.1869,31.1869,10517300
2022-08-02,30.7031,30.7902,30.7902,10132600
2022-08-03,31.1579,32.1739,32.1739,11895100
2022-08-04,32.1352,32.2513,32.2513,7573300
2022-08-05,31.8352,31.8739,31.8739,7722900
2022-08-08,32.2126,32.6577,32.6577,9526900
2022-08-09,32.4158,32.1352,32.1352,7179800
2022-08-10,33.0835,32.8319,32.8319,10465700
2022-08-11,33.3834,32.8609,32.8609,7598700
2022-08-12,33.2673,33.3834,33.3834,7142000
2022-08-15,33.4705,33.8673,33.8673,9042000
2022-08-16,33.9447,34.1963,34.1963,8757400
2022-08-17,33.6447,33.4222,33.4222,7976000
2022-08-18,33.4125,33.3738,33.3738,5687500
2022-08-19,32.7835,32.1739,32.1739,9874900
2022-08-22,31.4482,31.3321,31.3321,9246500
2022-08-23,31.3417,31.8062,31.8062,7974300
2022-08-24,31.8159,32.232,32.232,5742000
2022-08-25,32.4932,32.89,32.89,6785000
2022-08-26,32.8512,31.6224,31.6224,6917100
2022-08-29,31.1579,30.9934,30.9934,8758400
2022-08-30,31.2063,30.6934,30.6934,7506400
2022-08-31,30.9353,30.0645,30.0645,7450000
2022-09-01,29.658,30.0838,30.0838,8572700
