date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2015-01-02,178.65,177.94,177.94,4997200
2015-01-05,177.06,174.84,174.84,6700200
2015-01-06,175.1,173.39,173.39,10131400
2015-01-07,174.85,175.59,175.59,5547000
2015-01-08,177.26,178.76,178.76,7166700
2015-01-09,178.98,177.22,177.22,6646600
2015-01-12,177.44,176.24,176.24,4305300
2015-01-13,177.72,175.98,175.98,9913500
2015-01-14,173.44,174.06,174.06,11090600
2015-01-15,174.74,173.06,173.06,9293700
2015-01-16,172.57,174.67,174.67,8721900
2015-01-20,175.23,174.9,174.9,7224100
2015-01-21,174.25,175.35,175.35,6259300
2015-01-22,175.92,177.92,177.92,9565100
2015-01-23,177.71,176.41,176.41,4795300
2015-01-26,176.16,176.5,176.5,3730400
2015-01-27,173.5,173.59,173.59,11565100
2015-01-28,174.55,171.72,171.72,9673200
2015-01-29,172.16,173.9,173.9,9615200
2015-01-30,173.2,171.45,171.45,11138500
2015-02-02,171.95,173.27,173.27,9437900
2015-02-03,174.13,176.33,176.33,7543400
2015-02-04,175.8,176.53,176.53,5935900
2015-02-05,177.28,178.55,178.55,6037800
2015-02-06,178.82,178.09,178.09,7211900
2015-02-09,177.18,177.09,177.09,3723100
2015-02-10,178.17,178.51,178.51,3572700
2015-02-11,178.09,178.7,178.7,5174500
2015-02-12,179.27,179.84,179.84,3742700
2015-02-13,180.0,180.34,180.34,3998200
2015-02-17,180.06,180.57,180.57,2850900
2015-02-18,180.18,180.47,180.47,2724800
2015-02-19,179.87,180.09,180.09,2663500
2015-02-20,179.15,181.14,181.14,8914600
2015-02-23,180.71,180.92,180.92,2738600
2015-02-24,181.03,181.91,181.91,4228700
2015-02-25,181.81,181.96,181.96,2822900
2015-02-26,181.92,182.01,182.01,3045800
2015-02-27,181.93,181.19,181.19,3161300
2015-03-02,181.37,182.68,182.68,3213100
2015-03-03,182.23,181.87,181.87,2825800
2015-03-04,181.41,180.78,180.78,3820200
2015-03-05,181.25,181.17,181.17,2410700
2015-03-06,180.12,178.4,178.4,7297400
2015-03-09,178.53,179.8,179.8,3844900
2015-03-10,178.38,176.69,176.69,6070100
2015-03-11,176.98,176.35,176.35,5584600
2015-03-12,177.24,178.97,178.97,4024300
2015-03-13,178.39,177.56,177.56,6833900
