date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2013-04-29,14712.55,14818.75,14818.75,97060000.0
2013-04-30,14818.75,14839.8,14839.8,148250000.0
2013-05-01,14839.8,14700.95,14700.95,112620000.0
2013-05-02,14700.95,14831.58,14831.58,91180000.0
2013-05-03,14831.58,14973.96,14973.96,119890000.0
2013-05-06,14973.96,14968.89,14968.89,116160000.0
2013-05-07,14968.89,15056.2,15056.2,117230000.0
2013-05-08,15056.2,15105.12,15105.12,113510000.0
2013-05-09,15105.12,15082.62,15082.62,97810000.0
2013-05-10,15082.62,15118.49,15118.49,98980000.0
2013-05-13,15113.42,15091.68,15091.68,94280000.0
2013-05-14,15091.68,15215.25,15215.25,124590000.0
2013-05-15,15211.87,15275.69,15275.69,124030000.0
2013-05-16,15273.92,15233.22,15233.22,145090000.0
2013-05-17,15234.75,15354.4,15354.4,175750000.0
2013-05-20,15348.33,15335.28,15335.28,116420000.0
2013-05-21,15334.97,15387.58,15387.58,122970000.0
2013-05-22,15387.12,15307.17,15307.17,171850000.0
2013-05-23,15300.57,15294.5,15294.5,148810000.0
2013-05-24,15290.74,15303.1,15303.1,105660000.0
2013-05-28,15307.33,15409.39,15409.39,130680000.0
2013-05-29,15399.94,15302.8,15302.8,114020000.0
2013-05-30,15306.02,15324.53,15324.53,121150000.0
2013-05-31,15322.22,15115.57,15115.57,208830000.0
2013-06-03,15123.55,15254.03,15254.03,147980000.0
2013-06-04,15255.22,15177.54,15177.54,134280000.0
2013-06-05,15168.1,14960.59,14960.59,141400000.0
2013-06-06,14955.45,15040.62,15040.62,140410000.0
2013-06-07,15044.46,15248.12,15248.12,137380000.0
2013-06-10,15247.81,15238.59,15238.59,94250000.0
2013-06-11,15231.38,15122.02,15122.02,101610000.0
2013-06-12,15130.39,14995.23,14995.23,105770000.0
2013-06-13,14992.54,15176.08,15176.08,104490000.0
2013-06-14,15178.08,15070.18,15070.18,107430000.0
2013-06-17,15078.71,15179.85,15179.85,139250000.0
2013-06-18,15186.3,15318.23,15318.23,99210000.0
2013-06-19,15315.47,15112.19,15112.19,111380000.0
2013-06-20,15105.51,14758.32,14758.32,172630000.0
2013-06-21,14760.62,14799.4,14799.4,420080000.0
2013-06-24,14795.79,14659.56,14659.56,158670000.0
2013-06-25,14669.69,14760.31,14760.31,135940000.0
2013-06-26,14769.99,14910.14,14910.14,133230000.0
2013-06-27,14921.28,15024.49,15024.49,113650000.0
2013-06-28,15016.58,14909.6,14909.6,230000000.0
2013-07-01,14911.6,14974.96,14974.96,120570000.0
2013-07-02,14974.96,14932.41,14932.41,116610000.0
2013-07-03,14923.73,14988.37,14988.37,61000000.0
2013-07-05,14995.46,15135.84,15135.84,94560000.0
2013-07-08,15137.22,15224.69,15224.69,136820000.0
2013-07-09,15228.46,15300.34,15300.34,109270000.0
2013-07-10,15298.03,15291.66,15291.66,105050000.0
2013-07-11,15298.0,15460.92,15460.92,124950000.0
2013-07-12,15460.69,15464.3,15464.3,130140000.0
2013-07-15,15459.69,15484.26,15484.26,99430000.0
2013-07-16,15485.03,15451.85,15451.85,105970000.0
2013-07-17,15456.92,15470.52,15470.52,126240000.0
2013-07-18,15465.91,15548.54,15548.54,136270000.0
2013-07-19,15524.27,15543.74,15543.74,229260000.0
2013-07-22,15543.97,15545.55,15545.55,180920000.0
2013-07-23,15547.0,15567.74,15567.74,98700000.0
2013-07-24,15576.69,15542.24,15542.24,99320000.0
2013-07-25,15539.17,15555.61,15555.61,103260000.0
2013-07-26,15547.85,15558.83,15558.83,94880000.0
2013-07-29,15557.14,15521.97,15521.97,87240000.0
2013-07-30,15534.49,15520.59,15520.59,117550000.0
2013-07-31,15528.57,15499.54,15499.54,145120000.0
2013-08-01,15503.85,15628.02,15628.02,111040000.0
2013-08-02,15627.56,15658.36,15658.36,104840000.0
2013-08-05,15651.98,15612.13,15612.13,76850000.0
2013-08-06,15608.44,15518.74,15518.74,87730000.0
2013-08-07,15516.21,15470.67,15470.67,88430000.0
2013-08-08,15477.27,15498.32,15498.32,90990000.0
2013-08-09,15496.63,15425.51,15425.51,81180000.0
2013-08-12,15415.22,15419.68,15419.68,78060000.0
2013-08-13,15420.68,15451.01,15451.01,84790000.0
2013-08-14,15447.71,15337.66,15337.66,91030000.0
2013-08-15,15332.71,15112.19,15112.19,128340000.0
2013-08-16,15112.57,15081.47,15081.47,151620000.0
2013-08-19,15076.79,15010.74,15010.74,111660000.0
2013-08-20,15011.82,15002.99,15002.99,102340000.0
2013-08-21,14993.81,14897.55,14897.55,98340000.0
2013-08-22,14908.6,14963.74,14963.74,153490000.0
2013-08-23,14988.78,15010.51,15010.51,131860000.0
2013-08-26,15014.58,14946.46,14946.46,102820000.0
2013-08-27,14939.25,14776.13,14776.13,118610000.0
2013-08-28,14770.99,14824.51,14824.51,104620000.0
2013-08-29,14817.91,14840.95,14840.95,93170000.0
2013-08-30,14844.1,14810.31,14810.31,135850000.0
2013-09-03,14801.55,14833.96,14833.96,142530000.0
2013-09-04,14832.42,14930.87,14930.87,122150000.0
2013-09-05,14929.49,14937.48,14937.48,101010000.0
2013-09-06,14941.55,14922.5,14922.5,108410000.0
2013-09-09,14927.19,15063.12,15063.12,90660000.0
2013-09-10,15067.23,15191.06,15191.06,103200000.0
2013-09-11,15194.13,15326.6,15326.6,102090000.0
2013-09-12,15327.14,15300.64,15300.64,99760000.0
2013-09-13,15312.86,15376.06,15376.06,90890000.0
2013-09-16,15381.36,15494.78,15494.78,105740000.0
2013-09-17,15503.15,15529.73,15529.73,104480000.0
2013-09-18,15533.03,15676.94,15676.94,145410000.0
2013-09-19,15677.86,15636.55,15636.55,116280000.0
2013-09-20,15635.09,15451.09,15451.09,379650000.0
2013-09-23,15452.31,15401.38,15401.38,94920000.0
2013-09-24,15402.54,15334.59,15334.59,85430000.0
2013-09-25,15339.02,15273.26,15273.26,81890000.0
2013-09-26,15274.42,15328.3,15328.3,79050000.0
2013-09-27,15317.45,15258.24,15258.24,95660000.0
2013-09-30,15249.82,15129.67,15129.67,122330000.0
2013-10-01,15132.49,15191.7,15191.7,82460000.0
2013-10-02,15182.65,15133.14,15133.14,86090000.0
2013-10-03,15127.23,14996.48,14996.48,91300000.0
2013-10-04,14994.68,15072.58,15072.58,75100000.0
2013-10-07,15069.3,14936.24,14936.24,79620000.0
2013-10-08,14938.04,14776.53,14776.53,102690000.0
2013-10-09,14778.19,14802.98,14802.98,103190000.0
2013-10-10,14806.39,15126.07,15126.07,106540000.0
2013-10-11,15126.52,15237.11,15237.11,85730000.0
2013-10-14,15231.33,15301.26,15301.26,81420000.0
2013-10-15,15300.3,15168.01,15168.01,91440000.0
2013-10-16,15170.7,15373.83,15373.83,92850000.0
2013-10-17,15369.46,15371.65,15371.65,108490000.0
2013-10-18,15371.71,15399.65,15399.65,156660000.0
2013-10-21,15401.32,15392.2,15392.2,93660000.0
2013-10-22,15394.22,15467.66,15467.66,107030000.0
2013-10-23,15465.34,15413.33,15413.33,90630000.0
2013-10-24,15414.87,15509.21,15509.21,89240000.0
2013-10-25,15523.72,15570.28,15570.28,109900000.0
2013-10-28,15569.19,15568.93,15568.93,92760000.0
2013-10-29,15572.21,15680.35,15680.35,86600000.0
2013-10-30,15680.74,15618.76,15618.76,79170000.0
2013-10-31,15619.92,15545.75,15545.75,114050000.0
2013-11-01,15558.01,15615.55,15615.55,101830000.0
2013-11-04,15621.2,15639.12,15639.12,71200000.0
2013-11-05,15631.22,15618.22,15618.22,91890000.0
2013-11-06,15628.72,15746.88,15746.88,109200000.0
2013-11-07,15751.31,15593.98,15593.98,103860000.0
2013-11-08,15591.54,15761.78,15761.78,101200000.0
2013-11-11,15759.28,15783.1,15783.1,58860000.0
2013-11-12,15773.15,15750.67,15750.67,79260000.0
2013-11-13,15739.5,15821.63,15821.63,92450000.0
2013-11-14,15806.22,15876.22,15876.22,123860000.0
2013-11-15,15876.16,15961.7,15961.7,126460000.0
2013-11-18,15962.72,15976.02,15976.02,94860000.0
2013-11-19,15974.06,15967.03,15967.03,84570000.0
2013-11-20,15971.2,15900.82,15900.82,84350000.0
2013-11-21,15908.07,16009.99,16009.99,79000000.0
2013-11-22,16008.71,16064.77,16064.77,81000000.0
2013-11-25,16072.09,16072.54,16072.54,94040000.0
2013-11-26,16070.93,16072.8,16072.8,107450000.0
2013-11-27,16073.37,16097.33,16097.33,65730000.0
2013-11-29,16105.16,16086.41,16086.41,69190000.0
2013-12-02,16087.12,16008.77,16008.77,92590000.0
2013-12-03,16004.72,15914.62,15914.62,103910000.0
2013-12-04,15910.51,15889.77,15889.77,111180000.0
2013-12-05,15886.5,15821.51,15821.51,128080000.0
2013-12-06,15825.55,16020.2,16020.2,98260000.0
2013-12-09,16019.49,16025.53,16025.53,91810000.0
2013-12-10,16024.12,15973.13,15973.13,79420000.0
2013-12-11,15970.75,15843.53,15843.53,107170000.0
2013-12-12,15844.82,15739.43,15739.43,105870000.0
2013-12-13,15745.66,15755.36,15755.36,83180000.0
2013-12-16,15759.6,15884.57,15884.57,101470000.0
2013-12-17,15884.06,15875.26,15875.26,101490000.0
2013-12-18,15876.57,16167.97,16167.97,129620000.0
2013-12-19,16162.51,16179.08,16179.08,94980000.0
2013-12-20,16178.57,16221.14,16221.14,285190000.0
2013-12-23,16225.25,16294.61,16294.61,78930000.0
2013-12-24,16295.7,16357.55,16357.55,33640000.0
2013-12-26,16370.97,16479.88,16479.88,50160000.0
2013-12-27,16486.37,16478.41,16478.41,47230000.0
2013-12-30,16484.51,16504.29,16504.29,54220000.0
2013-12-31,16512.38,16576.66,16576.66,78760000.0
2014-01-02,16572.17,16441.35,16441.35,80960000.0
2014-01-03,16456.89,16469.99,16469.99,72770000.0
2014-01-06,16474.04,16425.1,16425.1,89380000.0
2014-01-07,16429.02,16530.94,16530.94,81270000.0
2014-01-08,16527.66,16462.74,16462.74,103260000.0
2014-01-09,16471.41,16444.76,16444.76,83990000.0
2014-01-10,16453.62,16437.05,16437.05,85190000.0
2014-01-13,16434.03,16257.94,16257.94,111680000.0
2014-01-14,16261.99,16373.86,16373.86,98610000.0
2014-01-15,16378.03,16481.94,16481.94,101130000.0
2014-01-16,16477.7,16417.01,16417.01,87370000.0
2014-01-17,16408.02,16458.56,16458.56,184970000.0
2014-01-21,16459.27,16414.44,16414.44,111570000.0
