date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2024-04-13,0.1746,0.1532,0.1532,4750917199
2024-04-14,0.1532,0.1623,0.1623,3723264167
2024-04-15,0.1623,0.1614,0.1614,3604719833
2024-04-16,0.1614,0.156,0.156,2473810383
2024-04-17,0.156,0.1476,0.1476,1972027907
2024-04-18,0.1476,0.1524,0.1524,1947482132
2024-04-19,0.1524,0.1563,0.1563,2186567402
2024-04-20,0.1563,0.1628,0.1628,1649509831
2024-04-21,0.1628,0.1583,0.1583,1293159346
2024-04-22,0.1583,0.1612,0.1612,1251987179
2024-04-23,0.1612,0.1599,0.1599,1047860346
2024-04-24,0.1599,0.1514,0.1514,1524749099
2024-04-25,0.1514,0.1514,0.1514,1078441792
2024-04-26,0.1514,0.1478,0.1478,877813549
2024-04-27,0.1478,0.1477,0.1477,847646783
2024-04-28,0.1477,0.1467,0.1467,638063324
2024-04-29,0.1467,0.1435,0.1435,1030579266
2024-04-30,0.1435,0.1333,0.1333,1342359702
2024-05-01,0.1333,0.1301,0.1301,2135887034
2024-05-02,0.1301,0.1321,0.1321,1308884973
2024-05-03,0.1321,0.1461,0.1461,1266276714
2024-05-04,0.1461,0.1602,0.1602,2791346636
2024-05-05,0.1602,0.1611,0.1611,1506950274
2024-05-06,0.1611,0.1566,0.1566,1747675308
2024-05-07,0.1566,0.1502,0.1502,1139969527
2024-05-08,0.1502,0.1433,0.1433,1159774226
2024-05-09,0.1433,0.1521,0.1521,1093467705
2024-05-10,0.1521,0.144,0.144,1056928481
2024-05-11,0.144,0.1429,0.1429,533516788
2024-05-12,0.1429,0.1412,0.1412,601107964
2024-05-13,0.1412,0.1484,0.1484,1918835792
2024-05-14,0.1484,0.1454,0.1454,1899294334
2024-05-15,0.1454,0.1555,0.1555,1767635344
2024-05-16,0.1555,0.1496,0.1496,1374063837
2024-05-17,0.1496,0.1556,0.1556,1112782871
2024-05-18,0.1556,0.1531,0.1531,771261615
2024-05-19,0.1531,0.1491,0.1491,786457296
2024-05-20,0.1491,0.1657,0.1657,1512244150
2024-05-21,0.1657,0.1705,0.1705,2792364765
2024-05-22,0.1705,0.1662,0.1662,1978486152
2024-05-23,0.1662,0.1596,0.1596,2243999960
2024-05-24,0.1596,0.1638,0.1638,3012763365
2024-05-25,0.1638,0.174,0.174,1489582490
2024-05-26,0.174,0.1662,0.1662,1359410362
2024-05-27,0.1662,0.1691,0.1691,1404874711
2024-05-28,0.1691,0.165,0.165,1410223091
2024-05-29,0.165,0.1637,0.1637,1525668595
2024-05-30,0.1637,0.1595,0.1595,1452218159
2024-05-31,0.1595,0.1591,0.1591,945969518
2024-06-01,0.1591,0.1602,0.1602,496035603
2024-06-02,0.1602,0.1572,0.1572,585756299
2024-06-03,0.1572,0.1583,0.1583,929987302
2024-06-04,0.1583,0.1614,0.1614,760727969
2024-06-05,0.1614,0.1632,0.1632,820053785
2024-06-06,0.1632,0.1602,0.1602,893170339
2024-06-07,0.1602,0.1483,0.1483,1581768204
2024-06-08,0.1483,0.1461,0.1461,872877278
2024-06-09,0.146,0.1468,0.1468,656320138
2024-06-10,0.1468,0.1447,0.1447,752565082
2024-06-11,0.1447,0.1381,0.1381,1271975142
2024-06-12,0.1381,0.1462,0.1462,1274848212
2024-06-13,0.1462,0.1411,0.1411,790003626
2024-06-14,0.141,0.135,0.135,859600884
2024-06-15,0.135,0.1366,0.1366,476136328
2024-06-16,0.1366,0.1369,0.1369,385407083
2024-06-17,0.1369,0.1289,0.1289,960646592
2024-06-18,0.1289,0.1223,0.1223,1413960450
2024-06-19,0.1223,0.1223,0.1223,642487745
2024-06-20,0.1223,0.1244,0.1244,734399819
2024-06-21,0.1244,0.124,0.124,598393023
2024-06-22,0.124,0.1238,0.1238,328642106
2024-06-23,0.1238,0.1223,0.1223,429188641
2024-06-24,0.1222,0.119,0.119,951099440
2024-06-25,0.119,0.1262,0.1262,783244352
2024-06-26,0.1261,0.1227,0.1227,526276880
2024-06-27,0.1227,0.1269,0.1269,616932730
2024-06-28,0.1269,0.1228,0.1228,634763078
2024-06-29,0.1228,0.1217,0.1217,285391178
2024-06-30,0.1217,0.1243,0.1243,369166834
2024-07-01,0.1243,0.1234,0.1234,452573746
2024-07-02,0.1234,0.125,0.125,408063753
2024-07-03,0.125,0.1185,0.1185,657681923
2024-07-04,0.1184,0.1049,0.1049,1239123198
2024-07-05,0.1049,0.1056,0.1056,1709690679
2024-07-06,0.1056,0.1136,0.1136,842720114
2024-07-07,0.1136,0.1042,0.1042,641031095
2024-07-08,0.1042,0.1076,0.1076,1023119021
2024-07-09,0.1076,0.1075,0.1075,572733013
2024-07-10,0.1075,0.108,0.108,552090147
2024-07-11,0.108,0.1067,0.1067,546104180
2024-07-12,0.1067,0.1077,0.1077,468503073
2024-07-13,0.1077,0.1124,0.1124,497448463
2024-07-14,0.1124,0.1154,0.1154,551768272
2024-07-15,0.1155,0.1252,0.1252,865334768
2024-07-16,0.1252,0.1249,0.1249,1023424280
2024-07-17,0.1249,0.1219,0.1219,731025036
2024-07-18,0.1219,0.1195,0.1195,710080580
2024-07-19,0.1195,0.1255,0.1255,724349409
2024-07-20,0.1255,0.1344,0.1344,1109519614
2024-07-21,0.1344,0.1402,0.1402,1229665449
2024-07-22,0.1402,0.1379,0.1379,1468393831
2024-07-23,0.1379,0.1304,0.1304,963364309
2024-07-24,0.1304,0.1281,0.1281,734879689
