date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2026-04-02,27.0,27.76,27.76,2530245.0
2026-04-06,29.28,29.16,29.16,6320106.0
2026-04-07,29.07,29.44,29.44,4869630.0
2026-04-08,33.39,32.47,32.47,9442621.0
2026-04-09,31.5,32.38,32.38,10282908.0
2026-04-10,32.58,32.43,32.43,4864751.0
2026-04-13,32.35,33.55,33.55,5547892.0
2026-04-14,34.31,35.57,35.57,8770406.0
2026-04-15,34.63,34.47,34.47,7354163.0
2026-04-16,34.82,35.04,35.04,6114412.0
2026-04-17,35.7,35.59,35.59,5743805.0
2026-04-20,35.44,35.07,35.07,6581131.0
2026-04-21,35.8,34.93,34.93,6938812.0
2026-04-22,36.13,37.3,37.3,9861410.0
2026-04-23,36.74,36.36,36.36,11883727.0
2026-04-24,36.99,37.2,37.2,11151423.0
2026-04-27,38.32,38.57,38.57,11874228.0
2026-04-28,37.35,37.33,37.33,14534936.0
2026-04-29,38.69,38.23,38.23,11286987.0
2026-04-30,39.21,39.33,39.33,9381542.0
2026-05-01,38.9,40.41,40.41,11751030.0
2026-05-04,42.15,42.47,42.47,29751310.0
2026-05-05,44.4,46.29,46.29,36056184.0
2026-05-06,48.65,48.68,48.68,47141015.0
2026-05-07,47.95,46.55,46.55,27480494.0
2026-05-08,49.0,52.8,52.8,41325404.0
2026-05-11,54.91,55.08,55.08,79681428.0
2026-05-12,52.03,51.3,51.3,69795091.0
2026-05-13,54.67,54.54,54.54,42539351.0
2026-05-14,53.47,53.79,53.79,28665253.0
2026-05-15,50.69,51.1,51.1,35031288.0
2026-05-18,53.14,49.32,49.32,39079860.0
2026-05-19,47.4,49.77,49.77,37477417.0
2026-05-20,51.0,51.51,51.51,23360048.0
2026-05-21,52.18,54.34,54.34,28100257.0
2026-05-22,53.67,52.82,52.82,21170427.0
2026-05-26,57.16,60.51,60.51,45481863.0
2026-05-27,62.44,60.73,60.73,42342144.0
2026-05-28,61.04,62.59,62.59,31634346.0
