date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2021-01-05,13.5,12.55,12.55,7000.0
2021-01-06,13.48,12.75,12.75,21100.0
2021-01-07,13.02,13.93,13.93,20500.0
2021-01-08,18.88,13.7,13.7,102300.0
2021-01-11,13.26,12.67,12.67,128600.0
2021-01-12,12.75,13.78,13.78,217800.0
2021-01-13,13.93,13.38,13.38,170900.0
2021-01-14,13.63,13.6,13.6,371500.0
2021-01-15,13.88,13.79,13.79,91700.0
2021-01-19,14.0,14.4,14.4,79000.0
2021-01-20,14.35,14.39,14.39,76700.0
2021-01-21,14.68,14.5,14.5,151900.0
2021-01-22,15.57,15.0,15.0,166900.0
2021-01-25,15.0,13.95,13.95,120600.0
2021-01-26,14.05,13.04,13.04,187600.0
2021-01-27,12.94,12.5,12.5,243200.0
2021-01-28,12.32,12.67,12.67,134400.0
2021-01-29,12.89,13.57,13.57,84500.0
2021-02-01,13.64,14.26,14.26,73000.0
2021-02-02,14.58,14.78,14.78,73600.0
2021-02-03,15.25,15.75,15.75,112400.0
2021-02-04,15.85,15.55,15.55,34500.0
2021-02-05,15.55,15.98,15.98,70900.0
2021-02-08,16.0,16.67,16.67,76100.0
2021-02-09,16.73,16.57,16.57,31700.0
2021-02-10,16.38,16.13,16.13,77900.0
2021-02-11,15.93,15.95,15.95,86700.0
2021-02-12,16.0,15.75,15.75,223300.0
2021-02-16,16.0,16.0,16.0,52500.0
2021-02-17,16.25,16.45,16.45,88300.0
2021-02-18,16.5,15.94,15.94,44200.0
2021-02-19,15.93,15.75,15.75,74700.0
2021-02-22,20.0,20.8,20.8,20225500.0
2021-02-23,19.0,20.51,20.51,1447800.0
2021-02-24,20.45,19.91,19.91,684800.0
2021-02-25,19.3,16.56,16.56,871700.0
2021-02-26,16.12,15.31,15.31,507800.0
2021-03-01,16.5,19.18,19.18,1091900.0
2021-03-02,19.18,18.14,18.14,308400.0
2021-03-03,18.49,16.4,16.4,361600.0
2021-03-04,16.4,14.88,14.88,886400.0
2021-03-05,14.55,14.39,14.39,552800.0
2021-03-08,14.44,13.78,13.78,831000.0
2021-03-09,14.09,14.1,14.1,231600.0
2021-03-10,14.39,14.22,14.22,224600.0
2021-03-11,15.5,14.67,14.67,979000.0
2021-03-12,14.59,15.36,15.36,200700.0
2021-03-15,15.7,16.26,16.26,209800.0
2021-03-16,16.15,15.87,15.87,129800.0
2021-03-17,15.22,15.13,15.13,355900.0
2021-03-18,14.58,15.07,15.07,158200.0
2021-03-19,14.7,14.4,14.4,346800.0
2021-03-22,14.4,14.24,14.24,179300.0
2021-03-23,14.75,13.99,13.99,215100.0
2021-03-24,13.81,13.86,13.86,397600.0
2021-03-25,13.36,13.51,13.51,284500.0
2021-03-26,13.4,13.91,13.91,132100.0
2021-03-29,13.97,13.84,13.84,167100.0
2021-03-30,13.4,13.1,13.1,992100.0
2021-03-31,13.38,13.31,13.31,177700.0
2021-04-01,13.61,14.07,14.07,161400.0
2021-04-05,14.02,14.21,14.21,144300.0
2021-04-06,13.89,13.97,13.97,157800.0
2021-04-07,14.06,14.34,14.34,108700.0
2021-04-08,14.12,17.49,17.49,868300.0
2021-04-09,17.17,17.32,17.32,201100.0
2021-04-12,17.0,16.11,16.11,191700.0
2021-04-13,16.11,16.08,16.08,119800.0
2021-04-14,16.25,15.39,15.39,349600.0
2021-04-15,15.44,15.0,15.0,511000.0
2021-04-16,14.85,14.19,14.19,156100.0
2021-04-19,14.0,14.0,14.0,165800.0
2021-04-20,14.15,13.18,13.18,354900.0
2021-04-21,13.18,13.23,13.23,92800.0
2021-04-22,13.3,13.31,13.31,269500.0
2021-04-23,13.5,13.42,13.42,54200.0
2021-04-26,13.35,14.19,14.19,182900.0
2021-04-27,14.06,13.8,13.8,171100.0
2021-04-28,13.71,13.5,13.5,109900.0
2021-04-29,13.7,13.35,13.35,41900.0
2021-04-30,13.26,13.81,13.81,76300.0
2021-05-03,13.76,13.36,13.36,74300.0
2021-05-04,13.3,13.61,13.61,131600.0
2021-05-05,13.5,13.13,13.13,123200.0
2021-05-06,13.33,13.09,13.09,193400.0
2021-05-07,13.23,13.22,13.22,62400.0
2021-05-10,13.26,12.5,12.5,100600.0
2021-05-11,12.0,12.67,12.67,163000.0
2021-05-12,12.47,11.91,11.91,156500.0
2021-05-13,11.89,12.07,12.07,194300.0
2021-05-14,12.27,12.08,12.08,67300.0
2021-05-17,12.14,12.13,12.13,54000.0
2021-05-18,12.37,12.2,12.2,55400.0
2021-05-19,12.06,12.18,12.18,85100.0
2021-05-20,12.18,12.1,12.1,58300.0
2021-05-21,12.2,12.4,12.4,145700.0
2021-05-24,12.9,13.56,13.56,152400.0
2021-05-25,13.76,14.64,14.64,411900.0
2021-05-26,15.07,14.98,14.98,142600.0
2021-05-27,15.11,14.88,14.88,40200.0
2021-05-28,14.94,14.96,14.96,81700.0
2021-06-01,15.0,14.59,14.59,133400.0
2021-06-02,14.52,15.02,15.02,108400.0
2021-06-03,15.04,14.63,14.63,41600.0
2021-06-04,14.96,15.02,15.02,34400.0
2021-06-07,15.07,16.1,16.1,108600.0
2021-06-08,16.06,18.9,18.9,499800.0
2021-06-09,19.0,18.39,18.39,380300.0
2021-06-10,18.68,19.26,19.26,151600.0
2021-06-11,19.15,20.0,20.0,244200.0
2021-06-14,20.0,18.64,18.64,253600.0
2021-06-15,18.53,19.65,19.65,94500.0
2021-06-16,19.73,19.69,19.69,84900.0
2021-06-17,19.6,19.75,19.75,73400.0
2021-06-18,19.54,19.45,19.45,65400.0
2021-06-21,19.44,19.39,19.39,63600.0
2021-06-22,19.37,18.85,18.85,138800.0
2021-06-23,18.9,19.15,19.15,96600.0
2021-06-24,19.15,19.15,19.15,119300.0
2021-06-25,19.17,19.37,19.37,46600.0
2021-06-28,19.54,20.84,20.84,157100.0
2021-06-29,21.15,22.54,22.54,396000.0
2021-06-30,22.5,22.97,22.97,138600.0
2021-07-01,23.96,24.59,24.59,412200.0
2021-07-02,24.61,24.66,24.66,250400.0
2021-07-06,25.15,23.3,23.3,170300.0
2021-07-07,24.27,21.5,21.5,112400.0
2021-07-08,20.62,22.47,22.47,201200.0
2021-07-09,22.91,22.55,22.55,117500.0
2021-07-12,22.75,21.84,21.84,172700.0
2021-07-13,22.04,21.08,21.08,42000.0
2021-07-14,21.3,20.36,20.36,138400.0
2021-07-15,21.5,17.73,17.73,877800.0
2021-07-16,18.87,17.7,17.7,1161900.0
2021-07-19,17.51,18.56,18.56,475300.0
2021-07-20,18.91,19.08,19.08,384200.0
2021-07-21,19.99,18.0,18.0,1232400.0
2021-07-22,18.1,17.73,17.73,770200.0
2021-07-23,18.23,17.11,17.11,762600.0
2021-07-26,17.01,16.1,16.1,914400.0
2021-07-27,16.1,15.57,15.57,417400.0
2021-07-28,15.58,16.36,16.36,684700.0
2021-07-29,16.35,16.57,16.57,452900.0
2021-07-30,16.26,16.51,16.51,328000.0
2021-08-02,16.7,16.02,16.02,464500.0
2021-08-03,15.99,15.46,15.46,447500.0
2021-08-04,15.26,14.75,14.75,509100.0
2021-08-05,15.03,15.31,15.31,460200.0
2021-08-06,15.11,14.8,14.8,1225000.0
2021-08-09,14.63,15.17,15.17,488600.0
2021-08-10,14.89,14.79,14.79,2619900.0
2021-08-11,15.3,14.44,14.44,2261100.0
2021-08-12,14.38,14.6,14.6,1388400.0
2021-08-13,14.92,14.59,14.59,1141800.0
2021-08-16,14.53,14.48,14.48,538800.0
2021-08-17,14.83,13.75,13.75,1228300.0
2021-08-18,13.65,13.67,13.67,778300.0
2021-08-19,13.5,14.01,14.01,381900.0
2021-08-20,14.11,13.99,13.99,397400.0
2021-08-23,14.22,14.21,14.21,1207100.0
2021-08-24,14.22,15.05,15.05,1150300.0
2021-08-25,15.73,15.05,15.05,2953800.0
2021-08-26,15.12,15.24,15.24,922200.0
2021-08-27,15.22,15.67,15.67,1106700.0
2021-08-30,15.87,15.46,15.46,659400.0
2021-08-31,15.4,15.53,15.53,897400.0
2021-09-01,15.54,16.78,16.78,1539400.0
2021-09-02,16.97,17.22,17.22,839400.0
2021-09-03,17.18,17.57,17.57,508200.0
2021-09-07,17.6,15.95,15.95,2629200.0
2021-09-08,15.71,16.06,16.06,752500.0
2021-09-09,16.2,16.37,16.37,882300.0
2021-09-10,16.39,16.43,16.43,891100.0
2021-09-13,16.49,16.14,16.14,693000.0
2021-09-14,16.05,15.92,15.92,937300.0
2021-09-15,15.84,16.2,16.2,824300.0
2021-09-16,16.17,16.13,16.13,704100.0
2021-09-17,15.99,16.02,16.02,6615700.0
2021-09-20,15.89,16.27,16.27,895600.0
2021-09-21,16.53,15.92,15.92,588400.0
2021-09-22,16.19,17.69,17.69,1215500.0
2021-09-23,18.08,19.99,19.99,3249500.0
2021-09-24,19.71,19.74,19.74,1079800.0
2021-09-27,19.92,21.05,21.05,1959700.0
2021-09-28,20.99,20.37,20.37,2441900.0
2021-09-29,20.38,19.09,19.09,3366900.0
2021-09-30,19.61,18.89,18.89,567900.0
2021-10-01,18.94,18.82,18.82,502000.0
2021-10-04,18.62,19.35,19.35,1060200.0
2021-10-05,19.38,19.51,19.51,626800.0
2021-10-06,19.25,20.29,20.29,933000.0
2021-10-07,20.45,21.51,21.51,959000.0
2021-10-08,21.49,21.38,21.38,1069800.0
2021-10-11,21.84,20.62,20.62,667100.0
2021-10-12,20.91,21.2,21.2,642400.0
2021-10-13,21.04,20.39,20.39,865700.0
2021-10-14,20.54,20.0,20.0,390600.0
2021-10-15,20.05,20.88,20.88,1151100.0
2021-10-18,20.63,20.84,20.84,584400.0
2021-10-19,20.96,21.36,21.36,775400.0
2021-10-20,21.97,23.71,23.71,2080400.0
2021-10-21,23.5,24.09,24.09,810400.0
2021-10-22,24.0,23.61,23.61,741000.0
2021-10-25,23.9,24.65,24.65,637700.0
2021-10-26,24.79,24.39,24.39,828700.0
2021-10-27,24.4,24.02,24.02,508800.0
2021-10-28,24.14,26.47,26.47,876100.0
2021-10-29,26.09,26.4,26.4,730800.0
2021-11-01,26.86,27.38,27.38,1226900.0
2021-11-02,27.48,30.43,30.43,1902200.0
2021-11-03,30.41,32.12,32.12,1792400.0
2021-11-04,32.31,30.59,30.59,1421100.0
2021-11-05,30.95,29.56,29.56,818500.0
2021-11-08,30.31,30.97,30.97,975300.0
2021-11-09,34.8,29.7,29.7,1363900.0
2021-11-10,29.77,29.22,29.22,1149700.0
2021-11-11,30.5,32.42,32.42,1050500.0
2021-11-12,32.42,33.78,33.78,985200.0
2021-11-15,33.89,32.61,32.61,1029700.0
2021-11-16,32.59,35.34,35.34,1340200.0
2021-11-17,35.34,34.69,34.69,970000.0
2021-11-18,33.83,35.55,35.55,1018100.0
2021-11-19,35.44,35.82,35.82,1045200.0
2021-11-22,36.14,35.04,35.04,1473000.0
2021-11-23,35.23,34.39,34.39,885300.0
2021-11-24,34.39,35.52,35.52,697700.0
2021-11-26,34.29,34.87,34.87,481400.0
2021-11-29,35.24,35.72,35.72,531300.0
2021-11-30,35.5,35.0,35.0,1646700.0
2021-12-01,36.25,33.05,33.05,1132700.0
2021-12-02,33.9,33.71,33.71,993200.0
2021-12-03,34.0,29.65,29.65,1601200.0
2021-12-06,30.82,31.53,31.53,1476000.0
2021-12-07,32.84,33.17,33.17,1045700.0
2021-12-08,32.58,33.2,33.2,694800.0
