date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2026-01-05,104.98,104.83,104.83,9523368.0
2026-01-06,105.58,107.61,107.61,9754803.0
2026-01-07,107.37,107.03,107.03,8364989.0
2026-01-08,107.83,106.59,106.59,7974617.0
2026-01-09,107.86,108.89,108.89,6512382.0
2026-01-12,107.51,108.93,108.93,8059719.0
2026-01-13,108.9,107.54,107.54,7995314.0
2026-01-14,109.05,109.64,109.64,7408625.0
2026-01-15,111.61,111.05,111.05,9862165.0
2026-01-16,111.78,112.22,112.22,7804100.0
2026-01-20,110.47,110.97,110.97,7949293.0
2026-01-21,114.0,115.66,115.66,10876719.0
2026-01-22,115.76,115.99,115.99,6094095.0
2026-01-23,115.29,117.97,117.97,8550215.0
2026-01-26,117.27,117.32,117.32,5085752.0
2026-01-27,121.29,122.7,122.7,10036292.0
2026-01-28,125.4,125.56,125.56,14622712.0
2026-01-29,125.92,124.5,124.5,13187029.0
2026-01-30,125.22,122.41,122.41,15376472.0
2026-02-02,118.76,120.93,120.93,15395916.0
2026-02-03,126.11,124.32,124.32,12638698.0
2026-02-04,126.46,120.26,120.26,21545501.0
2026-02-05,118.9,120.21,120.21,16250420.0
2026-02-06,121.35,124.71,124.71,11990075.0
2026-02-09,123.98,126.05,126.05,10426643.0
2026-02-10,125.46,124.45,124.45,7838569.0
2026-02-11,127.68,130.6,130.6,12884201.0
2026-02-12,133.33,130.8,130.8,16591808.0
2026-02-13,131.69,133.97,133.97,16584284.0
2026-02-17,132.32,130.68,130.68,16472150.0
2026-02-18,131.38,132.93,132.93,12057664.0
2026-02-19,134.18,135.21,135.21,13191940.0
2026-02-20,137.7,141.88,141.88,19435403.0
2026-02-23,140.62,139.3,139.3,15725277.0
2026-02-24,143.65,144.55,144.55,20212926.0
2026-02-25,149.05,148.89,148.89,16893168.0
2026-02-26,153.31,150.41,150.41,42546250.0
2026-02-27,148.17,151.37,151.37,17172958.0
2026-03-02,144.12,147.54,147.54,33984799.0
2026-03-03,130.04,132.34,132.34,65699578.0
2026-03-04,129.29,134.37,134.37,65494527.0
2026-03-05,129.57,125.74,125.74,61265806.0
2026-03-06,122.82,126.73,126.73,43780334.0
2026-03-09,123.7,133.89,133.89,46248466.0
2026-03-10,132.3,130.3,130.3,35090765.0
2026-03-11,131.22,132.85,132.85,25279379.0
2026-03-12,128.7,123.5,123.5,32466881.0
2026-03-13,127.75,124.15,124.15,23355483.0
2026-03-16,130.87,133.1,133.1,24762801.0
2026-03-17,134.76,134.43,134.43,15549861.0
2026-03-18,133.99,131.88,131.88,19764494.0
2026-03-19,128.41,134.82,134.82,21186410.0
2026-03-20,132.57,125.78,125.78,32030708.0
2026-03-23,131.71,133.81,133.81,32748819.0
2026-03-24,127.31,128.75,128.75,24789192.0
2026-03-25,129.54,127.74,127.74,25453228.0
2026-03-26,124.59,119.99,119.99,26420476.0
2026-03-27,121.74,120.98,120.98,16113144.0
2026-03-30,121.26,116.43,116.43,24644384.0
2026-03-31,115.15,123.01,123.01,40381765.0
2026-04-01,125.68,126.22,126.22,27872238.0
2026-04-02,117.52,122.87,122.87,17840267.0
2026-04-06,125.85,125.94,125.94,10830115.0
2026-04-07,126.45,127.19,127.19,14720338.0
2026-04-08,140.28,140.07,140.07,31700437.0
2026-04-09,136.2,139.29,139.29,19370222.0
2026-04-10,138.33,138.73,138.73,11230768.0
2026-04-13,136.1,141.23,141.23,13632281.0
2026-04-14,142.37,146.68,146.68,17301289.0
2026-04-15,144.67,144.92,144.92,16187527.0
2026-04-16,146.73,147.47,147.47,10132996.0
2026-04-17,151.15,152.33,152.33,20083636.0
2026-04-20,150.26,150.09,150.09,11825195.0
2026-04-21,152.2,146.79,146.79,12940184.0
2026-04-22,151.96,155.8,155.8,17034444.0
2026-04-23,153.29,150.59,150.59,18088547.0
2026-04-24,153.36,154.57,154.57,14966780.0
2026-04-27,157.02,156.73,156.73,11361174.0
2026-04-28,153.93,154.37,154.37,11492776.0
2026-04-29,156.25,153.96,153.96,12415887.0
2026-04-30,157.85,160.76,160.76,16803342.0
2026-05-01,159.91,162.0,162.0,9840023.0
2026-05-04,165.23,163.59,163.59,14601647.0
2026-05-05,168.34,173.47,173.47,21110444.0
2026-05-06,180.52,181.98,181.98,21163392.0
2026-05-07,181.3,176.75,176.75,17754678.0
2026-05-08,183.73,190.2,190.2,21526150.0
2026-05-11,190.87,192.85,192.85,17208340.0
2026-05-12,181.99,178.5,178.5,39313493.0
2026-05-13,187.51,188.63,188.63,18868353.0
2026-05-14,189.0,190.52,190.52,10027401.0
2026-05-15,178.96,178.86,178.86,21737591.0
2026-05-18,182.45,176.1,176.1,17191376.0
2026-05-19,168.27,174.02,174.02,17827442.0
2026-05-20,173.99,180.11,180.11,16040206.0
2026-05-21,183.05,186.42,186.42,20544986.0
2026-05-22,185.82,182.03,182.03,11829314.0
2026-05-26,194.38,200.65,200.65,21215889.0
2026-05-27,201.81,198.29,198.29,16780856.0
2026-05-28,197.72,206.36,206.36,17490443.0
2026-05-29,206.11,205.83,205.83,10494393
2026-06-01,211.47,216.7,216.7,19082154
2026-06-02,211.17,214.53,214.53,16543844
2026-06-03,214.14,212.96,212.96,13981632
2026-06-04,199.88,203.97,203.97,17900380
