date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2024-06-18,1.3195,1.196,1.196,217944101
2024-06-19,1.1958,1.5046,1.5046,287192479
2024-06-20,1.5046,1.6029,1.6029,471672763
2024-06-21,1.6036,1.5853,1.5853,192472460
2024-06-22,1.5856,1.4705,1.4705,119830409
2024-06-23,1.4704,1.4034,1.4034,111754760
2024-06-24,1.4018,1.6329,1.6329,267616485
2024-06-25,1.6332,1.5888,1.5888,196432788
2024-06-26,1.5886,1.7739,1.7739,298777943
2024-06-27,1.7738,1.5429,1.5429,311967535
2024-06-28,1.5441,1.4053,1.4053,189950684
2024-06-29,1.4053,1.3437,1.3437,94260151
2024-06-30,1.3437,1.4305,1.4305,137188865
2024-07-01,1.4304,1.2937,1.2937,144469008
2024-07-02,1.2939,1.3181,1.3181,114474744
2024-07-03,1.3182,1.2504,1.2504,119292683
2024-07-04,1.2502,1.225,1.225,142553519
2024-07-05,1.2259,1.1623,1.1623,224320955
2024-07-06,1.1626,1.2325,1.2325,141853799
2024-07-07,1.2317,1.1132,1.1132,105414396
2024-07-08,1.1136,1.1589,1.1589,172480195
2024-07-09,1.1586,1.2036,1.2036,103256316
2024-07-10,1.2037,1.194,1.194,116111664
2024-07-11,1.1939,1.1471,1.1471,98760468
2024-07-12,1.1473,1.1911,1.1911,94403172
2024-07-13,1.1905,1.1656,1.1656,70229400
2024-07-14,1.1656,1.2494,1.2494,106764834
2024-07-15,1.2488,1.421,1.421,220211146
2024-07-16,1.4206,1.4297,1.4297,213811165
2024-07-17,1.4297,1.4552,1.4552,214251111
2024-07-18,1.4542,1.4021,1.4021,132131727
2024-07-19,1.4023,1.4747,1.4747,147422312
2024-07-20,1.4747,1.4605,1.4605,100908503
2024-07-21,1.4605,1.4894,1.4894,125579750
2024-07-22,1.4894,1.3705,1.3705,119579095
2024-07-23,1.3705,1.2898,1.2898,125954255
2024-07-24,1.2898,1.2138,1.2138,106631951
2024-07-25,1.2138,1.1978,1.1978,101907122
2024-07-26,1.1978,1.2804,1.2804,92509040
2024-07-27,1.2804,1.277,1.277,110188958
2024-07-28,1.277,1.2462,1.2462,50406779
2024-07-29,1.2462,1.2143,1.2143,102064833
2024-07-30,1.2143,1.191,1.191,65403318
2024-07-31,1.191,1.155,1.155,76746501
2024-08-01,1.155,1.1445,1.1445,102497022
2024-08-02,1.1445,1.0662,1.0662,107104161
2024-08-03,1.0662,0.993,0.993,93434902
2024-08-04,0.993,0.9237,0.9237,123303225
2024-08-05,0.9237,0.7913,0.7913,367340278
2024-08-06,0.7913,0.8468,0.8468,148369333
2024-08-07,0.8468,0.8032,0.8032,136799649
2024-08-08,0.8032,0.8854,0.8854,149111684
2024-08-09,0.8854,0.8512,0.8512,107201580
2024-08-10,0.8512,0.8982,0.8982,79481795
2024-08-11,0.8982,0.8166,0.8166,121718408
2024-08-12,0.8166,0.8631,0.8631,126298609
2024-08-13,0.8631,0.8795,0.8795,85891102
2024-08-14,0.8795,0.876,0.876,103275123
2024-08-15,0.876,0.8289,0.8289,100589120
2024-08-16,0.8289,0.8277,0.8277,95670065
2024-08-17,0.8277,0.8382,0.8382,52244486
2024-08-18,0.8382,0.8165,0.8165,60125359
2024-08-19,0.8165,0.9151,0.9151,129654622
2024-08-20,0.9151,0.8721,0.8721,120754574
2024-08-21,0.8721,0.9603,0.9603,130542301
2024-08-22,0.9603,1.0152,1.0152,197588950
2024-08-23,1.0152,1.2034,1.2034,275197532
2024-08-24,1.2034,1.2661,1.2661,219755235
2024-08-25,1.2661,1.3662,1.3662,284993192
2024-08-26,1.3662,1.333,1.333,255498237
2024-08-27,1.333,1.2903,1.2903,405782624
2024-08-28,1.2903,1.1904,1.1904,384039312
2024-08-29,1.1904,1.1248,1.1248,223487662
2024-08-30,1.1248,1.1954,1.1954,217561939
2024-08-31,1.1954,1.1319,1.1319,169131557
2024-09-01,1.1319,1.1408,1.1408,215585861
2024-09-02,1.1408,1.235,1.235,227093430
2024-09-03,1.235,1.1206,1.1206,178282324
2024-09-04,1.1206,1.1391,1.1391,206387393
2024-09-05,1.1391,1.08,1.08,135890782
2024-09-06,1.08,1.0668,1.0668,198796452
2024-09-07,1.0668,1.0633,1.0633,96915232
2024-09-08,1.0633,1.1006,1.1006,102145377
2024-09-09,1.1006,1.201,1.201,216936523
2024-09-10,1.201,1.3422,1.3422,327646508
2024-09-11,1.3422,1.3541,1.3541,361086013
2024-09-12,1.3541,1.3812,1.3812,421308122
2024-09-13,1.3812,1.3785,1.3785,270498375
2024-09-14,1.3785,1.407,1.407,154553614
2024-09-15,1.407,1.3405,1.3405,176576394
2024-09-16,1.3405,1.2638,1.2638,207650245
2024-09-17,1.2638,1.3495,1.3495,214794646
2024-09-18,1.3495,1.4474,1.4474,294792326
2024-09-19,1.4474,1.488,1.488,381229060
2024-09-20,1.488,1.6331,1.6331,344865035
2024-09-21,1.6331,1.6317,1.6317,189142413
2024-09-22,1.6317,1.6156,1.6156,193097863
2024-09-23,1.6156,1.647,1.647,342903548
2024-09-24,1.647,1.7083,1.7083,306234420
2024-09-25,1.7083,1.6362,1.6362,243971281
2024-09-26,1.6362,1.6311,1.6311,248702853
2024-09-27,1.6311,1.6837,1.6837,283692614
2024-09-28,1.6837,1.5999,1.5999,182168983
