date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2024-07-01,186.0067,186.0067,186.0067,0
2024-07-02,187.1576,187.1576,187.1576,0
2024-07-03,188.1134,188.1134,188.1134,0
2024-07-05,189.1751,189.1751,189.1751,0
2024-07-08,189.3708,189.3708,189.3708,0
2024-07-09,189.5176,189.5176,189.5176,0
2024-07-10,191.4746,191.4746,191.4746,0
2024-07-11,189.8013,189.8013,189.8013,0
2024-07-12,190.8483,190.8483,190.8483,0
2024-07-15,191.4061,191.4061,191.4061,0
2024-07-16,192.6292,192.6292,192.6292,0
2024-07-17,189.9481,189.9481,189.9481,0
2024-07-18,188.4706,188.4706,188.4706,0
2024-07-19,187.13,187.13,187.13,0
2024-07-22,189.1555,189.1555,189.1555,0
2024-07-23,188.862,188.862,188.862,0
2024-07-24,184.4978,184.4978,184.4978,0
2024-07-25,183.5486,183.5486,183.5486,0
2024-07-26,185.5937,185.5937,185.5937,0
2024-07-29,185.7503,185.7503,185.7503,0
2024-07-30,184.8305,184.8305,184.8305,0
2024-07-31,187.766,187.766,187.766,0
2024-08-01,185.2024,185.2024,185.2024,0
2024-08-02,181.7971,181.7971,181.7971,0
2024-08-05,176.3566,176.3566,176.3566,0
2024-08-06,178.1864,178.1864,178.1864,0
2024-08-07,176.8165,176.8165,176.8165,0
2024-08-08,180.8871,180.8871,180.8871,0
2024-08-09,181.758,181.758,181.758,0
2024-08-12,181.7874,181.7874,181.7874,0
2024-08-13,184.8501,184.8501,184.8501,0
2024-08-14,185.5644,185.5644,185.5644,0
2024-08-15,188.6173,188.6173,188.6173,0
2024-08-16,189.0185,189.0185,189.0185,0
2024-08-19,190.8777,190.8777,190.8777,0
2024-08-20,190.4961,190.4961,190.4961,0
2024-08-21,191.318,191.318,191.318,0
2024-08-22,189.6056,189.6056,189.6056,0
2024-08-23,191.7877,191.7877,191.7877,0
2024-08-26,191.1908,191.1908,191.1908,0
2024-08-27,191.5137,191.5137,191.5137,0
2024-08-28,190.3689,190.3689,190.3689,0
2024-08-29,190.3689,190.3689,190.3689,0
2024-08-30,192.3161,192.3161,192.3161,0
2024-09-03,188.2651,188.2651,188.2651,0
2024-09-04,187.9715,187.9715,187.9715,0
2024-09-05,187.4138,187.4138,187.4138,0
2024-09-06,184.2043,184.2043,184.2043,0
2024-09-09,186.357,186.357,186.357,0
2024-09-10,187.1887,187.1887,187.1887,0
2024-09-11,189.1849,189.1849,189.1849,0
2024-09-12,190.6135,190.6135,190.6135,0
2024-09-13,191.6703,191.6703,191.6703,0
2024-09-16,191.9541,191.9541,191.9541,0
2024-09-17,192.003,192.003,192.003,0
2024-09-18,191.455,191.455,191.455,0
2024-09-19,194.7135,194.7135,194.7135,0
2024-09-20,194.3416,194.3416,194.3416,0
2024-09-23,194.8896,194.8896,194.8896,0
2024-09-24,195.3788,195.3788,195.3788,0
2024-09-25,195.0168,195.0168,195.0168,0
2024-09-26,195.8094,195.8094,195.8094,0
2024-09-27,195.5745,195.5745,195.5745,0
2024-09-30,196.416,196.416,196.416,0
2024-10-01,194.596,194.596,194.596,0
2024-10-02,194.6352,194.6352,194.6352,0
2024-10-03,194.3025,194.3025,194.3025,0
2024-10-04,196.0911,196.0911,196.0911,0
2024-10-07,194.2161,194.2161,194.2161,0
2024-10-08,196.1009,196.1009,196.1009,0
2024-10-09,197.4949,197.4949,197.4949,0
2024-10-10,197.1219,197.1219,197.1219,0
2024-10-11,198.3195,198.3195,198.3195,0
2024-10-14,199.8411,199.8411,199.8411,0
2024-10-15,198.3391,198.3391,198.3391,0
2024-10-16,199.2718,199.2718,199.2718,0
2024-10-17,199.2423,199.2423,199.2423,0
2024-10-18,200.0375,200.0375,200.0375,0
2024-10-21,199.6841,199.6841,199.6841,0
2024-10-22,199.5859,199.5859,199.5859,0
2024-10-23,197.76,197.76,197.76,0
2024-10-24,198.1821,198.1821,198.1821,0
2024-10-25,198.1232,198.1232,198.1232,0
2024-10-28,198.6533,198.6533,198.6533,0
2024-10-29,198.9773,198.9773,198.9773,0
2024-10-30,198.3195,198.3195,198.3195,0
2024-10-31,194.648,194.648,194.648,0
2024-11-01,195.453,195.453,195.453,0
2024-11-04,194.9131,194.9131,194.9131,0
2024-11-05,197.3084,197.3084,197.3084,0
2024-11-06,202.2953,202.2953,202.2953,0
2024-11-07,203.8071,203.8071,203.8071,0
2024-11-08,204.6121,204.6121,204.6121,0
2024-11-11,204.8084,204.8084,204.8084,0
2024-11-12,204.2292,204.2292,204.2292,0
2024-11-13,204.2882,204.2882,204.2882,0
2024-11-14,203.0709,203.0709,203.0709,0
2024-11-15,200.4203,200.4203,200.4203,0
2024-11-18,201.2351,201.2351,201.2351,0
2024-11-19,202.0401,202.0401,202.0401,0
2024-11-20,202.0499,202.0499,202.0499,0
2024-11-21,203.1592,203.1592,203.1592,0
2024-11-22,203.866,203.866,203.866,0
2024-11-25,204.4845,204.4845,204.4845,0
2024-11-26,205.6723,205.6723,205.6723,0
2024-11-27,204.8968,204.8968,204.8968,0
2024-11-29,206.065,206.065,206.065,0
2024-12-02,206.5951,206.5951,206.5951,0
2024-12-03,206.6933,206.6933,206.6933,0
