date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2013-04-29,20.01,20.4,20.4,92376959.0
2013-04-30,20.4,20.54,20.54,92613843.0
2013-05-01,20.5,20.43,20.43,58418148.0
2013-05-02,20.43,20.66,20.66,81034603.0
2013-05-03,20.85,21.06,21.06,100880714.0
2013-05-06,21.13,21.46,21.46,85973045.0
2013-05-07,21.49,21.35,21.35,78653713.0
2013-05-08,21.34,21.76,21.76,99102072.0
2013-05-09,21.69,21.71,21.71,88353936.0
2013-05-10,21.8,21.92,21.92,76192522.0
2013-05-13,21.89,21.86,21.86,58157173.0
2013-05-14,21.86,22.09,22.09,63408784.0
2013-05-15,22.3,22.81,22.81,160033605.0
2013-05-16,22.89,22.51,22.51,128865215.0
2013-05-17,22.67,22.64,22.64,112098604.0
2013-05-20,22.54,22.63,22.63,91248746.0
2013-05-21,22.62,22.59,22.59,79617311.0
2013-05-22,22.48,22.15,22.15,102807910.0
2013-05-23,21.84,21.99,21.99,91345105.0
2013-05-24,21.8,21.75,21.75,92216359.0
2013-05-28,22.01,21.95,21.95,90638467.0
2013-05-29,21.81,21.63,21.63,80837869.0
2013-05-30,21.67,21.69,21.69,85145956.0
2013-05-31,21.62,21.7,21.7,79071272.0
2013-06-03,21.74,21.61,21.61,99399181.0
2013-06-04,21.62,21.4,21.4,75024159.0
2013-06-05,21.48,21.41,21.41,84587872.0
2013-06-06,21.53,21.54,21.54,103550684.0
2013-06-07,21.68,21.91,21.91,107385002.0
2013-06-10,21.97,22.17,22.17,93862506.0
2013-06-11,22.02,21.91,21.91,70567517.0
2013-06-12,22.05,21.72,21.72,88522565.0
2013-06-13,21.64,21.84,21.84,83106340.0
2013-06-14,21.92,21.79,21.79,90136592.0
2013-06-17,21.9,22.07,22.07,86173794.0
2013-06-18,22.13,22.43,22.43,87000883.0
2013-06-19,22.45,22.43,22.43,117073180.0
2013-06-20,22.27,22.04,22.04,135385563.0
2013-06-21,22.13,21.94,21.94,159889066.0
2013-06-24,21.72,21.66,21.66,121128323.0
2013-06-25,21.85,21.57,21.57,102510801.0
2013-06-26,21.76,21.76,21.76,73530581.0
2013-06-27,21.89,21.84,21.84,77348840.0
2013-06-28,21.79,21.93,21.93,94324230.0
2013-07-01,22.08,22.11,22.11,69250599.0
2013-07-02,22.17,21.98,21.98,75943592.0
2013-07-03,21.92,22.08,22.08,42036977.0
2013-07-05,22.17,22.25,22.25,68331166.0
2013-07-08,22.4,22.54,22.54,79075287.0
2013-07-09,22.69,22.55,22.55,79472771.0
2013-07-10,22.5,22.57,22.57,68592140.0
2013-07-11,22.74,22.92,22.92,103755449.0
2013-07-12,22.91,22.99,22.99,103113050.0
2013-07-15,23.02,23.03,23.03,78713937.0
2013-07-16,23.09,22.9,22.9,79617311.0
2013-07-17,22.94,22.88,22.88,60469809.0
2013-07-18,22.89,22.68,22.68,145924920.0
2013-07-19,22.08,22.33,22.33,295475379.0
2013-07-22,22.47,22.68,22.68,116563276.0
2013-07-23,22.68,22.51,22.51,82134711.0
2013-07-24,22.6,22.49,22.49,83451629.0
2013-07-25,22.26,22.11,22.11,120493954.0
2013-07-26,22.09,22.05,22.05,71374530.0
2013-07-29,22.04,21.97,21.97,75959652.0
2013-07-30,22.05,22.19,22.19,70487217.0
2013-07-31,22.24,22.11,22.11,87265872.0
2013-08-01,22.29,22.52,22.52,85856610.0
2013-08-02,22.5,22.58,22.58,68812965.0
2013-08-05,22.55,22.54,22.54,52584363.0
2013-08-06,22.53,22.33,22.33,60469809.0
2013-08-07,22.29,22.18,22.18,55374783.0
2013-08-08,22.3,22.23,22.23,59743096.0
2013-08-09,22.18,22.18,22.18,53146462.0
2013-08-12,22.09,22.06,22.06,55286453.0
2013-08-13,22.09,21.95,21.95,57004870.0
2013-08-14,21.88,21.66,21.66,83600184.0
2013-08-15,21.53,21.41,21.41,75048249.0
2013-08-16,21.45,21.34,21.34,67255147.0
2013-08-19,21.36,21.56,21.56,72707508.0
2013-08-20,21.63,21.55,21.55,49504863.0
2013-08-21,21.68,21.65,21.65,70555472.0
2013-08-22,21.74,21.76,21.76,34926424.0
2013-08-23,21.86,21.67,21.67,43245489.0
2013-08-26,21.67,21.58,21.58,42257801.0
2013-08-27,21.41,21.17,21.17,69623993.0
2013-08-28,21.18,21.13,21.13,53395392.0
2013-08-29,21.15,21.31,21.31,59361671.0
2013-08-30,21.31,21.09,21.09,74743109.0
2013-09-03,21.28,21.43,21.43,82210996.0
2013-09-04,21.43,21.71,21.71,81954037.0
2013-09-05,21.76,21.91,21.91,51845604.0
2013-09-06,21.98,21.91,21.91,62698130.0
2013-09-09,22.01,22.12,22.12,49569103.0
2013-09-10,22.17,22.13,22.13,51697050.0
2013-09-11,22.13,22.32,22.32,64665477.0
2013-09-12,22.35,22.24,22.24,43984248.0
2013-09-13,22.28,22.14,22.14,53214717.0
2013-09-16,22.32,22.11,22.11,53660381.0
2013-09-17,22.1,22.07,22.07,50564822.0
2013-09-18,22.08,22.5,22.5,77678069.0
