date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2020-05-05,66.2872,66.8582,66.8582,39666000
2020-05-06,67.3032,66.6802,66.6802,31732000
2020-05-07,67.4673,67.8623,67.8623,30652000
2020-05-08,68.4837,68.6086,68.6086,33326000
2020-05-11,68.2344,69.5627,69.5627,32718000
2020-05-12,69.7921,68.1547,68.1547,33918000
2020-05-13,68.2032,66.824,66.824,40368000
2020-05-14,66.09,67.2467,67.2467,36660000
2020-05-15,66.8205,68.0496,68.0496,41544000
2020-05-18,67.4806,68.6503,68.6503,47094000
2020-05-19,68.6651,68.116,68.116,31586000
2020-05-20,68.8475,69.8387,69.8387,38262000
2020-05-21,69.9294,69.7193,69.7193,30894000
2020-05-22,69.578,70.0409,70.0409,28544000
2020-05-26,71.4643,70.4439,70.4439,44590000
2020-05-27,70.376,70.3898,70.3898,31684000
2020-05-28,69.3847,70.2887,70.2887,35170000
2020-05-29,70.3973,71.046,71.046,37044000
2020-06-01,70.6585,71.1129,71.1129,25162000
2020-06-02,71.1194,71.4816,71.4816,23442000
2020-06-03,71.501,71.33,71.33,27732000
2020-06-04,71.2076,70.0935,70.0935,26982000
2020-06-05,70.1599,71.3682,71.3682,42642000
2020-06-08,70.6872,71.7656,71.7656,33878000
2020-06-09,71.6269,71.9659,71.9659,33624000
2020-06-10,72.4332,72.5913,72.5913,31762000
2020-06-11,71.4182,69.4789,69.4789,47144000
2020-06-12,70.6664,70.0251,70.0251,36676000
2020-06-15,68.8639,70.4126,70.4126,30468000
2020-06-16,71.8132,71.6878,71.6878,30648000
2020-06-17,72.0085,71.9887,71.9887,30610000
2020-06-18,71.8553,71.0758,71.0758,34862000
2020-06-19,71.3672,70.6059,70.6059,52784000
2020-06-22,70.6243,71.8955,71.8955,29442000
2020-06-23,71.9619,72.5556,72.5556,37752000
2020-06-24,72.5209,71.0054,71.0054,31592000
2020-06-25,70.932,71.4217,71.4217,23958000
2020-06-26,71.0019,67.5282,67.5282,97640000
2020-06-29,67.4192,69.2445,69.2445,45074000
2020-06-30,69.2301,70.2793,70.2793,40286000
2020-07-01,70.3348,71.4663,71.4663,42182000
2020-07-02,71.954,72.8505,72.8505,57218000
2020-07-06,73.7535,74.3235,74.3235,44712000
2020-07-07,74.149,73.8412,73.8412,42364000
2020-07-08,74.3804,74.5192,74.5192,31766000
2020-07-09,74.8329,75.2656,75.2656,41836000
2020-07-10,74.9975,76.2742,76.2742,35918000
2020-07-13,76.8159,74.9469,74.9469,42954000
2020-07-14,73.9835,75.3746,75.3746,38108000
2020-07-15,75.4921,75.1774,75.1774,31026000
2020-07-16,74.4151,75.0802,75.0802,26484000
2020-07-17,75.1789,75.1759,75.1759,34264000
2020-07-20,75.0842,77.5047,77.5047,30166000
2020-07-21,78.5549,77.1122,77.1122,27486000
2020-07-22,77.1018,77.5548,77.5548,24482000
2020-07-23,77.6083,75.171,75.171,33910000
2020-07-24,74.3006,74.7477,74.7477,29902000
2020-07-27,74.998,75.7994,75.7994,27124000
2020-07-28,75.5798,74.5217,74.5217,30910000
2020-07-29,74.5886,75.506,75.506,22676000
2020-07-30,74.2402,76.2424,76.2424,36042000
2020-07-31,74.1946,73.7436,73.7436,91468000
2020-08-03,73.8948,73.4864,73.4864,45482000
2020-08-04,73.6822,73.0175,73.0175,37212000
2020-08-05,73.192,73.3045,73.3045,29134000
2020-08-06,73.1588,74.5861,74.5861,33306000
2020-08-07,74.7888,74.26,74.26,27718000
2020-08-10,73.8849,74.1832,74.1832,20546000
2020-08-11,74.0434,73.3764,73.3764,31098000
2020-08-12,73.7025,74.6996,74.6996,22512000
2020-08-13,74.7477,75.166,75.166,22388000
2020-08-14,75.0153,74.5703,74.5703,21942000
2020-08-17,75.1323,75.1457,75.1457,19990000
2020-08-18,75.6353,77.1053,77.1053,28378000
2020-08-19,76.9422,76.5517,76.5517,30472000
2020-08-20,76.3217,78.1198,78.1198,26382000
2020-08-21,77.8992,78.0861,78.0861,34838000
2020-08-24,78.9237,78.5609,78.5609,25638000
2020-08-25,78.3106,79.5868,79.5868,25150000
2020-08-26,79.6091,81.484,81.484,52188000
2020-08-27,81.6069,80.7103,80.7103,31350000
2020-08-28,80.7574,81.251,81.251,22418000
2020-08-31,81.4562,80.7604,80.7604,26422000
2020-09-01,80.8907,82.0266,82.0266,22652000
2020-09-02,82.6675,85.1148,85.1148,49522000
2020-09-03,84.2291,80.7594,80.7594,63726000
2020-09-04,79.7429,78.3656,78.3656,55850000
2020-09-08,75.5798,75.5104,75.5104,54032000
2020-09-09,76.7643,76.6815,76.6815,39242000
2020-09-10,76.8278,75.6319,75.6319,33024000
2020-09-11,75.7359,75.1219,75.1219,30706000
2020-09-14,75.9094,74.7784,74.7784,42660000
2020-09-15,75.7231,76.0814,76.0814,23042000
2020-09-16,76.4461,74.94,74.94,22128000
2020-09-17,73.6375,73.6985,73.6985,40008000
2020-09-18,73.7609,71.9168,71.9168,63056000
2020-09-21,70.9518,70.8785,70.8785,56908000
2020-09-22,71.8786,72.3494,72.3494,33950000
2020-09-23,71.9664,69.8501,69.8501,37726000
2020-09-24,69.5176,70.5177,70.5177,34552000
2020-09-25,70.6263,71.3206,71.3206,30326000
2020-09-28,72.9526,72.292,72.292,30784000
2020-09-29,72.5522,72.6567,72.6567,31816000
2020-09-30,72.405,72.6359,72.6359,40924000
2020-10-01,73.531,73.7411,73.7411,32884000
2020-10-02,72.34,72.1403,72.1403,31222000
2020-10-05,72.4897,73.4898,73.4898,21602000
2020-10-06,73.1266,71.9133,71.9133,26096000
2020-10-07,72.3242,72.3158,72.3158,36108000
2020-10-08,72.6285,73.5196,73.5196,26076000
2020-10-09,73.9869,74.8587,74.8587,32966000
2020-10-12,76.2241,77.5419,77.5419,55344000
2020-10-13,78.1575,77.6648,77.6648,39072000
2020-10-14,78.038,77.4849,77.4849,33174000
2020-10-15,76.5462,77.0899,77.0899,31210000
2020-10-16,77.4051,77.6961,77.6961,34194000
2020-10-19,78.1039,75.8251,75.8251,29734000
2020-10-20,75.4861,76.8724,76.8724,41670000
2020-10-21,77.8026,78.6025,78.6025,60322000
2020-10-22,78.5534,79.6269,79.6269,30512000
2020-10-23,80.0427,80.9314,80.9314,30548000
2020-10-26,80.0403,78.5183,78.5183,35826000
2020-10-27,78.7482,79.2413,79.2413,25902000
2020-10-28,76.8193,74.8761,74.8761,45174000
2020-10-29,75.1843,77.1598,77.1598,55406000
2020-10-30,82.6392,80.0953,80.0953,99878000
2020-11-02,80.4635,80.5022,80.5022,44228000
2020-11-03,80.8213,81.5598,81.5598,31432000
2020-11-04,84.5295,86.5253,86.5253,71342000
2020-11-05,87.7444,87.3504,87.3504,39758000
2020-11-06,86.7974,87.2132,87.2132,28622000
2020-11-09,89.0097,87.2969,87.2969,53440000
2020-11-10,85.7283,86.1223,86.1223,43022000
2020-11-11,86.6516,86.5937,86.5937,31838000
2020-11-12,86.3345,86.3751,86.3751,26474000
2020-11-13,86.6318,87.8341,87.8341,29744000
2020-11-16,87.4317,87.9219,87.9219,25468000
2020-11-17,87.6161,87.3088,87.3088,21314000
2020-11-18,87.06,86.2671,86.2671,20108000
2020-11-19,85.8998,87.1557,87.1557,20106000
2020-11-20,87.3257,86.0559,86.0559,27694000
2020-11-23,86.2462,85.6188,85.6188,22530000
2020-11-24,85.6158,87.4198,87.4198,27984000
2020-11-25,87.6136,87.4312,87.4312,19600000
2020-11-27,87.4516,88.5657,88.5657,14790000
2020-11-30,88.0022,86.949,86.949,32418000
2020-12-01,87.5566,88.979,88.979,37350000
2020-12-02,88.979,90.4465,90.4465,29424000
2020-12-03,90.2269,90.2914,90.2914,24728000
2020-12-04,90.2111,90.3865,90.3865,20544000
2020-12-07,89.9796,90.053,90.053,22288000
2020-12-08,89.6312,89.7705,89.7705,19936000
2020-12-09,89.7224,88.1117,88.1117,31728000
2020-12-10,87.3554,87.6057,87.6057,28688000
2020-12-11,87.2266,87.96,87.96,18628000
2020-12-14,87.7578,86.8429,86.8429,33050000
2020-12-15,87.2196,87.2801,87.2801,21352000
2020-12-16,87.678,87.0873,87.0873,24676000
2020-12-17,87.4213,86.2606,86.2606,34880000
2020-12-18,86.5411,85.5524,85.5524,85256000
2020-12-21,84.7054,85.9657,85.9657,33974000
2020-12-22,85.7065,85.255,85.255,20370000
2020-12-23,85.4389,85.652,85.652,22974000
2020-12-24,85.6902,85.9459,85.9459,9312000
2020-12-28,86.4787,87.9184,87.9184,27650000
2020-12-29,88.5761,87.1155,87.1155,19726000
2020-12-30,87.4743,86.0495,86.0495,21026000
2020-12-31,86.1,86.8618,86.8618,21070000
2021-01-04,87.2265,85.5479,85.5479,37324000
2021-01-05,85.4964,86.2378,86.2378,20360000
2021-01-06,84.2658,85.3868,85.3868,46588000
2021-01-07,85.5792,87.9372,87.9372,41936000
2021-01-08,88.077,89.1014,89.1014,35484000
2021-01-11,88.0701,87.0427,87.0427,34796000
2021-01-12,86.501,86.1079,86.1079,29528000
2021-01-13,85.6069,86.5946,86.5946,23432000
2021-01-14,86.6749,85.7853,85.7853,29212000
2021-01-15,85.6911,85.6218,85.6218,31444000
2021-01-19,86.384,88.4393,88.4393,41660000
2021-01-20,90.5159,93.1773,93.1773,64152000
2021-01-21,93.8503,93.3795,93.3795,58634000
2021-01-22,93.7418,93.7963,93.7963,32744000
2021-01-25,94.7964,93.8815,93.8815,50586000
2021-01-26,93.4707,94.559,94.559,31462000
2021-01-27,92.9215,90.1476,90.1476,82512000
2021-01-28,90.7454,91.8456,91.8456,55278000
2021-01-29,90.895,90.5649,90.5649,44530000
2021-02-01,91.4189,93.8216,93.8216,40252000
2021-02-02,94.8157,95.1126,95.1126,66332000
2021-02-03,102.3727,102.0392,102.0392,97882000
2021-02-04,102.1254,101.779,101.779,48596000
2021-02-05,102.0729,103.5235,103.5235,29866000
2021-02-08,104.0771,103.3099,103.3099,28828000
2021-02-09,102.8282,102.8574,102.8574,21892000
2021-02-10,103.2415,103.4071,103.4071,25102000
2021-02-11,103.6311,103.5196,103.5196,20480000
2021-02-12,103.0745,103.8308,103.8308,18990000
2021-02-16,103.6682,104.6074,104.6074,31004000
2021-02-17,103.7788,105.0,105.0,20294000
2021-02-18,104.3249,104.3651,104.3651,22546000
2021-02-19,104.4632,103.5225,103.5225,37938000
2021-02-22,101.7775,101.8102,101.8102,29466000
2021-02-23,99.8144,102.1007,102.1007,34658000
2021-02-24,100.6099,103.2747,103.2747,22608000
2021-02-25,101.893,99.9116,99.9116,41548000
2021-02-26,100.6054,100.2069,100.2069,40042000
2021-03-01,101.5,102.5735,102.5735,26060000
2021-03-02,102.3346,102.3167,102.3167,25564000
2021-03-03,101.6957,99.6866,99.6866,33892000
2021-03-04,99.858,100.8027,100.8027,49216000
2021-03-05,102.1517,103.9319,103.9319,53100000
2021-03-08,103.2871,99.4928,99.4928,36868000
2021-03-09,101.5867,101.1213,101.1213,33920000
2021-03-10,102.1641,100.9147,100.9147,27100000
2021-03-11,102.0065,104.1039,104.1039,27702000
2021-03-12,102.908,101.5991,101.5991,33818000
2021-03-15,101.3503,101.8191,101.8191,26168000
2021-03-16,102.3916,103.2787,103.2787,31900000
2021-03-17,102.5145,103.1959,103.1959,26382000
2021-03-18,101.5089,100.1787,100.1787,31700000
2021-03-19,100.5945,100.4572,100.4572,46072000
2021-03-22,100.4904,100.6421,100.6421,33536000
2021-03-23,101.101,101.1694,101.1694,28510000
2021-03-24,101.6863,100.7333,100.7333,25218000
2021-03-25,100.5608,100.7298,100.7298,35616000
2021-03-26,100.6966,100.3467,100.3467,27978000
2021-03-29,100.2193,101.3904,101.3904,26492000
2021-03-30,101.7468,101.4241,101.4241,27312000
2021-03-31,101.8172,102.2196,102.2196,42570000
2021-04-01,103.693,105.553,105.553,39880000
2021-04-05,106.4139,109.9728,109.9728,48510000
2021-04-06,109.5744,109.4921,109.4921,35240000
2021-04-07,109.6824,110.9675,110.9675,24134000
2021-04-08,112.2051,111.5325,111.5325,28664000
2021-04-09,111.2852,112.5356,112.5356,26146000
2021-04-12,111.7154,111.2446,111.2446,25024000
2021-04-13,111.5603,111.7308,111.7308,25682000
2021-04-14,112.375,111.1103,111.1103,21002000
2021-04-15,112.1035,113.2582,113.2582,29174000
2021-04-16,113.4559,113.1343,113.1343,26282000
2021-04-19,112.5113,113.4817,113.4817,30290000
2021-04-20,113.8648,112.949,112.949,22288000
2021-04-21,112.604,112.9163,112.9163,23204000
2021-04-22,112.77,111.6361,111.6361,24146000
2021-04-23,112.3537,113.9858,113.9858,29066000
2021-04-26,114.2132,114.4814,114.4814,32038000
2021-04-27,114.863,113.5422,113.5422,44386000
2021-04-28,118.5736,116.9153,116.9153,81106000
2021-04-29,118.4115,118.5865,118.5865,41234000
2021-04-30,117.3604,116.6407,116.6407,44856000
2021-05-03,117.2062,116.1243,116.1243,28242000
2021-05-04,114.6608,114.3277,114.3277,44818000
2021-05-05,115.4082,114.7212,114.7212,26636000
2021-05-06,114.303,115.8403,115.8403,25190000
2021-05-07,117.1557,116.5629,116.5629,28898000
2021-05-10,115.3839,113.5804,113.5804,30914000
2021-05-11,111.1678,112.5054,112.5054,34186000
2021-05-12,110.3312,109.0456,109.0456,46376000
2021-05-13,110.3277,110.4724,110.4724,33204000
2021-05-14,111.9345,112.9177,112.9177,31996000
2021-05-17,112.1837,113.4401,113.4401,21598000
2021-05-18,114.1057,112.1292,112.1292,22204000
2021-05-19,110.4422,112.5768,112.5768,23684000
2021-05-20,113.5432,114.3337,114.3337,32352000
2021-05-21,114.8521,113.6983,113.6983,40632000
2021-05-24,114.7272,117.0144,117.0144,31832000
2021-05-25,117.5576,117.1051,117.1051,22440000
2021-05-26,117.286,117.9694,117.9694,21572000
2021-05-27,118.4026,117.0957,117.0957,35224000
2021-05-28,117.6775,116.8067,116.8067,21482000
2021-06-01,117.6785,118.0126,118.0126,23354000
2021-06-02,118.4076,117.4877,117.4877,21158000
2021-06-03,116.2556,116.3473,116.3473,18696000
2021-06-04,117.4223,118.6266,118.6266,24458000
2021-06-07,118.4219,119.0593,119.0593,24120000
2021-06-08,119.5405,118.868,118.868,24240000
2021-06-09,119.5118,119.3388,119.3388,17942000
2021-06-10,119.2882,120.6863,120.6863,25904000
2021-06-11,120.9277,120.442,120.442,21958000
2021-06-14,120.5441,121.3693,121.3693,22098000
2021-06-15,121.3738,120.3523,120.3523,21562000
2021-06-16,120.5035,119.711,119.711,26472000
2021-06-17,119.6367,120.6735,120.6735,25842000
2021-06-18,120.3003,119.0553,119.0553,46116000
2021-06-21,119.4414,120.7419,120.7419,27414000
2021-06-22,120.6799,121.2553,121.2553,22390000
2021-06-23,121.0204,121.0536,121.0536,19148000
2021-06-24,121.6215,121.4233,121.4233,21362000
2021-06-25,120.9277,121.4317,121.4317,34594000
2021-06-28,121.6002,121.459,121.459,28526000
2021-06-29,121.5923,121.1978,121.1978,23108000
2021-06-30,120.9223,121.0164,121.0164,24474000
2021-07-01,120.6551,121.3683,121.3683,18110000
2021-07-02,122.0676,124.1566,124.1566,25982000
2021-07-06,124.5441,125.0809,125.0809,26404000
2021-07-07,126.0443,125.3624,125.3624,24060000
2021-07-08,122.9359,123.9449,123.9449,23790000
2021-07-09,123.9261,124.4153,124.4153,18632000
2021-07-12,125.069,125.8595,125.8595,17668000
2021-07-13,125.9219,126.2223,126.2223,19240000
2021-07-14,126.8333,127.1099,127.1099,23742000
2021-07-15,127.5183,125.8887,125.8887,24218000
2021-07-16,126.5409,125.854,125.854,20424000
2021-07-19,124.9813,123.483,123.483,27968000
2021-07-20,124.4242,125.1002,125.1002,26312000
2021-07-21,125.0249,126.4279,126.4279,20746000
2021-07-22,126.7203,127.2927,127.2927,14302000
2021-07-23,129.2841,131.8459,131.8459,41506000
2021-07-26,132.1567,132.8569,132.8569,30572000
2021-07-27,133.0705,130.7407,130.7407,54710000
2021-07-28,135.1139,134.8978,134.8978,95130000
2021-07-29,134.9534,134.5841,134.5841,31716000
2021-07-30,133.8481,133.5423,133.5423,25576000
2021-08-02,133.9294,133.6692,133.6692,21634000
2021-08-03,133.9473,134.4379,134.4379,20762000
2021-08-04,134.1599,133.9379,133.9379,19676000
2021-08-05,134.488,135.0539,135.0539,17870000
2021-08-06,134.8463,134.5455,134.5455,20488000
2021-08-09,134.7477,135.7096,135.7096,17760000
2021-08-10,136.1349,135.6046,135.6046,19414000
2021-08-11,135.9757,135.0812,135.0812,15352000
2021-08-12,134.7804,135.9882,135.9882,16506000
2021-08-13,136.0437,136.517,136.517,15948000
2021-08-16,136.3162,137.0938,137.0938,22384000
2021-08-17,136.5393,135.4603,135.4603,21716000
2021-08-18,135.3003,134.2585,134.2585,19258000
2021-08-19,133.2539,134.4875,134.4875,21782000
2021-08-20,134.8046,136.2216,136.2216,31194000
2021-08-23,136.7568,138.8106,138.8106,28454000
2021-08-24,139.3756,140.0199,140.0199,19268000
2021-08-25,140.3802,140.8302,140.8302,15848000
2021-08-26,140.5041,140.1974,140.1974,20610000
2021-08-27,140.4074,142.7383,142.7383,28780000
2021-08-30,143.1308,143.3197,143.3197,24434000
2021-08-31,143.8713,143.4257,143.4257,22448000
2021-09-01,143.7256,143.9392,143.9392,21936000
2021-09-02,143.9397,142.0276,142.0276,32342000
2021-09-03,141.8229,142.4761,142.4761,19850000
2021-09-07,142.5703,143.0124,143.0124,20124000
2021-09-08,142.8335,142.4281,142.4281,18344000
2021-09-09,142.5762,142.2794,142.2794,15314000
2021-09-10,142.945,139.6378,139.6378,36840000
2021-09-13,140.7018,141.0815,141.0815,22094000
2021-09-14,141.7387,141.2916,141.2916,19674000
2021-09-15,141.5166,143.1601,143.1601,27408000
2021-09-16,142.6853,142.3478,142.3478,26190000
2021-09-17,141.7734,139.5625,139.5625,53384000
2021-09-20,136.9471,137.5002,137.5002,46518000
2021-09-21,138.5212,137.811,137.811,25332000
2021-09-22,138.0796,139.0505,139.0505,25056000
2021-09-23,139.7483,139.9748,139.9748,20952000
2021-09-24,139.3033,140.965,140.965,22984000
2021-09-27,139.5669,139.8321,139.8321,21882000
2021-09-28,137.4363,134.6362,134.6362,45772000
2021-09-29,135.776,133.1726,133.1726,30848000
2021-09-30,133.0814,132.5011,132.5011,37996000
2021-10-01,133.2658,135.3429,135.3429,35360000
2021-10-04,134.7655,132.4847,132.4847,51202000
2021-10-05,132.8629,134.8274,134.8274,32404000
2021-10-06,133.5656,136.3559,136.3559,24364000
2021-10-07,137.6712,138.0013,138.0013,25110000
2021-10-08,138.3502,138.5569,138.5569,26526000
2021-10-11,138.0677,137.6931,137.6931,17954000
2021-10-12,138.2541,135.2497,135.2497,36332000
2021-10-13,136.1948,136.3727,136.3727,19654000
2021-10-14,138.2481,139.9104,139.9104,31894000
2021-10-15,140.3698,140.1255,140.1255,30274000
2021-10-18,139.8365,141.5231,141.5231,20396000
2021-10-19,142.1272,141.9781,141.9781,20164000
2021-10-20,142.0782,140.523,140.523,23288000
2021-10-21,140.523,140.6389,140.6389,26292000
2021-10-22,137.927,136.3574,136.3574,50588000
2021-10-25,136.341,136.239,136.239,34412000
2021-10-26,138.0395,138.0841,138.0841,49236000
2021-10-27,138.1797,144.9324,144.9324,85782000
2021-10-28,145.8413,144.5671,144.5671,36206000
2021-10-29,143.8029,146.7448,146.7448,43320000
2021-11-01,146.7448,142.2358,142.2358,46924000
2021-11-02,143.3087,144.1542,144.1542,33482000
2021-11-03,144.6181,145.3095,145.3095,27494000
2021-11-04,145.8314,146.9643,146.9643,38412000
2021-11-05,147.8584,147.5437,147.5437,38354000
2021-11-08,148.5082,147.7211,147.7211,23052000
2021-11-09,147.9214,147.6096,147.6096,19530000
2021-11-10,146.2036,144.6112,144.6112,29970000
2021-11-11,145.202,144.4853,144.4853,16518000
2021-11-12,145.3269,147.3712,147.3712,22360000
2021-11-15,147.5918,147.1472,147.1472,23508000
2021-11-16,146.8474,146.5763,146.5763,18904000
2021-11-17,146.7265,146.7458,146.7458,19594000
2021-11-18,146.9386,148.5215,148.5215,35608000
2021-11-19,148.6573,147.6175,147.6175,33682000
2021-11-22,148.02,145.0161,145.0161,30594000
2021-11-23,144.8684,144.5007,144.5007,27218000
2021-11-24,144.1949,144.8357,144.8357,18040000
2021-11-26,143.0798,140.9333,140.9333,30470000
2021-11-29,142.7344,144.2514,144.2514,32596000
2021-11-30,143.734,140.6503,140.6503,42068000
2021-12-01,142.7344,139.8118,139.8118,34020000
2021-12-02,140.0085,141.7094,141.7094,29194000
2021-12-03,142.4181,140.7534,140.7534,41230000
2021-12-06,141.7833,141.8968,141.8968,30618000
2021-12-07,144.3168,145.9751,145.9751,32240000
2021-12-08,146.2992,146.884,146.884,24270000
2021-12-09,146.2938,146.3408,146.3408,23270000
2021-12-10,147.393,146.7007,146.7007,24458000
2021-12-13,146.4826,144.5448,144.5448,27070000
2021-12-14,142.7026,142.6422,142.6422,38446000
2021-12-15,142.1486,145.1539,145.1539,36370000
2021-12-16,145.877,143.1754,143.1754,33650000
2021-12-17,141.2475,140.4793,140.4793,50416000
2021-12-20,138.7695,140.3624,140.3624,27192000
2021-12-21,140.805,142.2115,142.2115,28756000
2021-12-22,141.81,145.1281,145.1281,26322000
2021-12-23,145.2124,145.6252,145.6252,26384000
2021-12-27,145.9617,146.6065,146.6065,15976000
2021-12-28,146.9331,145.3977,145.3977,18200000
2021-12-29,145.3556,145.366,145.366,17788000
2021-12-30,145.4047,144.9155,144.9155,15688000
2021-12-31,144.7663,143.5789,143.5789,18136000
2022-01-03,143.7801,143.7171,143.7171,28646000
2022-01-04,144.1181,143.1304,143.1304,28400000
2022-01-05,143.1507,136.5641,136.5641,54618000
2022-01-06,135.7944,136.5368,136.5368,37348000
2022-01-07,136.9313,135.8127,135.8127,29760000
2022-01-10,133.8908,137.4507,137.4507,44408000
2022-01-11,136.794,138.5078,138.5078,28730000
2022-01-12,139.9094,140.1874,140.1874,26108000
2022-01-13,140.2959,137.3689,137.3689,31436000
2022-01-14,135.8742,138.2546,138.2546,29662000
2022-01-18,134.9781,134.8027,134.8027,34872000
2022-01-19,135.3235,133.9289,133.9289,28648000
2022-01-20,135.0525,132.1358,132.1358,29908000
2022-01-21,131.4281,129.2058,129.2058,55652000
2022-01-24,124.8708,129.6544,129.6544,76622000
2022-01-25,127.6085,125.8193,125.8193,46960000
2022-01-26,129.9666,128.0971,128.0971,49130000
2022-01-27,130.1499,127.8711,127.8711,31950000
2022-01-28,128.5194,132.1789,132.1789,34362000
2022-01-31,132.9828,134.1143,134.1143,39986000
2022-02-01,136.3851,136.4342,136.4342,68644000
2022-02-02,149.9206,146.6992,146.6992,123200000
2022-02-03,144.4249,141.8323,141.8323,71518000
2022-02-04,142.1837,142.0336,142.0336,57998000
2022-02-07,142.9821,137.9775,137.9775,54974000
2022-02-08,137.8046,138.1738,138.1738,54284000
2022-02-09,139.7245,140.3475,140.3475,40144000
2022-02-10,138.4756,137.4016,137.4016,39330000
2022-02-11,137.3818,133.1022,133.1022,39958000
2022-02-14,132.0853,134.3348,134.3348,34302000
2022-02-15,136.3613,135.4078,135.4078,26680000
2022-02-16,135.4455,136.5274,136.5274,25022000
2022-02-17,135.0455,131.3741,131.3741,38950000
2022-02-18,132.2939,129.2569,129.2569,45620000
2022-02-22,128.6968,128.6725,128.6725,44990000
2022-02-23,130.4914,126.4666,126.4666,32786000
2022-02-24,123.8552,131.5247,131.5247,54456000
2022-02-25,132.3782,133.2777,133.2777,36406000
2022-02-28,131.8806,133.8699,133.8699,38864000
2022-03-01,133.693,132.8832,132.8832,26496000
2022-03-02,133.4447,133.3887,133.3887,23520000
2022-03-03,134.8146,132.7226,132.7226,24604000
2022-03-04,131.7591,130.7471,130.7471,30430000
2022-03-07,130.3323,125.2677,125.2677,45112000
