date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2026-06-04,35.78,36.02,36.02,73453900
2026-06-05,35.16,34.14,34.14,111720800
2026-06-08,35.99,35.89,35.89,57393000
2026-06-09,35.29,35.14,35.14,52492700
2026-06-10,34.83,35.08,35.08,37326900
2026-06-11,35.54,36.05,36.05,43105800
2026-06-12,35.88,36.04,36.04,36430100
2026-06-15,37.84,37.74,37.74,52951400
2026-06-16,37.36,37.17,37.17,26710500
2026-06-17,36.74,36.36,36.36,42620000
2026-06-18,36.42,35.62,35.62,47932100
2026-06-22,36.775,36.5,36.5,37416700
2026-06-23,35.11,35.31,35.31,33989000
2026-06-24,34.97,33.87,33.87,84306600
2026-06-25,34.6,33.52,33.52,74376700
2026-06-26,33.28,33.85,33.85,59134700
2026-06-29,33.895,34.18,34.18,48208180
2026-06-30,33.075,33.29,33.29,59015101
2026-07-01,33.28,34.0,34.0,54454412
2026-07-02,34.91,34.87,34.87,46689101
2026-07-06,34.76,36.12,36.12,51974463
2026-07-07,35.71,36.15,36.15,32400424
2026-07-08,34.99,35.23,35.23,33708813
2026-07-09,35.49,35.81,35.81,28097932
2026-07-10,36.325,36.23,36.23,30720585
2026-07-13,35.37,35.22,35.22,38048900
2026-07-14,36.19,36.58,36.58,46954115
2026-07-15,36.965,36.81,36.81,34112045
2026-07-16,36.37,36.39,36.39,21905795
2026-07-17,35.58,36.35,36.35,56170598
2026-07-20,36.53,36.89,36.89,33229444
2026-07-21,37.61,37.67,37.67,44121326
2026-07-22,37.15,37.34,37.34,23341227
2026-07-23,36.795,36.65,36.65,36217526
2026-07-24,36.43,36.35,36.35,33023166
2026-07-27,36.74,36.77,36.77,28359307
2026-07-28,35.81,36.14,36.14,29147023
2026-07-29,36.31,36.0,36.0,36943078
2026-07-30,36.665,36.7,36.7,36428498
2026-07-31,36.11,35.64,35.64,55718449
2026-08-03,35.49,36.16,36.16,41836326
2026-08-04,36.14,36.39,36.39,33883512
2026-08-05,36.3,36.74,36.74,32932848
2026-08-06,36.34,36.49,36.49,29071373
2026-08-07,36.89,36.8,36.8,35087368
2026-08-10,36.74,36.23,36.23,40043964
2026-08-11,36.32,35.94,35.94,31174462
2026-08-12,36.175,35.89,35.89,25304883
2026-08-13,35.97,35.88,35.88,25273533
2026-08-14,35.51,35.63,35.63,23516731
2026-08-17,35.905,36.42,36.42,42854225
2026-08-18,36.255,36.6,36.6,28668711
2026-08-19,36.81,38.78,38.78,140814847
