date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2024-07-04,7.327,6.6664,6.6664,117121330
2024-07-05,6.6649,6.8077,6.8077,155298169
2024-07-06,6.81,7.5532,7.5532,77253353
2024-07-07,7.553,6.9126,6.9126,71988894
2024-07-08,6.9151,6.8189,6.8189,97739649
2024-07-09,6.8182,7.233,7.233,83228910
2024-07-10,7.2342,7.2119,7.2119,53015936
2024-07-11,7.2133,7.3617,7.3617,63000437
2024-07-12,7.3613,7.323,7.323,52584973
2024-07-13,7.3229,8.4439,8.4439,123138598
2024-07-14,8.4461,8.623,8.623,121037188
2024-07-15,8.6231,9.7204,9.7204,143293427
2024-07-16,9.7173,9.6651,9.6651,152899227
2024-07-17,9.6572,10.2782,10.2782,180945881
2024-07-18,10.277,9.674,9.674,91727206
2024-07-19,9.6739,10.1455,10.1455,98128380
2024-07-20,10.1455,10.3307,10.3307,95164454
2024-07-21,10.3307,10.7327,10.7327,95347734
2024-07-22,10.7327,10.1576,10.1576,94669883
2024-07-23,10.1576,9.6235,9.6235,84115228
2024-07-24,9.6235,9.5088,9.5088,74725586
2024-07-25,9.5088,9.9202,9.9202,108738945
2024-07-26,9.9202,9.7164,9.7164,97616468
2024-07-27,9.7164,9.6962,9.6962,89850331
2024-07-28,9.6962,9.3576,9.3576,51215348
2024-07-29,9.3576,8.9424,8.9424,84779970
2024-07-30,8.9424,8.8288,8.8288,64402769
2024-07-31,8.8288,8.9571,8.9571,78247267
2024-08-01,8.9571,8.8971,8.8971,94873261
2024-08-02,8.8971,8.2896,8.2896,91590202
2024-08-03,8.2896,7.7666,7.7666,82214234
2024-08-04,7.7666,7.324,7.324,80157193
2024-08-05,7.324,7.0735,7.0735,222153772
2024-08-06,7.0735,7.6612,7.6612,112901025
2024-08-07,7.6612,7.0164,7.0164,93003933
2024-08-08,7.0164,7.6841,7.6841,101536113
2024-08-09,7.6841,7.4425,7.4425,70718814
2024-08-10,7.4425,7.3673,7.3673,46780585
2024-08-11,7.3673,6.8338,6.8338,58051289
2024-08-12,6.8338,7.2874,7.2874,95009811
2024-08-13,7.2874,7.364,7.364,65168266
2024-08-14,7.364,7.1369,7.1369,61798606
2024-08-15,7.1369,6.9476,6.9476,56872354
2024-08-16,6.9476,7.0188,7.0188,57906034
2024-08-17,7.0188,7.2766,7.2766,51937701
2024-08-18,7.2766,7.1405,7.1405,47928498
2024-08-19,7.1405,7.1709,7.1709,62166686
2024-08-20,7.233,7.2851,7.2851,54609215
2024-08-21,7.2672,7.6893,7.6893,61727700
2024-08-22,7.6893,8.0366,8.0366,59705691
2024-08-23,8.0366,8.6752,8.6752,86447389
2024-08-24,8.6752,8.7025,8.7025,65062239
2024-08-25,8.7024,8.5162,8.5162,66079006
2024-08-26,8.5162,8.0911,8.0911,58216820
2024-08-27,8.0909,7.7208,7.7208,70386911
2024-08-28,7.7208,7.7537,7.7537,73684848
2024-08-29,7.7537,7.7894,7.7894,66765608
2024-08-30,7.7894,7.6252,7.6252,62493650
2024-08-31,7.6252,7.5614,7.5614,38971130
2024-09-01,7.5614,7.1959,7.1959,47182131
2024-09-02,7.1958,7.5295,7.5295,51350730
2024-09-03,7.5295,7.1578,7.1578,44395091
2024-09-04,7.1577,7.5613,7.5613,66921777
2024-09-05,7.5613,7.231,7.231,56933474
2024-09-06,7.231,7.02,7.02,82679474
2024-09-07,7.02,7.0568,7.0568,39516306
2024-09-08,7.0568,7.4118,7.4118,47344026
2024-09-09,7.4118,7.7803,7.7803,61925074
2024-09-10,7.7803,8.9469,8.9469,141168159
2024-09-11,8.9468,8.681,8.681,168250992
2024-09-12,8.681,8.516,8.516,89021443
2024-09-13,8.516,8.6168,8.6168,84280654
2024-09-14,8.6168,8.6457,8.6457,64169169
2024-09-15,8.6457,8.3289,8.3289,58547196
2024-09-16,8.3289,8.0279,8.0279,69673684
2024-09-17,8.0279,7.9132,7.9132,75820887
2024-09-18,7.9132,8.1802,8.1802,85166872
2024-09-19,8.1802,8.0845,8.0845,100196663
2024-09-20,8.0845,8.4618,8.4618,97122068
2024-09-21,8.4618,8.5415,8.5415,59557097
2024-09-22,8.5415,8.2612,8.2612,59970115
2024-09-23,8.2612,8.7118,8.7118,108026740
2024-09-24,8.7118,9.4058,9.4058,140824017
2024-09-25,9.4056,9.057,9.057,99462649
2024-09-26,9.057,9.5172,9.5172,120561701
2024-09-27,9.5172,9.8892,9.8892,96554675
2024-09-28,9.8892,9.7013,9.7013,65374238
2024-09-29,9.7012,9.552,9.552,79146227
2024-09-30,9.552,8.9932,8.9932,90766604
2024-10-01,8.9932,8.3281,8.3281,101701791
2024-10-02,8.3281,7.996,7.996,87214691
2024-10-03,7.996,8.0199,8.0199,85792342
2024-10-04,8.0199,8.359,8.359,68101740
2024-10-05,8.359,8.2067,8.2067,38352496
2024-10-06,8.2067,8.5096,8.5096,39977493
2024-10-07,8.5096,8.0524,8.0524,80545824
2024-10-08,8.0524,7.9849,7.9849,73819539
2024-10-09,7.9782,7.8178,7.8178,56754654
2024-10-10,7.8178,8.0092,8.0092,74823233
2024-10-11,8.0092,8.137,8.137,54903052
2024-10-12,8.137,8.0632,8.0632,42886664
2024-10-13,8.0632,7.917,7.917,43820955
2024-10-14,7.9171,8.3372,8.3372,77557422
2024-10-15,8.3372,8.1127,8.1127,115147896
2024-10-16,8.1127,7.9026,7.9026,72038866
2024-10-17,7.9025,7.6585,7.6585,63646989
2024-10-18,7.6583,8.013,8.013,54642282
2024-10-19,8.013,8.0396,8.0396,35203379
2024-10-20,8.0396,8.344,8.344,48909156
2024-10-21,8.344,7.9738,7.9738,67157483
2024-10-22,7.9738,7.9445,7.9445,62685910
2024-10-23,7.9445,8.0688,8.0688,114001027
2024-10-24,8.1544,8.2894,8.2894,64774613
2024-10-25,8.2894,7.6919,7.6919,92537050
2024-10-26,7.6919,7.7247,7.7247,54207333
2024-10-27,7.7247,7.7907,7.7907,33243032
2024-10-28,7.7907,7.8046,7.8046,47583963
2024-10-29,7.8046,8.1216,8.1216,59926049
2024-10-30,8.1216,8.1459,8.1459,51085150
2024-10-31,8.1459,7.8477,7.8477,58478625
2024-11-01,7.8477,7.8089,7.8089,63612236
2024-11-02,7.8089,7.5219,7.5219,41338021
2024-11-03,7.5219,7.1839,7.1839,68906247
2024-11-04,7.1839,7.0156,7.0156,53986658
2024-11-05,7.0156,7.3663,7.3663,57311360
2024-11-06,7.3663,7.8857,7.8857,157574469
2024-11-07,7.8857,7.806,7.806,138146395
2024-11-08,7.806,8.5941,8.5941,163128055
2024-11-09,8.5941,8.5686,8.5686,117400194
2024-11-10,8.5686,8.999,8.999,255059426
2024-11-11,8.999,9.4807,9.4807,252318365
2024-11-12,9.4807,8.8444,8.8444,286220195
2024-11-13,8.8423,8.5235,8.5235,257441080
2024-11-14,8.5235,7.9763,7.9763,184801836
2024-11-15,7.9768,8.7397,8.7397,231310327
2024-11-16,8.6941,9.2411,9.2411,221541232
2024-11-17,9.2408,8.9747,8.9747,252772454
2024-11-18,8.9747,9.4092,9.4092,214172029
2024-11-19,9.4092,9.1462,9.1462,178596540
2024-11-20,9.1462,8.8313,8.8313,191069375
2024-11-21,8.8313,9.2316,9.2316,215287780
2024-11-22,9.2316,11.2705,11.2705,443838092
2024-11-23,11.2705,11.402,11.402,473213063
2024-11-24,11.402,11.6476,11.6476,365112855
2024-11-25,11.6476,11.5169,11.5169,439271407
2024-11-26,11.5169,11.1408,11.1408,316418122
2024-11-27,11.1408,11.704,11.704,250064840
2024-11-28,11.704,11.5609,11.5609,217530637
2024-11-29,11.5609,12.0559,12.0559,211910431
2024-11-30,12.0559,12.4564,12.4564,280074665
2024-12-01,12.4564,12.8526,12.8526,284429837
2024-12-02,12.7973,13.7629,13.7629,522838935
2024-12-03,13.7632,14.6828,14.6828,530330680
2024-12-04,14.6827,14.6931,14.6931,507066968
2024-12-05,14.6931,14.2944,14.2944,496341700
2024-12-06,14.2802,15.2698,15.2698,377510519
2024-12-07,15.2698,14.6983,14.6983,270429969
2024-12-08,14.8477,14.5591,14.5591,238233100
2024-12-09,14.6145,11.9807,11.9807,504922267
2024-12-10,11.9807,11.8061,11.8061,417797469
2024-12-11,11.8061,13.1681,13.1681,307872842
2024-12-12,13.1681,13.6615,13.6615,372555271
2024-12-13,13.6615,13.4726,13.4726,253360955
2024-12-14,13.4726,12.8658,12.8658,178109016
2024-12-15,12.8658,13.1726,13.1726,208786579
2024-12-16,13.1726,12.6912,12.6912,251499158
2024-12-17,12.6912,12.0604,12.0604,231188443
2024-12-18,12.0604,11.0894,11.0894,290844183
2024-12-19,11.0893,10.1561,10.1561,319354589
2024-12-20,10.1561,10.5445,10.5445,344606541
2024-12-21,10.5445,10.0525,10.0525,240706130
2024-12-22,10.0525,9.9094,9.9094,184692617
2024-12-23,9.9079,10.7499,10.7499,212626112
2024-12-24,10.7499,11.3019,11.3019,203498829
2024-12-25,11.3038,11.1618,11.1618,179918537
2024-12-26,11.1618,10.2865,10.2865,191985615
2024-12-27,10.2865,10.2042,10.2042,179484523
2024-12-28,10.2042,10.6447,10.6447,118092945
2024-12-29,10.6447,10.145,10.145,126801166
2024-12-30,10.1449,10.0258,10.0258,167360478
2024-12-31,10.0258,9.8649,9.8649,140483978
2025-01-01,9.8649,10.4894,10.4894,128538877
2025-01-02,10.4894,10.6718,10.6718,167666589
2025-01-03,10.6718,12.3686,12.3686,302063285
2025-01-04,12.3686,12.3018,12.3018,202723561
2025-01-05,12.3018,12.1151,12.1151,174245223
2025-01-06,12.1151,12.1771,12.1771,217275940
2025-01-07,12.1778,11.0265,11.0265,194503809
2025-01-08,11.0265,10.8589,10.8589,219194320
2025-01-09,10.8589,10.1148,10.1148,198870111
2025-01-10,10.1148,10.3386,10.3386,189969482
2025-01-11,10.3386,10.4725,10.4725,140134935
2025-01-12,10.4725,10.2338,10.2338,131063285
2025-01-13,10.2338,9.7852,9.7852,174814238
2025-01-14,9.7852,10.2428,10.2428,113787768
2025-01-15,10.2428,11.0282,11.0282,174020803
2025-01-16,11.0279,10.822,10.822,174303514
2025-01-17,10.822,11.3632,11.3632,168561384
2025-01-18,11.3632,10.6344,10.6344,183922742
2025-01-19,10.6343,9.866,9.866,272587269
2025-01-20,9.8658,9.8002,9.8002,269184740
2025-01-21,9.8001,9.8636,9.8636,167600584
2025-01-22,9.8636,9.0933,9.0933,206508170
2025-01-23,9.0932,9.2351,9.2351,184375086
2025-01-24,9.2349,9.0385,9.0385,198224078
2025-01-25,9.0383,9.2032,9.2032,126256523
2025-01-26,9.2035,8.8256,8.8256,106109645
2025-01-27,8.8256,8.8889,8.8889,194586864
2025-01-28,8.8893,8.5539,8.5539,104366086
2025-01-29,8.5539,8.5723,8.5723,96832267
2025-01-30,8.5728,9.137,9.137,99377945
2025-01-31,9.137,9.2798,9.2798,125965090
2025-02-01,9.2797,8.5105,8.5105,102437927
2025-02-02,8.5105,7.4859,7.4859,186682211
2025-02-03,7.486,7.6429,7.6429,307104846
2025-02-04,7.6429,7.0434,7.0434,152987377
2025-02-05,7.0434,6.9926,6.9926,102051221
2025-02-06,6.9927,6.7133,6.7133,89063522
2025-02-07,6.7133,6.7869,6.7869,88535688
2025-02-08,6.7869,7.0181,7.0181,70276659
2025-02-09,7.0181,6.9639,6.9639,72603842
2025-02-10,6.9639,7.0064,7.0064,88810064
2025-02-11,7.0064,7.0912,7.0912,100666255
2025-02-12,7.0911,7.3965,7.3965,119593595
2025-02-13,7.3965,7.1303,7.1303,107237334
2025-02-14,7.1303,7.2474,7.2474,84993218
2025-02-15,7.2475,7.1043,7.1043,63148732
2025-02-16,7.1042,6.996,6.996,78749416
2025-02-17,6.9966,7.0536,7.0536,69015126
2025-02-18,7.0536,6.7487,6.7487,80395177
2025-02-19,6.7488,6.8734,6.8734,73599811
2025-02-20,6.8733,7.149,7.149,81558437
