date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2021-02-22,56.2806,55.2165,55.2165,32288200
2021-02-23,55.0073,55.5894,55.5894,27374600
2021-02-24,55.0528,57.4721,57.4721,24669900
2021-02-25,56.7627,54.9346,54.9346,36394000
2021-02-26,55.3802,55.2802,55.2802,38216800
2021-03-01,56.1351,57.1902,57.1902,28495400
2021-03-02,57.1174,55.6986,55.6986,23320000
2021-03-03,55.1528,54.4798,54.4798,28740400
2021-03-04,54.4161,53.0519,53.0519,40210400
2021-03-05,53.8977,55.2438,55.2438,39511700
2021-03-08,54.9982,54.4343,54.4343,33112400
2021-03-09,55.644,56.9992,56.9992,36387500
2021-03-10,57.4994,56.6172,56.6172,27160300
2021-03-11,57.2447,57.5812,57.5812,30701800
2021-03-12,56.981,57.2083,57.2083,20173000
2021-03-15,57.8541,58.0178,58.0178,21247400
2021-03-16,58.3452,58.9182,58.9182,30186600
2021-03-17,58.4089,59.8277,59.8277,32394700
2021-03-18,59.6913,57.9632,57.9632,30094200
2021-03-19,57.463,57.9905,57.9905,54951700
2021-03-22,58.9546,59.6913,59.6913,34380100
2021-03-23,60.0278,57.7359,57.7359,35160000
2021-03-24,60.5554,56.4262,56.4262,74584700
2021-03-25,56.0805,56.408,56.408,35401400
2021-03-26,56.2079,59.0001,59.0001,34705800
2021-03-29,58.2179,58.6636,58.6636,26161600
2021-03-30,57.9996,57.9996,57.9996,20709500
2021-03-31,58.2179,58.2088,58.2088,33013200
2021-04-01,58.8637,58.709,58.709,31416300
2021-04-05,59.0729,60.519,60.519,27947500
2021-04-06,60.0824,59.6276,59.6276,28771400
2021-04-07,59.7277,60.2552,60.2552,17793300
2021-04-08,60.9101,60.9828,60.9828,22224200
2021-04-09,60.7555,62.0833,62.0833,27177100
2021-04-12,62.0288,59.4912,59.4912,51266900
2021-04-13,59.6731,59.3184,59.3184,26822000
2021-04-14,59.4003,58.3816,58.3816,25768400
2021-04-15,58.1815,59.1365,59.1365,24927700
2021-04-16,59.4185,58.8909,58.8909,24625500
2021-04-19,58.8455,57.8723,57.8723,23997700
2021-04-20,57.8814,57.0264,57.0264,19872100
2021-04-21,57.1083,57.936,57.936,24364200
2021-04-22,57.6176,56.9082,56.9082,38257600
2021-04-23,53.8068,53.8795,53.8795,77479500
2021-04-26,53.7522,53.443,53.443,39645900
2021-04-27,53.2611,52.7244,52.7244,38167700
2021-04-28,52.3152,52.4061,52.4061,30387400
2021-04-29,52.6426,53.0064,53.0064,23290600
2021-04-30,52.397,52.3243,52.3243,30731800
2021-05-03,52.6244,52.0787,52.0787,22281700
2021-05-04,51.7331,51.7513,51.7513,35323600
2021-05-05,51.8058,51.7058,51.7058,21001900
2021-05-06,51.8138,52.3354,52.3354,25529300
2021-05-07,52.8021,52.7746,52.7746,19959000
2021-05-10,52.2988,51.219,51.219,35046500
2021-05-11,50.377,50.3679,50.3679,35968100
2021-05-12,49.7731,49.0684,49.0684,30232300
2021-05-13,49.4528,49.4253,49.4253,29192500
2021-05-14,49.9652,50.6516,50.6516,28158300
2021-05-17,50.5967,50.6333,50.6333,20010200
2021-05-18,51.2007,50.1849,50.1849,18703400
2021-05-19,49.4802,50.6607,50.6607,23769700
2021-05-20,50.8529,51.2007,51.2007,23145200
