date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2025-12-29,45.9605,46.4798,46.4798,82700
2025-12-30,46.5298,46.1603,46.1603,38200
2025-12-31,46.1403,45.591,45.591,39400
2026-01-02,46.1902,46.9592,46.9592,51700
2026-01-05,47.6683,46.7395,46.7395,68300
2026-01-06,47.0591,47.5185,47.5185,31900
2026-01-07,47.4386,47.5884,47.5884,17000
2026-01-08,47.6383,47.3487,47.3487,23600
2026-01-09,47.6483,47.3987,47.3987,30000
2026-01-12,47.2389,48.3574,48.3574,46400
2026-01-13,48.4972,48.3175,48.3175,70700
2026-01-14,48.1776,47.7881,47.7881,29900
2026-01-15,48.3374,47.6583,47.6583,57200
2026-01-16,47.9779,48.0778,48.0778,35400
2026-01-20,46.7994,47.1989,47.1989,48500
2026-01-21,47.4486,46.7894,46.7894,24700
2026-01-22,47.6483,47.2788,47.2788,18700
2026-01-23,47.2688,47.2189,47.2189,20200
2026-01-26,47.6084,47.4086,47.4086,19800
2026-01-27,47.5385,47.3188,47.3188,19800
2026-01-28,48.2476,47.3088,47.3088,45400
2026-01-29,47.2488,46.0604,46.0604,41400
2026-01-30,45.9605,44.5923,44.5923,46100
2026-02-02,44.3726,44.2727,44.2727,15000
2026-02-03,44.5324,43.7634,43.7634,34300
2026-02-04,43.7534,42.6947,42.6947,59800
2026-02-05,42.1355,41.5862,41.5862,46000
2026-02-06,42.7147,44.1828,44.1828,30400
2026-02-09,44.0929,45.4811,45.4811,21900
2026-02-10,45.561,45.4412,45.4412,18900
2026-02-11,45.2414,43.9331,43.9331,34800
2026-02-12,44.053,42.6248,42.6248,26700
2026-02-13,42.9944,43.4038,43.4038,22200
2026-02-17,43.1641,43.234,43.234,22100
2026-02-18,43.4438,44.5224,44.5224,18900
2026-02-19,44.3426,44.6422,44.6422,14300
2026-02-20,44.3027,44.1029,44.1029,15000
2026-02-23,43.5736,43.3339,43.3339,46900
2026-02-24,43.3339,44.2727,44.2727,40200
2026-02-25,44.8719,45.0517,45.0517,15000
2026-02-26,45.0217,45.2714,45.2714,19400
2026-02-27,43.8832,43.4737,43.4737,21900
2026-03-02,42.6548,43.6635,43.6635,42600
2026-03-03,42.4051,42.6548,42.6548,24700
2026-03-04,43.2241,43.5037,43.5037,12500
2026-03-05,43.7534,43.1342,43.1342,12100
2026-03-06,42.495,42.6348,42.6348,14500
2026-03-09,42.0056,43.3239,43.3239,19300
2026-03-10,43.4737,43.1741,43.1741,10100
2026-03-11,43.3838,43.7434,43.7434,18600
2026-03-12,43.254,42.4051,42.4051,17100
2026-03-13,42.8059,42.626,42.626,38300
2026-03-16,43.4155,43.9253,43.9253,13100
2026-03-17,44.0652,44.315,44.315,13000
2026-03-18,44.0252,43.8453,43.8453,13600
2026-03-19,43.0657,43.4555,43.4555,15500
2026-03-20,43.3056,42.5061,42.5061,11600
2026-03-23,43.0657,43.4655,43.4655,31000
2026-03-24,43.1757,42.686,42.686,11200
2026-03-25,43.5655,43.4056,43.4056,95400
2026-03-26,42.9258,41.9963,41.9963,16500
2026-03-27,41.4966,40.5472,40.5472,18500
2026-03-30,40.917,39.6477,39.6477,14900
2026-03-31,40.3273,41.8564,41.8564,35900
2026-04-01,42.3561,41.9864,41.9864,13600
2026-04-02,41.1768,42.4061,42.4061,16000
2026-04-06,42.4561,42.536,42.536,16500
2026-04-07,42.1563,42.4061,42.4061,10300
2026-04-08,44.5049,43.8253,43.8253,14300
2026-04-09,43.6554,43.5055,43.5055,136600
2026-04-10,43.8853,44.1351,44.1351,7100
2026-04-13,44.0952,46.164,46.164,25100
2026-04-14,46.8436,47.3433,47.3433,24400
2026-04-15,47.6232,48.013,48.013,23400
2026-04-16,48.3927,48.0829,48.0829,21500
2026-04-17,48.9025,48.7625,48.7625,25800
2026-04-20,48.5527,49.5621,49.5621,13800
2026-04-21,49.9719,48.7126,48.7126,69900
2026-04-22,49.5821,49.752,49.752,25900
2026-04-23,49.2722,48.9224,48.9224,27000
2026-04-24,49.8519,49.642,49.642,16600
2026-04-27,49.3422,49.1923,49.1923,14300
2026-04-28,47.7031,47.5232,47.5232,12100
2026-04-29,47.7731,47.993,47.993,11300
2026-04-30,48.3328,48.4427,48.4427,12700
2026-05-01,49.1823,49.642,49.642,12300
2026-05-04,49.9719,50.1717,50.1717,33600
2026-05-05,50.6914,51.1812,51.1812,14400
2026-05-06,51.9807,52.2606,52.2606,20600
2026-05-07,51.7708,50.3416,50.3416,19500
2026-05-08,50.1318,49.3322,49.3322,20300
2026-05-11,49.0424,49.672,49.672,43900
2026-05-12,49.1323,48.7525,48.7525,17500
2026-05-13,49.1623,49.742,49.742,27300
2026-05-14,50.0118,50.4516,50.4516,33700
2026-05-15,49.2623,49.0124,49.0124,29800
2026-05-18,49.0724,48.9424,48.9424,16800
2026-05-19,48.3827,49.2722,49.2722,15700
2026-05-20,49.652,51.2311,51.2311,29600
2026-05-21,51.451,52.8103,52.8103,36400
2026-05-22,52.9502,53.0301,53.0301,57200
2026-05-26,53.8996,53.7697,53.7697,35600
2026-05-27,53.7697,53.7997,53.7997,29600
2026-05-28,54.0196,55.7286,55.7286,90100
2026-05-29,55.9685,56.5681,56.5681,33700
2026-06-01,57.3677,58.0873,58.0873,80900
2026-06-02,57.8874,57.5376,57.5376,58600
2026-06-03,57.3677,56.818,56.818,36500
2026-06-04,55.5087,56.6581,56.6581,29500
2026-06-05,55.5087,53.4999,53.4999,60400
2026-06-08,54.4293,54.1295,54.1295,29300
2026-06-09,55.079,53.8197,53.8197,25800
2026-06-10,53.35,52.8103,52.8103,29200
2026-06-11,53.0301,55.039,55.039,51600
2026-06-12,55.84,55.72,55.72,63000
2026-06-15,57.01,58.05,58.05,171000
2026-06-16,57.77,57.31,57.31,178900
2026-06-17,57.82,57.49,57.49,67400
2026-06-18,58.76,59.54,59.54,69600
2026-06-22,59.86,58.94,58.94,101700
2026-06-23,56.6,57.1,57.1,59500
2026-06-24,57.02,56.55,56.55,116800
2026-06-25,57.56,56.35,56.35,75900
2026-06-26,55.38,56.92,56.92,37000
2026-06-29,57.51,58.74,58.74,32271
2026-06-30,58.41,59.42,59.42,42714
2026-07-01,58.49,58.42,58.42,43386
2026-07-02,59.4076,57.5,57.5,21219
2026-07-06,57.7,58.615,58.615,29908
2026-07-07,58.0148,56.64,56.64,19670
2026-07-08,56.03,56.49,56.49,16701
2026-07-09,57.29,58.0,58.0,20407
2026-07-10,58.4,57.57,57.57,9439
2026-07-13,56.86,55.71,55.71,36292
2026-07-14,56.34,55.44,55.44,13040
2026-07-15,55.8,54.75,54.75,23240
2026-07-16,54.16,53.18,53.18,23066
2026-07-17,52.0,52.78,52.78,18582
2026-07-20,53.04,52.8966,52.8966,14064
2026-07-21,53.73,54.36,54.36,10251
2026-07-22,53.57,53.63,53.63,11055
2026-07-23,53.05,53.05,53.05,7583
2026-07-24,52.64,51.46,51.46,18857
2026-07-27,52.31,52.26,52.26,51408
2026-07-28,51.59,51.39,51.39,17602
2026-07-29,51.14,49.8,49.8,28099
2026-07-30,51.29,52.2499,52.2499,20466
2026-07-31,52.37,51.15,51.15,12169
2026-08-03,50.83,53.13,53.13,21895
2026-08-04,53.78,55.7,55.7,14056
2026-08-05,55.19,54.5,54.5,17968
2026-08-06,53.62,54.1128,54.1128,33179
2026-08-07,55.19,55.47,55.47,20263
2026-08-10,55.65,55.13,55.13,7401
2026-08-11,55.38,54.9722,54.9722,4286
2026-08-12,56.72,56.33,56.33,32201
2026-08-13,56.25,57.16,57.16,9719
2026-08-14,57.5,56.9994,56.9994,14125
2026-08-17,57.46,56.7998,56.7998,17596
2026-08-18,55.44,54.5,54.5,21909
2026-08-19,55.07,54.27,54.27,8362
2026-08-20,54.12,53.97,53.97,9938
2026-08-21,54.28,54.36,54.36,7967
2026-08-24,53.71,53.57,53.57,91895
2026-08-25,53.98,54.21,54.21,10005
2026-08-26,53.83,54.22,54.22,12030
2026-08-27,54.83,55.0222,55.0222,10128
2026-08-28,54.49,53.2418,53.2418,15006
2026-08-31,52.84,53.26,53.26,20103
2026-09-01,52.45,51.93,51.93,15189
2026-09-02,51.99,52.3,52.3,9613
