date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2026-06-10,679.16,629.35,629.35,1598700
2026-06-11,700.25,842.01,842.01,1681400
2026-06-12,792.85,824.88,824.88,1040600
2026-06-15,957.5,999.25,999.25,696900
2026-06-16,977.4,919.04,919.04,722700
2026-06-17,978.93,914.4,914.4,730700
2026-06-18,1033.96,1090.74,1090.74,714900
2026-06-22,1080.0,1088.62,1088.62,579700
2026-06-23,710.53,700.01,700.01,2316100
2026-06-24,762.71,741.28,741.28,1544400
2026-06-25,876.44,829.09,829.09,1123800
2026-06-26,703.0,738.55,738.55,912700
