date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2025-02-28,31.68,31.9816,31.9816,31524000
2025-03-03,32.1607,31.4255,31.4255,25988600
2025-03-04,31.7931,32.2738,32.2738,26299400
2025-03-05,33.2635,34.5737,34.5737,40513800
2025-03-06,35.3796,34.7999,34.7999,34360200
2025-03-07,34.9413,34.8659,34.8659,29293300
2025-03-10,34.0552,33.3766,33.3766,34485300
2025-03-11,34.3474,34.1212,34.1212,25562500
2025-03-12,33.8008,33.6971,33.6971,19628400
2025-03-13,33.1598,33.6688,33.6688,14822900
2025-03-14,34.7151,34.6679,34.6679,27897100
2025-03-17,34.6679,36.0912,36.0912,31928300
2025-03-18,36.0064,35.6576,35.6576,20394200
2025-03-19,36.0347,35.4785,35.4785,14536500
2025-03-20,34.0647,34.2155,34.2155,29948100
2025-03-21,33.6122,33.5368,33.5368,26295800
2025-03-24,33.9421,33.6782,33.6782,19551100
2025-03-25,33.2635,33.1504,33.1504,17640000
2025-03-26,33.32,33.3295,33.3295,19733100
2025-03-27,33.5368,34.0929,34.0929,17940000
2025-03-28,33.4803,33.0278,33.0278,21015500
2025-03-31,32.6697,32.9053,32.9053,17316000
2025-04-01,32.9901,33.009,33.009,10568700
2025-04-02,33.009,32.9524,32.9524,13383700
2025-04-03,32.0758,32.5754,32.5754,25663700
2025-04-04,29.8985,29.512,29.512,73247700
2025-04-07,27.5798,27.6646,27.6646,72814500
2025-04-08,28.7957,26.656,26.656,40865000
2025-04-09,27.2404,28.2867,28.2867,68571500
2025-04-10,28.6166,27.9191,27.9191,51366300
2025-04-11,28.4469,28.7768,28.7768,44648900
2025-04-14,29.3047,29.4932,29.4932,33102000
2025-04-15,29.3754,29.3235,29.3235,14599600
2025-04-16,28.5789,28.4375,28.4375,22911500
2025-04-17,28.9465,28.4752,28.4752,16634600
2025-04-21,28.5365,28.5318,28.5318,17011200
2025-04-22,29.1633,29.4743,29.4743,34165700
2025-04-23,30.3038,30.1718,30.1718,31739100
2025-04-24,29.8985,30.2284,30.2284,14483000
2025-04-25,29.9079,30.1718,30.1718,16756300
2025-04-28,30.1247,30.1813,30.1813,6903400
2025-04-29,30.1907,30.3321,30.3321,9413000
2025-04-30,30.3132,30.2567,30.2567,13822900
2025-05-01,30.5677,30.2944,30.2944,6503100
2025-05-02,31.4962,31.6705,31.6705,27902000
2025-05-05,31.3501,31.7082,31.7082,14721500
2025-05-06,31.8213,32.0287,32.0287,17860400
2025-05-07,31.6046,31.1238,31.1238,18026700
2025-05-08,31.5574,31.4632,31.4632,18731300
2025-05-09,31.3783,31.039,31.039,14446800
2025-05-12,32.566,32.7639,32.7639,36711700
2025-05-13,32.3775,32.6885,32.6885,26622100
2025-05-14,33.1975,33.1975,33.1975,17013300
2025-05-15,32.5047,32.3209,32.3209,24911100
2025-05-16,32.3869,32.3303,32.3303,16385400
2025-05-19,32.057,32.368,32.368,9273500
2025-05-20,32.3586,32.3398,32.3398,13073700
2025-05-21,32.3775,31.9439,31.9439,17628800
2025-05-22,31.68,31.7742,31.7742,11694500
2025-05-23,31.5197,31.8873,31.8873,11024400
2025-05-27,31.4867,31.6045,31.6045,12590800
2025-05-28,31.5009,31.3124,31.3124,10706000
2025-05-29,32.1324,31.7648,31.7648,15326500
2025-05-30,31.1898,30.8599,30.8599,25380600
2025-06-02,31.039,31.2558,31.2558,13023000
2025-06-03,31.3689,31.2087,31.2087,15031700
2025-06-04,31.5763,31.9816,31.9816,24714900
2025-06-05,32.3021,32.2549,32.2549,23917300
2025-06-06,31.9297,32.2738,32.2738,22945100
2025-06-09,32.7639,32.9996,32.9996,20124700
2025-06-10,32.9713,32.877,32.877,14426300
2025-06-11,33.1221,32.8676,32.8676,14519400
2025-06-12,32.8676,32.8487,32.8487,10367000
2025-06-13,32.2455,32.0476,32.0476,21573900
2025-06-16,32.6838,32.8299,32.8299,18136700
2025-06-17,32.6885,32.4057,32.4057,10127900
2025-06-18,32.0004,32.0004,32.0004,11794100
2025-06-20,31.6988,31.3878,31.3878,15143000
2025-06-23,31.5291,31.7177,31.7177,12185300
2025-06-24,32.0994,32.6791,32.6791,13816300
2025-06-25,32.7545,32.4529,32.4529,12102700
2025-06-26,32.4906,32.368,32.368,9189600
2025-06-27,32.3775,32.5,32.5,12576100
2025-06-30,32.2361,32.3586,32.3586,10808200
2025-07-01,32.2691,32.368,32.368,11802100
2025-07-02,31.892,31.9627,31.9627,17480000
2025-07-03,31.5574,31.6988,31.6988,9599800
2025-07-07,31.6611,31.925,31.925,14496800
2025-07-08,32.4057,32.5094,32.5094,16872700
2025-07-09,32.2361,32.0664,32.0664,15953300
2025-07-10,32.0947,32.1041,32.1041,12264400
2025-07-11,32.1418,31.9156,31.9156,7496300
2025-07-14,32.2455,32.3115,32.3115,9112900
2025-07-15,33.1975,33.5934,33.5934,44238500
2025-07-16,33.3766,33.3012,33.3012,21004700
2025-07-17,33.2399,33.6594,33.6594,20793700
2025-07-18,34.2815,34.1401,34.1401,28238800
2025-07-21,34.0977,34.0175,34.0175,14622400
2025-07-22,34.0317,34.3192,34.3192,18026500
2025-07-23,34.9224,34.9318,34.9318,20438700
2025-07-24,34.8376,34.4888,34.4888,21722000
2025-07-25,34.1684,34.2249,34.2249,17814500
2025-07-28,34.1919,33.9327,33.9327,14453400
2025-07-29,34.0929,33.7065,33.7065,20222900
2025-07-30,33.4614,33.1127,33.1127,15954600
2025-07-31,33.2682,33.4049,33.4049,24206200
2025-08-01,32.6461,32.5188,32.5188,28286700
2025-08-04,33.2069,33.2352,33.2352,14322500
2025-08-05,33.5274,33.4614,33.4614,13283500
2025-08-06,33.7253,33.895,33.895,10654600
2025-08-07,33.8196,33.8008,33.8008,10777500
2025-08-08,33.6782,33.7725,33.7725,9461400
2025-08-11,33.6876,33.452,33.452,15865700
2025-08-12,33.5274,34.2343,34.2343,21429200
2025-08-13,35.4408,35.4691,35.4691,30944000
2025-08-14,34.7528,34.5171,34.5171,29585600
2025-08-15,34.9224,35.0355,35.0355,15396800
2025-08-18,35.5162,35.356,35.356,15397000
2025-08-19,35.356,35.0072,35.0072,18207600
2025-08-20,34.9318,35.0167,35.0167,13692700
2025-08-21,34.8753,35.2523,35.2523,14972100
2025-08-22,35.7048,36.176,36.176,23725400
2025-08-25,36.5342,36.2986,36.2986,19272200
2025-08-26,36.5719,36.308,36.308,14978000
2025-08-27,35.2335,35.3183,35.3183,21755000
2025-08-28,35.1581,35.3749,35.3749,17681100
2025-08-29,35.7613,35.9875,35.9875,29268100
2025-09-02,35.4031,36.0252,36.0252,15717400
2025-09-03,35.8179,36.0629,36.0629,10383700
2025-09-04,35.7048,35.7613,35.7613,15564600
2025-09-05,36.3551,36.2326,36.2326,18134200
2025-09-08,36.7227,36.7981,36.7981,19262900
2025-09-09,37.2694,37.6747,37.6747,43061200
2025-09-10,37.8444,37.5239,37.5239,23908300
2025-09-11,37.835,38.4005,38.4005,28983500
2025-09-12,38.5231,38.2968,38.2968,18640800
2025-09-15,38.7775,38.589,38.589,20445100
2025-09-16,38.5136,39.0509,39.0509,22925300
2025-09-17,39.9935,40.1443,40.1443,29411300
2025-09-18,39.5222,39.5505,39.5505,21545600
2025-09-19,39.7154,39.3242,39.3242,23281700
2025-09-22,39.2206,39.0603,39.0603,17700900
2025-09-23,38.6663,38.2874,38.2874,19949600
2025-09-24,39.1452,39.1734,39.1734,31907000
2025-09-25,39.1734,39.2865,39.2865,17340900
2025-09-26,38.5824,38.7116,38.7116,20630000
2025-09-29,39.6824,39.541,39.541,18645400
2025-09-30,40.0783,39.5976,39.5976,22008000
2025-10-01,39.6447,40.0029,40.0029,17231600
2025-10-02,40.7852,40.4742,40.4742,20181800
2025-10-03,40.4836,40.2008,40.2008,17928100
2025-10-06,40.0029,40.4082,40.4082,16221900
2025-10-07,40.493,39.7013,39.7013,25192900
2025-10-08,39.8238,39.8615,39.8615,15811900
2025-10-09,39.805,38.9661,38.9661,24935500
2025-10-10,38.5419,36.2137,36.2137,102359100
2025-10-13,37.9528,37.5711,37.5711,40875800
2025-10-14,36.6002,36.9018,36.9018,29797300
2025-10-15,37.5333,37.3825,37.3825,19928400
2025-10-16,37.4391,37.26,37.26,17803100
