date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2026-01-05,1069.23,1041.51,1041.51,4084836.0
2026-01-06,1044.11,1064.04,1064.04,2690707.0
2026-01-07,1077.0,1108.09,1108.09,4652779.0
2026-01-08,1113.69,1085.19,1085.19,3156034.0
2026-01-09,1086.83,1063.56,1063.56,2561927.0
2026-01-12,1058.0,1081.0,1081.0,2380245.0
2026-01-13,1083.0,1077.19,1077.19,2194166.0
2026-01-14,1081.75,1073.29,1073.29,1912603.0
2026-01-15,1062.56,1032.97,1032.97,4183400.0
2026-01-16,1024.43,1038.4,1038.4,3828963.0
2026-01-20,1028.15,1041.29,1041.29,2480389.0
2026-01-21,1043.86,1078.52,1078.52,3685876.0
2026-01-22,1078.52,1087.38,1087.38,2478217.0
2026-01-23,1083.73,1064.29,1064.29,2592850.0
2026-01-26,1062.21,1062.75,1062.75,2244862.0
2026-01-27,1064.11,1039.51,1039.51,2568257.0
2026-01-28,1029.11,1023.8,1023.8,3300244.0
2026-01-29,1025.36,1024.14,1024.14,2293016.0
2026-01-30,1033.3,1037.15,1037.15,3303144.0
2026-02-02,1037.57,1044.13,1044.13,2757079.0
2026-02-03,1040.75,1003.46,1003.46,5408973.0
2026-02-04,1075.12,1107.12,1107.12,7119387.0
2026-02-05,1065.5,1020.84,1020.84,7742385.0
2026-02-06,1056.0,1058.18,1058.18,4887117.0
2026-02-09,1077.09,1044.67,1044.67,3423770.0
2026-02-10,1050.66,1025.0,1025.0,3539394.0
2026-02-11,1026.5,1015.21,1015.21,2599875.0
2026-02-12,1024.87,1038.27,1038.27,3592172.0
2026-02-13,1039.98,1040.0,1040.0,2698728.0
2026-02-17,1045.61,1036.05,1036.05,2984593.0
2026-02-18,1032.36,1020.56,1020.56,3236905.0
2026-02-19,1010.82,1023.22,1023.22,2145764.0
2026-02-20,1023.86,1009.52,1009.52,3249409.0
2026-02-23,1047.02,1058.56,1058.56,4767602.0
2026-02-24,1042.95,1042.15,1042.15,2803100.0
2026-02-25,1036.58,1028.83,1028.83,2481897.0
2026-02-26,1024.08,1022.02,1022.02,2666432.0
2026-02-27,1019.17,1051.99,1051.99,4325931.0
2026-03-02,1044.62,1017.97,1017.97,3094287.0
2026-03-03,1015.0,1007.73,1007.73,2845962.0
2026-03-04,1011.63,1003.57,1003.57,1965539.0
2026-03-05,990.0,983.26,983.26,3774397.0
2026-03-06,975.0,990.33,990.33,2627805.0
2026-03-09,986.89,1008.39,1008.39,2802169.0
2026-03-10,1006.0,1001.35,1001.35,1663668.0
2026-03-11,1000.03,999.84,999.84,1448032.0
2026-03-12,993.45,977.25,977.25,2340074.0
2026-03-13,980.13,985.08,985.08,1984353.0
2026-03-16,991.98,989.12,989.12,2289888.0
2026-03-17,978.92,930.35,930.35,5637508.0
2026-03-18,925.0,918.05,918.05,3443808.0
2026-03-19,914.0,917.5,917.5,2378979.0
2026-03-20,910.55,906.7,906.7,4818789.0
2026-03-23,913.49,910.55,910.55,2817548.0
2026-03-24,907.0,903.02,903.02,2572679.0
2026-03-25,912.49,916.31,916.31,2177748.0
2026-03-26,912.38,897.0,897.0,2163159.0
2026-03-27,896.0,878.24,878.24,2740802.0
2026-03-30,888.48,886.63,886.63,3070244.0
2026-03-31,893.49,919.77,919.77,3464240.0
2026-04-01,926.88,954.52,954.52,6267884.0
2026-04-02,945.0,935.58,935.58,2727128.0
2026-04-06,932.04,927.06,927.06,1821082.0
2026-04-07,924.5,931.09,931.09,2726863.0
2026-04-08,941.52,953.3,953.3,2567998.0
2026-04-09,948.47,955.19,955.19,1672549.0
2026-04-10,963.69,939.47,939.47,1958925.0
2026-04-13,939.97,929.55,929.55,2089567.0
2026-04-14,925.0,922.5,922.5,2360236.0
2026-04-15,923.5,905.03,905.03,4233418.0
2026-04-16,911.67,903.99,903.99,2836574.0
2026-04-17,917.8,927.03,927.03,3266094.0
2026-04-20,926.9,919.9,919.9,1926259.0
2026-04-21,910.2,903.02,903.02,4062792.0
2026-04-22,906.4,921.48,921.48,2623775.0
2026-04-23,929.49,917.65,917.65,2149232.0
2026-04-24,900.01,883.96,883.96,4463678.0
2026-04-27,878.13,868.27,868.27,2700286.0
2026-04-28,871.9,874.0,874.0,2561280.0
2026-04-29,866.04,851.21,851.21,3904584.0
2026-04-30,898.78,934.6,934.6,8236718.0
2026-05-01,948.95,963.33,963.33,4352441.0
2026-05-04,960.0,967.93,967.93,3696945.0
2026-05-05,971.89,988.87,988.87,2955528.0
2026-05-06,991.35,987.05,987.05,3921221.0
2026-05-07,985.37,974.96,974.96,3494856.0
2026-05-08,974.07,948.45,948.45,3559161.0
2026-05-11,949.0,966.99,966.99,3517454.0
2026-05-12,974.44,989.87,989.87,3037467.0
2026-05-13,994.75,1015.75,1015.75,3486425.0
2026-05-14,1017.49,1006.7,1006.7,1751682.0
2026-05-15,1006.98,1004.92,1004.92,2820726.0
2026-05-18,1000.61,988.09,988.09,2015971.0
2026-05-19,989.51,1021.41,1021.41,3796015.0
2026-05-20,1024.99,1018.87,1018.87,2780189.0
2026-05-21,1024.3,1041.65,1041.65,2705204.0
2026-05-22,1049.81,1065.0,1065.0,3472924.0
2026-05-26,1075.0,1064.74,1064.74,2983414.0
2026-05-27,1072.26,1082.92,1082.92,2587481.0
2026-05-28,1097.43,1127.02,1127.02,4599027.0
