date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2013-04-29,27.16,26.98,26.98,29201100.0
2013-04-30,27.13,27.77,27.77,36245700.0
2013-05-01,27.85,27.43,27.43,64567600.0
2013-05-02,28.01,28.97,28.97,104257000.0
2013-05-03,29.04,28.31,28.31,58506400.0
2013-05-06,28.33,27.57,27.57,43939400.0
2013-05-07,27.55,26.89,26.89,41259100.0
2013-05-08,26.88,27.12,27.12,34654900.0
2013-05-09,27.08,27.04,27.04,33457200.0
2013-05-10,27.14,26.68,26.68,30847100.0
2013-05-13,26.6,26.82,26.82,29068800.0
2013-05-14,26.89,27.07,27.07,24930300.0
2013-05-15,26.92,26.6,26.6,30299800.0
2013-05-16,26.48,26.13,26.13,35499100.0
2013-05-17,26.4,26.25,26.25,29462700.0
2013-05-20,26.18,25.76,25.76,42402900.0
2013-05-21,25.87,25.66,25.66,26261300.0
2013-05-22,25.65,25.16,25.16,45314500.0
2013-05-23,24.8,25.06,25.06,37663100.0
2013-05-24,24.97,24.31,24.31,58727900.0
2013-05-28,24.54,24.1,24.1,50079700.0
2013-05-29,23.79,23.32,23.32,64237800.0
2013-05-30,24.13,24.55,24.55,60733200.0
2013-05-31,24.63,24.35,24.35,35925000.0
2013-06-03,24.27,23.85,23.85,35733800.0
2013-06-04,23.89,23.52,23.52,34760800.0
2013-06-05,23.35,22.9,22.9,53819700.0
2013-06-06,22.99,22.97,22.97,31260700.0
2013-06-07,23.03,23.29,23.29,38699200.0
2013-06-10,24.06,24.33,24.33,58393000.0
2013-06-11,24.03,24.03,24.03,29885900.0
2013-06-12,24.16,23.77,23.77,26445800.0
2013-06-13,23.72,23.73,23.73,31189300.0
2013-06-14,23.56,23.63,23.63,30677100.0
2013-06-17,23.91,24.02,24.02,33664500.0
2013-06-18,24.09,24.21,24.21,36709100.0
2013-06-19,24.2,24.31,24.31,31790600.0
2013-06-20,24.28,23.9,23.9,42765600.0
2013-06-21,24.59,24.53,24.53,45833900.0
2013-06-24,23.95,23.94,23.94,40626000.0
2013-06-25,24.14,24.25,24.25,24713200.0
2013-06-26,24.51,24.16,24.16,29890300.0
2013-06-27,24.24,24.66,24.66,34694100.0
2013-06-28,24.68,24.88,24.88,96778900.0
2013-07-01,24.97,24.81,24.81,20582200.0
2013-07-02,24.7,24.41,24.41,18394100.0
2013-07-03,24.22,24.52,24.52,10404400.0
2013-07-05,24.65,24.37,24.37,20229500.0
2013-07-08,24.47,24.71,24.71,27064600.0
2013-07-09,25.07,25.48,25.48,30387900.0
2013-07-10,25.58,25.8,25.8,26721800.0
2013-07-11,25.96,25.81,25.81,26777400.0
2013-07-12,25.74,25.91,25.91,16537900.0
2013-07-15,25.93,26.28,26.28,24234000.0
2013-07-16,26.39,26.32,26.32,30817600.0
2013-07-17,26.37,26.65,26.65,21518500.0
2013-07-18,26.75,26.18,26.18,24806900.0
2013-07-19,25.82,25.88,25.88,46539700.0
2013-07-22,25.99,26.05,26.05,27526300.0
2013-07-23,26.1,26.13,26.13,28221600.0
2013-07-24,26.32,26.51,26.51,82635600.0
2013-07-25,33.54,34.36,34.36,365457900.0
2013-07-26,33.77,34.01,34.01,136028900.0
2013-07-29,34.07,35.43,35.43,124718800.0
2013-07-30,35.65,37.63,37.63,173582800.0
2013-07-31,37.96,36.8,36.8,154828700.0
2013-08-01,37.3,37.49,37.49,106066500.0
2013-08-02,37.66,38.05,38.05,73058500.0
2013-08-05,38.43,39.19,39.19,79994800.0
2013-08-06,39.11,38.55,38.55,63950800.0
2013-08-07,38.61,38.87,38.87,68854800.0
2013-08-08,39.13,38.54,38.54,41301000.0
2013-08-09,38.59,38.5,38.5,43532300.0
2013-08-12,38.2,38.22,38.22,31161000.0
2013-08-13,38.24,37.02,37.02,65379200.0
2013-08-14,36.83,36.65,36.65,48423900.0
2013-08-15,36.36,36.56,36.56,56521100.0
2013-08-16,36.97,37.08,37.08,45840800.0
2013-08-19,37.43,37.81,37.81,57609600.0
2013-08-20,38.35,38.41,38.41,57995200.0
2013-08-21,38.38,38.32,38.32,46116900.0
2013-08-22,38.37,38.55,38.55,21931200.0
2013-08-23,39.0,40.55,40.55,86442300.0
2013-08-26,40.9,41.34,41.34,94162400.0
2013-08-27,40.68,39.64,39.64,72695100.0
2013-08-28,39.96,40.55,40.55,57918200.0
2013-08-29,40.89,41.28,41.28,58303400.0
2013-08-30,42.02,41.29,41.29,67735100.0
2013-09-03,41.84,41.87,41.87,48774900.0
2013-09-04,42.01,41.78,41.78,42581900.0
2013-09-05,41.79,42.66,42.66,50035400.0
2013-09-06,43.09,43.95,43.95,117535700.0
2013-09-09,44.36,44.04,44.04,75794700.0
2013-09-10,44.24,43.6,43.6,54540300.0
2013-09-11,43.39,45.04,45.04,72328300.0
2013-09-12,45.53,44.75,44.75,68072300.0
2013-09-13,45.04,44.31,44.31,52765300.0
2013-09-16,44.85,42.51,42.51,70424200.0
2013-09-17,42.5,45.07,45.07,91934600.0
2013-09-18,44.84,45.23,45.23,79317000.0
2013-09-19,45.51,45.98,45.98,63972400.0
2013-09-20,46.32,47.49,47.49,115508400.0
2013-09-23,47.28,47.19,47.19,75177000.0
2013-09-24,48.51,48.45,48.45,136716100.0
2013-09-25,49.23,49.46,49.46,87879700.0
2013-09-26,50.01,50.39,50.39,98220100.0
2013-09-27,50.29,51.24,51.24,81410500.0
2013-09-30,50.14,50.23,50.23,100095000.0
2013-10-01,49.97,50.42,50.42,98114000.0
2013-10-02,50.13,50.28,50.28,62834000.0
2013-10-03,50.47,49.18,49.18,82045000.0
2013-10-04,49.77,51.04,51.04,74447000.0
2013-10-07,50.73,50.52,50.52,57204000.0
2013-10-08,50.6,47.14,47.14,136081000.0
2013-10-09,47.38,46.77,46.77,147297000.0
2013-10-10,47.87,49.05,49.05,99774000.0
2013-10-11,49.18,49.11,49.11,58428000.0
2013-10-14,48.31,49.51,49.51,68781000.0
2013-10-15,49.99,49.5,49.5,81167000.0
2013-10-16,50.04,51.14,51.14,64678000.0
2013-10-17,51.12,52.21,52.21,71522000.0
2013-10-18,54.18,54.22,54.22,88260000.0
2013-10-21,54.68,53.85,53.85,58235000.0
2013-10-22,54.33,52.68,52.68,83204000.0
2013-10-23,51.75,51.9,51.9,57207000.0
2013-10-24,52.38,52.45,52.45,46775000.0
2013-10-25,53.18,51.95,51.95,45085000.0
2013-10-28,51.54,50.23,50.23,73472000.0
2013-10-29,50.73,49.4,49.4,102143000.0
2013-10-30,50.0,49.01,49.01,127073000.0
2013-10-31,47.16,50.21,50.21,248809000.0
2013-11-01,50.85,49.75,49.75,95033000.0
2013-11-04,49.37,48.22,48.22,80371000.0
2013-11-05,47.79,50.11,50.11,76835000.0
2013-11-06,50.26,49.12,49.12,67889000.0
2013-11-07,49.24,47.56,47.56,97128000.0
2013-11-08,47.81,47.53,47.53,70731000.0
2013-11-11,47.04,46.2,46.2,80910000.0
2013-11-12,46.0,46.61,46.61,68196000.0
2013-11-13,46.23,48.71,48.71,79245000.0
2013-11-14,48.7,48.99,48.99,75117000.0
2013-11-15,49.11,49.01,49.01,42453000.0
2013-11-18,48.47,45.83,45.83,85910000.0
2013-11-19,46.26,46.36,46.36,75602000.0
2013-11-20,46.61,46.43,46.43,53933000.0
2013-11-21,46.99,46.7,46.7,34886000.0
2013-11-22,47.04,46.23,46.23,40545000.0
2013-11-25,46.36,44.82,44.82,82565000.0
2013-11-26,44.66,45.89,45.89,82016000.0
2013-11-27,45.97,46.49,46.49,44993000.0
2013-11-29,46.75,47.01,47.01,22953900.0
2013-12-02,46.9,47.06,47.06,50774000.0
2013-12-03,46.75,46.73,46.73,32086000.0
2013-12-04,46.46,48.62,48.62,60890000.0
2013-12-05,48.15,48.34,48.34,43855000.0
2013-12-06,48.98,47.94,47.94,42938000.0
2013-12-09,48.09,48.84,48.84,36056000.0
2013-12-10,48.64,50.25,50.25,68479000.0
2013-12-11,50.55,49.38,49.38,65776000.0
2013-12-12,51.05,51.83,51.83,92723000.0
2013-12-13,51.66,53.32,53.32,82641000.0
2013-12-16,53.25,53.81,53.81,85119000.0
2013-12-17,54.76,54.86,54.86,78751000.0
2013-12-18,54.86,55.57,55.57,76003000.0
2013-12-19,54.33,55.05,55.05,89753200.0
2013-12-20,54.93,55.12,55.12,239824000.0
2013-12-23,55.5,57.77,57.77,98297000.0
2013-12-24,58.27,57.96,57.96,46617800.0
2013-12-26,58.32,57.73,57.73,55101000.0
2013-12-27,57.48,55.44,55.44,60466000.0
2013-12-30,54.93,53.71,53.71,68307000.0
2013-12-31,54.12,54.65,54.65,43076200.0
2014-01-02,54.83,54.71,54.71,43195500.0
2014-01-03,55.02,54.56,54.56,38246200.0
2014-01-06,54.42,57.2,57.2,68852600.0
2014-01-07,57.7,57.92,57.92,77207400.0
2014-01-08,57.6,58.23,58.23,56682400.0
2014-01-09,58.65,57.22,57.22,92253300.0
2014-01-10,57.13,57.94,57.94,42449500.0
2014-01-13,57.91,55.91,55.91,63010900.0
2014-01-14,56.46,57.74,57.74,37503600.0
2014-01-15,57.98,57.6,57.6,33663400.0
2014-01-16,57.26,57.19,57.19,34541800.0
2014-01-17,57.3,56.3,56.3,40849200.0
2014-01-21,56.6,58.51,58.51,48669200.0
2014-01-22,58.85,57.51,57.51,61352900.0
2014-01-23,56.37,56.63,56.63,47951800.0
2014-01-24,56.15,54.45,54.45,55200700.0
2014-01-27,54.73,53.55,53.55,73924100.0
2014-01-28,54.02,55.14,55.14,48191200.0
2014-01-29,54.61,53.53,53.53,92995600.0
2014-01-30,62.12,61.08,61.08,150178900.0
2014-01-31,60.47,62.57,62.57,87794600.0
2014-02-03,63.03,61.48,61.48,74866600.0
2014-02-04,62.05,62.75,62.75,45985500.0
2014-02-05,62.74,62.19,62.19,51685100.0
2014-02-06,61.46,62.16,62.16,42086500.0
2014-02-07,62.27,64.32,64.32,60704300.0
2014-02-10,64.3,63.55,63.55,43666100.0
2014-02-11,63.75,64.85,64.85,45675600.0
2014-02-12,64.92,64.45,64.45,47282100.0
2014-02-13,64.18,67.33,67.33,61911700.0
2014-02-14,67.5,67.09,67.09,36694900.0
2014-02-18,66.94,67.3,67.3,43809900.0
2014-02-19,67.05,68.06,68.06,62087100.0
2014-02-20,67.73,69.63,69.63,130928900.0
2014-02-21,69.69,68.59,68.59,70932400.0
2014-02-24,68.74,70.78,70.78,76620300.0
