date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2015-01-02,39.5225,39.6072,39.6072,27913900
2015-01-05,39.2768,39.243,39.243,39673900
2015-01-06,39.2853,38.667,38.667,36447900
2015-01-07,38.9465,39.1583,39.1583,29114100
2015-01-08,39.5987,40.3102,40.3102,29645200
2015-01-09,40.3272,39.9714,39.9714,23944200
2015-01-12,40.1662,39.4717,39.4717,23651900
2015-01-13,39.785,39.2684,39.2684,35270600
2015-01-14,38.9296,38.9296,38.9296,29719600
2015-01-15,39.1498,38.523,38.523,32750800
2015-01-16,38.379,39.1667,39.1667,35695300
2015-01-20,39.2176,39.2938,39.2938,36161900
2015-01-21,38.9126,38.8957,38.8957,39081100
2015-01-22,39.2853,39.9206,39.9206,35898000
2015-01-23,40.1154,39.9629,39.9629,26211600
2015-01-26,39.8105,39.8189,39.8189,42525500
2015-01-27,36.38,36.1344,36.1344,169164000
2015-01-28,36.2021,34.8892,34.8892,84507100
2015-01-29,34.669,35.5838,35.5838,63585300
2015-01-30,35.1941,34.2201,34.2201,78004900
2015-02-02,34.381,34.9655,34.9655,50352500
2015-02-03,35.2619,35.2365,35.2365,52082400
2015-02-04,35.5245,35.4398,35.4398,41614800
2015-02-05,35.7617,35.9565,35.9565,36548200
2015-02-06,36.1513,35.9226,35.9226,34616600
2015-02-09,35.7786,35.8802,35.8802,31381100
2015-02-10,36.2021,36.0835,36.0835,29670700
2015-02-11,36.1259,35.8972,35.8972,38262500
2015-02-12,36.1343,36.4986,36.4986,33268800
2015-02-13,36.7442,37.1593,37.1593,40264900
2015-02-17,37.509,37.1763,37.1763,33695700
2015-02-18,37.219,37.1337,37.1337,27111700
2015-02-19,36.8351,37.1081,37.1081,27603400
2015-02-20,37.1166,37.4152,37.4152,29721100
2015-02-23,37.2787,37.6626,37.6626,32518800
2015-02-24,37.6626,37.6114,37.6114,25271700
2015-02-25,37.492,37.5261,37.5261,29759800
2015-02-26,37.5261,37.5858,37.5858,28957300
2015-02-27,37.6455,37.4066,37.4066,33807700
2015-03-02,37.2531,37.4322,37.4322,31924000
2015-03-03,37.1593,36.9204,36.9204,31748600
2015-03-04,36.6901,36.7327,36.7327,25748700
2015-03-05,36.7413,36.7754,36.7754,23193500
2015-03-06,36.6815,36.1356,36.1356,36248800
2015-03-09,35.9906,36.5536,36.5536,32108000
2015-03-10,36.127,35.8541,35.8541,39159700
2015-03-11,36.0929,35.8114,35.8114,32215300
2015-03-12,35.2569,34.9925,34.9925,59992500
2015-03-13,34.7195,35.2996,35.2996,58007700
2015-03-16,35.3764,35.4531,35.4531,35273500
2015-03-17,35.2911,35.5726,35.5726,31673400
2015-03-18,35.3423,36.255,36.255,44194800
2015-03-19,36.0503,36.0759,36.0759,33879100
2015-03-20,36.3062,36.5792,36.5792,71904500
2015-03-23,36.5792,36.5621,36.5621,26246100
2015-03-24,36.4939,36.5962,36.5962,25513300
2015-03-25,36.6133,35.3678,35.3678,43469900
2015-03-26,35.1631,35.1546,35.1546,37495600
2015-03-27,35.0778,34.9498,34.9498,34401400
2015-03-30,35.0607,34.9413,34.9413,35049700
2015-03-31,34.7878,34.6854,34.6854,34887200
2015-04-01,34.6342,34.7366,34.7366,36865300
2015-04-02,34.6854,34.3698,34.3698,37487500
2015-04-06,34.4124,35.4446,35.4446,39223700
2015-04-07,35.4958,35.4276,35.4276,28809400
2015-04-08,35.3678,35.3337,35.3337,24753400
2015-04-09,35.1887,35.3849,35.3849,25723900
2015-04-10,35.5129,35.5896,35.5896,28022000
2015-04-13,35.3166,35.6237,35.6237,30276700
2015-04-14,35.6579,35.5299,35.5299,24244400
2015-04-15,35.6237,36.0503,36.0503,27343600
2015-04-16,35.7858,35.965,35.965,22509700
2015-04-17,35.547,35.5043,35.5043,42387600
2015-04-20,35.5982,36.6048,36.6048,46057700
2015-04-21,36.6815,36.3744,36.3744,26013800
2015-04-22,36.4,36.673,36.673,25064300
2015-04-23,36.5877,36.9716,36.9716,46309500
2015-04-24,38.9507,40.8359,40.8359,130933700
2015-04-27,40.29,40.9724,40.9724,59248200
2015-04-28,40.7592,41.9364,41.9364,60730800
2015-04-29,41.561,41.8511,41.8511,47804600
2015-04-30,41.544,41.4928,41.4928,64725500
2015-05-01,41.4416,41.5099,41.5099,38937300
2015-05-04,41.2625,41.1516,41.1516,34039500
2015-05-05,40.7933,40.6056,40.6056,50369200
2015-05-06,40.58,39.4796,39.4796,52433000
2015-05-07,39.4711,39.8379,39.8379,32971700
2015-05-08,40.563,40.7336,40.7336,35364900
2015-05-11,40.563,40.4094,40.4094,24609400
2015-05-12,39.9658,40.3924,40.3924,29928300
2015-05-13,41.1089,40.6312,40.6312,34184600
2015-05-14,40.9724,41.5611,41.5611,32980900
2015-05-15,41.689,41.2028,41.2028,28642700
2015-05-18,40.9298,40.9554,40.9554,24136500
2015-05-19,40.8352,40.8523,40.8523,28574800
2015-05-20,40.6892,40.8523,40.8523,25047900
2015-05-21,40.5948,40.715,40.715,22410700
2015-05-22,40.6119,40.2685,40.2685,25720600
2015-05-26,40.2084,40.0023,40.0023,29581900
2015-05-27,40.1998,40.8781,40.8781,27335600
2015-05-28,40.7837,40.7407,40.7407,19283700
2015-05-29,40.7235,40.2341,40.2341,36519600
2015-06-01,40.4059,40.5518,40.5518,28837300
2015-06-02,40.2943,40.2857,40.2857,21498300
2015-06-03,40.672,40.2256,40.2256,28002200
2015-06-04,40.174,39.8048,39.8048,27745500
2015-06-05,39.7619,39.616,39.616,25438100
2015-06-08,39.7533,39.2639,39.2639,22121600
2015-06-09,39.2897,39.1952,39.1952,24406100
2015-06-10,39.3154,40.0195,40.0195,28417400
2015-06-11,40.0624,39.8735,39.8735,27347800
2015-06-12,39.6847,39.47,39.47,23931000
2015-06-15,39.0235,39.0493,39.0493,33254500
2015-06-16,38.9377,39.3498,39.3498,27070300
2015-06-17,39.2639,39.47,39.47,28704100
2015-06-18,39.6846,40.1139,40.1139,32658300
2015-06-19,40.1741,39.5816,39.5816,63837000
2015-06-22,39.7791,39.6932,39.6932,20318100
2015-06-23,39.6074,39.4185,39.4185,25896500
2015-06-24,39.2124,39.1867,39.1867,34890900
2015-06-25,39.5215,39.1952,39.1952,20616000
2015-06-26,39.1952,38.8604,38.8604,49835300
2015-06-29,38.6715,38.0962,38.0962,34081700
2015-06-30,38.3882,37.9073,37.9073,35945400
2015-07-01,38.1735,38.1649,38.1649,28343900
2015-07-02,38.1907,38.122,38.122,21752000
2015-07-06,37.7442,38.1134,38.1134,23034000
2015-07-07,38.0705,38.0361,38.0361,36435800
2015-07-08,38.1563,37.9846,37.9846,39785900
2015-07-09,38.4225,38.225,38.225,32424700
2015-07-10,38.6457,38.3023,38.3023,25465800
2015-07-13,38.62,39.1008,39.1008,28178300
2015-07-14,39.0235,39.1695,39.1695,22880300
2015-07-15,39.221,39.2897,39.2897,26629600
2015-07-16,39.5043,40.0624,40.0624,26271700
