date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2024-04-05,157.0,143.9,143.9,22740000
2024-04-08,160.21,151.299,151.299,20574000
2024-04-09,147.81,144.102,144.102,16659000
2024-04-10,138.75,156.6,156.6,19392000
2024-04-11,154.3,155.181,155.181,14386000
2024-04-12,153.5,147.958,147.958,12906000
2024-04-15,147.0,133.588,133.588,16125000
2024-04-16,130.602,125.403,125.403,17292000
2024-04-17,125.8,118.805,118.805,20374000
2024-04-18,119.2,120.816,120.816,17697000
2024-04-19,123.7,117.411,117.411,14747000
2024-04-22,120.9,132.401,132.401,19411000
2024-04-23,131.1,133.864,133.864,10478000
2024-04-24,132.701,126.567,126.567,9512000
2024-04-25,122.6,124.041,124.041,7734000
2024-04-26,122.5,128.238,128.238,8815000
2024-04-29,125.0,129.297,129.297,10131000
2024-04-30,119.901,106.503,106.503,24936000
2024-05-01,101.553,102.827,102.827,19249000
2024-05-02,105.5,112.942,112.942,15402000
2024-05-03,120.101,122.301,122.301,15610000
2024-05-06,127.385,126.881,126.881,13870000
2024-05-07,127.82,125.745,125.745,9968000
2024-05-08,119.839,123.312,123.312,8590000
2024-05-09,123.0,126.364,126.364,10534000
2024-05-10,128.999,118.048,118.048,14038000
2024-05-13,121.794,124.596,124.596,8757000
2024-05-14,122.648,129.763,129.763,9268000
2024-05-15,137.96,150.347,150.347,20586000
2024-05-16,149.41,143.998,143.998,13656000
2024-05-17,150.098,158.45,158.45,16529000
2024-05-20,159.7,172.724,172.724,16717000
2024-05-21,173.0,165.542,165.542,12978000
2024-05-22,166.3,164.7,164.7,10339000
2024-05-23,166.921,154.407,154.407,11588000
2024-05-24,154.0,168.484,168.484,12069000
2024-05-28,165.0,167.535,167.535,10799000
2024-05-29,165.0,161.87,161.87,7344000
2024-05-30,165.3,154.1,154.1,14708000
2024-05-31,159.7,152.449,152.449,22154000
2024-06-03,160.1,162.741,162.741,11222000
2024-06-04,161.742,163.877,163.877,13230000
2024-06-05,167.5,169.469,169.469,10956000
2024-06-06,169.859,165.663,165.663,11623000
2024-06-07,167.102,159.62,159.62,12627000
2024-06-10,157.501,159.992,159.992,7239000
2024-06-11,154.2,155.549,155.549,11412000
2024-06-12,162.0,160.367,160.367,13681000
2024-06-13,156.33,148.388,148.388,21108000
2024-06-14,150.5,149.554,149.554,13790000
2024-06-17,149.98,150.726,150.726,12076000
2024-06-18,145.793,146.943,146.943,8934000
2024-06-20,148.211,146.54,146.54,9098000
2024-06-21,142.0,148.376,148.376,11353000
2024-06-24,139.8,137.215,137.215,16081000
2024-06-25,141.377,149.574,149.574,13537000
2024-06-26,147.229,145.773,145.773,7502000
2024-06-27,148.5,152.54,152.54,9308000
2024-06-28,151.642,137.748,137.748,34113000
2024-07-01,141.0,136.597,136.597,14129000
2024-07-02,136.551,132.019,132.019,9229000
2024-07-03,129.8,130.209,130.209,6659000
2024-07-05,121.55,128.172,128.172,15029000
2024-07-08,131.453,129.058,129.058,8736000
2024-07-09,131.388,130.177,130.177,8903000
2024-07-10,131.97,130.572,130.572,6387000
2024-07-11,139.6,135.856,135.856,13513000
2024-07-12,133.92,139.676,139.676,10641000
2024-07-15,152.4,161.128,161.128,24671000
2024-07-16,161.5,166.43,166.43,15810000
2024-07-17,161.1,159.0,159.0,17212000
2024-07-18,163.39,155.516,155.516,10236000
2024-07-19,157.34,177.85,177.85,20458000
2024-07-22,178.402,180.009,180.009,15391000
2024-07-23,176.399,172.177,172.177,10747000
2024-07-24,175.0,167.269,167.269,13774000
2024-07-25,161.65,160.647,160.647,14772000
2024-07-26,170.0,175.271,175.271,14138000
2024-07-29,181.999,168.485,168.485,12802000
2024-07-30,168.799,160.407,160.407,9155000
2024-07-31,164.603,161.444,161.444,7534000
2024-08-01,161.5,151.181,151.181,11930000
2024-08-02,148.581,144.799,144.799,14126000
2024-08-05,105.165,130.9,130.9,22678000
2024-08-06,132.6,136.921,136.921,12260000
2024-08-07,140.878,124.685,124.685,10934000
2024-08-08,130.23,135.99,135.99,10378300
2024-08-09,135.89,135.37,135.37,7330400
2024-08-12,133.49,131.46,131.46,6932300
2024-08-13,132.28,135.38,135.38,8123100
2024-08-14,136.37,130.37,130.37,8535900
2024-08-15,132.7,131.93,131.93,10856900
2024-08-16,133.25,133.04,133.04,11360400
2024-08-19,133.7,135.35,135.35,6595700
2024-08-20,139.74,133.69,133.69,11274600
2024-08-21,134.34,141.42,141.42,11774500
2024-08-22,141.39,133.81,133.81,7963400
2024-08-23,137.4,150.01,150.01,17791300
2024-08-26,148.12,146.9,146.9,10418800
2024-08-27,144.48,140.01,140.01,10943100
2024-08-28,138.16,132.09,132.09,8860100
2024-08-29,137.0,132.56,132.56,8431400
2024-08-30,134.0,132.42,132.42,7803000
2024-09-03,132.0,122.32,122.32,8258800
2024-09-04,120.25,124.85,124.85,8191100
2024-09-05,122.35,119.57,119.57,6066600
2024-09-06,122.93,114.3,114.3,8795500
2024-09-09,118.93,124.82,124.82,9771200
2024-09-10,123.0,129.64,129.64,7738000
2024-09-11,124.81,129.28,129.28,8731200
2024-09-12,129.0,130.77,130.77,6031600
2024-09-13,131.1,141.47,141.47,12239100
2024-09-16,137.02,134.53,134.53,8765900
2024-09-17,138.37,131.27,131.27,21043400
2024-09-18,130.44,132.67,132.67,16345600
2024-09-19,140.45,144.66,144.66,20177300
2024-09-20,144.39,144.78,144.78,12332300
2024-09-23,147.48,149.97,149.97,10090300
2024-09-24,150.16,153.88,153.88,9365200
2024-09-25,152.3,151.94,151.94,7839400
2024-09-26,157.63,165.98,165.98,17068500
2024-09-27,170.48,176.22,176.22,17321200
2024-09-30,168.63,168.6,168.6,13338100
2024-10-01,168.52,162.69,162.69,14103300
2024-10-02,160.51,164.64,164.64,12557500
2024-10-03,163.39,163.41,163.41,8814200
2024-10-04,166.72,176.51,176.51,14030100
2024-10-07,179.71,186.09,186.09,19826000
2024-10-08,186.1,192.2,192.2,20984800
2024-10-09,189.77,188.91,188.91,13445300
2024-10-10,191.89,183.34,183.34,15937500
2024-10-11,188.5,212.59,212.59,29933800
2024-10-14,224.48,201.67,201.67,31736600
2024-10-15,206.73,194.31,194.31,23114600
2024-10-16,199.9,194.09,194.09,12434600
2024-10-17,192.8,193.42,193.42,11414300
2024-10-18,197.59,215.86,215.86,22814800
2024-10-21,214.49,219.05,219.05,18028600
2024-10-22,216.21,219.7,219.7,13758100
2024-10-23,215.08,213.95,213.95,17025500
2024-10-24,220.09,235.89,235.89,23221500
2024-10-25,236.39,234.34,234.34,25093200
2024-10-28,244.64,255.34,255.34,23182000
2024-10-29,264.25,258.24,258.24,25958500
2024-10-30,246.5,247.31,247.31,20593300
2024-10-31,251.12,244.5,244.5,21954100
2024-11-01,245.33,229.71,229.71,26258900
2024-11-04,226.97,222.99,222.99,13438800
2024-11-05,233.34,227.8,227.8,17993900
2024-11-06,260.0,257.81,257.81,26270400
2024-11-07,256.8,270.81,270.81,23931700
2024-11-08,275.58,270.42,270.42,18764200
2024-11-11,297.0,340.0,340.0,47315700
2024-11-12,334.77,356.59,356.59,39705800
2024-11-13,366.98,328.38,328.38,46238500
2024-11-14,341.77,327.67,327.67,26605700
2024-11-15,336.6,340.65,340.65,25842000
2024-11-18,345.42,384.79,384.79,32612800
2024-11-19,389.5,430.54,430.54,50954500
2024-11-20,463.4,473.83,473.83,70212600
2024-11-21,535.63,397.28,397.28,100444000
2024-11-22,403.6,421.88,421.88,55935000
2024-11-25,440.75,403.45,403.45,40180400
2024-11-26,382.78,353.69,353.69,47891000
2024-11-27,384.29,388.84,388.84,34921200
2024-11-29,405.75,387.47,387.47,21987600
2024-12-02,393.64,380.3,380.3,23404300
2024-12-03,367.85,373.43,373.43,22817500
2024-12-04,380.0,406.0,406.0,29862200
2024-12-05,440.12,386.4,386.4,46189800
2024-12-06,395.29,395.01,395.01,26206200
2024-12-09,394.0,365.34,365.34,22606100
2024-12-10,373.37,377.32,377.32,20139900
2024-12-11,385.66,411.4,411.4,27594400
2024-12-12,413.71,392.19,392.19,21074300
2024-12-13,400.07,408.67,408.67,21536900
2024-12-16,424.87,408.5,408.5,31099400
2024-12-17,413.45,386.42,386.42,21822000
2024-12-18,386.0,349.64,349.64,24422900
2024-12-19,365.44,326.46,326.46,26922900
2024-12-20,319.37,364.2,364.2,44889900
2024-12-23,358.0,332.23,332.23,21742500
2024-12-24,343.5,358.18,358.18,16377800
2024-12-26,350.31,341.05,341.05,13249000
2024-12-27,342.3,330.0,330.0,13778500
2024-12-30,319.4,302.96,302.96,25771200
2024-12-31,316.96,289.62,289.62,22486100
2025-01-02,300.11,300.01,300.01,17933900
2025-01-03,303.0,339.66,339.66,25039000
2025-01-06,349.85,379.09,379.09,26707300
2025-01-07,366.47,341.43,341.43,24736800
2025-01-08,335.25,331.7,331.7,18274800
2025-01-10,330.31,327.91,327.91,16478700
2025-01-13,309.95,328.4,328.4,15914500
2025-01-14,343.0,342.17,342.17,17889500
2025-01-15,357.81,360.62,360.62,19941300
2025-01-16,357.89,367.0,367.0,14826600
2025-01-17,383.28,396.5,396.5,24339100
2025-01-21,395.46,389.1,389.1,26215800
2025-01-22,384.91,377.31,377.31,16000300
2025-01-23,371.75,373.12,373.12,23306500
2025-01-24,377.67,353.67,353.67,22943800
2025-01-27,340.5,347.92,347.92,21224400
2025-01-28,344.68,335.93,335.93,11461400
2025-01-29,338.2,341.25,341.25,11716800
2025-01-30,345.83,340.09,340.09,12607800
2025-01-31,340.11,334.79,334.79,15533300
2025-02-03,310.0,347.09,347.09,18207300
2025-02-04,341.2,348.31,348.31,12486000
2025-02-05,349.0,336.7,336.7,10874100
2025-02-06,338.7,325.46,325.46,12795200
2025-02-07,335.0,327.56,327.56,15049700
2025-02-10,333.5,334.62,334.62,10104100
2025-02-11,332.98,319.46,319.46,12017200
2025-02-12,315.96,326.82,326.82,9837900
2025-02-13,325.5,324.92,324.92,9848100
2025-02-14,325.15,337.73,337.73,13912800
2025-02-18,337.35,333.97,333.97,10179800
2025-02-19,337.3,318.67,318.67,17043100
2025-02-20,323.73,323.92,323.92,12291700
2025-02-21,327.93,299.69,299.69,17930800
2025-02-24,304.0,282.76,282.76,17974900
2025-02-25,268.1,250.51,250.51,31379600
2025-02-26,245.39,263.27,263.27,19876900
2025-02-27,267.43,240.05,240.05,18520300
2025-02-28,238.32,255.43,255.43,22662600
2025-03-03,293.15,250.92,250.92,30575700
2025-03-04,240.28,275.15,275.15,30130200
2025-03-05,278.31,308.55,308.55,26199800
2025-03-06,298.95,304.11,304.11,25309500
2025-03-07,298.15,287.18,287.18,22764500
2025-03-10,268.0,239.27,239.27,31478300
