date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2013-04-29,3.36,3.39,3.15,26971200.0
2013-04-30,3.4,3.44,3.2,27671200.0
2013-05-01,3.44,3.41,3.17,34131600.0
2013-05-02,3.41,3.45,3.21,32348000.0
2013-05-03,3.47,3.47,3.22,29386400.0
2013-05-06,3.47,3.46,3.21,21711600.0
2013-05-07,3.46,3.41,3.17,44806800.0
2013-05-08,3.42,3.47,3.23,33403200.0
2013-05-09,3.41,3.48,3.23,56680000.0
2013-05-10,3.55,3.63,3.38,86113600.0
2013-05-13,3.61,3.56,3.31,28981200.0
2013-05-14,3.6,3.61,3.36,45414000.0
2013-05-15,3.6,3.67,3.41,31317200.0
2013-05-16,3.67,3.66,3.4,30836800.0
2013-05-17,3.67,3.72,3.45,31211600.0
2013-05-20,3.7,3.71,3.45,23638000.0
2013-05-21,3.71,3.73,3.48,35778400.0
2013-05-22,3.74,3.6,3.36,48040400.0
2013-05-23,3.56,3.66,3.41,39388400.0
2013-05-24,3.64,3.63,3.39,28330400.0
2013-05-28,3.66,3.63,3.39,27930000.0
2013-05-29,3.61,3.61,3.37,33505200.0
2013-05-30,3.61,3.66,3.41,28450400.0
2013-05-31,3.64,3.62,3.38,57750800.0
2013-06-03,3.62,3.61,3.37,44446800.0
2013-06-04,3.63,3.62,3.38,36367600.0
2013-06-05,3.61,3.54,3.31,46452000.0
2013-06-06,3.54,3.56,3.33,34104400.0
2013-06-07,3.59,3.61,3.37,27458400.0
2013-06-10,3.6,3.61,3.37,22414800.0
2013-06-11,3.56,3.54,3.31,29633600.0
2013-06-12,3.56,3.51,3.28,31258800.0
2013-06-13,3.5,3.59,3.35,23625600.0
2013-06-14,3.61,3.59,3.35,23601200.0
2013-06-17,3.62,3.62,3.38,25533600.0
2013-06-18,3.64,3.6,3.36,48677200.0
2013-06-19,3.63,3.71,3.46,115958800.0
2013-06-20,3.68,3.61,3.37,62869600.0
2013-06-21,3.63,3.61,3.37,71422800.0
2013-06-24,3.55,3.53,3.3,58077200.0
2013-06-25,3.57,3.56,3.32,45736000.0
2013-06-26,3.6,3.54,3.3,57975200.0
2013-06-27,3.55,3.5,3.27,80803600.0
2013-06-28,3.5,3.51,3.28,43153600.0
2013-07-01,3.54,3.53,3.29,19952400.0
2013-07-02,3.51,3.52,3.29,25639200.0
2013-07-03,3.49,3.53,3.3,14038800.0
2013-07-05,3.54,3.56,3.32,18468400.0
2013-07-08,3.57,3.54,3.31,26208400.0
2013-07-09,3.55,3.56,3.32,15736400.0
2013-07-10,3.56,3.61,3.37,20846800.0
2013-07-11,3.63,3.66,3.41,23983200.0
2013-07-12,3.65,3.66,3.42,21636000.0
2013-07-15,3.67,3.65,3.41,20133200.0
2013-07-16,3.67,3.67,3.43,16256000.0
2013-07-17,3.67,3.65,3.41,16610000.0
2013-07-18,3.65,3.64,3.4,34448800.0
2013-07-19,3.62,3.56,3.32,48053200.0
2013-07-22,3.59,3.56,3.32,29238400.0
2013-07-23,3.6,3.55,3.32,24679200.0
2013-07-24,3.59,3.55,3.32,28425200.0
2013-07-25,3.55,3.57,3.33,24332000.0
2013-07-26,3.52,3.55,3.31,22736000.0
2013-07-29,3.54,3.54,3.31,17954000.0
2013-07-30,3.56,3.6,3.36,26607600.0
2013-07-31,3.59,3.61,3.37,27016000.0
2013-08-01,3.62,3.66,3.42,27764800.0
2013-08-02,3.65,3.69,3.45,20962800.0
2013-08-05,3.68,3.71,3.46,18518800.0
2013-08-06,3.71,3.65,3.41,20660800.0
2013-08-07,3.63,3.65,3.41,24438000.0
2013-08-08,3.67,3.67,3.43,34569600.0
2013-08-09,3.53,3.62,3.38,90622400.0
2013-08-12,3.47,3.59,3.35,25756800.0
2013-08-13,3.6,3.61,3.37,19746800.0
2013-08-14,3.6,3.76,3.51,82850800.0
2013-08-15,3.72,3.78,3.53,72361600.0
2013-08-16,3.78,3.8,3.55,66045600.0
2013-08-19,3.78,3.74,3.49,39343200.0
2013-08-20,3.72,3.74,3.51,23419200.0
2013-08-21,3.71,3.72,3.49,26154000.0
2013-08-22,3.72,3.74,3.51,12901600.0
2013-08-23,3.74,3.74,3.51,24512000.0
2013-08-26,3.74,3.75,3.52,30015200.0
2013-08-27,3.71,3.7,3.47,27746400.0
2013-08-28,3.71,3.7,3.47,31882400.0
2013-08-29,3.69,3.69,3.46,27621600.0
2013-08-30,3.69,3.69,3.46,37812000.0
2013-09-03,3.7,3.69,3.46,28468000.0
2013-09-04,3.69,3.72,3.5,22208000.0
2013-09-05,3.71,3.73,3.5,17490400.0
2013-09-06,3.74,3.72,3.49,22675600.0
2013-09-09,3.75,3.78,3.55,24640800.0
2013-09-10,3.81,3.86,3.62,29213200.0
2013-09-11,3.86,3.93,3.69,39616400.0
2013-09-12,3.91,3.92,3.68,30380800.0
2013-09-13,3.94,3.95,3.71,15969600.0
2013-09-16,3.98,3.95,3.71,23141200.0
2013-09-17,3.97,3.96,3.72,16860800.0
2013-09-18,3.97,4.0,3.75,26816800.0
2013-09-19,4.02,3.98,3.74,22757200.0
2013-09-20,3.99,3.95,3.7,35603600.0
2013-09-23,3.94,3.91,3.67,27124400.0
2013-09-24,3.91,3.92,3.68,22973200.0
2013-09-25,3.92,3.93,3.69,23315600.0
2013-09-26,3.94,3.92,3.68,14881600.0
2013-09-27,3.89,3.89,3.65,15192000.0
2013-09-30,3.86,3.89,3.65,22664000.0
2013-10-01,3.89,3.89,3.65,22697600.0
2013-10-02,3.85,3.88,3.65,16203600.0
2013-10-03,3.89,3.85,3.61,43676800.0
2013-10-04,3.84,3.9,3.66,24622800.0
2013-10-07,3.88,3.9,3.66,16995200.0
2013-10-08,3.89,3.87,3.63,29071200.0
