date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2024-12-30,8.9618,8.9618,8.9618,0
2024-12-31,8.9523,8.9523,8.9523,0
2025-01-02,8.9523,8.9523,8.9523,0
2025-01-03,8.9428,8.9428,8.9428,0
2025-01-06,8.9333,8.9333,8.9333,0
2025-01-07,8.9047,8.9047,8.9047,0
2025-01-08,8.9238,8.9238,8.9238,0
2025-01-10,8.8761,8.8761,8.8761,0
2025-01-13,8.8666,8.8666,8.8666,0
2025-01-14,8.8666,8.8666,8.8666,0
2025-01-15,8.9333,8.9333,8.9333,0
2025-01-16,8.9523,8.9523,8.9523,0
2025-01-17,8.9523,8.9523,8.9523,0
2025-01-21,8.9809,8.9809,8.9809,0
2025-01-22,8.9618,8.9618,8.9618,0
2025-01-23,8.9523,8.9523,8.9523,0
2025-01-24,8.9618,8.9618,8.9618,0
2025-01-27,9.0095,9.0095,9.0095,0
2025-01-28,9.0095,9.0095,9.0095,0
2025-01-29,9.0028,9.0028,9.0028,0
2025-01-30,9.0123,9.0123,9.0123,0
2025-01-31,9.0028,9.0028,9.0028,0
2025-02-03,9.0028,9.0028,9.0028,0
2025-02-04,9.0219,9.0219,9.0219,0
2025-02-05,9.0601,9.0601,9.0601,0
2025-02-06,9.0601,9.0601,9.0601,0
2025-02-07,9.0314,9.0314,9.0314,0
2025-02-10,9.0314,9.0314,9.0314,0
2025-02-11,9.0219,9.0219,9.0219,0
2025-02-12,8.9741,8.9741,8.9741,0
2025-02-13,9.0219,9.0219,9.0219,0
2025-02-14,9.0505,9.0505,9.0505,0
2025-02-18,9.0123,9.0123,9.0123,0
2025-02-19,9.0314,9.0314,9.0314,0
2025-02-20,9.041,9.041,9.041,0
2025-02-21,9.0792,9.0792,9.0792,0
2025-02-24,9.0982,9.0982,9.0982,0
2025-02-25,9.146,9.146,9.146,0
2025-02-26,9.168,9.168,9.168,0
2025-02-27,9.1584,9.1584,9.1584,0
2025-02-28,9.2063,9.2063,9.2063,0
2025-03-03,9.2254,9.2254,9.2254,0
2025-03-04,9.1967,9.1967,9.1967,0
2025-03-05,9.1584,9.1584,9.1584,0
2025-03-06,9.1584,9.1584,9.1584,0
2025-03-07,9.1489,9.1489,9.1489,0
2025-03-10,9.1967,9.1967,9.1967,0
2025-03-11,9.168,9.168,9.168,0
2025-03-12,9.1489,9.1489,9.1489,0
2025-03-13,9.1776,9.1776,9.1776,0
2025-03-14,9.1584,9.1584,9.1584,0
2025-03-17,9.1584,9.1584,9.1584,0
2025-03-18,9.168,9.168,9.168,0
2025-03-19,9.1967,9.1967,9.1967,0
2025-03-20,9.2063,9.2063,9.2063,0
2025-03-21,9.1967,9.1967,9.1967,0
2025-03-24,9.1584,9.1584,9.1584,0
2025-03-25,9.168,9.168,9.168,0
2025-03-26,9.1489,9.1489,9.1489,0
