date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2021-11-09,24.96,25.29,25.29,1500
2021-11-10,24.8,22.957,22.957,5600
2021-11-11,23.61,23.271,23.271,2100
2021-11-12,22.91,23.123,23.123,2600
2021-11-15,22.77,23.574,23.574,2000
2021-11-16,24.01,23.639,23.639,2300
2021-11-17,23.29,22.32,22.32,2600
2021-11-18,22.25,22.26,22.26,500
2021-11-19,21.15,21.15,21.15,600
2021-11-22,20.46,20.43,20.43,1600
2021-11-23,22.636,22.47,22.47,1500
2021-11-24,23.383,23.383,23.383,200
2021-11-26,21.33,20.68,20.68,11400
2021-11-29,22.36,20.763,20.763,26800
2021-11-30,19.82,19.18,19.18,7200
2021-12-01,20.458,18.482,18.482,30600
2021-12-02,18.0,20.32,20.32,58600
2021-12-03,20.35,19.2,19.2,6200
2021-12-06,20.18,20.91,20.91,5200
2021-12-07,21.71,22.43,22.43,58500
2021-12-08,21.97,22.58,22.58,11300
2021-12-09,21.17,21.12,21.12,21000
2021-12-10,20.875,21.903,21.903,3800
2021-12-13,20.51,19.52,19.52,3400
2021-12-14,19.793,19.439,19.439,58800
2021-12-15,18.91,18.84,18.84,19400
2021-12-16,20.06,20.08,20.08,12300
2021-12-17,19.71,17.76,17.76,10000
2021-12-20,16.42,17.736,17.736,51000
2021-12-21,18.72,19.99,19.99,32500
2021-12-22,20.16,20.77,20.77,7000
2021-12-23,20.46,20.19,20.19,45800
2021-12-27,19.3,21.75,21.75,15600
2021-12-28,21.71,21.221,21.221,3700
2021-12-29,20.95,20.67,20.67,1200
2021-12-30,20.705,20.14,20.14,1200
2021-12-31,20.46,20.77,20.77,2100
2022-01-03,20.77,22.47,22.47,3200
2022-01-04,23.04,25.01,25.01,26900
2022-01-05,25.86,24.524,24.524,111400
2022-01-06,26.23,26.39,26.39,8400
2022-01-07,26.688,27.76,27.76,32000
2022-01-10,27.36,26.95,26.95,56400
2022-01-11,27.812,30.15,30.15,33000
2022-01-12,30.76,30.335,30.335,46400
2022-01-13,29.98,29.59,29.59,22800
2022-01-14,29.51,32.29,32.29,8200
2022-01-18,33.5,32.27,32.27,52200
2022-01-19,33.12,31.31,31.31,12400
2022-01-20,30.3,29.53,29.53,21500
2022-01-21,29.37,27.7,27.7,30700
2022-01-24,26.25,28.86,28.86,66000
2022-01-25,28.0,32.28,32.28,45700
2022-01-26,33.51,31.65,31.65,51900
2022-01-27,34.0,33.32,33.32,52400
2022-01-28,32.79,32.77,32.77,23300
2022-01-31,32.34,32.95,32.95,16900
2022-02-01,32.8,36.74,36.74,67300
2022-02-02,36.38,36.92,36.92,55800
2022-02-03,37.01,35.53,35.53,26700
2022-02-04,37.46,37.93,37.93,106700
2022-02-07,37.02,39.02,39.02,46400
2022-02-08,38.15,36.04,36.04,55100
2022-02-09,36.01,37.42,37.42,30000
2022-02-10,37.14,36.03,36.03,51700
2022-02-11,37.13,40.75,40.75,120300
2022-02-14,40.12,37.56,37.56,84000
2022-02-15,34.91,35.54,35.54,53100
2022-02-16,36.49,36.874,36.874,53300
2022-02-17,36.96,36.5,36.5,31400
2022-02-18,35.98,36.09,36.09,44800
2022-02-22,39.77,33.62,33.62,111200
2022-02-23,34.37,35.043,35.043,74400
2022-02-24,38.55,34.64,34.64,158100
2022-02-25,35.21,37.5,37.5,112500
2022-02-28,37.07,40.9,40.9,135600
2022-03-01,42.41,41.99,41.99,123200
2022-03-02,44.26,45.04,45.04,176400
2022-03-03,43.4,44.41,44.41,114600
2022-03-04,45.36,50.0,50.0,232100
2022-03-07,54.84,51.61,51.61,475300
2022-03-08,53.97,52.52,52.52,545500
2022-03-09,47.16,48.57,48.57,195100
2022-03-10,49.87,53.29,53.29,177500
2022-03-11,50.88,51.52,51.52,135300
2022-03-14,48.16,46.5,46.5,159100
2022-03-15,40.98,41.98,41.98,135300
2022-03-16,42.53,41.59,41.59,45200
2022-03-17,44.56,47.1,47.1,132300
2022-03-18,46.4,46.52,46.52,45600
2022-03-21,49.64,52.94,52.94,136800
2022-03-22,52.37,51.71,51.71,100000
2022-03-23,54.6,54.215,54.215,112400
2022-03-24,54.68,54.45,54.45,61700
2022-03-25,53.67,58.65,58.65,85500
2022-03-28,55.0,54.14,54.14,89700
2022-03-29,50.7,53.46,53.46,69000
2022-03-30,55.7,55.4,55.4,66500
2022-03-31,54.0,53.09,53.09,56000
2022-04-01,53.64,55.12,55.12,48200
2022-04-04,56.54,54.909,54.909,65700
2022-04-05,55.36,51.95,51.95,42500
2022-04-06,53.86,52.63,52.63,36800
2022-04-07,53.14,54.65,54.65,32600
2022-04-08,55.52,59.63,59.63,82000
2022-04-11,57.53,54.17,54.17,74300
2022-04-12,57.27,56.93,56.93,94700
2022-04-13,59.48,59.448,59.448,69700
2022-04-14,59.29,60.44,60.44,64600
2022-04-18,61.55,62.94,62.94,90000
2022-04-19,61.15,61.17,61.17,71600
2022-04-20,62.62,62.29,62.29,90200
2022-04-21,63.72,56.06,56.06,139900
2022-04-22,55.28,51.64,51.64,125700
2022-04-25,46.8,46.2,46.2,193900
2022-04-26,47.55,46.93,46.93,110900
2022-04-27,48.04,48.67,48.67,46300
2022-04-28,49.44,53.0,53.0,44900
2022-04-29,55.0,49.01,49.01,56100
2022-05-02,47.2,51.2,51.2,74100
2022-05-03,51.95,56.3,56.3,112200
2022-05-04,59.99,63.22,63.22,118000
2022-05-05,65.0,61.22,61.22,142600
2022-05-06,63.64,65.37,65.37,122100
2022-05-09,62.11,48.73,48.73,173000
2022-05-10,50.79,50.1,50.1,79200
2022-05-11,53.68,52.0,52.0,146400
2022-05-12,51.46,52.61,52.61,90000
2022-05-13,55.23,58.3,58.3,147000
2022-05-16,58.51,63.12,63.12,134400
2022-05-17,65.98,65.115,65.115,157300
2022-05-18,66.95,60.11,60.11,141100
2022-05-19,56.41,58.98,58.98,99900
2022-05-20,61.57,59.52,59.52,115400
2022-05-23,62.48,64.9,64.9,100100
2022-05-24,62.88,64.67,64.67,110000
2022-05-25,65.96,69.59,69.59,112800
2022-05-26,71.74,73.07,73.07,132000
2022-05-27,72.61,76.95,76.95,131900
2022-05-31,81.07,73.19,73.19,191600
2022-06-01,76.35,77.33,77.33,87500
2022-06-02,75.94,76.17,76.17,75800
2022-06-03,76.98,78.85,78.85,70500
2022-06-06,80.66,78.93,78.93,91900
2022-06-07,77.92,85.63,85.63,180800
2022-06-08,86.77,85.22,85.22,183200
2022-06-09,83.43,78.81,78.81,117800
2022-06-10,76.02,74.59,74.59,129100
2022-06-13,67.91,63.2,63.2,210200
2022-06-14,67.35,63.29,63.29,127400
2022-06-15,62.77,59.05,59.05,152200
2022-06-16,53.24,47.7,47.7,258300
2022-06-17,47.11,40.0,40.0,268700
2022-06-21,44.17,47.0,47.0,303800
2022-06-22,39.83,41.68,41.68,312100
2022-06-23,41.54,36.26,36.26,525600
2022-06-24,37.96,37.92,37.92,301400
2022-06-27,39.7,41.85,41.85,442800
2022-06-28,44.5,45.49,45.49,405000
2022-06-29,46.89,40.0,40.0,241700
2022-06-30,38.28,37.98,37.98,147300
2022-07-01,37.98,38.85,38.85,164000
2022-07-05,36.91,34.12,34.12,523400
2022-07-06,33.64,32.32,32.32,337000
2022-07-07,35.51,37.3,37.3,332100
2022-07-08,37.97,36.56,36.56,249800
2022-07-11,34.27,35.47,35.47,90300
2022-07-12,32.84,32.45,32.45,143000
2022-07-13,31.87,33.09,33.09,124700
2022-07-14,30.35,31.56,31.56,198800
2022-07-15,32.99,33.48,33.48,91500
2022-07-18,35.99,35.35,35.35,90800
2022-07-19,35.38,38.9,38.9,164100
2022-07-20,37.14,40.31,40.31,136800
2022-07-21,38.34,38.13,38.13,209400
2022-07-22,37.47,36.47,36.47,92800
2022-07-25,39.37,41.63,41.63,200500
2022-07-26,44.17,40.27,40.27,114700
2022-07-27,41.57,43.02,43.02,224300
2022-07-28,44.3,43.13,43.13,111100
2022-07-29,45.71,48.75,48.75,230900
2022-08-01,45.31,45.0,45.0,136600
2022-08-02,44.33,45.1,45.1,73000
2022-08-03,45.81,41.06,41.06,179000
2022-08-04,40.32,36.35,36.35,152500
2022-08-05,35.0,38.74,38.74,136200
2022-08-08,38.68,39.32,39.32,206500
2022-08-09,40.57,41.62,41.62,114200
2022-08-10,41.9,42.52,42.52,192400
2022-08-11,44.8,47.53,47.53,335900
2022-08-12,46.43,48.54,48.54,306400
2022-08-15,44.29,45.58,45.58,164900
2022-08-16,46.74,45.49,45.49,111000
2022-08-17,45.0,46.37,46.37,207100
2022-08-18,48.19,50.58,50.58,284700
2022-08-19,49.47,51.27,51.27,199800
2022-08-22,50.8,50.89,50.89,233600
2022-08-23,53.53,56.19,56.19,395800
2022-08-24,57.4,58.48,58.48,283800
2022-08-25,59.94,59.47,59.47,166800
2022-08-26,59.0,57.41,57.41,199000
2022-08-29,57.0,59.93,59.93,353400
2022-08-30,57.0,53.27,53.27,203900
2022-08-31,49.75,52.2,52.2,270400
2022-09-01,49.61,47.97,47.97,288700
2022-09-02,51.89,50.83,50.83,224000
2022-09-06,52.53,48.71,48.71,336600
2022-09-07,45.96,46.9,46.9,306100
2022-09-08,47.62,47.58,47.58,202000
2022-09-09,50.46,50.97,50.97,289500
2022-09-12,53.3,53.88,53.88,477500
2022-09-13,51.59,49.82,49.82,378300
2022-09-14,51.8,54.42,54.42,300300
2022-09-15,51.07,49.95,49.95,255700
2022-09-16,49.4,46.48,46.48,376700
2022-09-19,42.64,46.56,46.56,185700
2022-09-20,45.58,45.69,45.69,105200
2022-09-21,48.45,43.43,43.43,200400
2022-09-22,45.67,42.56,42.56,164200
2022-09-23,37.86,34.04,34.04,391500
2022-09-26,32.9,31.16,31.16,214200
2022-09-27,32.94,32.4,32.4,350700
2022-09-28,33.32,37.02,37.02,335500
2022-09-29,36.22,37.02,37.02,338500
2022-09-30,36.38,36.43,36.43,127600
2022-10-03,40.42,42.12,42.12,211700
2022-10-04,45.08,47.64,47.64,298000
2022-10-05,47.87,50.16,50.16,628300
2022-10-06,49.56,52.97,52.97,286900
2022-10-07,52.81,51.7,51.7,310000
2022-10-10,51.9,47.79,47.79,332800
2022-10-11,44.85,46.39,46.39,255300
2022-10-12,45.6,47.8,47.8,447300
2022-10-13,46.07,53.61,53.61,266600
2022-10-14,52.21,47.48,47.48,325800
2022-10-17,49.64,49.15,49.15,263600
2022-10-18,50.49,50.41,50.41,357400
2022-10-19,50.76,54.3,54.3,362700
