date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2024-04-09,0.8451,0.7593,0.7593,165920085
2024-04-10,0.7593,0.7769,0.7769,171626377
2024-04-11,0.7769,0.8216,0.8216,196607740
2024-04-12,0.8216,0.7023,0.7023,369016780
2024-04-13,0.7023,0.7857,0.7857,732968502
2024-04-14,0.7857,0.897,0.897,701151986
2024-04-15,0.897,0.8627,0.8627,618563389
2024-04-16,0.8627,0.8264,0.8264,428061906
2024-04-17,0.8264,0.7959,0.7959,376429383
2024-04-18,0.7959,0.7663,0.7663,319350148
2024-04-19,0.7663,0.7487,0.7487,321656048
2024-04-20,0.7487,0.8244,0.8244,186239900
2024-04-21,0.8244,0.811,0.811,193075389
2024-04-22,0.811,0.7876,0.7876,187696602
2024-04-23,0.7876,0.8009,0.8009,273820517
2024-04-24,0.8009,0.8392,0.8392,386198621
2024-04-25,0.8392,0.8137,0.8137,230282599
2024-04-26,0.8137,0.7701,0.7701,138618130
2024-04-27,0.7701,0.7943,0.7943,119880360
2024-04-28,0.7943,0.7738,0.7738,118655752
2024-04-29,0.7738,0.7822,0.7822,125153354
2024-04-30,0.7821,0.7448,0.7448,176590468
2024-05-01,0.7448,0.7691,0.7691,215794280
2024-05-02,0.7691,0.8053,0.8053,159619511
2024-05-03,0.8053,0.8238,0.8238,160126551
2024-05-04,0.8238,0.8066,0.8066,112721169
2024-05-05,0.8066,0.8528,0.8528,117347927
2024-05-06,0.8528,0.8298,0.8298,186547621
2024-05-07,0.8298,0.7973,0.7973,139493364
2024-05-08,0.7973,0.7684,0.7684,158456234
2024-05-09,0.7684,0.8173,0.8173,133283136
2024-05-10,0.8173,0.8028,0.8028,163263116
2024-05-11,0.8028,0.7868,0.7868,118101742
2024-05-12,0.7868,0.7853,0.7853,78789765
2024-05-13,0.7853,0.7697,0.7697,137045406
2024-05-14,0.7697,0.7336,0.7336,114576393
2024-05-15,0.7336,0.8422,0.8422,176246858
2024-05-16,0.8423,0.8657,0.8657,179709342
2024-05-17,0.8657,0.9532,0.9532,274351906
2024-05-18,0.9532,0.9323,0.9323,297089977
2024-05-19,0.9323,0.8984,0.8984,183403749
2024-05-20,0.8984,0.9716,0.9716,238160293
2024-05-21,0.9716,0.9377,0.9377,194096382
2024-05-22,0.9377,0.9329,0.9329,163283766
2024-05-23,0.9329,1.0719,1.0719,341747787
2024-05-24,1.0719,1.1405,1.1405,409110278
2024-05-25,1.1405,1.2395,1.2395,361172554
2024-05-26,1.2395,1.2235,1.2235,302814973
2024-05-27,1.2235,1.2217,1.2217,236025195
2024-05-28,1.2217,1.2523,1.2523,224484753
2024-05-29,1.2523,1.1642,1.1642,208044113
2024-05-30,1.1642,1.1801,1.1801,237442452
2024-05-31,1.1801,1.2423,1.2423,236410854
2024-06-01,1.2423,1.4081,1.4081,298232780
2024-06-02,1.4081,1.3797,1.3797,309963948
2024-06-03,1.3797,1.3716,1.3716,343768086
2024-06-04,1.3716,1.452,1.452,281864946
2024-06-05,1.452,1.3807,1.3807,246819738
2024-06-06,1.3807,1.3513,1.3513,170599087
2024-06-07,1.3513,1.3265,1.3265,285461188
2024-06-08,1.3264,1.2692,1.2692,187650019
2024-06-09,1.2692,1.3012,1.3012,129737523
2024-06-10,1.3014,1.1953,1.1953,212916854
2024-06-11,1.1953,1.272,1.272,317251162
2024-06-12,1.2721,1.3424,1.3424,377784098
2024-06-13,1.3424,1.2306,1.2306,266804698
2024-06-14,1.2305,1.2012,1.2012,519654526
2024-06-15,1.201,1.2078,1.2078,156257660
2024-06-16,1.208,1.1666,1.1666,140516105
2024-06-17,1.1665,1.1058,1.1058,288665115
2024-06-18,1.1059,1.1651,1.1651,437297805
2024-06-19,1.1645,1.2008,1.2008,237923282
2024-06-20,1.2008,1.2425,1.2425,211833329
2024-06-21,1.2424,1.2062,1.2062,198996836
2024-06-22,1.2062,1.1631,1.1631,106929955
2024-06-23,1.1629,1.0953,1.0953,120785422
2024-06-24,1.0951,1.2072,1.2072,293690713
2024-06-25,1.208,1.2286,1.2286,208111054
2024-06-26,1.229,1.188,1.188,218789848
2024-06-27,1.188,1.1653,1.1653,186099448
2024-06-28,1.1652,1.1134,1.1134,143683794
2024-06-29,1.1136,1.1052,1.1052,87704478
2024-06-30,1.1053,1.2006,1.2006,129104536
2024-07-01,1.2006,1.1899,1.1899,164260758
2024-07-02,1.1899,1.1641,1.1641,129063472
2024-07-03,1.1641,1.1178,1.1178,165352842
2024-07-04,1.118,1.0359,1.0359,247177610
2024-07-05,1.0361,0.991,0.991,395710619
2024-07-06,0.9909,1.039,1.039,149848240
2024-07-07,1.0388,0.9003,0.9003,161393703
2024-07-08,0.9006,0.9272,0.9272,216010854
2024-07-09,0.9274,0.9394,0.9394,139278489
2024-07-10,0.9394,0.9826,0.9826,145260321
2024-07-11,0.9826,0.9663,0.9663,141119035
2024-07-12,0.9663,0.9841,0.9841,107540149
2024-07-13,0.9842,0.9839,0.9839,69652475
2024-07-14,0.9839,1.0112,1.0112,89710418
2024-07-15,1.0113,1.1189,1.1189,158120770
2024-07-16,1.1185,1.084,1.084,175859771
2024-07-17,1.084,1.053,1.053,151778729
2024-07-18,1.053,1.0541,1.0541,127695347
2024-07-19,1.0543,1.0802,1.0802,125351240
2024-07-20,1.0802,1.0923,1.0923,97527464
