date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2025-10-20,287.1852,275.4871,275.4871,32810700
2025-10-21,276.4114,273.4695,273.4695,18370800
2025-10-22,273.1415,270.9947,270.9947,16474000
2025-10-23,271.2928,278.3594,278.3594,16872200
2025-10-24,284.1737,281.5995,281.5995,13194900
2025-10-27,284.8197,279.6813,279.6813,13855800
2025-10-28,281.2715,279.1148,279.1148,12448500
2025-10-29,279.7409,273.6186,273.6186,18007100
2025-10-30,267.0986,255.321,255.321,27954200
2025-10-31,257.925,261.006,261.006,16898700
2025-11-03,263.62,256.2751,256.2751,15709200
2025-11-04,248.4532,246.6543,246.6543,19772600
2025-11-05,246.3958,248.7812,248.7812,11991500
2025-11-06,246.4257,242.3109,242.3109,18678300
2025-11-07,237.5403,237.7987,237.7987,20969300
2025-11-10,244.4478,239.3591,239.3591,16698700
2025-11-11,234.7872,234.7077,234.7077,20686600
2025-11-12,235.2941,225.6036,225.6036,24195000
2025-11-13,223.6158,216.2411,216.2411,30009000
2025-11-14,209.5423,221.4889,221.4889,36053800
2025-11-17,216.8772,218.5172,218.5172,16143800
2025-11-18,214.8895,219.1433,219.1433,21098300
2025-11-19,217.7221,224.1525,224.1525,21679500
2025-11-20,229.7482,209.4032,209.4032,27459600
2025-11-21,205.8152,197.546,197.546,44834100
2025-11-24,195.6576,199.0567,199.0567,31144700
2025-11-25,192.8946,195.8266,195.8266,29595000
2025-11-26,208.2204,203.7082,203.7082,26544100
2025-11-28,198.2915,200.7166,200.7166,13848500
2025-12-01,199.2754,199.7127,199.7127,13461200
2025-12-02,203.8871,199.8717,199.8717,19664500
2025-12-03,199.1064,206.4612,206.4612,19060500
2025-12-04,206.5905,213.021,213.021,23316900
2025-12-05,217.6624,216.2511,216.2511,24208700
2025-12-08,219.9981,219.193,219.193,24711200
2025-12-09,218.6861,220.177,220.177,17643600
2025-12-10,220.4453,221.6479,221.6479,47928000
2025-12-11,189.4557,197.6355,197.6355,100612700
2025-12-12,195.1706,188.8097,188.8097,55201600
2025-12-15,187.14,183.7906,183.7906,43897500
2025-12-16,183.5719,187.4978,187.4978,32433500
2025-12-17,182.1904,177.37,177.37,50222000
2025-12-18,181.604,178.9304,178.9304,36297300
2025-12-19,187.2394,190.7975,190.7975,77008600
2025-12-22,195.6179,197.1684,197.1684,27148000
2025-12-23,195.2303,194.1469,194.1469,18301600
2025-12-24,193.809,196.2838,196.2838,9282700
2025-12-26,196.8503,196.7807,196.7807,11262000
2025-12-29,192.9741,194.1867,194.1867,14748100
2025-12-30,194.8625,196.0055,196.0055,14197400
2025-12-31,195.2203,193.7195,193.7195,10341500
2026-01-02,196.2639,194.5147,194.5147,14540700
2026-01-05,197.1286,191.4137,191.4137,22635500
2026-01-06,191.3839,192.5666,192.5666,16474500
2026-01-07,194.1072,191.6622,191.6622,11171200
2026-01-08,189.7142,188.4917,188.4917,19468500
2026-01-09,190.9929,197.8291,197.8291,26152700
2026-01-12,196.9123,203.9676,203.9676,25428500
2026-01-13,204.2865,201.5859,201.5859,15857400
2026-01-14,200.9781,192.9362,192.9362,22473200
2026-01-15,194.3313,189.1892,189.1892,16418600
2026-01-16,189.249,190.4249,190.4249,19224700
2026-01-20,186.5385,179.2938,179.2938,29129500
2026-01-21,179.0546,173.2748,173.2748,38190000
2026-01-22,178.7457,177.5598,177.5598,21141900
2026-01-23,172.0192,176.5434,176.5434,23011300
2026-01-26,178.4767,181.805,181.805,21100400
2026-01-27,178.5663,174.2913,174.2913,27093700
2026-01-28,174.3112,172.1986,172.1986,35882700
2026-01-29,169.5578,168.4218,168.4218,37254500
2026-01-30,167.5847,164.0072,164.0072,27362400
2026-02-02,170.3251,159.5029,159.5029,47421000
2026-02-03,157.7092,154.1317,154.1317,43260100
2026-02-04,153.3544,146.1595,146.1595,42323400
2026-02-05,145.0933,136.005,136.005,42789000
2026-02-06,139.2636,142.3229,142.3229,29962400
2026-02-09,147.9732,156.045,156.045,49936500
2026-02-10,159.4431,159.3335,159.3335,40092200
