date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2025-03-21,85.85,90.96,90.96,116748700
2025-03-24,93.4,96.75,96.75,112164700
2025-03-25,97.22,96.5,96.5,78015300
2025-03-26,96.29,92.28,92.28,81428600
2025-03-27,91.015,90.09,90.09,82823000
2025-03-28,89.34,85.85,85.85,91091700
2025-03-31,80.0,84.4,84.4,108092900
2025-04-01,83.89,84.68,84.68,78980700
2025-04-02,82.4,87.45,87.45,96563100
2025-04-03,81.25,83.6,83.6,93878200
2025-04-04,80.07,74.01,74.01,147323200
2025-04-07,66.65,77.84,77.84,169083700
2025-04-08,83.29,77.32,77.32,135345600
2025-04-09,78.19,92.01,92.01,187244300
2025-04-10,88.4,88.59,88.59,124448200
2025-04-11,87.98,88.55,88.55,95130700
2025-04-14,95.8,92.62,92.62,122836900
2025-04-15,93.53,98.4,98.4,118457700
2025-04-16,96.28,92.71,92.71,121997600
2025-04-17,94.71,93.78,93.78,83991800
2025-04-21,92.84,90.8,90.8,83831100
2025-04-22,93.015,93.99,93.99,91185400
2025-04-23,98.86,100.82,100.82,112909500
2025-04-24,101.53,107.78,107.78,103190700
2025-04-25,108.05,112.78,112.78,103933800
2025-04-28,113.78,114.65,114.65,111082900
2025-04-29,113.98,116.08,116.08,79709000
2025-04-30,111.61,118.44,118.44,109461700
2025-05-01,120.04,116.2,116.2,90677600
2025-05-02,118.66,124.28,124.28,103094300
2025-05-05,123.7,123.77,123.77,135961300
2025-05-06,112.71,108.86,108.86,201193400
2025-05-07,107.97,110.48,110.48,95428800
2025-05-08,112.28,119.15,119.15,126966200
2025-05-09,118.97,117.3,117.3,81005300
2025-05-12,120.78,118.46,118.46,94257300
2025-05-13,119.92,128.1,128.1,147155400
2025-05-14,129.01,130.18,130.18,96611500
2025-05-15,128.37,128.12,128.12,69503000
2025-05-16,129.23,129.52,129.52,57003700
2025-05-19,124.715,126.33,126.33,72503900
2025-05-20,127.22,125.59,125.59,61265300
2025-05-21,125.16,120.58,120.58,80657700
2025-05-22,121.95,122.29,122.29,75498300
2025-05-23,120.88,123.31,123.31,65905800
2025-05-27,126.82,123.39,123.39,86455200
2025-05-28,124.23,123.76,123.76,64866000
2025-05-29,125.35,122.32,122.32,62929100
2025-05-30,123.53,131.78,131.78,185897600
2025-06-02,131.435,132.04,132.04,93218700
2025-06-03,133.07,133.17,133.17,91297700
2025-06-04,132.8,130.01,130.01,97306300
2025-06-05,129.27,119.91,119.91,131055900
2025-06-06,123.73,127.72,127.72,87175100
2025-06-09,127.075,132.06,132.06,74785600
2025-06-10,131.02,132.81,132.81,69308900
2025-06-11,133.92,136.39,136.39,97366000
2025-06-12,136.4,135.19,135.19,56248200
2025-06-13,133.815,137.4,137.4,93519000
2025-06-16,140.03,141.41,141.41,80779800
