date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2025-01-06,4.3363,4.3363,4.3363,0
2025-01-07,4.3269,4.3269,4.3269,0
2025-01-08,4.3363,4.3363,4.3363,0
2025-01-10,4.3269,4.3269,4.3269,0
2025-01-13,4.3269,4.3269,4.3269,0
2025-01-14,4.3269,4.3269,4.3269,0
2025-01-15,4.3363,4.3363,4.3363,0
2025-01-16,4.3363,4.3363,4.3363,0
2025-01-17,4.3363,4.3363,4.3363,0
2025-01-21,4.3363,4.3363,4.3363,0
2025-01-22,4.3363,4.3363,4.3363,0
2025-01-23,4.3363,4.3363,4.3363,0
2025-01-24,4.3363,4.3363,4.3363,0
2025-01-27,4.3363,4.3363,4.3363,0
2025-01-28,4.3363,4.3363,4.3363,0
2025-01-29,4.3363,4.3363,4.3363,0
2025-01-30,4.3363,4.3363,4.3363,0
2025-01-31,4.3524,4.3524,4.3524,0
2025-02-03,4.3524,4.3524,4.3524,0
2025-02-04,4.3524,4.3524,4.3524,0
2025-02-05,4.3619,4.3619,4.3619,0
2025-02-06,4.3524,4.3524,4.3524,0
2025-02-07,4.3524,4.3524,4.3524,0
2025-02-10,4.3524,4.3524,4.3524,0
2025-02-11,4.3524,4.3524,4.3524,0
2025-02-12,4.3429,4.3429,4.3429,0
2025-02-13,4.3524,4.3524,4.3524,0
2025-02-14,4.3524,4.3524,4.3524,0
2025-02-18,4.3524,4.3524,4.3524,0
2025-02-19,4.3524,4.3524,4.3524,0
2025-02-20,4.3524,4.3524,4.3524,0
2025-02-21,4.3619,4.3619,4.3619,0
2025-02-24,4.3619,4.3619,4.3619,0
2025-02-25,4.3713,4.3713,4.3713,0
2025-02-26,4.3713,4.3713,4.3713,0
2025-02-27,4.3713,4.3713,4.3713,0
2025-02-28,4.3856,4.3856,4.3856,0
2025-03-03,4.3951,4.3951,4.3951,0
2025-03-04,4.3951,4.3951,4.3951,0
2025-03-05,4.3856,4.3856,4.3856,0
2025-03-06,4.3856,4.3856,4.3856,0
2025-03-07,4.3856,4.3856,4.3856,0
2025-03-10,4.3951,4.3951,4.3951,0
2025-03-11,4.3856,4.3856,4.3856,0
2025-03-12,4.3856,4.3856,4.3856,0
2025-03-13,4.3856,4.3856,4.3856,0
2025-03-14,4.3856,4.3856,4.3856,0
2025-03-17,4.3761,4.3761,4.3761,0
2025-03-18,4.3856,4.3856,4.3856,0
2025-03-19,4.3856,4.3856,4.3856,0
2025-03-20,4.3856,4.3856,4.3856,0
2025-03-21,4.3856,4.3856,4.3856,0
2025-03-24,4.3856,4.3856,4.3856,0
2025-03-25,4.3856,4.3856,4.3856,0
2025-03-26,4.3856,4.3856,4.3856,0
2025-03-27,4.3856,4.3856,4.3856,0
2025-03-28,4.3856,4.3856,4.3856,0
2025-03-31,4.3999,4.3999,4.3999,0
2025-04-01,4.4094,4.4094,4.4094,0
2025-04-02,4.3999,4.3999,4.3999,0
2025-04-03,4.4189,4.4189,4.4189,0
2025-04-04,4.4094,4.4094,4.4094,0
2025-04-07,4.3999,4.3999,4.3999,0
2025-04-08,4.3999,4.3999,4.3999,0
2025-04-09,4.3903,4.3903,4.3903,0
2025-04-10,4.3903,4.3903,4.3903,0
2025-04-11,4.3808,4.3808,4.3808,0
