date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2013-04-29,69.79,70.21,63.94,31664000.0
2013-04-30,70.3,70.72,64.4,30135800.0
2013-05-01,70.74,70.39,64.1,28537200.0
2013-05-02,70.51,71.28,64.91,31744200.0
2013-05-03,71.97,72.12,65.68,34061700.0
2013-05-06,72.25,72.4,65.93,19244300.0
2013-05-07,72.52,72.36,65.9,25838100.0
2013-05-08,72.32,72.71,66.22,24252100.0
2013-05-09,72.57,72.61,66.12,29337200.0
2013-05-10,72.76,73.05,66.52,20663700.0
2013-05-13,72.93,73.14,66.61,29730100.0
2013-05-14,73.16,73.52,66.95,36009800.0
2013-05-15,73.38,73.67,67.09,27214400.0
2013-05-16,73.73,73.59,67.02,27253400.0
2013-05-17,73.97,74.3,67.66,31114500.0
2013-05-20,74.16,74.19,67.56,25132400.0
2013-05-21,74.15,74.27,67.64,25900000.0
2013-05-22,74.36,73.62,67.04,59843200.0
2013-05-23,72.97,73.45,66.89,48222100.0
2013-05-24,72.96,73.41,66.85,26430300.0
2013-05-28,74.27,73.89,67.29,27057100.0
2013-05-29,73.6,73.54,66.97,32090300.0
2013-05-30,73.57,73.93,67.33,32390500.0
2013-05-31,73.65,73.25,66.71,38347600.0
2013-06-03,73.26,73.38,66.83,47613100.0
2013-06-04,73.53,73.0,66.48,35251900.0
2013-06-05,72.76,72.05,65.61,48654200.0
2013-06-06,72.15,72.4,65.93,62524100.0
2013-06-07,72.7,73.39,66.83,31969800.0
2013-06-10,73.53,73.42,66.86,25390000.0
2013-06-11,72.69,72.69,66.2,40278900.0
2013-06-12,73.11,71.85,65.43,42081900.0
2013-06-13,71.75,72.76,66.26,28221500.0
2013-06-14,72.76,72.28,65.82,27690700.0
2013-06-17,72.85,72.98,66.46,32441900.0
2013-06-18,73.08,73.58,67.01,24853100.0
2013-06-19,73.6,72.76,66.26,43145100.0
2013-06-20,71.92,71.03,64.69,60908400.0
2013-06-21,70.78,70.43,64.34,51558900.0
2013-06-24,69.85,69.73,63.7,41492300.0
2013-06-25,70.4,70.24,64.17,28897400.0
2013-06-26,70.84,70.87,64.74,23742300.0
2013-06-27,71.24,71.17,65.02,23545000.0
2013-06-28,70.95,71.27,65.11,28301100.0
2013-07-01,71.75,71.71,65.51,24942800.0
2013-07-02,71.68,71.74,65.54,23067900.0
2013-07-03,71.48,72.03,65.8,18847500.0
2013-07-05,72.44,72.58,66.31,28795900.0
2013-07-08,72.96,72.65,66.37,20558500.0
2013-07-09,72.99,73.09,66.77,26108600.0
2013-07-10,73.02,73.51,67.16,25598900.0
2013-07-11,74.3,74.97,68.49,47768900.0
2013-07-12,75.02,75.3,68.79,31412600.0
2013-07-15,75.38,75.47,68.95,19783600.0
2013-07-16,75.53,75.37,68.85,31747100.0
2013-07-17,75.6,75.56,69.03,24631500.0
2013-07-18,75.55,75.37,68.85,36278800.0
2013-07-19,74.72,74.59,68.14,37732400.0
2013-07-22,74.87,74.81,68.34,21135900.0
2013-07-23,74.95,74.26,67.84,24739500.0
2013-07-24,74.99,74.5,68.06,24426900.0
2013-07-25,74.85,74.97,68.49,23162200.0
2013-07-26,74.67,75.37,68.85,20885600.0
2013-07-29,75.22,75.23,68.73,20958400.0
2013-07-30,75.5,75.63,69.09,24104600.0
2013-07-31,75.78,75.77,69.22,25007600.0
2013-08-01,76.29,76.54,69.92,16880000.0
2013-08-02,76.55,76.97,70.32,18105300.0
2013-08-05,76.93,77.02,70.36,15462800.0
2013-08-06,76.92,76.56,69.94,23675400.0
2013-08-07,76.34,76.42,69.81,20281200.0
2013-08-08,76.84,76.8,70.16,19994000.0
2013-08-09,76.67,76.49,69.88,18558500.0
2013-08-12,76.2,76.67,70.04,20515900.0
2013-08-13,76.77,77.1,70.44,23917000.0
2013-08-14,77.07,76.81,70.17,29921000.0
2013-08-15,75.95,75.51,68.98,39406600.0
2013-08-16,75.52,75.48,68.96,23825000.0
2013-08-19,75.49,75.35,68.84,29586900.0
2013-08-20,75.49,75.68,69.14,18842800.0
2013-08-21,75.44,75.42,68.9,30705100.0
2013-08-22,75.75,76.16,69.58,17269500.0
2013-08-23,76.7,76.67,70.04,20697300.0
2013-08-26,76.73,76.71,70.08,27525500.0
2013-08-27,75.8,75.14,68.64,40068900.0
2013-08-28,75.05,75.43,68.91,20490400.0
2013-08-29,75.41,75.96,69.39,27287900.0
2013-08-30,76.04,75.47,68.95,26228500.0
2013-09-03,76.09,75.9,69.34,27241500.0
2013-09-04,76.16,76.71,70.08,27142900.0
2013-09-05,76.76,76.84,70.2,17809700.0
2013-09-06,77.1,76.93,70.28,27715100.0
2013-09-09,77.26,77.83,71.1,25161900.0
2013-09-10,78.28,78.21,71.45,27619400.0
2013-09-11,77.69,78.06,71.31,28132900.0
2013-09-12,78.08,78.01,71.27,18332700.0
2013-09-13,78.09,78.06,71.31,16932500.0
2013-09-16,78.72,77.85,71.12,25704300.0
2013-09-17,78.02,78.37,71.6,27174300.0
2013-09-18,78.49,79.31,72.45,31714700.0
2013-09-19,79.56,79.5,72.63,26435700.0
2013-09-20,79.45,78.99,72.38,26328900.0
2013-09-23,79.32,78.83,72.23,30319400.0
2013-09-24,79.0,78.83,72.23,21871300.0
2013-09-25,78.89,78.56,71.98,22746400.0
2013-09-26,78.88,79.17,72.54,22421700.0
2013-09-27,78.71,79.07,72.45,25151600.0
2013-09-30,78.25,78.88,72.28,28031900.0
2013-10-01,78.89,79.68,73.01,33129700.0
2013-10-02,79.14,79.65,72.98,25503800.0
2013-10-03,79.55,78.72,72.13,42998200.0
2013-10-04,78.72,79.4,72.75,22852700.0
2013-10-07,78.7,78.74,72.15,20227100.0
2013-10-08,78.74,77.22,70.76,43660700.0
2013-10-09,77.4,76.98,70.54,64526700.0
2013-10-10,77.81,78.61,72.03,48062700.0
2013-10-11,78.41,79.23,72.6,25214100.0
2013-10-14,78.74,79.79,73.11,31471900.0
2013-10-15,79.73,79.48,72.83,38684000.0
2013-10-16,79.85,80.38,73.65,46735900.0
2013-10-17,80.02,80.84,74.07,32193500.0
2013-10-18,81.58,82.15,75.27,39628200.0
2013-10-21,82.34,82.33,75.44,31176900.0
2013-10-22,82.65,82.45,75.55,43944800.0
2013-10-23,82.05,81.95,75.09,38021300.0
2013-10-24,82.0,82.31,75.42,23155100.0
