date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2025-05-30,96.5608,96.5608,96.5608,14209500
2025-06-02,96.5877,96.5877,96.5877,21934000
2025-06-03,96.5925,96.5973,96.5973,11979500
2025-06-04,96.6021,96.6069,96.6069,8923800
2025-06-05,96.6166,96.6166,96.6166,9915800
2025-06-06,96.6503,96.6455,96.6455,9122400
2025-06-09,96.6551,96.6551,96.6551,9902100
2025-06-10,96.6695,96.6647,96.6647,9201800
2025-06-11,96.6791,96.6839,96.6839,10138800
2025-06-12,96.6936,96.6936,96.6936,9574900
2025-06-13,96.7224,96.732,96.732,7880300
2025-06-16,96.7417,96.732,96.732,10286500
2025-06-17,96.7513,96.7417,96.7417,8734500
2025-06-18,96.7705,96.7609,96.7609,9783400
2025-06-20,96.8042,96.7994,96.7994,9399400
2025-06-23,96.8138,96.8187,96.8187,8847300
2025-06-24,96.8331,96.8283,96.8283,10132100
2025-06-25,96.8427,96.8379,96.8379,8015100
2025-06-26,96.8571,96.8475,96.8475,9277700
2025-06-27,96.8812,96.886,96.886,9742300
2025-06-30,96.886,96.886,96.886,18195600
2025-07-01,96.9121,96.9121,96.9121,24173900
2025-07-02,96.9217,96.9121,96.9121,10850800
2025-07-03,96.9603,96.9603,96.9603,7404700
2025-07-07,96.9797,96.9797,96.9797,12363900
2025-07-08,96.9893,96.999,96.999,13107800
2025-07-09,96.999,96.9893,96.9893,11156600
2025-07-10,97.0086,97.0086,97.0086,10071700
2025-07-11,97.0376,97.0472,97.0472,9288900
2025-07-14,97.0569,97.0472,97.0472,10293900
2025-07-15,97.0666,97.0569,97.0569,10207100
2025-07-16,97.0762,97.0859,97.0859,8117900
2025-07-17,97.0907,97.0955,97.0955,9040400
2025-07-18,97.1148,97.1245,97.1245,9399500
2025-07-21,97.1245,97.1341,97.1341,12893000
2025-07-22,97.1535,97.1535,97.1535,9340600
2025-07-23,97.1631,97.1631,97.1631,8056100
2025-07-24,97.1631,97.1728,97.1728,10701600
2025-07-25,97.2017,97.1921,97.1921,9776600
2025-07-28,97.2162,97.2211,97.2211,11581000
2025-07-29,97.2211,97.2211,97.2211,8622300
2025-07-30,97.2307,97.2404,97.2404,9106000
2025-07-31,97.2452,97.25,97.25,19051200
2025-08-01,97.281,97.281,97.281,26832500
2025-08-04,97.2955,97.3004,97.3004,14766400
2025-08-05,97.3004,97.3101,97.3101,12350300
2025-08-06,97.3198,97.3198,97.3198,10653900
