date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2025-03-12,45.7537,45.8731,45.8731,516600
2025-03-13,45.525,45.9327,45.9327,1431200
2025-03-14,47.0067,47.5039,47.5039,695100
2025-03-17,47.8023,48.0708,48.0708,755600
2025-03-18,48.379,48.4288,48.4288,864800
2025-03-19,47.8222,48.2199,48.2199,622700
2025-03-20,46.9968,46.9868,46.9868,651400
2025-03-21,46.3703,46.3603,46.3603,581200
2025-03-24,47.0266,47.3946,47.3946,444900
2025-03-25,47.3846,47.6233,47.6233,418300
2025-03-26,47.7327,47.2852,47.2852,654600
2025-03-27,47.2156,47.2553,47.2553,418200
2025-03-28,46.7382,46.2708,46.2708,427600
2025-03-31,45.714,46.2907,46.2907,431700
2025-04-01,46.6786,46.9073,46.9073,1106400
2025-04-02,46.2012,46.957,46.957,511200
2025-04-03,46.9073,47.0366,47.0366,972800
2025-04-04,45.7935,43.3969,43.3969,1477800
2025-04-07,42.134,43.3273,43.3273,1530200
2025-04-08,45.7836,44.3914,44.3914,561500
2025-04-09,44.4013,47.7824,47.7824,692400
2025-04-10,47.0465,47.5835,47.5835,855100
2025-04-11,48.1304,49.0354,49.0354,1094000
2025-04-14,50.0696,49.8906,49.8906,851500
2025-04-15,50.2287,50.4276,50.4276,827200
2025-04-16,50.4077,50.2088,50.2088,1555700
2025-04-17,50.1889,50.3082,50.3082,688100
2025-04-21,50.2187,49.6917,49.6917,521000
2025-04-22,49.3735,49.1845,49.1845,778900
2025-04-23,49.0652,49.0055,49.0055,545600
2025-04-24,49.0055,49.9502,49.9502,733100
2025-04-25,49.6519,50.3381,50.3381,382100
2025-04-28,50.4475,50.5867,50.5867,496800
2025-04-29,50.716,51.2529,51.2529,888400
2025-04-30,51.064,51.5612,51.5612,765300
2025-05-01,51.9789,51.6308,51.6308,581000
2025-05-02,52.7048,53.033,53.033,814500
2025-05-05,53.4805,53.391,53.391,945400
2025-05-06,52.5159,52.3965,52.3965,662900
2025-05-07,52.4661,52.7346,52.7346,727700
2025-05-08,53.1622,53.5899,53.5899,816400
2025-05-09,53.3512,53.0827,53.0827,579400
2025-05-12,52.2076,51.6507,51.6507,830500
2025-05-13,51.8198,52.0286,52.0286,1297600
2025-05-14,52.317,52.0485,52.0485,439300
2025-05-15,52.7247,53.56,53.56,918300
2025-05-16,53.8186,54.1269,54.1269,540600
2025-05-19,53.8584,54.6141,54.6141,639300
2025-05-20,54.6042,54.7434,54.7434,555300
2025-05-21,55.4196,54.634,54.634,1223700
2025-05-22,54.6837,54.7335,54.7335,619000
2025-05-23,54.4749,54.9721,54.9721,652700
2025-05-27,56.5731,56.593,56.593,1156900
2025-05-28,56.8317,56.424,56.424,1000800
2025-05-29,56.4836,56.2848,56.2848,595500
2025-05-30,56.056,56.7223,56.7223,772300
2025-06-02,57.0803,57.0604,57.0604,1496900
2025-06-03,57.3041,57.7068,57.7068,975800
2025-06-04,57.4781,57.667,57.667,837600
2025-06-05,58.8305,58.0747,58.0747,1342400
2025-06-06,57.7864,57.8759,57.8759,690900
2025-06-09,57.846,57.5179,57.5179,1119200
2025-06-10,57.6869,56.2947,56.2947,1553700
2025-06-11,56.6825,56.9311,56.9311,1391300
2025-06-12,57.309,57.8062,57.8062,971900
2025-06-13,58.562,58.9498,58.9498,2756700
2025-06-16,59.4172,58.5023,58.5023,1656500
2025-06-17,58.6117,58.4427,58.4427,1014100
2025-06-18,58.5471,58.0549,58.0549,991300
2025-06-20,58.3134,58.0847,58.0847,1099700
2025-06-23,57.9554,58.214,58.214,1545300
2025-06-24,57.5775,57.3389,57.3389,1406500
2025-06-25,57.7764,58.3333,58.3333,1442200
2025-06-26,59.278,60.1233,60.1233,2664700
2025-06-27,59.6241,58.9665,58.9665,1427400
2025-06-30,59.5842,60.0326,60.0326,1194400
2025-07-01,59.355,58.6675,58.6675,1488100
2025-07-02,58.1096,58.6476,58.6476,1089200
2025-07-03,58.6675,58.8867,58.8867,753700
2025-07-07,59.2953,59.5743,59.5743,1444300
2025-07-08,59.6141,59.4945,59.4945,893800
2025-07-09,59.7835,60.0824,60.0824,966700
2025-07-10,60.0575,60.1023,60.1023,1017100
2025-07-11,59.8732,60.1123,60.1123,835600
2025-07-14,60.3514,61.0091,61.0091,1425900
2025-07-15,60.9293,60.3016,60.3016,1372400
2025-07-16,60.1522,60.6105,60.6105,809200
2025-07-17,60.7898,61.3179,61.3179,1112900
2025-07-18,62.0254,61.6866,61.6866,1076100
2025-07-21,61.7364,61.2781,61.2781,1344700
2025-07-22,60.461,60.461,60.461,1060300
2025-07-23,60.8197,61.8161,61.8161,974700
2025-07-24,61.1884,61.4574,61.4574,879200
2025-07-25,61.5073,61.6268,61.6268,678400
2025-07-28,61.3478,60.6005,60.6005,1158000
