date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2026-07-10,170.0,168.01,168.01,107674700
2026-07-13,152.62,152.35,152.35,57284300
2026-07-14,168.11,193.92,193.92,72647700
2026-07-15,181.81,176.46,176.46,76307700
2026-07-16,165.91,152.31,152.31,56250500
2026-07-17,152.11,154.03,154.03,73978300
2026-07-20,163.42,151.16,151.16,37817500
2026-07-21,161.75,171.94,171.94,38925600
2026-07-22,162.16,165.27,165.27,27122800
2026-07-23,170.72,169.5,169.5,36234900
2026-07-24,163.91,154.57,154.57,26255500
2026-07-27,159.7,143.02,143.02,50747400
2026-07-28,135.91,130.17,130.17,51088300
2026-07-29,129.95,126.79,126.79,65810000
2026-07-30,136.51,149.0,149.0,52881200
2026-07-31,159.88,143.73,143.73,46065100
2026-08-03,139.92,142.72,142.72,29619600
2026-08-04,150.18,154.38,154.38,34369800
2026-08-05,150.22,151.03,151.03,19977000
2026-08-06,139.0,143.53,143.53,22257500
2026-08-07,143.48,137.91,137.91,34377400
2026-08-10,135.03,135.29,135.29,17486200
2026-08-11,139.22,141.65,141.65,17091000
2026-08-12,150.7,154.41,154.41,25793200
2026-08-13,154.13,165.67,165.67,32480200
2026-08-14,169.32,166.33,166.33,20684800
2026-08-17,172.6,171.38,171.38,24223300
2026-08-18,161.78,155.62,155.62,22821900
2026-08-19,162.78,156.16,156.16,33980100
2026-08-20,162.07,163.08,163.08,21693000
2026-08-21,167.05,163.41,163.41,15397900
2026-08-24,157.37,155.37,155.37,16711141
2026-08-25,159.9,159.53,159.53,12287274
2026-08-26,158.605,158.02,158.02,10327401
2026-08-27,163.875,161.61,161.61,13393960
2026-08-28,159.2,161.04,161.04,11711980
