date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2025-11-14,388.06,389.83,389.83,1337400
2025-11-17,389.5,390.24,390.24,1694700
2025-11-18,388.0,383.82,383.82,2248300
2025-11-19,385.5,386.3,386.3,2076100
2025-11-20,401.79,385.6,385.6,1898900
2025-11-21,383.27,388.36,388.36,1795800
2025-11-24,395.0,404.63,404.63,2855900
2025-11-25,401.55,401.61,401.61,1218000
2025-11-26,403.12,409.68,409.68,1603000
2025-11-28,411.1,418.01,418.01,1062500
2025-12-01,446.0,438.29,438.29,5307000
2025-12-02,441.56,449.35,449.35,2740900
2025-12-03,445.28,466.44,466.44,2564200
2025-12-04,462.7,463.74,463.74,1511500
2025-12-05,464.98,466.76,466.76,1494100
2025-12-08,467.77,465.75,465.75,2172400
2025-12-09,468.44,465.85,465.85,1961600
2025-12-10,463.65,475.83,475.83,3278400
2025-12-11,476.62,477.26,477.26,4607700
2025-12-12,476.24,452.95,452.95,2740800
2025-12-15,458.0,454.67,454.67,2634200
2025-12-16,453.86,463.34,463.34,2098700
2025-12-17,465.91,453.07,453.07,2526100
2025-12-18,460.32,458.13,458.13,1694300
2025-12-19,460.77,463.73,463.73,3951800
2025-12-22,468.25,481.24,481.24,2065800
2025-12-23,477.52,475.47,475.47,1318700
2025-12-24,473.68,475.75,475.75,439100
2025-12-26,474.96,477.14,477.14,724100
2025-12-29,473.88,478.97,478.97,1327300
2025-12-30,474.74,474.49,474.49,834200
2025-12-31,473.13,469.72,469.72,1177500
2026-01-02,478.94,480.42,480.42,1490300
2026-01-05,485.03,494.19,494.19,2710800
2026-01-06,495.6,508.77,508.77,1848100
2026-01-07,508.0,519.7,519.7,2269500
2026-01-08,511.13,514.49,514.49,1360500
2026-01-09,515.49,525.18,525.18,2095100
2026-01-12,524.21,533.42,533.42,2202400
2026-01-13,521.18,511.8,511.8,1770600
2026-01-14,505.22,505.34,505.34,1500100
2026-01-15,510.0,508.19,508.19,1240900
2026-01-16,508.99,516.31,516.31,1851200
2026-01-20,499.14,510.97,510.97,1692000
2026-01-21,509.77,521.95,521.95,2122000
2026-01-22,522.74,509.47,509.47,1902200
2026-01-23,507.47,501.39,501.39,1446600
2026-01-26,499.94,503.01,503.01,1445700
2026-01-27,503.5,502.7,502.7,1238300
2026-01-28,504.84,511.35,511.35,1380100
2026-01-29,505.34,480.0,480.0,2512400
2026-01-30,474.58,465.12,465.12,2483000
2026-02-02,460.69,457.89,457.89,1894100
2026-02-03,455.69,419.14,419.14,5098200
2026-02-04,413.92,418.98,418.98,5120300
2026-02-05,419.1,410.44,410.44,3834100
2026-02-06,424.99,426.88,426.88,2504300
2026-02-09,427.88,438.9,438.9,2044700
2026-02-10,439.91,437.45,437.45,1948900
2026-02-11,442.09,438.21,438.21,2246700
2026-02-12,438.3,423.35,423.35,2931300
2026-02-13,423.35,437.09,437.09,1738900
2026-02-17,425.6,421.95,421.95,2516900
2026-02-18,438.36,442.31,442.31,2147600
2026-02-19,438.43,442.44,442.44,1605700
2026-02-20,438.69,439.94,439.94,1697100
2026-02-23,429.39,420.82,420.82,1974900
2026-02-24,419.39,440.72,440.72,2185400
2026-02-25,443.74,449.17,449.17,2915300
2026-02-26,429.88,426.0,426.0,3916800
2026-02-27,410.41,414.0,414.0,4647600
2026-03-02,413.37,424.66,424.66,4066800
2026-03-03,412.48,424.32,424.32,2644900
2026-03-04,425.11,430.98,430.98,2482300
2026-03-05,425.76,442.3,442.3,2515900
2026-03-06,432.56,437.41,437.41,2165300
2026-03-09,432.57,437.22,437.22,2603500
2026-03-10,437.08,432.65,432.65,1747800
2026-03-11,432.07,432.98,432.98,1611300
2026-03-12,431.87,418.72,418.72,1492900
2026-03-13,419.01,412.63,412.63,1487700
2026-03-16,420.18,425.88,425.88,1262000
2026-03-17,428.25,429.29,429.29,1068500
2026-03-18,424.97,428.67,428.67,1498700
2026-03-19,424.71,428.25,428.25,1475100
2026-03-20,425.9,420.32,420.32,4137000
2026-03-23,430.21,432.48,432.48,2511900
2026-03-24,426.67,415.62,415.62,1932200
2026-03-25,422.5,410.13,410.13,2702300
2026-03-26,405.28,401.95,401.95,1380100
2026-03-27,400.0,380.47,380.47,2400900
2026-03-30,382.88,383.14,383.14,2006700
2026-03-31,390.2,396.48,396.48,1684000
2026-04-01,403.3,396.74,396.74,1163600
2026-04-02,389.65,395.95,395.95,1077100
2026-04-06,396.04,397.07,397.07,1142400
2026-04-07,393.69,397.9,397.9,920600
2026-04-08,411.75,410.16,410.16,1617600
2026-04-09,409.94,404.92,404.92,1728800
2026-04-10,401.61,392.24,392.24,1602300
2026-04-13,392.5,417.77,417.77,2525900
2026-04-14,424.83,418.8,418.8,1255700
2026-04-15,424.26,438.45,438.45,2038100
2026-04-16,446.37,441.15,441.15,1382000
2026-04-17,452.55,449.58,449.58,1718200
2026-04-20,448.08,460.95,460.95,2122500
2026-04-21,464.27,467.58,467.58,1833000
2026-04-22,470.9,477.26,477.26,1460700
2026-04-23,466.11,456.85,456.85,1864100
2026-04-24,469.38,500.82,500.82,2891300
2026-04-27,496.94,498.54,498.54,2227500
2026-04-28,497.0,483.89,483.89,1548300
2026-04-29,480.0,481.22,481.22,1159500
2026-04-30,481.0,482.6,482.6,1341700
2026-05-01,491.16,489.02,489.02,845900
2026-05-04,493.84,497.5,497.5,1642500
2026-05-05,501.71,502.51,502.51,1883300
2026-05-06,504.6,504.42,504.42,1866900
2026-05-07,506.3,505.19,505.19,1597100
2026-05-08,504.37,516.48,516.48,1733200
2026-05-11,513.89,516.19,516.19,1309800
2026-05-12,511.3,513.21,513.21,1217400
2026-05-13,514.59,509.28,509.28,1335500
2026-05-14,508.59,510.02,510.02,1150000
2026-05-15,502.24,502.42,502.42,1488500
2026-05-18,499.18,498.43,498.43,1883500
2026-05-19,494.32,493.87,493.87,1312200
2026-05-20,479.34,498.93,498.93,2259300
2026-05-21,491.26,503.98,503.98,1423300
2026-05-22,510.0,524.74,524.74,1873100
2026-05-26,529.97,534.56,534.56,1792100
2026-05-27,534.56,525.92,525.92,2433700
2026-05-28,510.0,480.64,480.64,4745100
2026-05-29,480.67,475.62,475.62,3357500
2026-06-01,484.07,492.29,492.29,2586600
2026-06-02,485.63,508.35,508.35,2347200
2026-06-03,502.78,498.02,498.02,1660900
2026-06-04,500.35,494.48,494.48,2013500
2026-06-05,487.98,464.85,464.85,1839400
2026-06-08,467.28,473.48,473.48,1579400
2026-06-09,475.81,465.27,465.27,2165900
2026-06-10,454.88,460.54,460.54,1671700
2026-06-11,457.76,456.29,456.29,1960600
2026-06-12,457.09,453.89,453.89,1289500
2026-06-15,462.3,454.38,454.38,2359700
2026-06-16,452.0,448.38,448.38,1734700
2026-06-17,448.35,461.74,461.74,1924900
2026-06-18,461.99,455.51,455.51,3227800
2026-06-22,455.53,464.58,464.58,2839900
2026-06-23,465.0,461.5,461.5,2160700
2026-06-24,460.16,463.93,463.93,1738800
2026-06-25,463.14,455.02,455.02,1564200
2026-06-26,449.15,454.34,454.34,5292800
2026-06-29,457.93,447.26,447.26,2442088
2026-06-30,441.99,446.07,446.07,2079024
2026-07-01,454.0,454.53,454.53,1543516
2026-07-02,451.14,437.16,437.16,1420007
2026-07-06,435.24,442.27,442.27,1486472
2026-07-07,447.86,436.63,436.63,1484948
