date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2020-02-20,38.7900,37.2600,37.2600,6795100
2020-02-21,34.4200,33.8700,33.8700,2261005
2020-02-24,29.6000,34.2900,34.2900,2305510
2020-02-25,37.1800,34.0400,34.0400,2204635
2020-02-26,31.8000,28.7500,28.7500,1995135
2020-02-27,23.6900,21.9700,21.9700,2399385
2020-02-28,19.9600,24.6000,24.6000,1772635
2020-03-02,27.4400,25.9800,25.9800,1179940
2020-03-03,26.9000,24.7100,24.7100,1004905
2020-03-04,25.5200,23.7600,23.7600,773320
2020-03-05,22.6800,24.0900,24.0900,706205
2020-03-06,22.4600,21.6700,21.6700,643390
2020-03-09,18.3900,19.4400,19.4400,665385
2020-03-10,20.8100,18.4400,18.4400,620305
2020-03-11,17.9200,16.4100,16.4100,685070
2020-03-12,13.2800,13.8100,13.8100,764345
2020-03-13,15.5200,14.6900,14.6900,602235
2020-03-16,12.1900,11.9100,11.9100,544815
2020-03-17,12.3600,12.6600,12.6600,605910
2020-03-18,11.5300,10.5600,10.5600,718120
2020-03-19,10.0800,10.4900,10.4900,542525
2020-03-20,11.4600,11.2300,11.2300,1069215
2020-03-23,11.7300,12.9700,12.9700,839275
2020-03-24,15.5900,16.3200,16.3200,1572285
2020-03-25,17.7900,16.0000,16.0000,1150655
2020-03-26,16.4400,17.0600,17.0600,899865
2020-03-27,16.4000,15.3800,15.3800,545970
2020-03-30,15.4100,14.7600,14.7600,468240
2020-03-31,14.8700,14.7800,14.7800,464415
2020-04-01,13.9200,13.3000,13.3000,471185
2020-04-02,12.9400,12.9600,12.9600,429880
2020-04-03,12.9700,12.1900,12.1900,381950
2020-04-06,13.4600,14.3000,14.3000,576610
2020-04-07,15.7300,14.0700,14.0700,698300
2020-04-08,14.4500,15.3600,15.3600,614570
2020-04-09,16.0000,15.2700,15.2700,528455
2020-04-13,15.5900,15.4600,15.4600,329650
2020-04-14,16.0300,19.0300,19.0300,1913180
2020-04-15,18.1100,19.9800,19.9800,1583880
2020-04-16,20.3600,18.3000,18.3000,1047200
2020-04-17,19.2100,18.9000,18.9000,451435
2020-04-20,18.2700,19.0000,19.0000,581415
2020-04-21,18.0900,16.8700,16.8700,575400
2020-04-22,17.7100,17.2700,17.2700,432810
2020-04-23,17.3300,16.6600,16.6600,390285
2020-04-24,16.6700,17.0200,17.0200,397545
2020-04-27,17.2600,17.8900,17.8900,705330
2020-04-28,18.4100,17.5600,17.5600,509545
2020-04-29,17.8900,18.2300,18.2300,469725
2020-04-30,18.0000,17.6200,17.6200,330170
2020-05-01,17.0100,17.9200,17.9200,771075
2020-05-04,16.9600,16.6800,16.6800,331625
2020-05-05,16.9800,16.6200,16.6200,383920
2020-05-06,17.7500,18.5000,18.5000,1189065
2020-05-07,18.9700,19.8400,19.8400,1246380
2020-05-08,20.4200,20.1800,20.1800,1181600
2020-05-11,18.9100,19.4000,19.4000,654615
2020-05-12,19.4400,17.6000,17.6000,637080
2020-05-13,17.5200,16.5400,16.5400,449310
2020-05-14,16.2500,15.8800,15.8800,467525
2020-05-15,15.6000,15.6200,15.6200,399620
2020-05-18,16.7000,16.0000,16.0000,431515
2020-05-19,16.0100,15.8700,15.8700,334425
2020-05-20,15.2400,14.8600,14.8600,1012995
2020-05-21,15.0500,14.7100,14.7100,473000
2020-05-22,14.9600,15.7400,15.7400,670565
2020-05-26,16.1600,16.3300,16.3300,808050
2020-05-27,17.0100,17.5200,17.5200,1046365
2020-05-28,17.0000,16.4700,16.4700,492240
2020-05-29,16.4100,17.0400,17.0400,529625
2020-06-01,18.3600,17.5200,17.5200,1127800
2020-06-02,16.8900,15.8200,15.8200,1218200
2020-06-03,15.3500,16.3900,16.3900,1495005
2020-06-04,16.2100,15.8600,15.8600,679065
2020-06-05,16.2100,15.7700,15.7700,659315
2020-06-08,16.1400,17.2900,17.2900,1067260
2020-06-09,17.2500,16.6400,16.6400,554355
2020-06-10,16.6700,16.1600,16.1600,499820
2020-06-11,15.2400,14.4600,14.4600,875850
2020-06-12,15.1300,14.9900,14.9900,573035
2020-06-15,14.4500,15.3200,15.3200,517510
2020-06-16,16.0200,15.3500,15.3500,431240
2020-06-17,15.2800,14.9800,14.9800,348360
2020-06-18,14.9200,15.2000,15.2000,356110
2020-06-19,15.3000,15.0000,15.0000,736650
2020-06-22,17.7000,17.3900,17.3900,2637890
2020-06-23,17.4500,16.4500,16.4500,982960
2020-06-24,16.2400,15.5000,15.5000,660615
2020-06-25,15.7000,15.2500,15.2500,725800
2020-06-26,16.1000,15.5500,15.5500,1008650
2020-06-29,15.4000,15.4200,15.4200,646520
2020-06-30,15.2100,16.3400,16.3400,699280
2020-07-01,16.7000,16.7000,16.7000,748050
2020-07-02,16.7800,16.2500,16.2500,588395
2020-07-06,16.5800,16.9500,16.9500,695075
2020-07-07,16.6300,16.5500,16.5500,410200
2020-07-08,16.6100,16.7900,16.7900,436130
2020-07-09,17.1000,19.4600,19.4600,2574895
2020-07-10,19.3200,19.2500,19.2500,1388450
2020-07-13,19.5500,18.1000,18.1000,1800885
2020-07-14,18.1110,18.4300,18.4300,790130
2020-07-15,18.9700,18.5500,18.5500,582490
2020-07-16,19.4600,21.0700,21.0700,2639390
2020-07-17,22.7900,24.0500,24.0500,2729085
2020-07-20,23.7600,22.9800,22.9800,1037500
2020-07-21,23.1200,24.9300,24.9300,2004540
2020-07-22,24.5300,25.5400,25.5400,1340145
2020-07-23,26.1300,25.1500,25.1500,1964730
2020-07-24,24.0000,24.3100,24.3100,1025415
2020-07-27,25.0200,24.9200,24.9200,858420
