date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2026-01-05,294.97,289.83,289.83,3350331.0
2026-01-06,290.9,330.42,330.42,5563870.0
2026-01-07,319.01,308.26,308.26,5179176.0
2026-01-08,305.88,284.47,284.47,4826036.0
2026-01-09,284.67,304.01,304.01,3187101.0
2026-01-12,299.31,321.48,321.48,3066069.0
2026-01-13,319.48,318.44,318.44,3459557.0
2026-01-14,319.83,312.28,312.28,1947546.0
2026-01-15,322.76,320.32,320.32,3180214.0
2026-01-16,333.5,326.23,326.23,3378535.0
2026-01-20,322.99,325.99,325.99,3610555.0
2026-01-21,334.41,344.22,344.22,4710576.0
2026-01-22,350.0,346.53,346.53,2796255.0
2026-01-23,344.47,346.1,346.1,2957822.0
2026-01-26,348.85,358.29,358.29,5038969.0
2026-01-27,361.62,371.76,371.76,6057950.0
2026-01-28,395.19,442.93,442.93,14749753.0
2026-01-29,450.27,446.57,446.57,9052804.0
2026-01-30,449.64,407.69,407.69,9224411.0
2026-02-02,402.5,432.95,432.95,6062819.0
2026-02-03,451.51,444.45,444.45,6062011.0
2026-02-04,442.0,418.63,418.63,6601108.0
2026-02-05,413.56,405.45,405.45,5641931.0
2026-02-06,426.26,429.32,429.32,3284494.0
2026-02-09,424.04,425.0,425.0,3188635.0
2026-02-10,421.77,396.23,396.23,3171961.0
2026-02-11,409.64,407.25,407.25,2826992.0
2026-02-12,425.82,431.17,431.17,6436862.0
2026-02-13,416.06,425.99,425.99,3856072.0
2026-02-17,420.0,415.94,415.94,2839302.0
2026-02-18,418.94,424.14,424.14,2865618.0
2026-02-19,420.17,408.97,408.97,3518298.0
2026-02-20,403.08,411.11,411.11,2962570.0
2026-02-23,410.4,407.4,407.4,2402307.0
2026-02-24,410.11,396.02,396.02,3119265.0
2026-02-25,409.26,421.85,421.85,3385586.0
2026-02-26,413.69,409.67,409.67,3077461.0
2026-02-27,400.0,407.84,407.84,3605503.0
2026-03-02,393.59,379.52,379.52,4224403.0
2026-03-03,361.26,357.62,357.62,5712534.0
2026-03-04,367.5,375.01,375.01,3774229.0
2026-03-05,370.98,367.34,367.34,3399908.0
2026-03-06,356.31,352.8,352.8,2415593.0
2026-03-09,342.42,374.33,374.33,2929890.0
2026-03-10,377.93,384.29,384.29,3487003.0
2026-03-11,384.0,385.97,385.97,1976404.0
2026-03-12,382.71,373.98,373.98,2058322.0
2026-03-13,378.07,383.71,383.71,2913514.0
2026-03-16,397.5,398.78,398.78,3120201.0
2026-03-17,400.0,421.09,421.09,3469190.0
2026-03-18,419.53,406.77,406.77,3830780.0
2026-03-19,396.4,434.6,434.6,4156999.0
2026-03-20,433.5,411.23,411.23,8620007.0
2026-03-23,420.0,404.02,404.02,3864801.0
2026-03-24,402.86,424.96,424.96,3759742.0
2026-03-25,410.16,413.22,413.22,3452468.0
2026-03-26,401.66,378.79,378.79,4111856.0
2026-03-27,378.53,380.07,380.07,2322526.0
2026-03-30,393.06,362.43,362.43,4159301.0
2026-03-31,371.09,391.76,391.76,3605220.0
2026-04-01,396.49,423.12,423.12,3715955.0
2026-04-02,401.0,429.36,429.36,2376291.0
2026-04-06,450.88,453.3,453.3,4887432.0
2026-04-07,448.14,468.72,468.72,4276706.0
2026-04-08,503.2,496.3,496.3,5424625.0
2026-04-09,504.0,500.77,500.77,3092213.0
2026-04-10,504.67,503.13,503.13,3435178.0
2026-04-13,500.08,513.28,513.28,2879996.0
2026-04-14,520.0,533.44,533.44,3568561.0
2026-04-15,520.83,519.6,519.6,3841387.0
2026-04-16,511.76,531.81,531.81,3122664.0
2026-04-17,544.45,547.75,547.75,3449059.0
2026-04-20,550.77,539.75,539.75,2915807.0
2026-04-21,543.01,559.9,559.9,3562990.0
2026-04-22,580.01,579.88,579.88,3233336.0
2026-04-23,574.24,587.62,587.62,3175669.0
2026-04-24,592.7,586.25,586.25,2704080.0
2026-04-27,599.31,595.86,595.86,2919467.0
2026-04-28,566.04,579.03,579.03,5956838.0
2026-04-29,667.98,643.3,643.3,10896924.0
2026-04-30,655.18,673.64,673.64,6479288.0
2026-05-01,667.01,726.93,726.93,7378731.0
2026-05-04,742.16,738.54,738.54,6022114.0
2026-05-05,755.0,771.01,771.01,6522482.0
2026-05-06,768.8,786.42,786.42,5575021.0
2026-05-07,771.29,766.44,766.44,4900945.0
2026-05-08,780.0,782.64,782.64,4873951.0
2026-05-11,793.25,834.01,834.01,6078554.0
2026-05-12,814.7,808.8,808.8,3798096.0
2026-05-13,827.5,817.35,817.35,2511716.0
2026-05-14,812.48,804.76,804.76,2360000.0
2026-05-15,771.57,795.47,795.47,2784835.0
2026-05-18,801.0,740.84,740.84,4945840.0
2026-05-19,719.51,733.35,733.35,3639252.0
2026-05-20,757.16,751.07,751.07,2146458.0
2026-05-21,753.47,810.46,810.46,3483469.0
2026-05-22,814.72,812.73,812.73,2534548.0
2026-05-26,831.17,845.76,845.76,3437884.0
2026-05-27,881.14,870.66,870.66,3801119.0
2026-05-28,887.76,880.72,880.72,2837190.0
