date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2025-03-25,59.0,58.57,58.57,13575200
2025-03-26,57.935,53.25,53.25,10387800
2025-03-27,52.4,51.97,51.97,9663500
2025-03-28,51.09,47.83,47.83,9196000
2025-03-31,45.49,48.24,48.24,7480800
2025-04-01,48.27,47.22,47.22,7746000
2025-04-02,45.805,49.89,49.89,8747100
2025-04-03,45.41,46.17,46.17,8151500
2025-04-04,44.93,42.58,42.58,11577700
2025-04-07,39.12,42.7,42.7,12791000
2025-04-08,45.365,37.23,37.23,15486300
2025-04-09,37.68,43.79,43.79,18857700
2025-04-10,42.845,40.29,40.29,8760400
2025-04-11,40.93,42.12,42.12,8572300
2025-04-14,44.02,43.13,43.13,7758000
2025-04-15,43.155,42.93,42.93,5256400
2025-04-16,41.48,40.86,40.86,5183700
2025-04-17,41.14,40.45,40.45,4573800
2025-04-21,39.94,40.98,40.98,8903100
2025-04-22,41.8,43.23,43.23,9399300
2025-04-23,47.315,49.55,49.55,18735900
2025-04-24,50.4,53.5,53.5,10529200
2025-04-25,53.21,52.9,52.9,9010000
2025-04-28,53.96,53.77,53.77,10884100
2025-04-29,55.37,54.29,54.29,9865200
2025-04-30,51.195,51.67,51.67,8113200
2025-05-01,53.5,51.85,51.85,6404800
2025-05-02,52.75,57.06,57.06,12339100
2025-05-05,55.59,54.07,54.07,9202500
2025-05-06,51.55,52.19,52.19,13295600
2025-05-07,52.125,58.76,58.76,28590600
2025-05-08,58.315,65.22,65.22,24829100
2025-05-09,66.26,61.37,61.37,15516400
2025-05-12,64.73,62.69,62.69,15874000
2025-05-13,65.0,68.91,68.91,21784900
2025-05-14,70.675,64.78,64.78,15465500
2025-05-15,64.8,62.6,62.6,11185400
2025-05-16,64.09,65.49,65.49,10187400
2025-05-19,61.88,63.74,63.74,10816800
2025-05-20,64.0,62.43,62.43,14874200
2025-05-21,62.9,58.14,58.14,19982200
2025-05-22,58.315,59.25,59.25,12398800
2025-05-23,57.37,62.56,62.56,10355000
2025-05-27,64.645,65.87,65.87,16771900
2025-05-28,63.99,53.2,53.2,50365400
2025-05-29,54.75,54.43,54.43,19306200
2025-05-30,54.75,55.18,55.18,14090300
2025-06-02,55.23,63.47,63.47,31474300
2025-06-03,62.2,61.96,61.96,12269500
2025-06-04,62.325,62.78,62.78,9119600
2025-06-05,62.1,58.66,58.66,12247100
2025-06-06,60.0,62.07,62.07,11631100
2025-06-09,63.615,66.94,66.94,16954100
2025-06-10,67.0,69.38,69.38,13924700
2025-06-11,70.065,70.78,70.78,16295300
2025-06-12,68.85,71.23,71.23,10712400
2025-06-13,68.57,71.28,71.28,12839900
2025-06-16,72.15,72.0,72.0,10203200
2025-06-17,70.45,70.11,70.11,7802500
2025-06-18,69.135,69.1,69.1,10699000
2025-06-20,69.66,68.31,68.31,7043200
2025-06-23,66.05,65.65,65.65,10491400
2025-06-24,67.52,68.28,68.28,7804400
2025-06-25,69.575,65.47,65.47,10125500
2025-06-26,66.06,68.34,68.34,8248700
2025-06-27,69.0,66.52,66.52,13698200
2025-06-30,65.695,63.54,63.54,12302900
2025-07-01,62.53,59.445,59.445,15481500
2025-07-02,59.83,59.18,59.18,8128900
2025-07-03,59.98,60.97,60.97,6389100
2025-07-07,60.04,58.01,58.01,8351500
2025-07-08,59.08,58.51,58.51,6690700
2025-07-09,59.24,58.41,58.41,6189700
2025-07-10,59.08,59.6,59.6,8330300
2025-07-11,59.0,56.88,56.88,8064200
2025-07-14,57.63,57.82,57.82,7109400
2025-07-15,58.96,55.89,55.89,9442500
2025-07-16,57.95,59.97,59.97,14300100
2025-07-17,60.81,60.65,60.65,10393000
2025-07-18,61.75,60.98,60.98,8361300
2025-07-21,61.86,58.01,58.01,10079100
2025-07-22,58.49,61.08,61.08,8108300
2025-07-23,61.125,64.86,64.86,11427100
2025-07-24,64.35,63.34,63.34,7540100
2025-07-25,63.39,64.49,64.49,6667100
2025-07-28,65.08,62.0,62.0,7613300
2025-07-29,61.05,58.29,58.29,9181100
2025-07-30,58.72,57.81,57.81,7228200
2025-07-31,57.245,56.59,56.59,7987600
2025-08-01,55.18,54.89,54.89,6577900
2025-08-04,54.945,57.52,57.52,6179900
2025-08-05,57.38,57.74,57.74,4884700
2025-08-06,57.62,55.53,55.53,5578400
2025-08-07,56.9,58.74,58.74,8344700
2025-08-08,64.2,60.87,60.87,26148100
2025-08-11,60.01,60.82,60.82,12273900
2025-08-12,61.35,66.34,66.34,15553700
2025-08-13,67.08,69.63,69.63,19400800
2025-08-14,66.615,71.59,71.59,15219500
2025-08-15,71.95,73.78,73.78,14685200
2025-08-18,72.36,78.45,78.45,14768200
2025-08-19,78.2,73.08,73.08,12848000
2025-08-20,70.77,73.28,73.28,13854400
2025-08-21,72.5,76.71,76.71,15635200
2025-08-22,76.45,80.52,80.52,18678800
2025-08-25,81.105,75.9,75.9,10037600
2025-08-26,75.9,76.3,76.3,7109800
2025-08-27,75.725,73.23,73.23,6800100
2025-08-28,73.3,73.66,73.66,5337300
2025-08-29,73.2,75.86,75.86,7665400
2025-09-02,73.64,78.34,78.34,9424900
2025-09-03,79.06,76.285,76.285,7009000
2025-09-04,76.49,78.12,78.12,6250100
2025-09-05,79.56,79.62,79.62,9002100
2025-09-08,80.85,80.22,80.22,9201700
2025-09-09,80.6,81.01,81.01,6525000
2025-09-10,81.745,78.16,78.16,8597300
2025-09-11,79.42,88.78,88.78,21218700
2025-09-12,89.26,86.38,86.38,6745600
2025-09-15,87.74,85.13,85.13,5207000
2025-09-16,85.11,87.04,87.04,7150200
2025-09-17,86.65,86.45,86.45,6821100
2025-09-18,88.0,87.07,87.07,5107400
2025-09-19,88.43,88.24,88.24,17676500
2025-09-22,92.51,85.87,85.87,21034400
2025-09-23,86.73,84.13,84.13,8795200
2025-09-24,84.5,79.23,79.23,9730200
2025-09-25,76.925,77.33,77.33,7891600
2025-09-26,78.705,78.48,78.48,5432200
2025-09-29,80.43,78.57,78.57,5726400
2025-09-30,78.255,80.71,80.71,4426400
2025-10-01,80.96,87.99,87.99,9193100
2025-10-02,89.075,89.3,89.3,9021400
2025-10-03,89.65,91.66,91.66,9313400
2025-10-06,91.34,93.08,93.08,6026700
2025-10-07,93.53,93.01,93.01,7381000
2025-10-08,92.96,103.25,103.25,13393700
2025-10-09,102.17,99.28,99.28,7306300
2025-10-10,100.9,96.39,96.39,9768500
2025-10-13,93.36,94.47,94.47,7183400
2025-10-14,92.11,89.87,89.87,6984300
2025-10-15,92.79,91.91,91.91,5012600
2025-10-16,94.465,91.02,91.02,6656900
2025-10-17,89.18,87.78,87.78,5837400
2025-10-20,91.02,92.45,92.45,7893700
2025-10-21,91.29,89.1,89.1,4255100
2025-10-22,90.6,85.27,85.27,8141400
2025-10-23,86.61,87.035,87.035,4967000
2025-10-24,90.26,89.23,89.23,4621200
