date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2013-04-29,3.45,3.66,3.66,54595500.0
2013-04-30,3.73,3.6,3.6,82839000.0
2013-05-01,3.73,3.55,3.55,41142000.0
2013-05-02,3.59,3.61,3.61,45756000.0
2013-05-03,3.76,3.64,3.64,50680500.0
2013-05-06,3.76,3.97,3.97,65500500.0
2013-05-07,4.13,3.7,3.7,149865000.0
2013-05-08,3.83,3.72,3.72,101548500.0
2013-05-09,4.67,4.63,4.63,429075000.0
2013-05-10,4.64,5.12,5.12,376239000.0
2013-05-13,5.4,5.85,5.85,336253500.0
2013-05-14,6.28,5.55,5.55,557458500.0
2013-05-15,5.45,5.66,5.66,253180500.0
2013-05-16,6.31,6.15,6.15,324210000.0
2013-05-17,6.17,6.1,6.1,285033000.0
2013-05-20,6.07,6.0,6.0,125226000.0
2013-05-21,5.9,5.84,5.84,134973000.0
2013-05-22,5.76,5.82,5.82,128520000.0
2013-05-23,5.65,6.18,6.18,180333000.0
2013-05-24,6.17,6.47,6.47,241863000.0
2013-05-28,6.77,7.36,7.36,295378500.0
2013-05-29,7.57,6.98,6.98,376492500.0
2013-05-30,6.83,7.0,7.0,242005500.0
2013-05-31,7.08,6.52,6.52,227580000.0
2013-06-03,6.51,6.17,6.17,287094000.0
2013-06-04,6.18,6.32,6.32,132841500.0
2013-06-05,6.24,6.36,6.36,183372000.0
2013-06-06,6.35,6.49,6.49,142663500.0
2013-06-07,6.53,6.8,6.8,160674000.0
2013-06-10,6.6,6.67,6.67,138429000.0
2013-06-11,6.55,6.3,6.3,110910000.0
2013-06-12,6.45,6.52,6.52,137890500.0
2013-06-13,6.6,6.55,6.55,89424000.0
2013-06-14,6.67,6.69,6.69,98470500.0
2013-06-17,6.91,6.81,6.81,105993000.0
2013-06-18,6.78,6.89,6.89,131929500.0
2013-06-19,6.8,6.98,6.98,128683500.0
2013-06-20,6.98,6.71,6.71,151597500.0
2013-06-21,6.91,6.64,6.64,175779000.0
2013-06-24,6.43,6.77,6.77,106797000.0
2013-06-25,6.87,6.83,6.83,87730500.0
2013-06-26,6.92,7.05,7.05,99039000.0
2013-06-27,7.12,7.28,7.28,131173500.0
2013-06-28,7.24,7.16,7.16,86229000.0
2013-07-01,7.29,7.81,7.81,163554000.0
2013-07-02,7.88,7.85,7.85,180961500.0
2013-07-03,7.87,7.68,7.68,72100500.0
2013-07-05,7.89,8.01,8.01,102280500.0
2013-07-08,8.09,8.11,8.11,117213000.0
2013-07-09,8.31,8.23,8.23,129049500.0
2013-07-10,8.21,8.15,8.15,84001500.0
2013-07-11,8.33,8.37,8.37,112254000.0
2013-07-12,8.37,8.66,8.66,170160000.0
2013-07-15,8.87,8.48,8.48,148836000.0
2013-07-16,8.42,7.27,7.27,485578500.0
2013-07-17,7.1,8.02,8.02,390435000.0
2013-07-18,8.06,7.94,7.94,170971500.0
2013-07-19,7.9,7.98,7.98,88354500.0
2013-07-22,7.99,8.16,8.16,146967000.0
2013-07-23,8.27,8.18,8.18,116046000.0
2013-07-24,8.3,8.11,8.11,103035000.0
2013-07-25,8.03,8.27,8.27,79264500.0
2013-07-26,8.54,8.63,8.63,144496500.0
2013-07-29,8.62,8.97,8.97,145183500.0
2013-07-30,8.99,8.78,8.78,196905000.0
2013-07-31,8.84,8.95,8.95,95275500.0
2013-08-01,9.0,9.04,9.04,79854000.0
2013-08-02,8.97,9.2,9.2,94048500.0
2013-08-05,9.33,9.65,9.65,153010500.0
2013-08-06,9.65,9.48,9.48,138817500.0
2013-08-07,9.46,8.95,8.95,273183000.0
2013-08-08,10.29,10.23,10.23,408702000.0
2013-08-09,10.16,10.2,10.2,133915500.0
2013-08-12,9.96,9.83,9.83,223683000.0
2013-08-13,9.97,9.7,9.7,131233500.0
2013-08-14,9.51,9.29,9.29,175407000.0
2013-08-15,9.1,9.31,9.31,152688000.0
2013-08-16,9.44,9.47,9.47,106621500.0
2013-08-19,9.56,9.66,9.66,120565500.0
2013-08-20,9.91,9.97,9.97,96273000.0
2013-08-21,10.0,9.86,9.86,93994500.0
2013-08-22,9.95,10.47,10.47,158886000.0
2013-08-23,10.47,10.79,10.79,193978500.0
2013-08-26,11.01,10.95,10.95,362566500.0
2013-08-27,10.82,11.13,11.13,263503500.0
2013-08-28,11.27,11.1,11.1,221101500.0
2013-08-29,10.95,11.07,11.07,141540000.0
2013-08-30,11.09,11.27,11.27,165426000.0
2013-09-03,11.56,11.26,11.26,180916500.0
2013-09-04,11.32,11.37,11.37,172135500.0
2013-09-05,11.34,11.33,11.33,100279500.0
2013-09-06,11.24,11.13,11.13,129295500.0
2013-09-09,10.87,10.71,10.71,215167500.0
2013-09-10,10.76,11.09,11.09,134517000.0
2013-09-11,11.09,10.9,10.9,87487500.0
2013-09-12,10.93,11.0,11.0,92400000.0
2013-09-13,10.85,11.04,11.04,81018000.0
2013-09-16,11.2,11.11,11.11,113623500.0
2013-09-17,11.01,11.08,11.08,82453500.0
2013-09-18,11.14,11.08,11.08,81595500.0
2013-09-19,11.39,11.86,11.86,233919000.0
2013-09-20,11.93,12.23,12.23,201025500.0
2013-09-23,12.3,12.07,12.07,122601000.0
2013-09-24,11.94,12.16,12.16,94101000.0
2013-09-25,12.24,12.35,12.35,123790500.0
2013-09-26,12.45,12.58,12.58,99216000.0
2013-09-27,12.5,12.73,12.73,88746000.0
2013-09-30,12.6,12.89,12.89,133870500.0
2013-10-01,12.93,12.87,12.87,116338500.0
2013-10-02,12.57,12.06,12.06,311631000.0
2013-10-03,11.67,11.55,11.55,357247500.0
2013-10-04,11.76,12.07,12.07,216210000.0
2013-10-07,12.16,12.2,12.2,172284000.0
2013-10-08,12.29,11.65,11.65,206358000.0
2013-10-09,11.65,11.25,11.25,229747500.0
2013-10-10,11.54,11.53,11.53,133258500.0
2013-10-11,11.52,11.91,11.91,124666500.0
2013-10-14,11.67,11.98,11.98,116544000.0
2013-10-15,12.35,12.26,12.26,164677500.0
2013-10-16,12.33,12.24,12.24,123081000.0
2013-10-17,12.24,12.19,12.19,100575000.0
2013-10-18,12.28,12.23,12.23,88962000.0
2013-10-21,12.22,11.51,11.51,172981500.0
