date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2019-05-10,42.0,41.57,41.57,186322500
2019-05-13,38.79,37.1,37.1,79442400
2019-05-14,38.31,39.96,39.96,46661100
2019-05-15,39.37,41.29,41.29,36086100
2019-05-16,41.48,43.0,43.0,38115500
2019-05-17,41.98,41.91,41.91,20225700
2019-05-20,41.19,41.59,41.59,29222300
2019-05-21,42.0,41.5,41.5,10802900
2019-05-22,41.05,41.25,41.25,9089500
2019-05-23,40.8,40.47,40.47,11119900
2019-05-24,41.28,41.51,41.51,8786800
2019-05-28,41.7,40.95,40.95,13391600
2019-05-29,40.52,39.94,39.94,14060400
2019-05-30,40.07,39.8,39.8,26451900
2019-05-31,41.15,40.41,40.41,23209800
2019-06-03,40.744,41.25,41.25,16605300
2019-06-04,42.56,42.75,42.75,23432100
2019-06-05,42.87,45.0,45.0,28609600
2019-06-06,45.0,44.92,44.92,16403700
2019-06-07,44.92,44.16,44.16,12654700
2019-06-10,44.02,42.61,42.61,11618700
2019-06-11,43.22,42.45,42.45,9095000
2019-06-12,42.52,42.17,42.17,5965300
2019-06-13,43.05,44.31,44.31,10178900
2019-06-14,44.75,43.23,43.23,7902200
2019-06-17,43.28,43.78,43.78,6557600
2019-06-18,44.3,43.86,43.86,7313600
2019-06-19,44.46,44.86,44.86,10331500
2019-06-20,45.03,43.86,43.86,9567400
2019-06-21,43.85,44.0,44.0,4974000
2019-06-24,44.0,43.09,43.09,5985100
2019-06-25,43.28,43.09,43.09,5753300
2019-06-26,43.25,42.5,42.5,8109100
2019-06-27,43.35,45.13,45.13,20155100
2019-06-28,45.1,46.38,46.38,28657000
2019-07-01,46.98,44.27,44.27,17660500
2019-07-02,44.55,44.0,44.0,11881300
2019-07-03,44.0,44.23,44.23,3380000
2019-07-05,44.31,43.53,43.53,8239500
2019-07-08,43.59,42.95,42.95,9304100
2019-07-09,43.18,44.2,44.2,5251600
2019-07-10,44.48,43.7,43.7,9746500
2019-07-11,44.1,43.99,43.99,8050900
2019-07-12,44.16,43.99,43.99,8760500
2019-07-15,44.2,44.53,44.53,5811200
2019-07-16,44.6,44.13,44.13,5613300
2019-07-17,44.06,43.62,43.62,5854100
2019-07-18,43.5,43.71,43.71,4078700
2019-07-19,43.9,43.18,43.18,4021000
2019-07-22,43.25,43.69,43.69,3815300
2019-07-23,43.75,43.36,43.36,5110100
2019-07-24,43.36,43.76,43.76,3775700
2019-07-25,43.72,43.4,43.4,4412000
2019-07-26,43.42,44.52,44.52,7598800
2019-07-29,45.0,43.88,43.88,8652200
2019-07-30,43.71,42.59,42.59,7686300
2019-07-31,42.6,42.14,42.14,5970800
2019-08-01,42.14,41.31,41.31,7349700
2019-08-02,41.03,40.4,40.4,8225700
2019-08-05,39.35,39.05,39.05,9799300
2019-08-06,39.68,39.15,39.15,8570300
2019-08-07,39.06,39.7,39.7,8896000
2019-08-08,41.98,42.97,42.97,29610500
2019-08-09,39.56,40.05,40.05,35138800
2019-08-12,39.83,37.0,37.0,21231300
2019-08-13,37.0,36.45,36.45,18990600
2019-08-14,36.0,33.96,33.96,24481600
2019-08-15,34.52,33.22,33.22,13265800
2019-08-16,33.46,35.23,35.23,13883200
2019-08-19,35.53,34.61,34.61,10853100
2019-08-20,34.48,35.29,35.29,10760700
2019-08-21,35.5,34.91,34.91,7923000
2019-08-22,34.8,34.0,34.0,8513300
2019-08-23,33.65,33.43,33.43,8160600
2019-08-26,33.67,33.31,33.31,5662500
2019-08-27,33.69,33.11,33.11,6574800
2019-08-28,32.56,32.59,32.59,6245500
2019-08-29,32.9,32.76,32.76,5772200
2019-08-30,33.0,32.57,32.57,6628700
2019-09-03,32.1,30.7,30.7,12154000
2019-09-04,30.91,31.99,31.99,10357600
2019-09-05,32.33,32.51,32.51,7933300
2019-09-06,32.71,31.86,31.86,7036000
2019-09-09,32.05,32.24,32.24,7448400
2019-09-10,32.0,33.51,33.51,10817100
2019-09-11,33.38,34.0,34.0,14715800
2019-09-12,34.14,34.07,34.07,7734800
2019-09-13,34.25,33.25,33.25,9428600
2019-09-16,33.6,34.43,34.43,7942600
2019-09-17,34.75,34.29,34.29,5561300
2019-09-18,34.35,34.26,34.26,6608300
2019-09-19,34.2,33.82,33.82,6869600
2019-09-20,33.98,32.6,32.6,11935400
2019-09-23,32.52,33.0,33.0,5513000
2019-09-24,33.0,31.3,31.3,10579900
2019-09-25,31.27,31.68,31.68,7875000
2019-09-26,31.72,31.57,31.57,6058700
2019-09-27,31.71,30.29,30.29,11846700
2019-09-30,30.4,30.47,30.47,4986600
2019-10-01,30.37,29.15,29.15,13380200
2019-10-02,28.67,29.0,29.0,8782400
2019-10-03,28.97,29.72,29.72,9412000
2019-10-04,29.9,29.67,29.67,8597700
2019-10-07,30.6,30.37,30.37,10083800
2019-10-08,30.01,29.28,29.28,7769100
2019-10-09,29.62,29.07,29.07,7112900
2019-10-10,29.21,28.87,28.87,7716300
2019-10-11,28.95,30.13,30.13,10216900
2019-10-14,30.22,31.12,31.12,7945400
2019-10-15,31.2,32.0,32.0,7843800
2019-10-16,31.8,31.87,31.87,7781600
2019-10-17,31.8,32.62,32.62,7200800
2019-10-18,32.55,32.06,32.06,7844500
2019-10-21,31.95,31.41,31.41,7203400
2019-10-22,31.41,32.53,32.53,19214800
2019-10-23,32.87,33.05,33.05,6709800
2019-10-24,33.0,33.28,33.28,6729300
2019-10-25,33.2,32.71,32.71,8077300
2019-10-28,32.9,33.22,33.22,7532800
2019-10-29,32.37,32.42,32.42,9319200
2019-10-30,32.51,33.75,33.75,10732700
2019-10-31,33.23,31.5,31.5,15912400
2019-11-01,31.45,31.37,31.37,10434300
2019-11-04,31.45,31.08,31.08,28787400
2019-11-05,29.13,28.02,28.02,51963500
2019-11-06,26.06,26.94,26.94,130965700
2019-11-07,26.8,27.38,27.38,65861400
2019-11-08,27.48,27.01,27.01,44923600
2019-11-11,27.03,27.14,27.14,41138100
2019-11-12,27.38,26.7,26.7,37095400
2019-11-13,26.47,26.71,26.71,32678300
2019-11-14,26.8,25.99,25.99,27893900
2019-11-15,26.18,26.79,26.79,41236200
2019-11-18,26.8,26.75,26.75,35916100
2019-11-19,26.77,27.05,27.05,31793500
2019-11-20,27.06,28.03,28.03,52746600
2019-11-21,28.67,29.46,29.46,54551400
2019-11-22,29.84,29.56,29.56,42302900
2019-11-25,28.69,29.11,29.11,36967500
2019-11-26,29.49,29.53,29.53,28746600
2019-11-27,29.42,29.49,29.49,22421400
2019-11-29,29.41,29.6,29.6,8115100
2019-12-02,29.32,28.98,28.98,16927100
2019-12-03,28.2,29.02,29.02,25252400
2019-12-04,29.1,29.06,29.06,22517600
2019-12-05,28.94,28.65,28.65,22504300
2019-12-06,28.4,27.86,27.86,32816100
2019-12-09,27.96,27.68,27.68,20977300
2019-12-10,27.73,27.89,27.89,23602700
2019-12-11,27.99,28.42,28.42,23281700
2019-12-12,28.29,28.69,28.69,23569900
2019-12-13,28.58,28.49,28.49,25431600
2019-12-16,29.11,30.05,30.05,57382500
2019-12-17,30.37,29.75,29.75,38250700
2019-12-18,29.62,30.13,30.13,35375100
2019-12-19,29.84,29.99,29.99,33799700
2019-12-20,30.1,30.45,30.45,95455100
2019-12-23,30.49,30.33,30.33,31209100
2019-12-24,30.33,30.44,30.44,12938600
2019-12-26,30.47,30.67,30.67,22200800
2019-12-27,30.8,30.17,30.17,18462200
2019-12-30,30.13,29.74,29.74,18805900
2019-12-31,29.11,29.74,29.74,16228400
2020-01-02,29.94,30.99,30.99,20578900
2020-01-03,30.62,31.37,31.37,18822700
2020-01-06,31.01,31.58,31.58,21204700
2020-01-07,31.79,32.81,32.81,30119600
2020-01-08,32.73,33.93,33.93,43944400
2020-01-09,34.45,33.97,33.97,29385500
2020-01-10,34.08,34.01,34.01,34266400
2020-01-13,34.29,34.14,34.14,16915800
2020-01-14,34.2,34.84,34.84,26019000
2020-01-15,34.9,35.01,35.01,20762200
2020-01-16,35.03,34.68,34.68,21947800
2020-01-17,34.97,35.13,35.13,17251200
2020-01-21,35.5,37.6,37.6,48746700
2020-01-22,37.94,37.04,37.04,29765200
2020-01-23,36.97,37.4,37.4,21366000
2020-01-24,37.5,36.8,36.8,21598000
2020-01-27,35.23,36.3,36.3,18818000
2020-01-28,37.14,37.01,37.01,28974000
2020-01-29,36.98,36.99,36.99,16863000
2020-01-30,36.82,36.68,36.68,22847000
2020-01-31,37.0,36.29,36.29,21553700
2020-02-03,36.75,37.59,37.59,23494600
2020-02-04,37.87,38.53,38.53,32425900
2020-02-05,38.89,36.81,36.81,38413300
2020-02-06,37.3,37.09,37.09,52699300
2020-02-07,39.98,40.63,40.63,112325800
2020-02-10,40.65,40.01,40.01,60840800
2020-02-11,40.25,41.27,41.27,33896000
2020-02-12,41.5,41.25,41.25,26444900
2020-02-13,40.93,40.09,40.09,23850900
2020-02-14,40.02,39.66,39.66,32014200
2020-02-18,39.49,40.18,40.18,22149300
2020-02-19,40.42,41.05,41.05,23287300
2020-02-20,41.0,40.92,40.92,25446400
2020-02-21,40.89,40.72,40.72,20595500
2020-02-24,38.21,38.31,38.31,37123200
2020-02-25,38.9,35.89,35.89,49281600
2020-02-26,35.53,34.45,34.45,44051400
2020-02-27,32.03,32.45,32.45,66557200
2020-02-28,31.81,33.87,33.87,52049300
2020-03-02,34.05,32.85,32.85,46662000
2020-03-03,34.02,33.04,33.04,35182400
2020-03-04,33.93,34.53,34.53,44738600
2020-03-05,33.47,32.21,32.21,32764500
2020-03-06,31.23,31.68,31.68,34808700
2020-03-09,28.5,28.17,28.17,37439200
2020-03-10,29.47,28.97,28.97,36308300
2020-03-11,27.91,26.24,26.24,43067800
2020-03-12,23.26,22.61,22.61,54042000
2020-03-13,24.01,22.6,22.6,53844400
2020-03-16,20.15,20.29,20.29,56914000
2020-03-17,20.18,18.91,18.91,60003900
2020-03-18,17.76,14.82,14.82,78286200
2020-03-19,15.96,20.49,20.49,83988700
2020-03-20,22.53,21.33,21.33,76529700
2020-03-23,21.07,22.4,22.4,47787100
2020-03-24,24.41,26.39,26.39,58505000
2020-03-25,26.18,26.19,26.19,52473900
2020-03-26,26.6,28.12,28.12,41336400
2020-03-27,25.82,27.28,27.28,40292200
2020-03-30,26.33,27.83,27.83,37725700
2020-03-31,27.75,27.92,27.92,43126400
2020-04-01,26.5,25.42,25.42,38538400
2020-04-02,25.01,23.68,23.68,35838200
2020-04-03,23.73,22.82,22.82,40572000
2020-04-06,24.13,25.99,25.99,34692600
2020-04-07,27.95,25.74,25.74,36433800
2020-04-08,26.0,26.94,26.94,36166900
2020-04-09,27.88,27.11,27.11,36190200
2020-04-13,27.04,27.99,27.99,24671600
2020-04-14,28.0,27.75,27.75,32625300
2020-04-15,26.82,27.41,27.41,18720900
2020-04-16,27.21,27.03,27.03,24088700
2020-04-17,28.69,28.0,28.0,34129800
2020-04-20,27.07,28.19,28.19,32224000
2020-04-21,27.5,27.19,27.19,20969100
2020-04-22,27.97,28.24,28.24,21199400
2020-04-23,28.75,28.33,28.33,26992400
2020-04-24,28.51,29.49,29.49,20634900
2020-04-27,29.74,30.08,30.08,31705800
2020-04-28,31.0,30.12,30.12,27383200
2020-04-29,31.0,31.37,31.37,28288100
2020-04-30,30.5,30.27,30.27,20095400
2020-05-01,29.13,28.39,28.39,19290200
2020-05-04,27.56,27.42,27.42,23428300
2020-05-05,28.25,28.07,28.07,30725400
2020-05-06,27.5,27.82,27.82,31076500
2020-05-07,29.6,30.93,30.93,62229500
2020-05-08,32.59,32.79,32.79,69458100
2020-05-11,31.98,31.64,31.64,26439200
2020-05-12,31.42,32.4,32.4,89586000
2020-05-13,32.3,33.02,33.02,47279500
2020-05-14,32.53,32.79,32.79,32912600
2020-05-15,32.26,32.47,32.47,25950000
2020-05-18,33.7,33.62,33.62,47534600
2020-05-19,33.68,33.4,33.4,20223600
2020-05-20,34.12,34.48,34.48,21386700
2020-05-21,34.45,34.26,34.26,24075300
2020-05-22,34.15,34.83,34.83,18675700
2020-05-26,35.97,34.56,34.56,23483200
2020-05-27,34.42,34.88,34.88,27514600
2020-05-28,34.9,34.15,34.15,21951900
2020-05-29,34.18,36.32,36.32,72393800
2020-06-01,35.64,35.82,35.82,21893800
2020-06-02,36.16,35.81,35.81,19328400
2020-06-03,36.2,36.75,36.75,23051800
2020-06-04,36.42,36.43,36.43,17423600
2020-06-05,37.53,37.21,37.21,30393400
