date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2025-11-10,313.6097,315.168,315.168,9283800
2025-11-11,316.8537,320.921,320.921,7157800
2025-11-12,321.9011,332.2995,332.2995,10403300
2025-11-13,331.6037,325.8899,325.8899,7788700
2025-11-14,320.431,315.4424,315.4424,8676500
2025-11-17,314.2076,314.1292,314.1292,6485400
2025-11-18,310.6892,307.3275,307.3275,9182100
2025-11-19,307.6706,302.9271,302.9271,8181100
2025-11-20,304.6128,305.3282,305.3282,7337600
2025-11-21,305.6908,313.5901,313.5901,8406300
2025-11-24,318.0592,312.6885,312.6885,10773800
2025-11-25,314.7172,319.7743,319.7743,6149100
2025-11-26,320.0781,323.1359,323.1359,5504200
2025-11-28,325.0569,323.1947,323.1947,2464500
2025-12-01,320.6368,316.7655,316.7655,6154600
2025-12-02,316.9223,318.069,318.069,7978100
2025-12-03,319.4999,332.9366,332.9366,9770000
2025-12-04,332.6327,326.8405,326.8405,8061600
2025-12-05,328.3204,324.312,324.312,5906000
2025-12-08,324.312,319.2998,319.2998,4782800
2025-12-09,318.846,319.2801,319.2801,4628400
2025-12-10,318.4414,323.9864,323.9864,5910500
2025-12-11,325.9597,332.2348,332.2348,7513200
2025-12-12,332.9945,337.2766,337.2766,7979000
2025-12-15,336.4379,336.5465,336.5465,6447200
2025-12-16,335.8756,329.7386,329.7386,6334000
2025-12-17,329.1565,327.2029,327.2029,4685600
2025-12-18,324.5389,323.7595,323.7595,6354900
2025-12-19,323.6805,323.0491,323.0491,10553000
2025-12-22,318.5894,320.8193,320.8193,7872400
2025-12-23,319.6747,320.4641,320.4641,4463300
2025-12-24,320.8588,323.207,323.207,2842700
2025-12-26,322.832,327.4002,327.4002,4359300
2025-12-29,326.4728,324.5488,324.5488,4346800
2025-12-30,325.3282,327.7258,327.7258,4432500
2025-12-31,327.8837,325.7032,325.7032,4285200
2026-01-02,326.4826,331.9092,331.9092,6863600
2026-01-05,330.9719,337.4542,337.4542,7956600
2026-01-06,343.6997,344.3114,344.3114,9441900
2026-01-07,344.3213,337.1385,337.1385,7461400
2026-01-08,336.4577,342.2197,342.2197,5059300
2026-01-09,342.6144,339.388,339.388,4129100
2026-01-12,336.8622,335.9644,335.9644,7146400
2026-01-13,336.9411,329.4722,329.4722,5605900
2026-01-14,330.893,330.4884,330.4884,5740900
2026-01-15,330.7252,334.435,334.435,6943500
2026-01-16,330.3898,326.601,326.601,8039100
2026-01-20,323.0294,333.9121,333.9121,7596500
2026-01-21,334.8988,343.1077,343.1077,8933300
2026-01-22,342.5453,349.738,349.738,7491400
2026-01-23,349.5505,351.5041,351.5041,9082200
2026-01-26,349.2249,346.9458,346.9458,10399500
2026-01-27,290.0456,278.9261,278.9261,65836900
2026-01-28,279.9325,290.095,290.095,23396900
2026-01-29,290.4008,288.3881,288.3881,13456400
2026-01-30,288.2006,283.0996,283.0996,12022200
2026-02-02,282.2018,281.7775,281.7775,8664200
2026-02-03,280.8994,280.3863,280.3863,10809100
2026-02-04,278.2453,272.2366,272.2366,12944100
2026-02-05,270.6284,264.965,264.965,13035300
2026-02-06,263.4949,272.9568,272.9568,9572800
2026-02-09,270.4902,272.0195,272.0195,10371600
2026-02-10,273.8152,269.5727,269.5727,7284700
2026-02-11,268.8031,275.1867,275.1867,6333100
2026-02-12,274.4467,280.5738,280.5738,12336900
2026-02-13,281.817,289.276,289.276,10281900
2026-02-17,290.0752,285.2308,285.2308,6091700
2026-02-18,286.1287,284.3527,284.3527,6632000
2026-02-19,287.0068,286.0596,286.0596,4931800
2026-02-20,285.0433,286.1286,286.1286,6974100
2026-02-23,284.698,278.5709,278.5709,7247500
2026-02-24,278.4328,270.2929,270.2929,9684500
2026-02-25,273.5883,280.4061,280.4061,11380600
2026-02-26,283.149,282.8332,282.8332,10210000
2026-02-27,280.8994,289.3549,289.3549,9723300
2026-03-02,284.3132,290.9928,290.9928,8141400
2026-03-03,285.1321,285.3492,285.3492,7051100
2026-03-04,285.1519,288.0625,288.0625,7796000
2026-03-05,286.178,284.915,284.915,5397900
2026-03-06,283.5041,282.6556,282.6556,6816900
2026-03-09,280.3985,283.5505,283.5505,10348800
2026-03-10,285.748,280.7366,280.7366,6075600
2026-03-11,280.7764,283.6301,283.6301,6878800
2026-03-12,283.1627,275.4766,275.4766,10512300
2026-03-13,276.4809,280.488,280.488,4737600
2026-03-16,282.3673,283.8687,283.8687,4854000
2026-03-17,286.1656,285.9369,285.9369,5752000
2026-03-18,283.5804,282.7153,282.7153,4544100
2026-03-19,282.3872,278.8474,278.8474,5542100
2026-03-20,277.4056,274.0249,274.0249,38893000
2026-03-23,277.5548,268.0093,268.0093,10424200
2026-03-24,267.3431,270.7337,270.7337,5911700
2026-03-25,273.4383,269.0135,269.0135,8121200
2026-03-26,268.4567,266.5277,266.5277,6218800
2026-03-27,265.9809,257.549,257.549,10735300
2026-03-30,258.7024,260.3033,260.3033,7774700
2026-03-31,261.5064,269.0533,269.0533,9170800
2026-04-01,272.6527,272.4241,272.4241,5473400
2026-04-02,270.7437,275.6855,275.6855,6407000
2026-04-06,276.3019,279.7621,279.7621,7097000
2026-04-07,307.0961,305.9824,305.9824,22099800
2026-04-08,310.2281,304.2423,304.2423,9645000
2026-04-09,304.0832,305.1671,305.1671,5742000
2026-04-10,306.2012,302.6017,302.6017,5212900
2026-04-13,301.5278,311.2225,311.2225,7972200
2026-04-14,310.7352,312.4057,312.4057,5864500
2026-04-15,314.2054,312.2665,312.2665,5041200
2026-04-16,313.2111,314.6031,314.6031,5205600
2026-04-17,318.2324,322.7864,322.7864,9414700
2026-04-20,322.3489,321.643,321.643,9050600
2026-04-21,351.0053,344.045,344.045,26097300
2026-04-22,348.8874,351.5124,351.5124,11807300
2026-04-23,352.6658,352.5464,352.5464,7255800
2026-04-24,354.4655,352.9044,352.9044,8554600
2026-04-27,351.9002,352.6757,352.6757,7256100
2026-04-28,354.8135,364.6871,364.6871,10604100
2026-04-29,363.9215,368.6346,368.6346,9046600
2026-04-30,366.4172,368.376,368.376,6879900
2026-05-01,369.8476,366.6857,366.6857,4945400
2026-05-04,366.457,368.6445,368.6445,4916900
2026-05-05,368.376,361.8036,361.8036,6489000
2026-05-06,361.038,365.1942,365.1942,6695500
2026-05-07,364.5579,367.6402,367.6402,5235400
2026-05-08,369.8775,377.8221,377.8221,6455100
2026-05-11,378.2894,382.2568,382.2568,6949600
2026-05-12,380.6758,394.1389,394.1389,9236300
2026-05-13,394.2483,398.8818,398.8818,8454100
2026-05-14,398.7227,396.8235,396.8235,5342500
2026-05-15,392.0608,391.6133,391.6133,9811200
2026-05-18,387.7852,388.9088,388.9088,8400700
2026-05-19,387.7852,387.0295,387.0295,5016800
2026-05-20,387.3377,381.1232,381.1232,7783900
