date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2013-04-29,147.02,147.02,121.97,0.0
2013-04-30,147.39,147.39,122.28,0.0
2013-05-01,146.02,146.02,121.14,0.0
2013-05-02,147.41,147.41,122.29,0.0
2013-05-03,148.98,148.98,123.6,0.0
2013-05-06,149.26,149.26,123.83,0.0
2013-05-07,150.05,150.05,124.48,0.0
2013-05-08,150.74,150.74,125.06,0.0
2013-05-09,150.25,150.25,124.65,0.0
2013-05-10,150.9,150.9,125.19,0.0
2013-05-13,150.92,150.92,125.21,0.0
2013-05-14,152.48,152.48,126.5,0.0
2013-05-15,153.31,153.31,127.19,0.0
2013-05-16,152.55,152.55,126.56,0.0
2013-05-17,154.12,154.12,127.86,0.0
2013-05-20,154.02,154.02,127.78,0.0
2013-05-21,154.29,154.29,128.0,0.0
2013-05-22,153.03,153.03,126.96,0.0
2013-05-23,152.6,152.6,126.6,0.0
2013-05-24,152.53,152.53,126.54,0.0
2013-05-28,153.49,153.49,127.34,0.0
2013-05-29,152.43,152.43,126.46,0.0
2013-05-30,153.02,153.02,126.95,0.0
2013-05-31,150.83,150.83,125.13,0.0
2013-06-03,151.74,151.74,125.89,0.0
2013-06-04,150.91,150.91,125.2,0.0
2013-06-05,148.87,148.87,123.51,0.0
2013-06-06,150.15,150.15,124.57,0.0
2013-06-07,152.08,152.08,126.17,0.0
2013-06-10,152.04,152.04,126.14,0.0
2013-06-11,150.49,150.49,124.85,0.0
2013-06-12,149.27,149.27,123.84,0.0
2013-06-13,151.5,151.5,125.69,0.0
2013-06-14,150.61,150.61,124.95,0.0
2013-06-17,151.75,151.75,125.89,0.0
2013-06-18,152.93,152.93,126.87,0.0
2013-06-19,150.81,150.81,125.11,0.0
2013-06-20,147.07,147.07,122.01,0.0
2013-06-21,146.71,146.71,122.33,0.0
2013-06-24,144.93,144.93,120.85,0.0
2013-06-25,146.32,146.32,122.01,0.0
2013-06-26,147.76,147.76,123.21,0.0
2013-06-27,148.68,148.68,123.97,0.0
2013-06-28,148.05,148.05,123.45,0.0
2013-07-01,148.87,148.87,124.13,0.0
2013-07-02,148.82,148.82,124.09,0.0
2013-07-03,148.94,148.94,124.19,0.0
2013-07-05,150.46,150.46,125.46,0.0
2013-07-08,151.3,151.3,126.16,0.0
2013-07-09,152.39,152.39,127.07,0.0
2013-07-10,152.43,152.43,127.1,0.0
2013-07-11,154.51,154.51,128.84,0.0
2013-07-12,154.98,154.98,129.23,0.0
2013-07-15,155.2,155.2,129.41,0.0
