date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2026-01-05,43.83,45.96,45.96,1321372.0
2026-01-06,45.57,44.99,44.99,803604.0
2026-01-07,44.63,43.32,43.32,450573.0
2026-01-08,43.11,44.5,44.5,698141.0
2026-01-09,45.27,45.02,45.02,724452.0
2026-01-12,44.71,47.53,47.53,387182.0
2026-01-13,48.32,48.87,48.87,556778.0
2026-01-14,49.03,48.94,48.94,637935.0
2026-01-15,49.32,47.98,47.98,454876.0
2026-01-16,48.06,51.06,51.06,995466.0
2026-01-20,48.68,48.21,48.21,944013.0
2026-01-21,49.03,47.91,47.91,1038301.0
2026-01-22,48.57,46.93,46.93,634041.0
2026-01-23,46.91,49.14,49.14,622356.0
2026-01-26,48.77,46.58,46.58,807276.0
2026-01-27,47.09,50.9,50.9,1003771.0
2026-01-28,51.19,51.37,51.37,523585.0
2026-01-29,50.38,48.74,48.74,692674.0
2026-01-30,47.65,45.06,45.06,1385688.0
2026-02-02,43.68,44.44,44.44,1522621.0
2026-02-03,45.5,45.3,45.3,475250.0
2026-02-04,44.06,40.29,40.29,1321491.0
2026-02-05,38.5,35.23,35.23,2153639.0
2026-02-06,37.5,40.43,40.43,1126547.0
2026-02-09,40.29,43.83,43.83,542150.0
2026-02-10,43.28,42.62,42.62,398678.0
2026-02-11,43.04,41.64,41.64,408881.0
2026-02-12,41.97,40.1,40.1,370677.0
2026-02-13,40.61,41.34,41.34,671989.0
2026-02-17,40.36,40.0,40.0,332944.0
2026-02-18,39.64,40.04,40.04,460992.0
2026-02-19,38.94,40.69,40.69,263963.0
2026-02-20,40.14,38.85,38.85,444269.0
2026-02-23,38.0,39.76,39.76,282228.0
2026-02-24,39.33,42.71,42.71,380210.0
2026-02-25,43.7,42.34,42.34,499519.0
2026-02-26,42.11,42.17,42.17,381946.0
2026-02-27,40.89,39.88,39.88,647062.0
2026-03-02,38.59,40.43,40.43,383543.0
2026-03-03,38.48,37.88,37.88,533650.0
2026-03-04,39.33,41.2,41.2,981502.0
2026-03-05,40.2,39.25,39.25,596396.0
2026-03-06,37.8,36.07,36.07,1048024.0
2026-03-09,35.53,37.33,37.33,662878.0
2026-03-10,37.49,37.36,37.36,897775.0
2026-03-11,37.96,38.92,38.92,437760.0
2026-03-12,38.05,37.96,37.96,344368.0
2026-03-13,38.93,38.28,38.28,551626.0
2026-03-16,40.27,40.45,40.45,480432.0
2026-03-17,39.88,40.13,40.13,410024.0
2026-03-18,39.62,39.1,39.1,311635.0
2026-03-19,37.89,39.1,39.1,317223.0
2026-03-20,38.85,37.68,37.68,454432.0
2026-03-23,38.36,39.4,39.4,386643.0
2026-03-24,39.15,38.87,38.87,319292.0
2026-03-25,40.33,40.3,40.3,378526.0
2026-03-26,39.2,37.08,37.08,800837.0
2026-03-27,36.55,35.19,35.19,429252.0
2026-03-30,35.88,32.33,32.33,463722.0
2026-03-31,33.12,34.82,34.82,499400.0
2026-04-01,35.46,34.86,34.86,380221.0
2026-04-02,33.22,35.76,35.76,373067.0
2026-04-06,35.9,36.7,36.7,265376.0
2026-04-07,35.99,37.57,37.57,361100.0
2026-04-08,40.4,40.51,40.51,555170.0
2026-04-09,39.97,41.36,41.36,843897.0
2026-04-10,41.74,42.19,42.19,314213.0
2026-04-13,41.21,44.66,44.66,892602.0
2026-04-14,46.11,47.53,47.53,520542.0
2026-04-15,46.99,47.3,47.3,546760.0
2026-04-16,47.53,46.58,46.58,567806.0
2026-04-17,47.89,49.07,49.07,482431.0
2026-04-20,48.16,49.43,49.43,361465.0
2026-04-21,50.02,47.48,47.48,415568.0
2026-04-22,49.12,50.08,50.08,420992.0
2026-04-23,49.87,50.18,50.18,339865.0
2026-04-24,51.4,49.62,49.62,589731.0
2026-04-27,49.75,49.06,49.06,504808.0
2026-04-28,46.96,46.58,46.58,542180.0
2026-04-29,46.73,45.38,45.38,422170.0
2026-04-30,46.45,48.17,48.17,352587.0
2026-05-01,48.86,48.19,48.19,338181.0
2026-05-04,48.5,50.5,50.5,548777.0
2026-05-05,51.6,55.14,55.14,839400.0
2026-05-06,57.44,60.76,60.76,1222722.0
2026-05-07,59.07,57.57,57.57,615574.0
2026-05-08,59.67,58.02,58.02,698417.0
2026-05-11,56.36,58.47,58.47,431323.0
2026-05-12,57.0,57.73,57.73,379673.0
2026-05-13,58.4,58.88,58.88,383838.0
2026-05-14,58.92,61.55,61.55,857474.0
2026-05-15,58.97,57.21,57.21,583283.0
2026-05-18,57.96,55.55,55.55,1094925.0
2026-05-19,54.2,54.85,54.85,390712.0
2026-05-20,56.0,57.32,57.32,664304.0
2026-05-21,58.02,61.59,61.59,410556.0
2026-05-22,61.41,61.93,61.93,398220.0
2026-05-26,64.57,64.83,64.83,612154.0
2026-05-27,65.35,68.8,68.8,740442.0
2026-05-28,68.48,69.26,69.26,894341.0
2026-05-29,68.99,68.09,68.09,567125
2026-06-01,67.07,70.76,70.76,958901
2026-06-02,71.0,71.51,71.51,795140
