date,open_price_usd,total_volume_usd,market_cap_usd
2013-04-28,135.30,0,1500517590
2013-04-29,141.96,0,1575032004
2013-04-30,135.30,0,1501657493
2013-05-01,117.00,0,1298951550
2013-05-02,103.43,0,1148667722
2013-05-03,91.01,0,1011066494
2013-05-04,111.25,0,1236351844
2013-05-05,116.79,0,1298377788
2013-05-06,118.33,0,1315992304
2013-05-07,106.40,0,1183766500
2013-05-08,112.64,0,1253655040
2013-05-09,113.00,0,1258130700
2013-05-10,118.78,0,1322989457
2013-05-11,113.01,0,1259239352
2013-05-12,114.71,0,1278708679
2013-05-13,117.18,0,1306721052
2013-05-14,114.50,0,1277278988
2013-05-15,114.16,0,1273849681
2013-05-16,115.50,0,1289277412
2013-05-17,123.10,0,1374605382
2013-05-18,123.88,0,1383755085
2013-05-19,120.50,0,1346499262
2013-05-20,122.58,0,1370131821
2013-05-21,122.90,0,1374154118
2013-05-22,123.00,0,1375791900
2013-05-23,125.75,0,1407041528
2013-05-24,131.70,0,1474180657
2013-05-25,130.77,0,1464316690
2013-05-26,134.60,0,1507769010
2013-05-27,128.99,0,1445444606
2013-05-28,129.18,0,1448115967
2013-05-29,132.13,0,1481781795
2013-05-30,127.40,0,1429308634
2013-05-31,127.98,0,1436386730
2013-06-01,129.09,0,1449499974
2013-06-02,121.30,0,1362684200
2013-06-03,121.16,0,1361765704
2013-06-05,121.31,0,1364113640
2013-06-06,121.71,0,1369233814
2013-06-07,119.00,0,1339234925
2013-06-08,110.09,0,1239395972
2013-06-09,108.40,0,1220874393
2013-06-10,99.75,0,1123844958
2013-06-11,105.99,0,1194605341
2013-06-12,108.90,0,1227904672
2013-06-13,108.40,0,1222819750
2013-06-14,102.77,0,1159766150
2013-06-15,98.40,0,1110902570
2013-06-16,99.99,0,1129287060
2013-06-17,100.42,0,1134610433
2013-06-18,102.00,0,1152834600
2013-06-19,106.55,0,1204638318
2013-06-20,107.90,0,1220273470
2013-06-21,110.91,0,1254733148
2013-06-22,109.02,0,1233750009
2013-06-23,107.25,0,1214260369
2013-06-24,108.00,0,1223181000
2013-06-25,102.44,0,1160635652
2013-06-26,103.69,0,1175194910
2013-06-27,103.39,0,1172207388
2013-06-28,99.66,0,1130338737
2013-06-29,93.33,0,1058953327
2013-06-30,95.39,0,1082693996
2013-07-01,97.50,0,1107084792
2013-07-02,89.49,0,1016445146
2013-07-03,90.80,0,1031653673
2013-07-04,78.80,0,895707780
2013-07-05,78.48,0,892405890
2013-07-06,67.81,0,771368060
2013-07-07,68.08,0,774804401
2013-07-08,77.50,0,882356395
2013-07-09,76.39,0,870081997
2013-07-10,77.00,0,877378425
2013-07-11,85.75,0,977479256
2013-07-12,93.80,0,1069724400
2013-07-13,88.06,0,1004551934
2013-07-14,95.58,0,1090715949
2013-07-15,94.00,0,1073073450
2013-07-16,97.30,0,1111179853
2013-07-17,98.98,0,1130735527
2013-07-18,97.80,0,1117707300
2013-07-19,88.79,0,1015062893
2013-07-20,91.57,0,1047311253
2013-07-21,89.28,0,1021492656
2013-07-22,90.37,0,1034399451
2013-07-23,91.70,0,1050054379
2013-07-24,94.58,0,1083333286
2013-07-25,94.53,0,1083076902
2013-07-26,96.95,0,1111232483
2013-07-27,94.13,0,1079278107
2013-07-28,94.01,0,1078286703
2013-07-29,98.58,0,1131111629
2013-07-30,101.50,0,1165105812
2013-07-31,110.34,0,1267183179
2013-08-01,106.23,0,1220481782
2013-08-02,101.61,0,1167849454
2013-08-03,103.70,0,1192378895
2013-08-04,104.86,0,1206152150
2013-08-05,106.56,0,1226188584
2013-08-06,105.84,0,1218425716
2013-08-07,106.75,0,1229098150
2013-08-08,101.67,0,1171586790
2013-08-09,103.40,0,1192028805
2013-08-10,102.71,0,1184605785
2013-08-11,103.77,0,1197378682
2013-08-12,105.18,0,1214268916
2013-08-13,106.07,0,1225008501
2013-08-14,111.62,0,1289602061
2013-08-15,111.87,0,1292943118
2013-08-16,109.87,0,1270257534
2013-08-17,112.74,0,1304015666
2013-08-18,114.40,0,1323762440
2013-08-19,118.78,0,1375023402
2013-08-20,120.50,0,1395441212
2013-08-21,121.51,0,1407757143
2013-08-22,122.50,0,1419858347
2013-08-23,120.00,0,1391517000
2013-08-24,120.44,0,1397179275
2013-08-25,122.00,0,1415749000
2013-08-26,122.04,0,1416676932
2013-08-27,125.67,0,1459371151
2013-08-28,123.02,0,1429111038
2013-08-29,123.44,0,1434594992
2013-08-30,129.20,0,1502172870
2013-08-31,137.76,0,1602407100
2013-09-01,138.17,0,1607960283
2013-09-02,137.17,0,1597132036
2013-09-03,137.51,0,1601702729
2013-09-04,135.21,0,1575534525
2013-09-05,129.96,0,1514888487
2013-09-06,126.13,0,1470861842
2013-09-07,123.73,0,1443353756
2013-09-08,121.77,0,1420952396
2013-09-09,126.40,0,1475596760
2013-09-10,127.78,0,1492304286
2013-09-11,131.65,0,1538132775
2013-09-12,134.22,0,1568874092
2013-09-13,135.05,0,1579271324
2013-09-14,131.39,0,1537187451
2013-09-15,129.95,0,1520967287
2013-09-16,131.48,0,1539430293
2013-09-17,131.31,0,1538014334
2013-09-18,132.06,0,1547280990
2013-09-19,130.23,0,1526484433
2013-09-20,128.57,0,1507618248
2013-09-21,126.78,0,1487211807
2013-09-22,128.37,0,1506534274
2013-09-23,126.73,0,1487984454
2013-09-24,126.09,0,1481135098
2013-09-25,127.99,0,1504122481
2013-09-26,128.02,0,1505025524
2013-09-27,131.84,0,1550524096
2013-09-28,133.93,0,1575663012
2013-09-29,140.28,0,1650965841
2013-09-30,131.65,0,1549941780
2013-10-01,132.55,0,1561200410
2013-10-02,132.04,0,1555751397
2013-10-03,123.07,0,1450746083
2013-10-04,128.26,0,1512486811
2013-10-05,129.57,0,1528611793
2013-10-06,127.56,0,1505549223
2013-10-07,128.38,0,1515724889
2013-10-08,125.72,0,1484816060
2013-10-09,130.90,0,1546580228
2013-10-10,129.68,0,1532820842
2013-10-11,130.27,0,1540367845
2013-10-12,135.35,0,1601082220
2013-10-13,135.48,0,1603402413
2013-10-14,140.48,0,1663458800
2013-10-15,143.89,0,1704751164
2013-10-16,143.61,0,1702245233
2013-10-17,146.15,0,1732995548
2013-10-18,151.34,0,1795176162
2013-10-19,170.51,0,2023531688
2013-10-20,172.01,0,2042261829
2013-10-21,181.41,0,2154778910
2013-10-22,193.45,0,2298993654
2013-10-23,206.78,0,2458505640
2013-10-24,198.80,0,2364666360
2013-10-25,172.48,0,2052637048
2013-10-26,178.96,0,2130644072
2013-10-27,189.83,0,2260913266
2013-10-28,198.55,0,2365643830
2013-10-29,204.39,0,2436022215
2013-10-30,204.20,0,2434768490
2013-10-31,203.88,0,2432069229
2013-11-01,205.26,0,2449516394
2013-11-02,206.89,0,2470106260
2013-11-03,212.45,0,2537555912
2013-11-04,226.28,0,2703825377
2013-11-05,230.63,0,2756789579
2013-11-06,260.85,0,3119094311
2013-11-07,295.63,0,3536067384
2013-11-08,332.02,0,3972444990
2013-11-09,358.00,0,4284552950
2013-11-10,313.00,0,3747322075
2013-11-11,340.55,0,4078792891
2013-11-12,355.48,0,4259334699
