date,open_price_usd,total_volume_usd,market_cap_usd
2017-11-09,308.64,0,0
2017-11-10,320.67,0,0
2017-11-11,298.59,0,0
2017-11-12,314.69,0,0
2017-11-13,307.02,0,0
2017-11-14,316.76,0,0
2017-11-15,337.96,0,0
2017-11-16,333.44,0,0
2017-11-17,330.17,0,0
2017-11-18,331.98,0,0
2017-11-19,347.4,0,0
2017-11-20,354.09,0,0
2017-11-21,367.44,0,0
2017-11-22,360.31,0,0
2017-11-23,381.44,0,0
2017-11-24,412.5,0,0
2017-11-25,475.68,0,0
2017-11-26,465.97,0,0
2017-11-27,471.53,0,0
2017-11-28,480.52,0,0
2017-11-29,473.28,0,0
2017-11-30,431.21,0,0
2017-12-01,445.21,0,0
2017-12-02,466.85,0,0
2017-12-03,463.7,0,0
2017-12-04,466.05,0,0
2017-12-05,470.29,0,0
2017-12-06,462.6,0,0
2017-12-07,426.37,0,0
2017-12-08,434.99,0,0
2017-12-09,457.34,0,0
2017-12-10,472.79,0,0
2017-12-11,440.36,0,0
2017-12-12,522.29,0,0
2017-12-13,644.91,0,0
2017-12-14,700.59,0,0
2017-12-15,696.38,0,0
2017-12-16,686.19,0,0
2017-12-17,696.24,0,0
2017-12-18,721.73,0,0
2017-12-19,793.9,0,0
2017-12-20,827.52,0,0
2017-12-21,820.24,0,0
2017-12-22,822.64,0,0
2017-12-23,681.32,0,0
2017-12-24,721.77,0,0
2017-12-25,698.87,0,0
2017-12-26,763.37,0,0
2017-12-27,774.97,0,0
2017-12-28,762.21,0,0
2017-12-29,740.39,0,0
2017-12-30,753.82,0,0
2017-12-31,712.21,0,0
2018-01-01,755.76,0,0
2018-01-02,772.35,0,0
2018-01-03,886.0,0,0
2018-01-04,961.71,0,0
2018-01-05,975.75,0,0
2018-01-06,995.15,0,0
2018-01-07,1043.01,0,0
2018-01-08,1158.26,0,0
2018-01-09,1146.0,0,0
2018-01-10,1300.34,0,0
2018-01-11,1268.09,0,0
2018-01-12,1158.29,0,0
2018-01-13,1270.47,0,0
2018-01-14,1397.48,0,0
2018-01-15,1365.21,0,0
2018-01-16,1292.63,0,0
2018-01-17,1061.34,0,0
2018-01-18,1016.44,0,0
2018-01-19,1028.82,0,0
2018-01-20,1044.95,0,0
2018-01-21,1155.68,0,0
2018-01-22,1055.35,0,0
2018-01-23,1004.17,0,0
2018-01-24,987.48,0,0
2018-01-25,1063.22,0,0
2018-01-26,1052.7,0,0
2018-01-27,1055.75,0,0
2018-01-28,1111.78,0,0
2018-01-29,1246.7,0,0
2018-01-30,1184.13,0,0
2018-01-31,1071.09,0,0
2018-02-01,1119.37,0,0
2018-02-02,1035.77,0,0
2018-02-03,919.21,0,0
2018-02-04,964.67,0,0
2018-02-05,834.96,0,0
2018-02-06,707.74,0,0
2018-02-07,790.43,0,0
2018-02-08,755.84,0,0
2018-02-09,818.48,0,0
2018-02-10,882.47,0,0
2018-02-11,859.29,0,0
2018-02-12,817.51,0,0
2018-02-13,869.29,0,0
2018-02-14,844.28,0,0
2018-02-15,923.73,0,0
2018-02-16,934.79,0,0
2018-02-17,944.75,0,0
2018-02-18,973.35,0,0
2018-02-19,921.67,0,0
2018-02-20,943.57,0,0
2018-02-21,894.14,0,0
2018-02-22,849.26,0,0
2018-02-23,811.59,0,0
2018-02-24,861.59,0,0
2018-02-25,839.46,0,0
2018-02-26,845.28,0,0
2018-02-27,870.36,0,0
2018-02-28,877.93,0,0
2018-03-01,856.01,0,0
2018-03-02,871.76,0,0
2018-03-03,856.71,0,0
2018-03-04,856.19,0,0
2018-03-05,866.85,0,0
2018-03-06,853.82,0,0
2018-03-07,816.27,0,0
2018-03-08,752.57,0,0
2018-03-09,702.2,0,0
2018-03-10,730.16,0,0
2018-03-11,685.31,0,0
2018-03-12,724.41,0,0
2018-03-13,698.15,0,0
2018-03-14,691.22,0,0
2018-03-15,614.84,0,0
2018-03-16,611.78,0,0
2018-03-17,601.68,0,0
2018-03-18,551.64,0,0
2018-03-19,546.63,0,0
2018-03-20,556.72,0,0
2018-03-21,559.1,0,0
2018-03-22,562.1,0,0
2018-03-23,539.86,0,0
2018-03-24,542.57,0,0
2018-03-25,522.7,0,0
2018-03-26,524.29,0,0
2018-03-27,489.59,0,0
2018-03-28,450.29,0,0
2018-03-29,448.08,0,0
2018-03-30,385.9,0,0
2018-03-31,395.0,0,0
2018-04-01,397.25,0,0
2018-04-02,379.7,0,0
2018-04-03,387.31,0,0
2018-04-04,416.48,0,0
2018-04-05,379.95,0,0
2018-04-06,382.73,0,0
2018-04-07,370.38,0,0
2018-04-08,385.74,0,0
2018-04-09,400.86,0,0
2018-04-10,399.41,0,0
2018-04-11,415.02,0,0
2018-04-12,430.16,0,0
2018-04-13,493.16,0,0
2018-04-14,492.58,0,0
2018-04-15,502.88,0,0
2018-04-16,532.07,0,0
2018-04-17,511.14,0,0
2018-04-18,503.31,0,0
2018-04-19,524.04,0,0
2018-04-20,567.99,0,0
2018-04-21,616.0,0,0
2018-04-22,606.12,0,0
2018-04-23,621.2,0,0
2018-04-24,643.4,0,0
2018-04-25,707.06,0,0
2018-04-26,618.08,0,0
2018-04-27,662.11,0,0
2018-04-28,644.65,0,0
2018-04-29,683.91,0,0
2018-04-30,689.76,0,0
2018-05-01,670.46,0,0
2018-05-02,674.08,0,0
2018-05-03,686.59,0,0
2018-05-04,776.78,0,0
2018-05-05,784.58,0,0
2018-05-06,816.09,0,0
2018-05-07,793.34,0,0
2018-05-08,755.01,0,0
2018-05-09,752.9,0,0
2018-05-10,752.58,0,0
2018-05-11,727.01,0,0
2018-05-12,679.88,0,0
2018-05-13,687.17,0,0
2018-05-14,732.73,0,0
2018-05-15,731.14,0,0
2018-05-16,708.09,0,0
2018-05-17,708.72,0,0
2018-05-18,672.1,0,0
2018-05-19,695.07,0,0
2018-05-20,697.92,0,0
2018-05-21,717.19,0,0
2018-05-22,700.18,0,0
2018-05-23,646.67,0,0
2018-05-24,584.54,0,0
2018-05-25,602.14,0,0
2018-05-26,587.43,0,0
2018-05-27,588.52,0,0
2018-05-28,573.04,0,0
2018-05-29,516.15,0,0
2018-05-30,566.83,0,0
2018-05-31,558.5,0,0
2018-06-01,578.67,0,0
2018-06-02,580.43,0,0
2018-06-03,591.26,0,0
2018-06-04,619.44,0,0
2018-06-05,593.41,0,0
2018-06-06,610.26,0,0
2018-06-07,607.69,0,0
2018-06-08,605.44,0,0
2018-06-09,600.91,0,0
2018-06-10,594.34,0,0
2018-06-11,524.86,0,0
2018-06-12,532.71,0,0
2018-06-13,498.02,0,0
2018-06-14,478.38,0,0
2018-06-15,520.48,0,0
2018-06-16,490.41,0,0
2018-06-17,499.46,0,0
2018-06-18,499.38,0,0
2018-06-19,519.02,0,0
2018-06-20,538.51,0,0
2018-06-21,536.45,0,0
2018-06-22,527.19,0,0
2018-06-23,466.27,0,0
