date,open_price_usd,total_volume_usd,market_cap_usd
2025-05-20,0.00001322,1780550642.80,5550021652.82
2025-05-21,0.00001313,1422654178.69,5521635425.17
2025-05-22,0.00001373,2895305606.29,5773206139.23
2025-05-23,0.00001512,2307017751.10,6352250970.47
2025-05-24,0.00001390,3215801978.95,5858983557.95
2025-05-25,0.00001380,1363316569.78,5802871403.82
2025-05-26,0.00001354,1525418601.19,5694606412.28
2025-05-27,0.00001380,1694811806.36,5798330348.86
2025-05-28,0.00001390,1416122814.27,5846443435.46
2025-05-29,0.00001401,1224897281.50,5892944395.90
2025-05-30,0.00001349,1961730462.93,5684513629.51
2025-05-31,0.00001167,1871102857.21,4915268040.19
2025-06-01,0.00001166,1375681398.19,4906282729.42
2025-06-02,0.00001183,775081143.46,4979450717.47
2025-06-03,0.00001237,912501121.60,5205456838.08
2025-06-04,0.00001227,1212753609.31,5163688224.09
2025-06-05,0.00001187,763770639.44,4996357940.45
2025-06-06,0.00001070,1569762706.71,4500605886.73
2025-06-07,0.00001109,997769301.00,4666472080.43
2025-06-08,0.00001152,569995484.88,4844777282.99
2025-06-09,0.00001168,576842619.08,4913405555.81
2025-06-10,0.00001267,1155309684.29,5331837528.91
2025-06-11,0.00001310,1743364484.06,5512385630.89
2025-06-12,0.00001249,1300488303.04,5244236937.87
2025-06-13,0.00001155,1116093031.67,4861892916.75
2025-06-14,0.00001120,1649515922.59,4712626192.22
2025-06-15,0.00001096,546516016.04,4613778496.24
2025-06-16,0.00001112,628984880.21,4679416249.20
2025-06-17,0.00001066,1082480534.76,4492369444.29
2025-06-18,0.00001015,1266609352.59,4276700834.64
2025-06-19,0.00001033,774822300.25,4344125287.14
2025-06-20,0.00001030,530874813.16,4333509904.90
2025-06-21,0.00000985,779412126.24,4144784659.59
2025-06-22,0.00000914,666131301.09,3844306569.62
2025-06-23,0.00000886,1054412095.03,3727926744.87
2025-06-24,0.00000994,1182108834.62,4182660354.65
2025-06-25,0.00001003,847713344.38,4217619854.02
2025-06-26,0.00000946,677467505.68,3981895284.99
2025-06-27,0.00000913,642695801.95,3840624420.95
2025-06-28,0.00000917,551775153.10,3856256229.50
2025-06-29,0.00000956,336442618.32,4020217533.65
2025-06-30,0.00001041,603604664.77,4387059857.76
2025-07-01,0.00000974,773817673.14,4098468032.60
2025-07-02,0.00000924,475991484.35,3882586269.44
2025-07-03,0.00001007,892419321.96,4238531687.95
2025-07-04,0.00001012,1141591800.23,4256648346.18
2025-07-05,0.00000964,671604984.81,4056155867.69
2025-07-06,0.00000970,401169015.83,4083396425.27
2025-07-07,0.00001004,678184516.63,4213791024.48
2025-07-08,0.00000989,655004038.65,4162557433.16
2025-07-09,0.00001020,606869383.10,4293466856.17
2025-07-10,0.00001110,1183136257.66,4674919721.00
2025-07-11,0.00001232,4899050530.65,5179073782.73
2025-07-12,0.00001238,8225797713.10,5207670849.25
2025-07-13,0.00001217,3323820497.00,5120388248.10
2025-07-14,0.00001229,3608277072.62,5168221326.73
2025-07-15,0.00001221,5584351964.05,5137661579.73
2025-07-16,0.00001287,5564285525.61,5413101110.06
2025-07-17,0.00001358,7201507182.88,5714950192.67
2025-07-18,0.00001358,5784912616.94,5715438932.39
2025-07-19,0.00001294,7211278691.42,5443538187.49
2025-07-20,0.00001344,3108895614.28,5655754209.57
2025-07-21,0.00001407,5079895547.01,5918181526.20
2025-07-22,0.00001418,5428205310.52,5969634815.84
2025-07-23,0.00001411,5893980531.53,5935360948.80
2025-07-24,0.00001274,4857718999.84,5359927996.01
2025-07-25,0.00001236,3643065344.25,5200909394.05
2025-07-26,0.00001253,3333231244.64,5270941759.76
2025-07-27,0.00001242,1186072609.14,5224400782.60
2025-07-28,0.00001277,1370272018.77,5370508561.85
2025-07-29,0.00001185,1960853775.23,4993819509.99
2025-07-30,0.00001152,902148665.92,4845052335.70
2025-07-31,0.00001136,770335821.32,4774499045.38
2025-08-01,0.00001078,681937567.52,4528274339.53
2025-08-02,0.00001039,1030642599.87,4369732785.75
2025-08-03,0.00001013,577122637.14,4270147580.48
2025-08-04,0.00001046,390554189.65,4399995371.40
2025-08-05,0.00001077,558322032.10,4529243315.14
2025-08-06,0.00001019,561826433.30,4285615616.11
2025-08-07,0.00001056,452714118.60,4442093903.95
2025-08-08,0.00001111,614300820.52,4668252622.58
2025-08-09,0.00001182,905662611.04,4969234797.80
2025-08-10,0.00001243,941169361.87,5229946102.94
2025-08-11,0.00001208,778565625.71,5080624737.93
2025-08-12,0.00001124,907107718.74,4726544364.90
2025-08-13,0.00001217,1125873602.13,5125935947.09
2025-08-14,0.00001229,1348815478.19,5181803633.29
2025-08-15,0.00001108,1455811177.65,4664747410.87
2025-08-16,0.00001079,1399277146.57,4542705121.36
2025-08-17,0.00001108,802006807.84,4657235946.90
2025-08-18,0.00001116,541212330.31,4696982412.23
2025-08-19,0.00001069,596386393.67,4496789516.86
2025-08-20,0.00001019,552467870.11,4306299890.35
2025-08-21,0.00001067,546677208.69,4487335577.32
2025-08-22,0.00001038,456791563.62,4364559111.38
2025-08-23,0.00001158,1201761677.88,4876826016.06
2025-08-24,0.00001124,707169827.27,4729220954.94
2025-08-25,0.00001084,955748258.68,4563959969.67
2025-08-26,0.00000976,961976915.90,4109047175.59
2025-08-27,0.00001009,645284790.55,4243818662.59
2025-08-28,0.00001002,547286628.98,4215783196.64
2025-08-29,0.00001019,417799128.91,4286437150.64
2025-08-30,0.00000978,631498747.98,4119387105.76
2025-08-31,0.00000983,310775251.69,4137995956.12
2025-09-01,0.00000965,334256849.20,4061520638.55
2025-09-02,0.00000944,641607315.70,3969101251.87
2025-09-03,0.00000979,585719047.87,4118428375.93
2025-09-04,0.00000988,373962318.89,4155716495.08
2025-09-05,0.00000946,372707027.69,3983410275.46
2025-09-06,0.00000975,520906260.29,4101475611.28
2025-09-07,0.00000964,244728214.68,4058578087.66
2025-09-08,0.00000990,308014612.64,4167261721.71
2025-09-09,0.00001031,547127243.81,4337494835.46
2025-09-10,0.00001032,743149673.83,4340452126.72
2025-09-11,0.00001053,499297769.06,4431909159.70
2025-09-12,0.00001067,473759297.93,4489958592.25
2025-09-13,0.00001153,1024113516.43,4850128105.59
2025-09-14,0.00001193,1665810759.83,5020820207.56
2025-09-15,0.00001155,887662010.45,4856610261.40
2025-09-16,0.00001078,737806638.84,4526624298.68
2025-09-17,0.00001106,547395046.65,4652602911.56
2025-09-18,0.00001139,946376743.32,4779080095.82
2025-09-19,0.00001146,799088978.15,4818658337.22
2025-09-20,0.00001076,572527364.75,4520818128.91
2025-09-21,0.00001072,393324217.35,4504907701.12
2025-09-22,0.00001043,362249792.09,4387440301.65
2025-09-23,0.00000967,891456249.31,4068198781.11
2025-09-24,0.00000958,464054849.21,4034637848.38
2025-09-25,0.00000963,389053053.57,4045565017.88
2025-09-26,0.00000905,737868000.72,3806453862.43
2025-09-27,0.00000938,512577990.82,3943011837.59
2025-09-28,0.00000925,235548528.35,3892140437.36
2025-09-29,0.00000944,259885855.03,3970407095.40
2025-09-30,0.00000941,396191361.01,3958614063.07
2025-10-01,0.00000931,432033863.91,3914791489.33
2025-10-02,0.00000976,518851335.61,4105977610.14
2025-10-03,0.00001022,688769449.85,4293729947.55
2025-10-04,0.00001012,644962277.32,4257342130.06
2025-10-05,0.00000977,505312327.93,4111867845.26
2025-10-06,0.00000980,557758297.77,4126412289.47
2025-10-07,0.00001020,638018696.49,4293438551.71
2025-10-08,0.00000948,682166993.65,3983005019.59
2025-10-09,0.00000956,568300926.19,4023445665.55
2025-10-10,0.00000926,467482212.14,3896183910.26
2025-10-11,0.00000681,1529273997.61,2873160402.02
2025-10-12,0.00000673,1032702610.93,2832953396.07
2025-10-13,0.00000750,843450274.22,3146357324.04
2025-10-14,0.00000783,840057549.07,3299448485.67
2025-10-15,0.00000752,891890378.61,3164121288.61
2025-10-16,0.00000717,523464199.61,3018794522.41
2025-10-17,0.00000686,572288774.17,2886813450.68
2025-10-18,0.00000665,646428286.79,2799374629.89
2025-10-19,0.00000675,254237947.65,2840037524.02
2025-10-20,0.00000700,381226403.93,2944603369.73
2025-10-21,0.00000715,424459687.25,3007607632.14
2025-10-22,0.00000692,546658226.92,2912714556.93
2025-10-23,0.00000671,472876611.77,2819510454.79
2025-10-24,0.00000694,364705033.89,2918803008.77
